much 	 good hotel service start check - in front desk agent Red Roof always friendly ! make sure thing need night greet we everytime walk past desk . room cozy clean . comlimentary coffee room perfect morning . will definitely stay soon . 
 Nov 24 2009 	 crew hotel make stay worthwhile - especially Ms. Robinson ! 	 great staff . great location . need renovation great place stay . 
 Nov 23 2009 	 ' ve got include hotel go Chicago Downtown 	 Perfect location perfect value ! walk distance Navy Pier . one block away Michigan ave . 
 Oct 8 2009 	 great trip Chicago 	 first time Chicago , come Cubs game . read several negative review hesitate stay hotel pleasantly surprise . check - in 4:15pm Thursday , quick . king room 16th floor . nice flat screen tv & amp ; small desk . elevator & amp ; hallway small ... not go Chicago spend time . room big enough husband & amp ; I. not know double room like could see maybe 2 bed room might bit tight family 4 . however , little time spend room , not think would big deal . planning room long amount time , probably would spend bit nice hotel . elevator & amp ; hallway small , ... spend lot time hotel . location hotel can not beat , especially price . step Michigan Ave & amp ; Magnificent Mile shopping & amp ; able easily walk everywhere want go hotel . real negative hotel room : carpet seem quite dingy big pink stain corner , bathroom need bit deep cleaning ie . wall around / below sink & amp ; grout shower need scrub . frill place ... be budget & amp ; look place change clothe & amp ; sleep , great value . really can not complain anything consider pay $ 50/ night thru Priceline ... can not beat heart Chicago . Food & amp ; drink downtown Chicago pricey recommend TGI Fridays side block hotel ( Erie St. ) nice bar area & amp ; drink special every day week . not find place last day & amp ; wish much early . great place sit , watch game & amp ; drink long day walk . also stop Signature Lounge 96th floor Hancock Bldg . drink . instead pay $ 12- $ 15 / person go observation deck , go lounge & amp ; drink . drink pricey get great drink enjoy great view . recommend go afternoon avoid crowd good chance seat window . also McDonalds & amp ; Walgreens 4 block west street hotel . also check : Maggiano 's Restaurant ( great food , reasonable price ) , Navy Pier firework night ( Billy Goat Tavern drink ) , Second City comedy club ( great show ) .We really impress easy everything get , either walk public transit . order 3 - day pass CTA website prior trip . mail house ( include price ) & amp ; not activate first time use . good unlimited ride bus & amp ; el train . use Google Maps direction , connect transit authority & amp ; map way walk public transit , give correct bus # train & amp ; get correct bus stop . use Blackberry & amp ; work great ! one good trip ever & amp ; hotel great need . would stay & amp ; ' m sure . 
 Sep 25 2009 	 Good Value Price 	 spur moment decide go Chicago see Paul Potts want inexpensive place stay . hotel 's location ideal one block Michigan . room corner room rather small sparse clean . price level get amenity expect , small bar soap , plastic wrap plastic glass , shampoo package similar ketchup pack . adequate since room large enough . read negative review hotel find staff helpful . not complaint . look basic hotel serice great price ( Priceline ) place . 
 Sep 16 2009 	 lip service roach bug 	 wife stay RRI previous visit , feel ok booking friend . unfortunately , room cockroach , bug , cleanliness issue . complaint bring apology excuse GM , nothing else . free night reduction rate would certainly appropriate . in note , GM say & quot ; realize lose business & quot ; . right . 
 Sep 15 2009 	 stay 	 cockroach , black mold / mildew bathroom , staff allow panhandler lobby , room dirty even staff clean ; like replace towel 
 Sep 14 2009 	 great location budget traveller 	 hotel dodgy recent review , pleasantly surprise friendly helpful staff . bedroom trifle small , room ( floor 15 ) seem good decorative order , bathroom bright clean . 's safe room valuable ; hair - dryer , iron in - room coffee - maker . be well situated Michigan Avenue 's Magnificent Mile easy walk Navy Pier , river , Water Tower , El shopping . tasty inexpensive eatery ( Burrito Beach ) nearby . would gladly stay . 
 Sep 13 2009 	 Red roof inn near walkable chicago attraction 	 Red roof inn near walkable chicago attraction , parking , stay redroof inn cost effective . 
 Aug 31 2009 	 Perfect 	 wife stay one night skeptical reading review ; however , hotel serve we perfectly . staff friendly location awesome . room small certainly adequate , clean . bathroom fine . flat screen tv nice amenity bed comfortable . hey , pay 50 / night priceline can not beat . would stay heartbeat . 
 Aug 10 2009 	 get pay .. nothing ! ! 	 decide take weekend trip friend Chicago . search many hotel , decide upon Red Roof Inn location cheap price . know cheap price cheap service . upon arrival desk clerk take credit card ID start paperwork . however , keep answer phone , take nearly 15 minute get room key . enter room , air conditioning break . call Front Desk say would send maintenance man fix . 3 call desk hour half period , offer switch room . room small broken light . maid not even clean room next day 5 pm ! ! parent stay Best Western pay 20 dollar . next time , will ante money stay place deserve business . 
 Aug 8 2009 	 Red Roof Inn Downtown Chicago 	 bad thing say hotel tell expensive parking ... first time visitor Chicago know parking situation . when book room never tell ... probaly assume know .... park extra $ 36 day ... budget , blow budget hell . beware parking alot extra ... hotel 's self fine ... room bit small heck expect one cheap night stay Chicago ... clean comfortable ... staff friendly one valet recommend excellnt place eat dinner $ 10 entre . 
 Aug 4 2009 	 spend extra money stay somewhere much nice . 	 stay hotel June 5 - 7 2009 , though location hotel perfect , hotel & amp ; service less . upon check put room dirty spider webs windows size closet ( yes 's downtown property accept , cleanliness however acceptable ) call desk see switch room tell large room , not offer move ask refund move elsewhere . put much nice room . seem partly remodel . day check - out person room drop phone bed wall , go pick find old dry vomit wall , floor side bed . check bring lady attention simply ask would like another copy bill . decide get home would call manager . Manager nice apologize offer refund money . long story short two month due lake competence , plan disregard extent issue ; STILL wait refund . customer service seriously lacking , go 3 different people promise refund , none actually follow . would advise spend extra money stay much clean hotel avoid situation matter . 
 Jul 28 2009 	 Perfect Teen / College Students 	 hotel perfect location downtown . cleanliness not good , be go Chicago city , hotel , be definately worth . cleanliness mention review experience stay . blast chicago , Red Roof Inn provide great night 's sleep we . 
 Jul 24 2009 	 ok hotel would pay stay somewhere nice next time . 	 stay 2 daughter ( 8 & amp ; 12 ) overnight fun trip Chicago . book priceline & amp ; get great rate , suppose get pay . read other review hotel & amp ; honestly terrified would find arrive . prepare forego money & amp ; head home bad other say . pleased see room clean arrive . although could not wait get SMALL . trip one another & amp ; really feel trap almost . check staff nice & amp ; friendly , valet . definitely 2 star hotel , do not expect extra perk luxury feature . however , least thankful room clean . Lesson learn however , nice spend less , end day , would assume pay $ 25 & amp ; stay well quality hotel . location great though - right everything heart downtown . probably will not return though . 
 Jul 24 2009 	 good price area . service cleanliness good . 	 could not ask well location money . say , travel quite bit job Red Roof Inn Ontario one bad hotel pleasure stay . arrive , air conditioner room work . call front desk get something do . girl front desk assure would take care . not . not press issue weather mild week . room altogether clean . dirty q - tip , face clean pad , wad toilet paper ice bucket arrive . stay we week . would recommend hotel someone willing sacrifice customer service cleanliness cheap room excellent location . 
 Jul 10 2009 	 phenomenal value prime Chicago location . 	 book Red Roof 's site , promotional rate . hard time figure Chicago hotel , want near certain address . ask native name neighborhood , well spot hotel , help . hotel E. Ontario great location . check ominous ! ! two young people desk young lady stop personal conversation whole time check . fill document comment pregnancy acquaintance , clerk gossiped stood completely ignore . query , question , . hate kind reception ! bell man attentive . room oddly shape , large comparison NYC hotel three time cost . room clean , bed comfortable , room microwave fridge . bathroom comfortable size . ironing board , adequate closet area space , large tv . Hairdryer fancy giveaway , fine . floor populate young folk Europe . one time elevator , two maid friendly ' real ' , express hope room right . surprising nice . bell man help luggage great push tip he . I would stay location . maybe next time will interrupt clerk ask pay attention ! floor 11.the information parking accurate tell way want use parking arrangement . appreciate candor & amp ; make arrangement . try use wifi fail time mess . ' m sure ; may pick signal building nearby . 
 Jun 26 2009 	 great area would not stay though 	 stay coach group find hotel dirty staff rude , maybe group not seem care . carpet hallway level filthy and/or stain . room ok afraid touch anything . bathroom seem fine . lobby TINY , guess not much else could space . bonus coffee flat screen telly foyer nice . close everything standoffish attitude staff stain carpet stick mind . 
