lovely 	 last two trip , enjoy Ping Pang Pong ( dim sum restaurant Gold Coast ) enough want give try place stay . price room ( particularly club card , give small discount ) quite good , choose go & quot ; premium king & quot ; room less $ 100 three night . room clean , modern , nice pan - asian styling . really like porcelain tile use throughout shower sink area . view well , reasonable price . hotel staff friendly helpful , park convenient close lobby . the breakfast buffet great deal nice variety , casino floor staff outgo helpful well . casino & quot ; old - school & quot ; -- quiet , simple layout ( never get lose ! ) fancy theme mostly - naked pole dancer blackjack table . ventilation quite good , not smoke really bother much smoker casino . find refresh over - the - top , particularly day evening wandering hotel strip sensory overload really wear . even enjoy round bingo bowling , casino nicely attire . 
 Nov 19 2009 	 fine 	 conference Rio special conference rate $ 90 night . go TripAdvisor could gotten $ 70 rate find $ 34 rate Gold Coast right next Rio . additonal mandatory $ 5 night resort fee aware another review Trip Advisor . since budget major consideration , book teh Gold Coast . arrive Monday 12:15 front desk staff seem overloaded . 2 people behind desk line day long . since little press time check bag bell desk go afternoon conference session . come back 5:30 , desk still bit overloaded . get line wait 10 minute . reservation file away go . my room 3rd floor face back parking lot . room clean , king size bed comfortable . bathroom small functional need . coffee maker helpful still central time wake rest 6AM Pacific . sine really want go breakfast , make coffee room take care vicious caffeine habit . food truck garbage truck come bit noise right , bad , anyway . location : Gold Coast strip , 20 minute brisk walk Caesar 's Palace across freeway . sidewalk next Flamingo Road . shuttle infrequent line long get . conference Rio , could walk 5 minute side door Rio go 2nd floor parking ramp walk stair jaywalk across wide street . much traffic wide street center median feel safe do . food : buffet fairly marginal . lot choice though easily find thing like . first day , prime rib tough tasted bit old . Wednesday prime rib well , think owe marketing campaign free buffet senior club . package get line include 2 free buffet budget rule palate . TGI Fridays open 24 hour nice . end eat evening meal , fan Jack Daniels burger . plus enforce non - smoking well TGI Fridays also enjoy . not go plan smoke . I use hot tub facility , temp good , people use . think 70 's temp low pool area . Minnesotan think lovely . communication : hate pay internet , drive crazy . go dumpy motel middle Montana get free wireless go $ 200 night hotel Chicago want tack additional $ 18 . additional $ 15 . worth . need print e - ticket return flight use one little internet kiosk printer attach set purpose spend $ 5.95 ( maybe could get $ 5 another kiosk ) .tv : television work fine , kind long delay on / off button , patience need . checkout : use video checkout option television . Got last screen need get receipt press button get receipt email . next screen tell type address wireless keyboard . wrong ! wireless keyboard . call front desk say wireless keyboard happily print one could pick front desk . fine . overall , $ 39 night free buffet , comfortable room ok service decent location , especially use nearby expensvie facility . 
 Nov 16 2009 	 Great value 	 visit Vegas every November fourth time stay . year stay one premium room . update clean . mattress comfortable . shuttle service Bill 's add bonus . breakfast buffet great inexpensive $ 6.50 per person . one food station make make order omelet egg . prime rib dinner Cortez dining room die . staff serve personel friendly . problem water pressure temperature shower . particularly like fact turn coffee maker coffee room go downstair breakfast . back next year ! 
 Nov 13 2009 	 ok hotel 	 Lady reservation desk friendly . room suite view Palms . bed comfy . real complaint food buffet , tasty kind bland . TGIF great though . bartender entertain . slot tight , end loosen bit . have great time . 
 Nov 12 2009 	 spend ton money planning room much ? 	 stay one trip Vegas Palms sell . hotel fit need . room basic . not really need expensive room not plan hotel room much anyway . room standard size really great view work we . front desk staff great not take 3 minute check . walk parking garage front desk long haul bad . casino self great . old casino seem place local go . slot cheap table game cheap food discount restaurant hotel . weekend hot dog vendor set shop side sport book . think get 2 - 3 dog .. $ 1.00 . hotel also shuttle take people Bill 's casino strip . good people not car . drop good we . probably stay palm sell expensive time booking . right across street Palms wife like gamble . hotel fit need trip . 
 Nov 7 2009 	 GOLD COAST HOTEL 	 rate hotel expensive offer great luxurious service . take hotel shuttle order reach LAS VEGAS strip . recommend hotel planning visit LAS VEGAS .. want experience pleasure spend much hotel accomodation . 
 Nov 6 2009 	 pick another hotel - do not waste time 	 do not know start . purchase upgrade room package 4 night stay Tuesday - Saturday . checkin pleasant easy . get room walk feel like mile hallway find 1960 looking room . hungry decide go eat friday verify afterwards give we correct room . well dinner go front desk woman behind counter say yes get wrong room . pack everything back move 3rd floor 6th floor . hallway feel like mile long . well let say upgrade room 100 % well . ready shower find hot water . 15 - 30 minute runnne water finally get hot water . waste water . speak front desk offer move we . totally exhausted take offer instead get turn water first let run 1/2hr jump shower . every night housekeeping people forget give we new soap also frustrating . would RECOMMEND HOTEL anyone . stay away buffett especially mexican section terrible good . 
 Nov 6 2009 	 Inexpensive ... certain benefit 	 March Madness 2009 review bit late , love Gold Coast back 2010 . ok , high roller friend book room Palms , right across street , literally easy walk away - yes , make fun first booking & quot ; mold coast & quot ; & quot ; old coast & quot ; end week , commit join 2010 . positive ( may outdate , check website ) : room - clean , cheap , cheap , cheap , inexpensive , cheap , comfortable . need place crash anyway Vegas , ideallocation - close Palms RioAmenities - TGIFRIDAYS open ( almost ? ) time super deal breakfast , beer , drink etc . shot beer $ 1 game ( first round March Madness literally almost always ) . yeah , hear right . bowling $ 1 either midnight 2:00am , like afternoon Vegas term . great deal , good time . TABLE GAMES - wonderful time low minimum great staff . slots - good variety great selection payout video poker . check - easycheck - easy ( not charge movie fall asleep , ) negative : location - many strip decide walk back rather grab cab , watch . walk back scary confusing . get cab . Shuttle - never see , employee not know talk , end always split cab ( ps - always look folk split cab , will find ! ) 's negative . great stay , can not wait go back VEGAS ! 
 Oct 27 2009 	 great value money 	 spend week 18th 25th october . staff brilliant buffet ok . last year standard 's well , good shuttle serivce strip although one bus opperate two hotel . tell wait next bus . good value money . second visit hotel would visit . bingo high stantard staff helpful polite . good hotel stay visit vegas do not want stay strip . 
 Oct 27 2009 	 great off - strip location 	 select Gold Coast ticket concert palm . Gold Coast right across street , maybe 5 min walk 's whole lot cheap Palms . be also right next Rio , also 5 min walk . 's lot right three casino want go strip Gold Coast run shuttle Bill 's Gamblin ' hall every 20 - 25 min depend traffic . 's corner Bally 's Bellagio . take shuttle walk mile New York , New York see Zumanity . would not want walk summer heat really nice night walk quite nice . cab not expensive not want walk , be couple mile Gold Coast New York , New York would roughly casino strip . plenty time think stroll strip would nice . Gold Coast Deluxe King room quite nice . everything real good condition . not look run . bed comfortable ! shower awesome ! tub , big enough two one big rain shower head . crazy hot cold water spurt happen hotel . one thing like big casino like maze tend get lose Gold Coast small enough find way around easily . not gambler can not tell much gaming . look anywhere tho . table pretty active . get pretty drunk one night . be quiet little bar one end casino pool table . enjoy play pool group japanese business man till place close find way TGIFridays 's open 24 hour . till 4 be great time . negative , view room not great not really care . pool not much , be pretty small not much time hang pool anyway . one even pool go swim least . buffet not great either . free coupon breakfast dinner . breakfast pretty good . omelete station would make anything want fresh . dinner little depressing . free ok would not want pay . like TGIFriday 's tho Rio seafood buffet really want buffet . 
 oct 9 2009 	 Good Time 	 Hotel 5 star overall worth value . girl ' Weekend Trip stay .... room clean decent , staff friendly upgrade bit add 24 hour T.G.I.Fridays Restaurant . location great across street Rio & amp ; palm reason go strip view new hotel . easily accessible nice bang buck . 
 oct 8 2009 	 pretty good 	 pretty good price . pay buy one night , get one night free . 
 oct 2 2009 	 great deal 	 get great deal room vegas.com . reserve premium room get put one un - renovate standard room . really tiny bathroom strange shower whole thing feel old . go back desk correct mistake put one premium room . great ! nice bed , tv , furniture & amp ; bathroom . be definitely worth pay buck get premium room standard . this hotel lot fun like play bingo . be also good chinese restaurant inside 24 - hr TGIFridays . buffet pretty cheap bad . casino big selection game low minimum . 's also huge bowling alley $ 1 bowling midnight . 's big deal hotel strip 's Palms & amp ; Rio right across street , 's free shuttle take strip . pool nice , nothing fancy , be waitress bar get drink casino bring pool . 
 oct 2 2009 	 can not wait return 	 first impression yes ok . booking fuss ever , give key room ninth floor , ( great view ) evey thing need room . even iron iron board.the hotet strip , free shuttle bus run every 15/20 min strip , eat well think country eat food clean well run resturant , even G fridays.room service also great that s ever get back room much do.72 lane bowling alley , , bingo hall.and casino well welme first .every casino game think available.the hotel wsa light airy clean , staff helpfull , nothing much trouble.we return asap 
 Oct 1 2009 	 get pay 	 front desk Bell Desk unfriendly make seem like bother . Bell desk give incorrect distance well , make costly cab . get room , walk smoky casino take shaky elevator . 4 elevator never wait 2 minute . room small bathroom ( especially shower ) even small . water hit floor shower door small partition . well , fan bathroom somewhat inconvenient . Thermostat control AC nice . view top building next door satellite . Carpet look dirty stain room smell entire stay . bed extremely comfortable . Maid service friendly efficient . check early well problem . go TGI 's decent food nice service . bowling alley clean wait get lane . Wal - Mart Rainbow 20 $ cab ride . shuttle take Orleans first Tropicana strip . walk Gold Coast head Flamingo towards Caesar 's , 's 20min walk interstate side strip . free local call nice well . not really feel like miss anything stay strip . 
 oct 1 2009 	 place serve purpose 	 book we part package trip . unfortunately , last visit Las Vegas stay Caesar 's Palace never go live that . the hotel ok ... room need update toilet not work get fix . clean enough although one pillow stain . the main problem us 20 min walk Strip $ 10- $ 15 cab ride ... free shuttle not regular enough we . can not pop see sight . the ' port 's call ' restaurant good ... Friday night seafood buffet excellent good value . we believe slot pay well Strip unless gamble main reason stay ... would recommend stay Strip 
 Sep 28 2009 	 Nice Place - Good Deal 	 really nice place price . stretch call Seafood Buffet Seafood Buffet good . clean room , reasonable price & quot ; strip & quot ; hotel . good service . complaint . 
 Sep 23 2009 	 great value comfortable stay 	 take mom Vegas birthday find good deal Gold Coast . read review site decide sound fairly decent . happy find . room clean functional budget hotel . bathroom fairly tight budget room , job . shower major water pressure , not take long shower . problem check . casino pretty large large number video poker machine . definitely local hangout . free shuttle Orleans Tropicana run every 15 minute , get around really painless . tgif cheap breakfast special , eat couple morning buffet one time . table busy weekend , play couple time . large variety slot machine , play time . overall , really like Gold Coast would definitely stay . 
 Sep 17 2009 	 Good price hotel 	 first time stay Gold Coast , good round hotel price reasonable hotel , . room clean tidy . the shuttle bus drop tropicana hotel top strip , { previously Bills gambling hall / barbary coast } 14th september . this receive favourably guest speak , central visit hotel , bus $ 3 dollar trip 7 per day deuce , unable walk strip .. 
 Sep 9 2009 	 Loved ! 	 stay Gold Coast buddy Labor Day weekend thrill place . get great rate ( $ 60.00 night ) , not sure expect . standard room large , well maintain , clean . everyone come contact , front desk casino staff , friendly . Breakfast TGI Fridays good serve quickly . Dinner Cortez Room outstanding . filet mignon melt mouth . the casino seem cater slot crowd . say , even holiday weekend , able get onto table game problem . I definitely stay Gold Coast . 
 Sep 4 2009 	 Adequate 	 stay 4 week - come play Poker world series Rio ( next door ) originally want get fully book . close optionI strongly disagree people rate excellentPrice good , room adequate ( never get superior room pay get refund find ) . pool adequatechecking staff average - tall lady security Guard friendly - cortez room staff also nice Hotel cleanThe food Cortez room restaurant outstanding ( steak outstanding ) - two chinese restaurant ok TGI Fridays 24/7 adequate good many I ve toin truth , do not bad experience whole deal do not quite . would stay , possibly I d also consider pay $ 20- $ 30 stay somewhere else length time 
 Aug 29 2009 	 CLEAN cheap FRILLS 	 locate strip , far . get room $ 4.99 night , know expect . get room drag daughter casino , 4th floor , get , pleased . room fancy , cover bed sheet . tv nice ( flat screen ) room fairly clean . view outside wall , bathroom area small . shower feel like lean one side , work fine . room need update , price , feel like get great deal . front desk help bellman door unfriendly unhelpful also . 
 Aug 26 2009 	 Mormon cricket inside room ! 	 room first floor . hear loud cricket noise start sleep . investigation , find Mormon cricket inside room ! carpet open A / c unit . front desk say someone must open window . not room move except smoking room . not get sleep ! 
 Aug 26 2009 	 excellent value clean friendly 	 3rd time stay Gold Coast enjoy every single time . may luxurious hotel clean , comfortable friendly . cost stay exceptional food good value . hustle bustle associate stay strip want . fun madness town nice peacefull want sleep . get bit loud weekend enough keep awake . cocktail waitress pleasant quick supply drink game something sadly lack number & quot ; big & quot ; casino . big allway well would recommend Gold Coast without hesitation . 
 Aug 23 2009 	 Great Place ! Great Price ! Nice Hotel ! good thing say ! 	 great hotel strip . nice clean . able check early . buffet cheap dessert good . chinese Ping Pang Pong excellent ! price great ! rent car vallet service quick . slot pay actually play awhile . would love stay . also great price ! everyone friendly helpful . also bowl ! 
 Aug 23 2009 	 Gold Coast Casino Resort Las Vegas 	 stay 4 night Gold Coast . good service . buffet excellent serve regular food like pizza , beef , pasta , burger , thing like . great family . very nice room price . nice view hotel area Recommended Families couple look nice place quiet close strip . shuttle take strip drop right middle action strip . would absolutly stay . 
 Aug 21 2009 	 excellent place stay ! 	 recently back month solo - travel California . as use public transport , location essential factor choose accommodation . use good value shuttle bus airport , take directly resort . although 20 - minute walk Strip ( well evening cooler ) free shuttle bus drop every 30 - minute . note $ 3.00 / day resort fee , be cover cost use shuttle swimming pool . WiFi access expensive $ 12.99 per day , try use ! overall , hotel represent great value money . staff extremely helpful help book day trip , much appreciate . Gold Coast definitely worth stay Las Vegas . 
 Jul 27 2009 	 great place stay quick strip nice enough people ... would go back 	 book 2 weekend night stay Gold Coast . arrive almost 11 am , room indeed ready . book one premium , renovate room , ' m happy . front desk person nice enough , little curt . get number 849 ( 10 floor ) pretty view palm across street . room classic , neutral style , elegant . shower nice roomy , tend get water floor , window let alot nautral light . water pressure good . go eat TGIF ' . get immediate seating , waiter nice , food come fast , good . also visit gift shop , alot nice selection , talkative employee . also see casino coffee shop , never get around visit . shuttle bus excellent , stop midnight . never wait long drop off / pick - up Bill 's . short walk anywhere . casino quite break loud strip monster hotel . happy return night . initially book room go show Palms , excellent choice without break bank . get great rate hotels.com ( 50 % sale ) , even weekend . think $ 138 night , total . check - out person nice . oh make sure cabbie ( be take one ) , need go tunnel . be 10 minute away airport . : ) would definitely recommend Gold Coast . 
 Jul 21 2009 	 unbeatable value great hotel great casino great location = great stay ! 	 say hotel ! cheap expedia $ 48 night weekend know vegas 's crazy price weekend ! get one premium room newly renovate definitely great value . hotel west strip next Rio sort adjacent Palms . somehow end double / double room suppose King bed , not much big deal . furnishing room nice trendy , bathroom large spacious ! shower like walk shower door close , cool . light room minimal , orange lamp desk , bedside lamp powerful enough . large flat screen tv , express check tv . hotel great lot amenity , pool great , number restaurant hotel , cool bowling alley . also convenient shuttle strip every 15 - 30mins 12midnight . walk strip doable .. keep mind be walk freeway etcc high heel could take ( say 20mins ) . eat TGI Friday 's great , breakfast 4 pm make complete sense since vegas be talk . hotel 's casino great ! ! great atmosphere be always go make good impression anyone ! dealer nice , table would start low $ 5 blackjack great ! hot club lounge Rio Palms close go strip come back Gold Coast partying hit table ! overall think Gold Coast unbeatable value hotel Vegas maybe even many hotel anywhere . even though know many people would want splurge stay famous hotel strip , would recommend hotel anyone heartbeat . 
 Jul 20 2009 	 budget trip Vegas choose Gold Coast ! 	 Vegas many time not feel need stay one 4 - 5 star hotel strip . look budget room , splurge thing ( gambling , dining , entertainment ) . pleasantly surprise Gold Coast . shuttle strip great , breakfast buffet cheap perfect , table gambling low limit . perfect husband . use Rio pool next door since Gold Coast pool ok , happy . aare honeymoon romantic anniversary trip - say splurge top hotel , marry really want go good time , definetely recommend Gold Coast . oh , remember & quot ; splurge & quot ; deluxe room . pay $ 250 taxis 3 night weekend . well worth opinion ! deluxe room really nice clean newly renovate ! 
