bad 	 stay hotel good review . check get room bathroom mess . toilet use , stuff lid toilet flush . almost get sick . call front desk ask someone clean up . some one clean . also ask supervisor one show 's . supervisor manager even call I . my husband tired flight , would leave place . definitely would recommend place anyone . 
 Nov 21 2009 	 Great Location that s ! ! ! 	 stay Inn Chicago 8 night , well situated , room comfortable could water bag breakfast room restaurant hotel . travel way Scotland give room 4th floor look marriot hotel brick wall back view would ve nice . arrive reception greet staff time could not awkward rude try fellow guest obviously distress could not get card swipe treateed like criminal guest , think certainly would not put treatment , however daughter swipe card room would not work young spikey haired lad reception also look ? ? guest refer try exactly manage press button point lucky manager step in.not way want speak whilst vacation . T Bar ! ! like wind night family friend certainly can not bar open approx 5 pm close whatever time barperson decide night meeting friend travel kentucky happen 10 pm ? ? occasion , however Dan nice person admit part union do not expect serve within 15 - 20minutes someone else he d prefer chat to . wait 21years take son Chicago he s always massive Bulls fan dissapointed historic hotel . the hotel however perfectly locate porter definately nice helpfull staff nothing much thankgoodness someone seem care customer service . I do not usually rant unless I m mistreat know customer service hote , guesthouse publib bar dif town Scotland none staff except porter black lady behind reception would employ we even mean work 24hours day till someone else come alon . there plenty hotel Chicago whilst one central would give miss time aroundour kid 21 19 friend early 40 well agree plenty fun elsewhere . so sad great hotel history one seem care . long live union ? ? ? ? ( ) 
 Nov 18 2009 	 Love hotel ! 	 first time Chicago friend little uncertain hotel get . amazing . staff ( especially LaTonya Dan bartender ) could helpful . everything take care we , location perfect . value hotel far exceed other check . sad leave ! 
 Nov 16 2009 	 far away Best Customer Service ever ! ! ! ! 	 family decide meet Chicago weekend together . future brother - in - law decide propose sister hotel terrace . concierge LaTonya manager Alyn everything power ( include stay past work hour ) help we make amazing proposal ever . never experience help kindness hotel staff life . word can not even begin express wonderful thing we . addition , help dinner reservation , special touch , tour , etc . staff hand well there . the room simple , clean enough room comfortable . hotel cozy , family feel not ever plan stay anywhere else Chicago . will not disappoint . mention , rate absolutely unbeatable ! ! ! would recommend place anyone . 
 Nov 10 2009 	 convenient pleasant 	 get room around $ 72 night include taxis . location great , foot Michigan Avenue , convenient transportation , great place set walk . walk Art Institute quite easily . check good . arrive early room book , queen , available , nice clerk arrange we king room instead . room enormous stretch , enough room turn around maybe even dance tv bed . room corner , two window , main one overlook Michigan Avenue . I notice gradually upgrade room ( mezzanine stack box plasma tv , 22nd floor -- 17th -- noticeably fresher ) , unupgrade room fine . bathroom small , claustrophobic . whatever reason sink obviously recently replace one furniture - like model , handsome , way scale rest bathroom . request extra pillow towel fulfil cleaning staff without trouble . bar staff super nice . lavazza coffee shop lobby convenient although gelato mediocre . the crowd skew young . lobby try generally succeed hip modern . 
 Nov 5 2009 	 Value Location disappointing . 	 recently stay business trip . Lobby renovate appear boutique hotel , not true room . fade clean room . small bathroom counter shoddy worksmanship . change room odor carpet cleaning solution use hallway . free wi - fi lobby plus . front staff helpful friendly , overall disappointing . 
 Oct 26 2009 	 would definately stay ! 	 not stay Inn Chicago year , read negative comment little reluctant . glad book . front desk extremely friendly . surprisingly , manager come greet , welcome hotel , tell hesitate contact could anything make stay enjoyable . room roomy clean . negative mattress soft keep feel like roll center bed . hotel great location well maintain . will definately stay next time visit Chicago would hesitate recommend friend . 
 Oct 21 2009 	 complaining .... ? 	 wow - folk scare hotel try change hotel hour plane leave business trip Chicago . what huff puffing ? hand , hotel amazing location . staff friendly accomodate . ask room upgrade get Junior Suite - cute little & quot ; apartment & quot ; live room area , plasma tv , wet bar , bathroom , bedroom ( bed SUPER COZY ) . room clean , request additional toiletry grant smile . the reason would say room 4 due lack complimentary internet room . the lobby access free Wi - fi cozy little hang spot ( ' m actually lobby area write review wait shuttle airport ) .So - not listen negative review . be great location , fun hangout spot abundance , quick accomodate upgrade request . 
 Oct 17 2009 	 Great Location Good Prices ... 	 stay 3 night . location great , close Loop . stay standard room like compress , bath . door another room guess , luckily lock . air conditioner little bit noisy old . look luxury budget place close Loop , recommend Inn Chicago , Magnificent Mile . 
 Oct 12 2009 		 stay hotel september 9 16 . last night , pack , find iPod miss . go downstairs report 10 pm ask fill paper guy never identify beyond security guard copy form offer . one time security guy tell need file police report even phone desk go another office make call ( tell ) . promise give number report today , almost 4 week event still don´t it . I leave next morning 6 information issue next day . make less 8 call Mexico City order find maybe answer due follow week . another series call follow , , none hotel . eventually tell clean maid report se never see iPod . hotel , informed , responsability good guest . , planning go , keep mind . guess might case $ 20.00 per night place forget part country surely expect respectable business hotel Chicago Magnificent Mile . or maybe fact american live mexico . try follow upo claim like frustrating time consume end nothing happen all . in short , spend night advice carry valuable safe street room hotel take responsability . 
 Oct 6 2009 	 good value great location 	 stay hotel 6 night . pleased location quality , although book discount site pay 40 % original hotel price , probably think good deal . coffee shop downstair great cappucino , excellent service front desk , one block away Mag Mile . walk distance underground , Navy Pier . beautiful rooftop patio , despite sign , hotel staff not mind buy bevvie 7 - eleven across street bring upstairs patio . room quite small , bathroom , clean . clean staff bit loud morning , tendency ignore & quot ; disturb & quot ; door walk right - sure use chain lock ! ! elevator tiny may wait minute get floor , really issue . 
 oct 1 2009 	 not get picky ! 	 ' ve read negative - element truth . whole , however , think good place stay . previously stay renovation : place much well . staff friendly enough : not expect gush . sean behind desk deserve special mention : deal minor reservation glitch give we well discount ever expect , upgrade we corner room big bed . yes , bathroom tiny , though would not actually cause problem normal - sized person . do roof terrace close night ? yes , would chance watch sun set , pitch black . sign tell bring drink outside , view hotel bar price , none guest seem take notice ! bar expensive ? yes , hotel bar always . full oldie , scared venture ? well probably one oldie , collapse bar last nightcap wife friend & quot ; hit town & quot ; morning till night ! want picky , pay lot money stay well hotel : get picky ! probably cheap hotel Michigan Avenue . 
 Sep 27 2009 	 Great Location Reasonable Price Mediocre Service 	 stay 5 night mid - September . price fair ( $ 100 / night ) location great . easy walk distance Navy Pier , River North , Streeterville , etc . practically Magnificent Mile . close subway State Street . amenity ok . nice workout room good ample equipment . nice top - floor terrace good view ( although hour not great -- close 10 pm ) . one big drawback free WiFi room -- go lobby , usually fill guest thing . particularly bothersome could get WiFi reception hotel bar , foot away lobby . the room clean maid service good . tv old CRT picture little fuzzy . room small side , bathroom really tiny . could ' ve use 4 pillow instead 3 , plush instead feather . , room fine . the bar kind lame . patron middle - aged senior - aged guest hotel seem frightened venture outside . beer selection terrible ( need 12 domestic lager ? ) overprice . not try & quot ; signature cocktail , & quot ; ' m sure not miss much . bartender bit jerk , . hope see different bartender later stay , guy every night . the bell desk cool keeping bag we sightseeing last day check . bell staff helpful friendly , beyond duty . the front desk staff not terrible , seem aloof nonplussed work . first night , keycard somehow erase go front desk replace . staff not seem concerned apologetic inconvenience we . as food , nice tea / coffee shop across street , 24 hour dunkin ' donut ( ! ! ! ) , burrito place great . also , gay bar call & quot ; Second Story Bar & quot ; almost try read gay bar ( be straight couple -- nothing gay bar , scene ) .At night , creepy , lurk security guard give everyone sit lobby silent , dirty look . little odd . other reviewer complain noise proximity fire station . 14th floor not complaint . wall thin , however , rowdy frat boy neighbor last night stay there . overall , price location , hotel worth . be look well amenity ( e.g. , breakfast , free WiFi ) , might want stay somewhere pricier . decent hotel basically happy stay . 
 Sep 19 2009 	 right Magnificent Mile 	 three friend stay double - double room hotel one night . can not beat price location . room small , space use well , not feel like trip . two complaint would air conditioner bit noisy , not even think spend time room watch tv picture - quality terrible humming noise come . positive side , 22nd floor terrace really nice view . parking expensive , guess 's expect stay downtown . self - park instead valet pay $ 60 parking 9:30 a.m. 11:30 next morning . go night , trouble get taxi , plenty wait right front . 
 Sep 15 2009 	 can not beat location 	 title , can not beat location convenience also get pay . basic service hotel renovate , show 's age . bathroom renovate not understand put sink beside door -- - guess space tight , make . room musty smell since day sell , stay part . bed comfortable bedding nice clean , fabric desk chair stain well carpet . use flip flop not use chair . corridor also somewhat musty smell would think dehumidifi able take care . lobby spacious since pay internet Access room , everyone take advantage free internet lobby use lobby rather busy people laptop ( include ) .It toss - up whether would recommend hotel , decide could could not beat location , know be get 2 - 3 star property . 
