basic 	 hotel location , perfect . nothing bad hotel , clean , staff good quite quiet - room small bathroom decent size . basic never pretend anything else . good place majority trip explore city . round satisfactory . 
 Nov 23 2009 	 good budget choice SF tourist 	 always advise first - time visitor San Francisco stay Union Square area . always heart soul city , remain upscale desirable location out - of - towner . suggest map hotel be interested , number property advertise location & quot ; Union Square & quot ; actually 5 - 10 block away . downtown SF , even two block mean difference upscale ghetto . hotel receive high mark right bat heart Union Square , around corner Macy 's , Powell Street cable run past front door . although 100 - year - old property , would not know appearance guest room . owner recently complete major renovation , new paint , carpet , furniture fixture , eliminate every trace musty smell common old building , create warm relax environment . room small , doubt , perfectly adequate . majority traveler , especially use old hotel Europe , will not problem . suite fifth floor front , face street bedroom share wall elevator shaft , yet room extremely quiet . kid recommend family suite , one room two twin bed second bedroom back queen . room wall - mount flat screen tv 's phone . service hotel friendliest ' ve experience hotel San Francisco . complimentary breakfast decent cereal , toast , muffin , juice coffee . job , although fruit , maybe cereal option kid ( rather granola ) would nice . breakfast room light airy enjoy great view action Powell Street . overall , good choice budget travel city . location main selling point , hotel offer clean , quiet room friendly service affordable rate , would recommend even beat path . 
 Nov 14 2009 	 can not beat location 	 street powell st bart station block union square , location can not beat . room small view price right location . hotel get gold star cleanliness . 
 Nov 4 2009 	 Stratford Hotel 	 happy hotel 's location better right Union Square Cable Car line staff helpful although room small side perfectly adequate not go spend time hotel room clean buffet breakfast limit adequate set day extra cost hoping return wonderful City stay 
 Oct 23 2009 	 second stay - update early review 	 second stay Stratford , show like well enough stay . room seem get minor upgrade since last year . new LCD television wall . bathroom nicer one last year - ' m sure renovated , particular room . room hotel - layout vary accord location type room . one bathtub , last year 's shower . wish drawer - small closet , stuff leave suitcase . Hilton street twice price - want Hilton amenity , go . want clean comfortable place sleep good price , Stratford fill bill . hey Stratford - continental breakfast okay , stay day inn wide assortment pastry apple orange . surely well day Inn . 
 Oct 11 2009 	 convenient location clean quiet economical ! 	 first stay Stratford ( & amp ; SF ) would definitely book . location excellent , close Union Square , cable car , restaurant , shopping , theatre , MUNI BART ... could go on . the room small , expect check hotel 's website . clean modern great price .. manage find deal 5 night less $ 500 . 7th floor side building quiet , even window open night . much storage clothe , one small closet 3 small drawer . 5 hanger closet , ask twice , never arrive not spoil vacation ! staff friendly always efficient- depend duty . great restaurant recommendation young man front desk- know stuff ! inclusive breakfast basic ( coffee , muffin , cereal , toast ) room get busy 8am-9am , would grab coffee muffin go . plenty reasonably price diner close , want cook breakfast . they strict check - ins 3 pm , store bag go explore city get early , like . 
 Oct 11 2009 	 wonderful location would not stay . 	 stay 1 night head home . location hotel fantastic - probably less 30 second walk Union Square , couple minute cable car . give room 7th floor ( view ) room small could not actaully open door properly bed way . room bathroom pretty clean , look like quite recently decorate bland . ' m sure would like stay winter heater room consist 3 bar , tiny radiator heating bathroom . the hotel noisy , be able clearly hear people next room various alarm clock go time . room adjacent lift create lot noise - day & amp ; night . the bed pretty comfortable bed cover stain couple hole . the overall impression hotel youth hostel bathroom . overall , glad one night would not choose return hotel . 
 oct 8 2009 	 great experience good price 	 find hotel kayak.com good rate check review mostly good . SOOOOO happy hotel . moment walk door 1 am , staff welcome , friendly , helpful . reception area really small , room big either , nice . bed comfy , bathroom pretty big lot natural light , really enjoy . bathroom product Rusk , awesome . feel safe hotel , location could not beat catch major Muni BART line . , staff real gem . help find way around , make great suggestion place eat ( stay away ) , always minute talk . definitely knowledgeable local willing share . trip SF certainly well stay . 
 oct 8 2009 	 clean simple - perfect young couple 	 husband stay 4 night please overall consider price , pay $ 79 / night special going . location perfect , walk distance restaurant trolley stop , even make trek foot way Fisherman 's Wharf . room small clean nicely decorate , bathroom sink next bed fine . long 2 poeple room enough room . serve continental breakfast free well , granola , coffee toast , breakfast free want load tasty carb ! service friendly well . would definitely stay special price go ! 
 Oct 1 2009 	 many good thing say ... ! 	 can not say enough good thing little hotel . two girlfriend decide mini tour California wonderful place start . sure , 's luxury hotel also incredibly good value money . it be great location right Union Square brilliantly locate transport , right next tram stop near MUNI train take city airport . the staff friendly helpful recommend excellent local restaurant . ( try Godiva Chocolate cheesecake Cheesecake Factory top Macys next door hotel ! ) room clean , bright although basic , nice come back hard day sightseeing ! keep good work ! 
 Sep 25 2009 	 Perfect price 	 stay Stratford four night last week find hotel good value money . honest , price pay not really sure could expect . room clean , newly decorate spotlessly clean en - suite bathroom . bed comfortable hotel staff helpful . stayed & quot ; deluxe double / double & quot ; room 2 full sized bed . 3 adult staying room space little restrict little time spend room not much issue we . hotel great central location right next Union Square , get airport easy BART stop street . breakfast nice addition , although expectation realistic price pay , basic continental provision muffin , toast , coffee orange juice serve 's purpose well . side would fact hotel not air conditioning , time year San Francisco ' m sure not much problem . however , happen stay one week year SF experience heat wave ! find room get pretty hot night Powell Street main street noisy open window . address reception staff helpful try find we another room rear , need room 3 not possible ( room rear hotel small room ) issue resolve present we large portable fan room - help make room much bearable . speak people visit find problem many hotel SF week air conditioning really not generally necessity SF , not therefore criticism Stratford , merely point note . overall , good stay would certainly consider return . 
 Sep 24 2009 	 bad budget hotel 	 stay 4 night August . nothing complain . great location friendly staff . room bathroom clean , enough space 2 . might little bit noisy room Powell St. Breakfast good world still decent . would definitely go back . 
