Good 	 want place stay downtown Chicago reasonable price , Ohio House Motel perfect match purpose . 
 Nov 20 2009 	 basic accomodation free parking great location . 	 boyfriend stay last may come visit friend Navy . be not bad . clean locate right city ( excellent we , walk everywhere ) . alittle price , location unbeatable offer ( free ! ) ample parking . there s mcdonald right next door , onsite dinner / coffee house , great supermarket around corner . would reccomend hotel anyone look basic , frill , place pass night . 
 Oct 11 2009 	 Smack dab middle ! 	 fancy , frill ... need frugal room spend barely wink . ( spend time room Chicago ? ) everywhere went walk ; everywhere within 15 min . Desk staff helpful ask question . perfect people budget , want spend money elsewhere city ! mention ... free parking ! 
 Sep 24 2009 	 great cheap Stay ! 	 sister go Chicago whim weekend , get away everyday life . go Cultural Center , ask cheap place stay heart city , one option give we . LOVED stay . simple , cheap , right next everything would need fun Chicago . really nothing grand , 's really need . give place rest head , park car , worry anything fun , come . thank Ohio Motel making stay Chicago much well ! defiantly back ! 
 Sep 18 2009 	 noisy room safety concern 	 motel grind first floor . ground floor discover stay bedroom window unlocked . solo female traveller comfort neither two lock chain door . sleep little due feel unsafe due sound like generator /machinery think room . continue night . unable move elsewhere . please leave would hurry back . cheap compare many hotel etc area . may well male traveller group 
 Sep 2 2009 	 great bad 	 stay two night not sleep either . lot coming going round back blast steroe 2 am Monday morning not help . window shook not feel particuatly safe . the hotel basic , be clean enough not rustic charm other seem think . location , can not beat . central cheap free parking add bonus . would not go back , be budget place not bad could find . cafe attach next McDonalds feature Eagle Eye movie next door handy breakfast . 
 Jul 19 2009 	 Basic Room Awesome Value Close downtown 	 read many review place mixed feeling . book anyway . ' m glad ! room EXCELLENT value compare hotel . example , Best Western across street $ 270.00 per night . stay room 117 cost taxis 138.00 . room , clean , small amenity . room good bathing , sleep need . post image well . hotel right corner Ohio N. LaSalle St. Across LaSalle , 1/2 block enormous , two story , absolutely incredible , 2 - story McDonald ( breakfast ) free WiFi , Blues / Jazz Music , lounge upstairs , amazing view . McD 's open 24 hour seem cause problem McD far away , across major 4 lane street , 1/2 way block surround tree never bother . get to visit place even 's cup coffee -- well worh visit . across street - photo show room window , restaurant / bar . folk forum complain noise experience none . maybe Kansas use absolute quite might somewhat noisy hear nothing live wooden suburbia . absolutely noise . check room image . like say , be sleep , extremely clean must say . bed kinda soft , hard explain problem . check image feel free contact . oh , go , two block away Gino 's Deep Dish Pizza - Chicago Original since 1966 . front desk recommend ' m glad go ! absolutely delicious plenty food . 
 Jul 7 2009 	 Vintage jem heart windy city 	 husband stay Ohio House Motel May meet friend Chicago Cubs game mini college reunion . many way get pay Ohio House , be clean , basic . towel somewhat scratchy , furnishing somewhat date , though prefer think vintage . stay Ohio House little like step back time day family travel Route 66 vacation . say , will not find well deal downtown Chicago . parking free , huge plus husband parking city expensive . staff helpful , restaurant amazing ( cheap ! ) breakfast , really hit spot long night . 
 Apr 25 2009 	 Cheapest could find city . free parking good location . 	 good enough need . not want anything fancy overprice . stay 7 night problem . great fine , never see bug . people street car horn get annoying though . 
 Feb 23 2009 	 exactly need be stay downtown 	 ticket House Blues one night instead pay much something really not need find place . honestly be stay directly downtown Chi - town really need besides bed free parking . room good shape , pretty much bed dresser . bathroom apparently clean enough one friend went get drunk pass bathing . all good little find , everything downtown walking distance . make sure go walk downtown late night watch rat size dog play street . 
 Feb 13 2009 	 location location location ! 	 basic budget hotel fantastic location access bar , cafe , shop , etc . large room friendly staff bargain not mind lil extras like coffee maker , shampoo etc . 
 Dec 23 2008 	 bug ! ! 	 good location . room small . get to pay internet access . bad get bite bed bug ! ! ! never go back ! 
 Dec 1 2008 	 Flea Bag motel 	 oh geez , begin ? good thing say great location . place bad every way . first furnishing literally garbage . table lamp room black electrical tape wrap around center . box springs spring protrude stain they . some kind red stain carpet , wallpaper come wall . be not bad enough people room next door animal fight screamed night untill 3 morning . of course be not go sleep anyway , bed ready junk heap . expect place clean maybe little dated review read MUCH worse . folk worth buck save . go priceline get room Hilton $ 35.00 . place DUMP ! ! ! 
 Oct 14 2008 	 Great Motel downtown Chicago 	 stay motel 2 girlfriend love . first pull little nervous . went call Best Western across street $ 180 Ohio House $ 120 not really look well Ohio House . run lady leave room tell we stay room good clean . even let we look happy . stay weekend happy stay . room fancy clean can not say enough location close Michigan Ave 5 block quick 5 - 10 minute walk one train station one street Grand , close . friend we book Michigan ave Congress way Michigan , long walk , $ 100 . bed great shower nice hot . sport bar across street little loud Friday Saturday night around 2 - 3 although one friend awakenend noise two we sleep fine not hear thing . say not loud able get right back sleep . big deal heart city hear horn anyway . Believe be city not know would waste lot money pay room be go change , shower sleep , be much see hang motel room . anyway staff great . could not ask anything well , friendly nice . one night 12 am could not get cable work old night deskman come get work we , super nice man . really happy way enter room . different section , B , C , etc use key enter hallway 's downstair 4 room upstairs 4 room 's great cause 's really safe door room opening outside like picture wewbsite look like . 's worth stay location price . definitely staying come back Chicago . 
 Oct 9 2008 	 Location cheap free parking clean enough . 	 Location north river , great accessibility central part town . free parking staying , valet cost , amazing location . cheap place stay . room basic wifi cost little extra . room clean enough quaint decorative item room . would call old , like see eccetric.if Chicago strict budget keep motel number mind . save money hotel central location . highly recommend . 
 Oct 1 2008 	 enjoy stay 	 stay motel whole week meeting downtown . book motel little bit worried not chain - motel review report noise . ask advance quite room second floor . get surprised see nice clean motel , good maintenance , comfortable room renovate bathroom . desk clerk professional kind . location good , walk distance downtown attraction . surround lot restaurant fast food place . make short- content selection motel offer good value price . 
 Sep 21 2008 	 gem 	 fabulous find . book strength reviews Trip Advisor disappoint . this place real gem budget price . can not go wrong . we state 2 week drive Rochester , MN Chic . parking free huge bonus downtown Chic . love location . everything within walk distance abundance restaurant around . ask receptionist recommend traditional Chicago pizza place . will not disappoint . shock . portion huge ! 
 Sep 17 2008 	 Great Motel ! 	 recommend place ! boyfriend stay 5 night great time . nice clean room clean bathroom ! nightclub otherside road bit noisy ! 
 Aug 19 2008 	 great deal 	 ' ve stay Ohio House motel twice . really love place . be clean , be no - frill , need ? location excellent ( although surround sport bar , yes , bind yahoo ) .It delightful little wisp diner ( 10 stool 5 booth maybe ? ) excellent french toast . people work office helpful . I say , might enjoy stay year little less last year- air conditioning year not seem magical last year be redo room getting rid 1960 's furniture will admit , really charm last year . 's replace pine board . 
 Jun 18 2008 	 worth ! 	 stay Ohio House Motel two time . thought find reasonably price clean motel free parking within walk distance nice restaurant Michigan Avenue . this last time turn fill problem . # 1 . weekend , bar across street full drunk people sit outside good weather talk loudly night ( last time check 3 a.m. ) . extremely noisy . # 2 . television stick Spanish . fail adjust , clerk pull something back fix it . # 3 . right pay , clerk immobilize room key , go back desk get remain item room . # 4 . sure LOOK behind CURTAINS check . make sure window lock . shortly midnight , wake start see hand REACHING ROOM ! scream hand go away . make think Bates Motel movie , Psycho . live rest life without ever want repeat experience ! # 5 . shampoo amenity . flat pillow thin sheet . clean ? look bed ! 
 May 8 2008 	 10th anniversary night ! ! ! will back ! 	 5/2/08Hubby meet city celebrate 10th anniversary . get ticket see Sweeney Todd Cadillac Palace Theater ( fantastic , way ! ) dinner Italian Village go show . figured would want relax evening dinner theater , hubby assign task find place stay . , stay large hotel downtown one time another . work Time Life build decade . Chicago lovely old new hotel . many cookie cutter , still other standout . recent renew loop convert old sky scrape boutique hotel fantastic ... old 2 lane highway variety lodging ? reliable mom pop motel room snappy clean sheet , postcard desk drawer , good water pressure , flicker television keep company ... comfy diner within walk distance could provide tasty breakfast cup joe get way ! look Ohio House ! will not cost king ransom either ! wonderful evening great night sleep ! pleasantly suprise lovely little room stay ( think 206 ) . definately stay Ohio House . parking free secure . desk man nice ( early ... problem ! ) . housekeeper friendly great job keep room clean . able walk theater motel . relax romantic evening ! way ... reviewer complain noise must prairie long ! downtown Chicago . know ... Frank sing ? Al Capone use rule street dismay law delight masse ! Dillenger ? probably noise regret hearing & quot ; BANG & quot ; outside Biograph . cub not anything 100 year ! Chicago bind make little noise , do not think ? trying say bother noise stay . window open night not hear thing . ' m city dweller either ... raise farm live small quiet town . thank Ohio House ! 
 Dec 8 2007 	 Great Budget Accomodation heart city 	 stay Ohio House last weekend three day stay Chicago . fairly expensive city , budget accomodation something need Ohio House provide . the Ohio House locate close heart city ( block back Michigan Avenue ) . room small average size ; bathroom average hotel size , 60 's style appearence decor . people tend assume budget accomodation expensive city mean hygiene problem , however Ohio House , find , extremely clean ( 5 star department ) . Motel also small coffee house breakfast one day . nice , 1960 's style interesting . Chicago full delicious resturant cafe though - personal recommendation little french style cafe ' Cosi ' , block back Michigan Avenue ) . Ohio House also directly across road large McDonald 's ( would go way Chicago eat McDonald 's ! ) one issue Ohio House noise street night . Ohio House clean , comfortable stay anyone wish take budget holiday Chicago - beautiful city . personally , would stay look budget accomodation - available fund , would probably choose stay one large hotel City . 
 Nov 17 2007 	 Perfect need ! 	 Ohio House Motel inexpensive oasis middle expensive city . want stay middle city , close enough walk major attraction , restaurant bar . Ohio House perfect ! several eatery immediate vicinity Ohio House great . sit drool memory eat Chicago 's deep dish pizza speak ! ! Mag mile easy 10 minute walk , find problem get around foot . furth walk Soldier Stadium , around 40 minute away . accomodation basic , clean . - decent motel smack bang middle big city . House keep really good job day , would look forward comfortable bed long day explore really nice city . stay 7 day , thing would liked access period time small refridgerator . air conditioning work well , shower always hot , people car need stay city , perfect parking lot front property . motel staff always nice helpful enough , without overly friendly personal . stay hotel 29th June - 7th July 2007 , able go Taste Chicago , experience 3rd,4th , 5th July firework . great time visit ! couple small note - room right next major street , night mcdonald next door , night club across road . do not really bother we , problem sleep , light sleeper may issue . People use large hotel city room far entrance building passersby , may appreciate people able walk right room street . though two security lock door we outside , never feel unsafe uneasy time . also , check large sport store ( Sports Authority ) next door motel . great bargain basement , seven story sport good , boyfriend heaven . think people overseas especially appreciate huge store , know do not anything like home ! stay hotel 29th June - 7th July 2007 , able go Taste Chicago , experience 3rd,4th , 5th July firework . great time visit ! would happy stay , ever get chance visit great city another time . 
 Nov 5 2007 	 Great Location cheap free parking clean 	 would definitely stay next time go Chicago ! ! ! yes , be old , outdated inside , clean , room spacious . location walking distance everything ! ! ! ! go weekend see & quot ; Jersey Boys & quot ; could even walk theatre . walk Mag . mile , loop , ... parking free , car right , need something car , not need find parking garage . negative , noisy night , hear everything go outside , bed comfortable , get enough sleep . stay . hotel across street double price . try , be worth , plan see Chicago , justwant sleep shower ! ! ! ! ! ! ! 
 oct 9 2007 	 great value 	 need bare mind motel pay $ 100 ( £ 50 ) night stay central Chicago . yes , basic motel experience , be clean , secure , cable 's £ 50 night ! 's subway station 5 minute walk away world 's big McDonalds opposite . whatever may think McDonalds , least mean taxi know exactly be stay ! be budget like 's definitely place stay . try get room face courtyard back room noisy . be Chicago , take boat tour , yes 's touristy will get amazing photo opportunity ! 
 Oct 2 2007 	 Excellent budget accommodation 	 stay 5 night Sept 07 . room clean bed really comfortable . shower great , plumbing bit erratic . room face alleyway back , early morning garbage truck bit noisy . friend 's room face parking lot , much quieter , might well request one room . diner attached motel fantastic - great breakfast terrific value , lady owner real sweetheart . the location could well , public transport within couple block , plenty great bar restaurant within walking distance . wi - fi ( pay ) also bit hit miss - work room , work ok friend 's . , great choice budget , want close loop . would stay . 
 Sep 9 2007 	 great value super local ! 	 stay property back mid July couple night . trip Chicago bday present super tight budget come hotel . see hotel back Feb previous trip decide check . man glad cause rate room worth . admit weekend noise club across street much room need new furnishing room clean bed bad two thing look . public transport couple block away Portillos . next time Chicago want stay downtown give hotel another shot price alone . 
 Jul 19 2007 	 Average room Good Location 	 boyfriend & amp ; stay motel 2 night June . find average quality , good location , close city centre & amp ; transport . take 40 minute get Chicago - Miday Airport motel , via l - train . car park guest , & amp ; motel across road large McDonald 's USA . many restaurant , club & amp ; bar close vicinity , Magnificent Mile & amp ; shop generally 15 - minute walk away . room fairly spacious funny smell . need rennovation really , general definitely passable central city motel . shower pretty good , plenty hot water . also HBO , think . not stay look hotel - class accommodation - end get pay , motel satisfactory . stay room close road ( motel near large intersection ) not bother traffic noise . wi - fi motel , & amp ; proprieter let we leave luggage check , nice - gentleman meet really helpful & amp ; friendly . neighbourhood not seem safe , not scary either . the real downside delivery truck keep parking alleyway next room early hour morning , would create quite racket - might well request room away street / alleyway light sleeper . breakfast served & amp ; cafe corner really worth ( be small , dingy & amp ; greasy - good way ) , save penny & amp ; venture afield something lot nice . supermarket far away well , budget . Giordano 's deep dish pizza ( Pizzeria Uno , & amp ; Gino 's ) die ( & amp ; far away ) be worried waistline ! overall , hotel little shabby around edge certainly scratch value - wise . enjoy stay ! 
 Mar 22 2007 	 good price town expect discomfort 	 stay hotel together girlfriend weekend trip Chicago . hotel probably cheap accomendation downtown Chicago expect discomfort go . room bed okay window pretty thin ( compare typical situation Germany ) hear pretty much everything be go outside . window towards back side huge department store noisy fan run night long . besides hear lot big crossing next hotel , people Chicago really like use horn . side free parking hotel downtown 200 buck ... enjoy stay , Markus 
 Oct 22 2006 	 great locale good price 	 amazing spot ! Chicago last stop 5 week tour US motel could not well locate . little slice history quite adequate price . clean , safe central free parking . ejoye stay . 's Ritz would not find well locate hostel price . really do not knowwhat people expect - 's MOTEL ! ! ! 
 Feb 17 2006 	 's right middle everything 	 hotel fairly mediocre , itis right middle everything ! ESPN Cafe , Rock Roll McDonalds , Hard Rock , Pizza Unos 's close by . Miracle Mile State Street afew block away . one night get intotown late stay realdive , Tokyo House . YeecH ! Thisplace nowhere near bad , nice little din next door , wella free parking . compare thebest Western across street istwice expensive . excellent studenttraveler other budget . 
 Jan 23 2006 	 another nice stay 	 stay several time past town weekend ( jan 21 - 23 ) go work indianapolis 5 week . get to love free parking close proximity everything chicago . motel past prime , wireless internet room . loud get room side main road ; ask room backside . 
 Jan 8 2006 	 get pay 	 $ 85 / night queen room plus free parking attach lot pretty much unheard anywhere city limit Chicago . , little suspicious going . keep expectation low end satisfied got . price , knew not go lavish decor plush linen . room spartan no - frill , clean adequately sized . bathroom small bar soap toiletry , prepared bring . be light sleeper , may place stay . street traffic hear hour , well bass beat music play club across street . bring travel fan help drown lot extraneous noise late night . for location price , Ohio House hard beat . realistic expectation remember get pay . 
 Nov 17 2005 	 weird little place awesome staff 	 would surprised find place like downtown Chicago . website feature Travelocity like ( far know ) . find Lonely Planet Chicago budget section fail miserably book place Chicago Marathon . everything book 4 month advanced , except $ 400 luxury suite . place still cost $ 89 , would buy decent room day day Marathon ( think price much low rest time ) .anyway , say & quot ; Motel & quot ; , motel . straight ' 50 . retro - theme , truly retro , like sort thing , go . still completely sure gadget remind old record player / radio ( not record player ) corner , artifact like cease exist least 5 year ago . place really wear , remodel bathroom . sheet blanket must bed generation . clean , although still look kind sketchy , kind place would feature noir film . customer service excellent ! gentleman help we check , one pleasant people ' ve ever meet reason not hate motel . can not hate place wonderful people work . also need help next day day shift woman also great . I would recommend motel people tight budget not care frill . 
 Aug 19 2005 	 Expect 	 girlfriend stay weekend see Bears game . want fancy hotel pay money stay one . ok room cheap price , . area nice ... problem local . within walking distance downtown Chicago offer . room ok .. except adult magazine McDonalds garbage leave one drawer . bug can not beat free onsite parking . would stay . 
 Jun 26 2005 	 Slum motel ? 	 90 degree outside , 95 degree inside ! even so - call air conditioner ! room apparently one available . end room two twin bed wheel w/ dirty sheet . lean inward head bed much low bottom . choice tho hotel book late . plan weekend stay one night stay cancel rest weekend becauseI refuse stay another sleepless , excruciatingly hot night . third Cold shower cool realize also supply normal bathroom amentitie ( soap , shampoo , etc . ) complain suppose manager heat room , blatantly order 80 something year old housekeeping woman & quot ; look & quot ; , ( ........ puhlease .......... ) response look exclaim ...... & quot ; thank god even air conditioning room , people can not afford air conditioning . & quot ; humiliate , turn walk away disgust . my advice ... ? afraid , afraid . 
 Jun 12 2005 	 satisfactory great price 	 stay four night May . comfortable room , plenty space , clean , everything work . problem noise night . helpful courteous staff . would confidently recommend normal tourist . good value ' $ 89 plus tax . 
 May 29 2005 	 Perfect ( Thrifty ) Night Owls 	 car want stay downtown , Ohio House may good choice . factor budget hotel charge parking , Ohio House cheap ( respectable ) lodge place downtown . plus look window actually see vehicle parking lot . not like idea car public garage , sight , situation cheap hotel . problem OH noise . stay room office -- -the quiet motel -- -but still kind noisy . car stereo problem -- -- Ohio & amp ; LaSalle busy intersection . ( guy think put subwoofer car stereo ought time prison crime humanity . ) traffic not die 1:00 . quiet night -- -the disco across street close . room clean , standard budget motel , fairly spacious . 
 Dec 3 2004 	 never 	 visit Chicago day , decide spend night . try get several motel luck ( available room , need credit card ) Ohio house give we room , single dirty room two bed $ 130.00 . also plan sleep , not forget ear plugs sorry ! ! dance club across street close 5 . also constant honk taxi cab night long awful . however grateful do not sleep car . 
 Aug 26 2004 	 amazing ! ! ! 	 wow ! ! ! simply will not find well deal Chicago . reasonable fare ( $ 100 / night , even taxis ) get fantastic location , safe environment , clean reasonably sized room , cheap food diner . able walk Sears Tower room ( grant , quite stroll , still . ) pretty accessible subway . parking free ! zero complaint Ohio House . none . end back Chicago will first place call ... chain not try put tower top . 
 Aug 24 2004 	 Great Price 	 's year since ' ve stay Ohio House , great time Chicago . recommend place several people since . room bathroom little date , clean & amp ; BUGS ! ! . people go Chicago City offer , hotel room really sleep shower . spend big dollar room maybe 6 - 8 hour ? mention free parking , right outside door . give try will not regret . do not forget go Coffee Shop breakfast . 
 Jul 28 2004 	 great price great location 	 stay July 20 - 25 2004 , place look retro little cafe look like 1960 's . room clean spacious , cafe cheap standard diner . major attraction downtown within walking distance , bus wrigley Field 2 block away , hard rock Cafe 1 block , Spot Trump 's new building 1 mile away . rock roll McDonald 's across street rebuild open 2005 . free Trolley Navy Pier 2 block away . area really clean see hustler , hooker drug dealer . hotel area start $ 135.00great value , great location , can not believe chain buy place . free parking plus hotel area charge parking addition expensive room . pool beach two mile away . 
 Jul 6 2004 	 work ! 	 grant , quirky quaint ; plain plush . Ohio House great value . location awesome , can not beat price , park right front door , usually room available . may grand , clean stay often ! 
 Nov 14 2003 	 Super stay ! 	 stay room check - in office one full wall window - great ! clean , bright , comfortable . nothing fancy - but perfect budgeting traveller . free parking bonus - Ohio Hose cafe good cheap breakfast . stay anytime go Chicago . 
 Sep 24 2003 	 good location price 	 hand good location Chicago price . place stay go Chicago budget . room basic nothing fancy always clean , especially bathroom . never bother transient prostitute . busy corner always feel sazfe . free off - street parking also huge plus . 
 Jul 22 2003 	 can not beat price 	 Straight 70 's . nothing fancy , nothing extra . clean not see bug prostitue . location price , can not beat . : ) 
 Jun 24 2003 	 can not beat ... 	 stay Ohio House back ' 80 's ' around $ 50 / night want go 6/03 afraid pricing would . pay $ 89 / night busy Chicago weekend ... hotel DIRECTLY across street block ask $ 125+/night . watch hour tv crash ... take shower next morning leave . can not see pay lap luxury hotel many place thing ! room clean unlike Motel 6 get choice shower bath ! going stay Ohio House anytime go one day stay . 
 Mar 30 2003 	 Bed Bathroom 	 basic , frill motel free parking lot outside motel . interesting variety customer . Good & amp ; fast food adjacent coffee shop ... find open seat ! ! 
 Feb 7 2003 	 's great 	 good place stay Chicago price . location greatest . clean else Chicago free parking ? ! 
 Nov 11 2002 	 decent place decent price 	 ' ve stay Ohio House time past year . 's decent place decent price , free parking . be pretty clean , furniture not brand new , be really close good spot , 's & quot ; good & quot ; side . 's little noisy night , HEY - 'S downtown . block far side motel Michigan Ave seem bit dicey , 's really reason go night , anyway . not see hooker , honest , not look , either . want Hilton , stay Hilton . get ready pay $ 140 night , plus $ 30 parking daily . want decent price great location , relatively good place . also convenient little b - fast place good ( though health conscious ) food . enough bang buck weekend , anyway . 
 Sep 21 2002 	 Honda Hotel 	 HOLE . service stink room . recommend sleep car . 
 Aug 27 2002 	 Ohio House 	 husband stay Ohio house week long honeymoon . stay one suite coffee shop . clean , kitchenette everything . joy service , delicious breakfast everyday coffee shop . be also close every attraction city . love Ohio House stay every year anniversary ! P.S . not see vagrant prostitute either ! 
 May 16 2002 	 least be bug 	 yeah , be Hyatt , be cheap , convenient always seem room . 
 Jan 18 2002 	 dump ! 	 go anywhere else , unless want surround transient prostitute . 
 oct 22 2009 	 Sorprende 
 Nov 23 2008 	 posizione eccezionale 
 Aug 26 2007 	 essenziale posizione eccezionale 
