wow 	 great hotel ! stay wife one night , get great deal hotel . amazing location , great staff . bed amazing pool gym also stack many machine great view work . hotel staff helpful , wife forget pair jean mail back we free . ' ve never see much effort staff . can not wait stay . 
 Nov 22 2009 	 nice room great bathroom perfect location price 	 lovely hotel perfect location . superb bathroom . great view river view room . friendly service . but pay ! 
 Nov 15 2009 	 Top Notch ! 	 everything Trump Chicago stellar . Bell Desk , Conceirge , room service , housekeeping . make effort address patron name eager please make one 's stay comfortable . spa fabulous well . special commendation Conceirge desk make reservation without hitch . highly , highly recommend hotel next visit Windy City . 
 Nov 14 2009 	 GREAT HOTEL CONCIERGE CLUELESS 	 stay November 2009 , Hotel FANTASTIC , room spacious , clean well eqippe . restaurant fine , little pricey . enjoy Mile , staff friendly helpful except conceirge . ask Dinner recommendation , say wait minute let find something . step away return 20 minute later walk door . literally shout & quot ; HEY & quot ; we wave group paper we . say never mind give . mumble something unintelligible help another guest . not mind wait , 20 minute -- come ! ! ! overall would definitely stay would reccomend associate . well do Mr. Trump . 
 Nov 7 2009 	 get well ! 	 stay Trump Tower Christmas last year apology late review get near festive season child remind wonderful christmas ever ! travel Ireland ( sister live Chicago ) lucky stay two bed suite fantastic view ! give time year amount snow magical . like private penthouse . believe well 2000sq ft . space , quality furnishing , bed linen , sound system .. hotel five star experience ! Christmas Day live reindeer outside restaurant ! ! ( true american style ! ) use gym pool faciitie every day top notch . wonderful hotel stay young teenage child . great location shop ESPN sport bar kid love . Chicago GREAT cityIf stay yet .. go ! ! love ! 
 Nov 6 2009 	 Awesome view city / Navy Pier Fireworks 	 first trip back city first stay hotel . impressed one bedroom suite find room spacious , great view firework Navy Pier room . separate bath front entry room also walk shower . great service staff assistance thing exceptional . would definitely stay . concierge make dinner reservation one favorite restaurant - italian VIllage treat brushetta appetizer Jay concierge hotel recommendation concierge keefer - good steak chicken . can not wait return . 
 Nov 5 2009 	 Great Service sadly require often . 	 really want like hotel much like awesome sky scraper . however come away really like much hope would . book adjoining room surprisingly thin door could hear every word , cellphone conversation , music alot etc ... night long right thin door . check room one show work complicate light nice dimmer call maintenence come put bulb burn explain work , cost precious time . long midnight could long tolerate conversation adjoe door situation , be surprisingly little sound barrier , service quickly respond move another room . move second Spa Suite room find air machine loud would expect find interstate hightway motel tell due sort purification system- hotel not seem need anyway . maintenence able turn loud air system remote , take time secure first allow maintenence worker room , etc ... top desk staff explain leave Bose Wave Radios unoccupied room staff know room unoccupie . night long could feel thump bass hear music right wall annoying ! many thing seem overly complicated hotel , shower health spa require read glass program computer run , tv 's high tech take forever change channel , espresso maker nice require read manual figure . restaurant beautiful , like whole hotel , pretty cool cold , spare , elegant decor . service great , food good . health spa also pretty nice , could lift heavy weight cardio alot equipment incline . health club pool nice view , super clean nice . massage extremely excellent manicure / pedicure worst ever re - do next day . stay hotel part shopping residence Chicago , even scheduling look residence build complicated need . lobby life Trump . small sofa chair , social place . lounge , Rebar , upstairs socialize area open evening posh like rest place , seem offer much sense friendliness solo traveller . total , Trump like man come complicated , egotistical , sophisticated , high tech , strive greatness . perhaps good thing stay hotel aim good Trump obviously try really care experience work make right trump . grateful assistance , though wish not need . 
 Nov 5 2009 	 gorgeous room great service 	 stay boyfriend last weekend fabulous time . room impressive . modern small kitchen area . bathroom spacious , separate tub shower area , mirror sink TV . view city gorgeous love turn - down service . get back room night , light dim , soft music playing , bed turn , tv show aquarium scene . service great . overall relax luxurious experience . restaurant pretty good location perfect walk Michigan Ave . shopping . 
 Oct 25 2009 	 wonderful staff fantasitc service 	 Greetings Saudi Arabia . my wife Chicago ( Oct 2nd – Oct 19th ) Business ( ) pleasure ( ) decide stay Trump Hotel Chicago truly surprise experience . come high expectation , meet much surpass many instance . hotel beautiful design layout ( however love design bathroom , especially position toilet within bit let class facility ) . hotel overall room particular excellent condition , always clean neat . really enjoy think make experience standout staff . housekeeping , Bellmen , Reception staff especially concierge job exceptionally well . would like point member concierge team particular believe name Kathelena super assist we especially wife lot question ask daily basis . stay many 5 star hotel couple 6 7 Star hotel well . truly great hotel . especially get good price . ( believe rack rate bit high . relative hotel Chicago not make seem bad ) look forward next stay Trump Chicago . 
 oct 22 2009 	 's little thing make good 	 stay Trump 5 night mid - July . see build still construction year prior eye set stay next visit Chicago . lucky find reasonable rate Hotels.com . location good get : short walk blue line come airport equally close couple subway line . river right , Michigan Avenue around corner . Art Institute , Millenium Park , Field Museum within easy walk distance . while surprised tight check - in area , staff behind desk courteous efficient . ( ship luggage beforehand happy see charge receiving , whereas pay $ 20 shipping small package Swissotel year . ) staff everywhere hotel super nice , without attitude , always available . Brunch Sunday expensive sumptuous get bad vibe still hang two hour , enjoy view , read Sunday NYT , yet another nibble huge assortment food . the room superb : spacious , fabulous bed immaculate linen , impressive floor ceiling window , big bathroom , overall quiet place . highl recommend search good rate indulge 5 - star experience . 
 Oct 17 2009 	 simply well 	 not stay lot really top end hotel . 's mostly Hiltons etc . however , ' ve stay Drake Chicago , St. Francis San Francisco , four season Atlanta Ritz Pasadena . experience nothing compare Trump . the hotel expect . footprint small 's grand entrance . however , room nicely appoint - honestly say never feel sheet like . location - block Michigan - fantastic . however , make Trump much well anywhere else service . exception St. Francis ( awful ) top hotel like list always great service . however , trump class rest . stay two night . every single time encounter hotel staffer open , friendly helpful . phone friend , chew gum act like clerk use see Hilton class hotel . go gift shop one morning , foot enter doorway girl behind counter say & quot ; go cell phone & quot ; closed walk see could help . time enter leave hotel bellstaff first class . time call assistance whatever phone answer immediately whatever needed do instantly . call order breakfast - fast , exactly right tasty . ' m say not well hotel somewhere world . ' m sure super rich stay place dream . however , super rich not bother Trip Advisor . site people not always get pamper . , we not travel Gulfstream , simply imagine hotel could better trump . get chance - stay . 
