great 	 look around internet find package deal hotel ~ $ 200 4 night stay 3 night 6 free buffet . stay monorail end place end nice offering every table game want , never leave ! 
 absolutely stunning 	 Hilton Grand Vacation Club Las Vegas Strip 2650 Las Vegas Blvd . absolutely breathtaking . stay 4 night 5 day . hotel strip 10 - 15 minute car drive center strip , depend traffic , course . hotel walk distance Sahara , Riviera , Circus - Circus , Stratosphere hotel . would recommend walk heart strip hotel . ' far . the deuce bus take strip unlimited times $ 7 day simply rental car work well . monorail pick across street Sahara Hotel . station locate back hotel casino . they build humongous hotel ( Vdara Hotel Spa ) mall across street may take complete . handy CVS locate right next door McDonalds , Subway , Nathan ' Pizza locate Circus - Cirucs Hotel . Parking- parking structure short trek back hotel $ 5 ( $ 13 day ) valet parking relax hotel lobby car arrive . regular parking $ 8 per day . Bathroom- Kohler toilet sink elegant baltic green granite countertop tile shower plenty room 2 . stay Tower 2 slightly new tower tower 1 . find difference 2 tower tower 1 jet tub bathroom tower 2 soaker tub balcony . Kitchen- well design raise full outlay , cherry kitchen cabinet rich , elegant light - colored baltic green granite countertop . full kitchen full size refrigerator , oven , microwave , washer/ dryer combo , dishwasher , coffee maker , blender , toaster standard . , Kohler kitchen sink appliance make Cuisinart . room- 1 - bedroom suite separate king - size bed , connect bathroom via slide door . bed extremely comfortable room large tv , lounge chair , full size mirror attach back door . live room- comfortable sofa lounge chair flat screen tv . sofa double full size bed also comfortable kid adult too . dine room- beautiful glass table 4 chair . Desk- laptop nook also nice high speed internet suppose complimentary simply suck . never really get strong connection never could surf internet . even bring ethernet cable nothing . girl front desk tell work add datum port also agree high - speed wireless internet great . there big 24 - hour fitness gym free weight , treadmill elliptical . also 24 - hour game room pool table , big screen tv , table tennis . also starbuck coffee shop small convenience store first floor 
 Nov 22 2009 	 Hilton Grand Vacation Resort 	 Suites fit washer / dryer , dishwasher , coffee maker , fridge / freezer kitchen appliance . separate bath shower , 2 tv lounge area . casino quiet return end hectic day strip . 
 Nov 18 2009 	 like fancy 	 stay several time past year . new property part Hilton Grand Vacations group . room clean & amp ; super comfortable . nice exercise room game room . pool area , though large mega resort strip , beautifully landscape large enough number guest . place attract tractor - pull goober large hotel strip . another rarity vegas staff actually treat value guest . price usually less $ 100/ night worth it . there caveat depend upon look : completely non - smokingno CasinoParking $ 8/ dayNorth end strip , close casino Sahara across street . end strip pretty rough shady looking folk mill street front property . 
 Nov 17 2009 	 Loved ! 	 owner HGV reside California . ( worth mention , hotel motel . timeshare resort not expect room service turn service amenity big hotel offer ) staff : excellent ! driving , check speedy , concierge , maintenance , housekeeping . seem appreciate we stay . room perfect . miss remote one tv be promptly bring another one . thermostat room . be huge plus . kitchen 's ( ) well stock need ready we cook . like home . Blender , full size coffee pot , refrigerator , dish washer even tea pot include . okay , bed 's firm back , still comfortable . price deli high stuff grocery store price . much mark up . parking guard feel SUV secure . ( SUV break twice Las Vegas ! Rio Venetian 's parking lot . ) note : Suburban 's # 1 vehicle break LV . 's police tell anyway . oh yeah , long walk strip , size jacuzzi tub big plus ! shower full body nozzle 's well . nice . we will back . 
 Nov 16 2009 	 Great Experience Quiet place stay Las Vegas 	 stay Thursday - Sunday & amp ; thoroughly enjoy . one - bedroom suite . place immaculate ! get , bell person turn light , A / C & amp ; fridge . even check closet & amp ; send maintenance repair closet door track . kitchen everything - even stack washer & amp ; dryer . like place 's smoking lobby unlike casino smell like smoke second walk ! 's pricey deli first floor buy whole medium pizza not bad ( around $ 15- $ 17 ) . perfect place family young child , sure party crowd . action seem take place south side strip ! ! ! 
 Nov 7 2009 	 Tale two tower 	 's true -- room hotel great , would expect plush timeshare / hotel -- free wi - fi , ( expensive ) deli , poolside restaurant , great fitness facility . even allow check - in early ( 10 am . ) however , location truly main drawback . if wish go Las Vegas stay hotel day gamble , shop , anything , perfect hotel . need car enough cash take taxi everywhere . casino nearby old sad , quite walk . fountainebleau across street mere shell building / abandon construction site -- view want , view parking garage North Strip great either . ' m also sure charge park everyone else strip . 9 - day trip , end move room 3 time ( problem room , mostly get high floor hear noise traffic / construction low floor ) . tower two new tower -- room ( size , decor , amenity ) except flat screen tv . also , people familiar HGVC Las Vegas property know overall size room small Las Vegas HGVC property studio room whirlpool . lastly , entire stay , second pool commission . 
 Nov 3 2009 	 great room location great 	 new three HGVC resort Las Vegas Strip . room great - studio similar standard Hilton hotel room , small kitchenette - fridge , microwave , coffee maker . suit large living room adequately stock kitchen . bed , linen , furnishing etc . great - complaint . overprice deli onsite ground floor . also CVS pharmacy next door 's open 24 hour convenient . casino smoking hotel - nice come home spending time smoky loud casino / hotel . reason keep give 5 star location - 's sad old end strip - nearby casino Circus Circus , Riviera , Sahara , .......... wish close end center strip nice casino great restaurant . 
 Nov 3 2009 	 Good Stay 	 like apartment like nature room . two room suite big bathroom , whirlpool tub good bed . front room full kitchen , sofa chair . Desk work . comfortable place stay price regular room . 
 Oct 24 2009 	 beauiful spacious clean room . lot amenity . 	 HGVC Flamingo use point book mid - week M - Th getaway . owner get complimentary parking ( garage level 4 ) , internet ( LAN & amp ; wi - fi ) , use fitness center . Fitness center - 10 treadmill , step climber elliptical . Dumbbells 50 lbs curl bar 90 lbs . universal machine slide squat / press rack well . nice center , crowd 10 am . location close Stratosphere & amp ; Sahara ( & amp ; big huge gift shop Sahara & amp ; LV Blvd ) , monorail station Sahara . car , location big deal since destination casino easily accessible via LV Blvd use Sahara i-15 usually fast strip hotel . check smooth room spacious well appoint . 3 - bedroom ( 2 br + lockoff unit ) . 3 - br unit floor 36 - 39 ( top floor ) . tower 2 , northeastern tower ( North - South view orient ) , nice view strip ( see PH Westgate , MGM , Mandalay Bay , west Rio & amp ; Palms ) , main part strip block tower adjacent property south . could see north view elevator area window look nice well - block anything . interior : Granite countertop throughout . master bath 2 br nice touch - spa - shower regular shower head , 3 additional nozzle chest , abdoman , thigh - level . living area pull - out . able fit 8 unit comfortably . the 2 br unit kitchen large appliance - microwave , stove / oven , refrigerator icemaker & amp ; dishwasher . get grocery couple mile away east west supermarket , Whole Foods new Town Square mall south strip . service - like vacation ownership location , less - than - weekly stay get maid service , though ask towel sheet change . also take trash , side opposite hallway elevator . concerige helpful restaurant suggestion happy try help ticket . usually find tix4tonight booth good deal flexibile . pool nice new adjacent skyscraper , move around chase sun day . for we , nice casino site ( enough go around strip ) , place eat site ( room ) small cafe / sandwich shop . 
 Oct 23 2009 	 HGVC 's new resort Las Vegas 	 love fact HGVC resort room service ! beautiful accommodation , comfortable bed ' ve ever sleep outside home , helpful staff & amp ; Starbucks site : ) bit way want spend time Mandalay Bay , Mirage , etc ... cab plentiful . would like see big & amp ; well staff restaurant pool , food good service far slow . change would make put flat screen tv 's room .. not make we choose Jacuzzi flat screen tv ... we home expect travel . 
 Oct 20 2009 	 comfortable clean spacious hotel 	 enjoy stay atht Hilton GVC . great property nice pool amenity . bit far rest hotel strip overall , great hotel relax . 
