Nice 	 room nice could not fault room service / bellboy staff . however Reception hotel spa staff unfriendly unhelpful . plan get marry Las Vegas , day wedding , ask Spa make - up tell do not bridal make - up hotel ? decide go book hair salon appointment anyway ( Salon staff friendly professional ) staff ask want make - up do aswell . spa staff tell do not ? getting marry , least five message leave hotel we , never recieve , reception tell we pass message ! good friend try buy bottle champayne we go room , meet unhelpful attitude say ' do not ' ' ! check - out ask use day room , receptionist tell we hotel offer service could pay $ 30 day pass spa . refuse pay quite enough room rate . this first hotel come across allow use day room . 
 Extravagant 	 Pros - huge flat screen , tv 's bathroom , nice deep tub w / salt crystal , room service ... top line . great food hotel . quality show & amp ; gambling . con - Slow drain standup shower . $ 14 internet per day . $ 25 way cab ride Las Vegas Convention Center . 
 Nice Hotel end bad note 	 travel TheHotel friend weekend getaway . use Centurion American Express travel service utilize Fine Hotels resort program . upon checkin , tell amenity FHR program , include 4pm checkout , tell would . stay nice , free breakfast nice , last day service fall floor . leave city 12:00 , friend stay watch game check . 2:00 could get room , call front desk get let , send security guard let . guard stay watch friend pack , tell could stay guarantee 4pm check . much hotel charge , part FHR program , say extremely disappointed . cater high consumer , deliver exceptional service , . 
 Nov 25 2009 	 get Married Hotel 	 Amazing ! everything could dreamed hotel . bedding room amazing ! stay one vip v suite , wonderful view strip . get marry , compe nearly everything , still recieve offer free stay . first chance , be go . soap amazing , order hotel special occassion . be look treat , try least . amazing ! 
 Nov 21 2009 	 awesome elegant hotel . attention detail ! 	 compe two night suite Hotel . awesome . suite two bathroom , 3 television , wet bar beatiful bathroom . room quiet - could hear anyone room . door bell room Hotel - nice touch . Vegas many time stay Golden Nugget , Paris , Treasure Island , Monte Carlo Planet Hollywood . hotel far good ' ve stay . next stay likely here . some past reviewer complain walk get mandalay casino . bad , maybe 5 minute . also walk in - door Luxor Excalibur - bit walk , bad ( also take tram ) . hotel end strip , take time walk Treasure Island , however good exercise burn calorie drink ! actual casino Hotel - casino Mandalay Bay . nice long day gambling drinking come back quiet hotel . casino Mandalay bay good , spend lot time . money slot . the Hotel seem bit expensive . pay $ 50 cheese plate lot . however , get good variety cheese , cracker fruit . bottled water also expensive - would expect hotel . eat breakfast Mandalay Bay - good . nothing awesome bad either . hotel , main floor , wine bar / lounge happy hour 5 - 7 decent price wine . one good aspect Hotel beach area . October busy . also warm still awesome pool beach area . overall , Hotel awesome hotel . 
 Nov 18 2009 	 great hotel nice place stay Vegas 	 great Vegas stay way look . try get room face strip mountain side look light commercial area AC system hotel . complaint hotel though except bed spread little worn dirty two day strong sulfur smell hallway clean spa ( 22nd floor … . ) … I stay hotel world work truly say , comfortable nice , highly recommend . 
 Nov 13 2009 	 Nice Quiet Place 	 ' ve stay several time . locate Mandalay Bay complex , separate . room nice modern plenty room couple . not see child , bonus . overall , quiet void riff - raff . 
 Nov 13 2009 	 Great Hotel 	 go stay 4 night kid , amazing hotel , amazing suite , clean . decor amazing . wife love . several pro luxury hotel con . first pro : like say suite big nice , hotel valet entrance back avoid hassle Mandalay Bay front entrance . staff helpful nice . people review complain gas smell , do not experience , please smell nice . room service quick . bedroom huge separate living room area office desk small kitchenette Plasma tv room living room also small one bath . also live room area 1/2 bathroom . main bathroom huge lot lighting amenity . stand show huge tub . hotel 24/7 cafe bar that s open also quite , noisy like casino . plus restaurant Mandalay Bay Bayside Buffet . amazing spa . one good Vegas hotel ever stay . con : expensive , room service also expansive , menu great regular sandwich cost $ 22- $ 26 . order get pool area go mandalay casino quite bit walk . big glaring bad item . 
 Nov 12 2009 	 Excellence ! 	 must say picky come hotel stay . last two visit Vegas offer disappointing hotel room , concerned THEhotel would offer . time step lobby walk beautiful suite , impressed ! hotel service staff could courteous ! suite ... say wow ! stay THEsuite . room offer 1.5 bath , large ! two large screen tv 's live area bedroom ! decor fresh , update comfortable bed ..... well , good rest long time . I discover small light seat area bedroom . not think really worth mention . next morning maid notice within hour service guy repair ! really like soap lotion provide say enough size shower bathtub ! time would recommend SPA ! budget request 25 minute message . well ever ! really appreciate connection Mandalay Bay , Luxor Excaliber . simply fun walk hotel see everything offer . early riser , find wonderful coffee shop open plus ! everyone nice room comfortable experience long , long time . would recommend hotel everyone ! week long convention attend Vegas , June , sure hope THEhotel list one choice ! 
 Nov 11 2009 	 absolutely amazing 	 husband stay Hotel Mandalay Bay early January 2009 . book V Suite month arrive . day arrival discover rate room internet cheaper book . rang hotel immediately match current internet rate - question ask . fantastic ! arrival somewhat taint airline loose baggage however hotel assist we cancel dinner reservation ( clothe wear ! ) organise bag bring airport . v Suite amazing - huge bathroom , small bar , fantastic lounge large tv . view Strip wonderful Hotel sits southern end Strip . catch monorail equivalent Luxor Exaclibur allow easy access New York New York MGM Grand . Las Vegas monorail run MGM Grand Sahara . however walk venetian time - much see . could fault entire stay - staff lovely helpful , room immaculate , restaurant delicious . 
 Nov 10 2009 	 Great Stay 	 stay Hotel October 26 thru 29th say one good Las Vegas Hotels ever stay . suite much big room Bellagio . really enjoy luxury extra bathroom . staff ' enough guest . every time ask anything response always " pleasure " . view room spectacular even though City Center block lot strip . unfortunately weather cold able take advantage beautiful pool . hit bad week weather . room service quick food warm delicious . definitely stay , service like seldom give anymore . 
 Nov 7 2009 	 Funky Hotel 	 lovely suite hotel . decor gorgeous room high standard . hotel clean modern , gripe would sufficent space around swimming pool cater guest . ie . probably struggle find empty sun lounger within hour pool opening . hotel bottom end strip away big popular hotel monorail close taxi everywhere . hotel perfect couple group friend . would definitely go back 
 Nov 6 2009 	 thehotel dissapoint ! great stay . 	 stay THEhotel Mandalay Bay last weekend October . service excellent real suite great . half bath entry way living room . door bedroom main bathroom large tub shower . clean comfortable . housekeeping always great helpful . eat RM seafood great meal time . Cliff excellent server . Casino never feel smokey staff friendly beat . place go Vegas case . EyeCandy lounge great score getting pass foundation room get good view strip outstanding bar staff . mix fun top THEhotel great strip view also . ' consider location negative really ' leave property much traffic much nice near mb . 
