nice 	 good value SF near Union Square . friendly staff , pet friendly . modern hotel within couple block Union Square . free breakfast , free internet , nice wine hour evening . close shopping , Metreon , restaurant . would stay . knock $ 45 valet parking smallish fitness center . 
 type hotel James Bond would stay 	 locate perfectly near Union Square shop , across Apple store , BART , Old Navy Walgreen 's ( perfect late - night snack ! ) , Hotel Palomar San Francisco exude Quality . room feature flat - screen tv , useful work desk wireless internet ( via Kimpton InTouch membership ) , plus Kimpton signature animal - print design everything carpet , sheet dress gown . take either interior room look garden exterior city - view room . it be exclusive , comfortable , pet - friendly great location . plus , often come great value deal Priceline . 
 look forward return 	 could not happy stay Hotel Palomar . hotel great location , convenient BART , trolley , incredible shopping . room quiet fantastic view . hotel modern yet comfortable staff superb . look forward many return visit . 
 Nov 21 2009 	 Excellent Service 	 go San Francisco event Moscone Center look TripAdvisor find good hotel near . impressed Palomar management read respond many review . indicate commit excellent customer service , . room clean quiet amenity include extremely comfortable bed , hairdryer actually dry hair , make - up mirror , adjustable shower head , rosemary mint Aveda hair product , pocket bathroom door , iPod docking station , evening wine hour more . I join Kimpton InTouch also receive free wi - fi , ten dollar voucher mini - bar , room , pillow newspaper preference . one reviewer complain coffee maker room . nice able coffee time without get dress , end powdered creamer rather fresh cream , milk , soy milk , honey lemon wedge provide coffee . get Palomar SFO easy . Powell Street BART station close $ 8.20 way . even print airline boarding pass . like knowing could brought pet enjoy meet Mo . believe title Director Pet Services . wish could stayed long . Kimpton become favorite hotel chain . 
 Nov 10 2009 	 even well expect 	 spend night hotel part whirlwhind business trip . Checkin swift friendly . * like * separation lobby function ( lounge , bar , business center , whatever ) , other ' complaint regard minimal lobby positive , two intelligent affable attendant . lounge ( 6th floor ? ) swanky comfortable . restaurant bit pricey per diem not try . room ( small , courtyard - view room ) perfect solo traveler . great design , clean , etc . bonus : contract limo service airport fabulous cost comparable cab . 
 Nov 9 2009 	 Disappointing 	 hotel could disappoint . lobby small , valet MIA , room uninspired window start halfway wall . $ 300 + rate be charge per night , would much well street Westin Le Meridien . 
 Oct 24 2009 	 2nd stay ... one well . 	 enjoy everything place , include valet parking package score ... convenient great staff . 
 Oct 12 2009 	 Great Location 	 Fun place stay downtown San Francisco . close BART streetcar . lot shop good food within block . infact giant Old Navy ! 
 oct 9 2009 	 Nice hotel great location great deal ! 	 stay hotel 4 night , executive King Room . decor lovely bed comfortable . room quiet . love wine taste morning coffee . also complimentary ice cream afternoon not day . I get great deal $ 150 night . hotel locate right BART station right near many muni bus stop . would definitely stay again . one thing odd bathroom door open right head bed ... unlike many hotel room bathroom open entryway . bathroom weird smell smoke sometimes - think probably room we ( 5th floor , 4th floor belong hotel ) .The staff friendly give we chocolate bar check . also like option print boarding pass flight home . convenient check - out , get BART SFO.The free wireless internet nice perk . 
 Oct 8 2009 	 Luxury location ! 	 hotel ... luxury location ! 3 night , really hate leave . normally stay Powell street Villa Florence Hotel financial district Omni Hotel . Palomar blow water quality customer service , large quiet room great location ! Palomar within walk distance Farmer 's Market , shopping , restaurant , public transportation various attraction . parking breeze hotel since underground parking structure . chance try restaurant locate hotel & quot ; shop - till - we - drop & quot ; , plan stay next month definately try time . if customer service important , get to stay Hotel Palomar ! ! ! 
 Oct 7 2009 	 well worth ! 	 would like recommend Hotel Palomar anyone planning trip San Francisco , location amazing local amenity hand doorstep . from check throughout stay staff helpful friendly polite , nothing much trouble . partner 40th Birthday pre arrange Kuoni hotel concierge DC hamper birthday cake deliver without problem . upgrade room arrive wow surprise view Zen Garden roof quiet room , also give we ticket daily continetal breakfast nice treat $ 10 voucher mini bar . Albert deliver bag roomadvise we want somewhere cheap eat great food visit Westfield Mall round corner hotel certainly deliver Alberts promise , especially would recommend Buckhorn 's Tri - tips sirlion steak , amazing inexpensive . we fall love San Francisco Hotel put ice cake trip . certainly use Kimpton Hotels advise sign intouch card website go . 
 Oct 3 2009 	 good one 	 get back 3 day business trip SFO . attend conference Moscone center , Pricelined hotel . hotel get , think lucky break . not know would find place otherwise . turn hotel part chain - Kimpton hotel - seek future . detail . strong location Moscone meeting - exhibit hall literally 5 minute . short , nice walk Union Square hundred great restaurant nearby . problem reservation , lady desk handle well resolve quickly . know would smooth mega - hotel like Marriott across street . room nicely outfit clean . good firm mattress . high quality bedding . desk chair really comfortable . flat screen tv , plenty channel . useless alarm clock - time wrong could figure set . colleague different room good laugh animal print bathrobe . free & quot ; wine reception & quot ; every day 5 . free wine , nice , not see & quot ; reception & quot ; part ! ( maybe try hor ' d'oeuvre next time ? ) get wine , could go sit lounge , people , go back room . block trolley take fisherman 's wharf right next door big shopping mall . view skylight & quot ; Old Navy & quot ; ( see picture ) , not stay view . get , dog duty lobby . ( asleep behind desk ) . dog friendly hotel . like , hesitate go back . 
 Sep 19 2009 	 great hotel- great location 	 hotel live great review . fantastic location within walk distance BART Union Square . arrive around noon overseas flight early check - in problem . Room beautifully decorate bed v. comfortable ; noise issue 5th floor . pleasantly surprise wine happy hour coffee / tea lounge morning . staff front desk v. friendly helpful . internet access bite rich $ 6/15 minute , ( find cheap place Market St. ) would highly recommend anyone . 
