Noisey 	 little hotel ok budget . worried arrive hotel delay flight 2 am , large noisey crowd outside come go night club . 7th floor front hotel , keep awake early hour 3 night ! . prettiest location , 10 minute walk Broadway Times Sq , Macys Empire State Building . room look clean first , find price tag stuff floor , bathroom spotless room , apart really small , nicely decorate staff brilliant . port authority bus station around corner , arrive airport , minute walk . get taxi Newark airport late arrival ( $ 67 3 we ) get hotel shuttle back ( $ 62 ) first time New York , one thing would recommend , go Empire State Building night , quiet go eat drink brewery / restaurant right entrance , fabulous , great food beer . and end , quick walk back hotel . would stay hotel ? ? ! must well hotel price range , next time would make sure research , do not put book . read really dreadful report hotel book , end day , get pay . 
 one good hotel ' ve stay NYC money ! 	 ' ve go NYC 20 year every Thanksgiving stay lot hotel ... far good hotel ' ve stay . value money outstanding . start , front desk staff helpful - especially one front desk staff name Willie - always smile hello we coming go . breakfast excellent great way start day - muffin , pastry , cereal , fruit , hard boil egg , fresh make waffle , juice , coffee , . breakfast room little small , could take food back room . room modern up - to - date decor see NYC , even bathroom modern . location great - close Times Square . ' m tell - find well hotel money NYC . yes - room small , NYC hotel room small . ' ve already book hotel next Thanksgiving . 
 Nov 25 2009 	 brilliant location friendly helpful staff 	 wife , two daughter never New York bit worry location hotel relation city centre would mile activity . answer , stay hotel definate , really close Times Square . break 5 night B & amp ; B . get bus Newark Airport ( cost $ 25 return per person . would cost $ 15 one way ) get Port Authority Bus Depot . literally 5 minute easy walk hotel waste money use taxi . hotel construction work go outside impact stay . get twin bed room 10th floor small functional , give limited time room . bathroom good size shower , bath washbasin . hairdryer well . ( remember take adapter phone charger , hair straightner etc ) . lot wardrobe space tend leave stuff case . iron board although never use . tea coffee making also provide . breakfast level 1 consist wide selection pastry , freshly make muffin , cereal , fresh fruit tea coffee fruit juice . eat area small functional could take food back room . eat breakfast two morning end go breakfast place call Tick Tock near Madison Square Gardens . there many thing place eat stuck choice . end stay keep room $ 50 need vacate 11.00am flight 7.50pm . hotel staff explain two choice . 1- vacate room 11.00am would look luggage . 2- pay $ 50 dollar keep room 7 pm . decide latter glad wife daughter feel like go last day . return New York would use hotel . say would also check Trip Advisor see well available . if book nothing worry still book would recommend place would also suggest homework could well & quot ; little gem & quot ; . 
 Nov 13 2009 	 great find 	 staff pleasant helpful . excellent central location 46th St. Room spotless , plenty towel . instant internet connection . parking convenient discount . great value great price . impressed would definitely stay . 
 Nov 2 2009 	 Great Location clean room friendly staff 	 close time square , small clean new room , continental breakfast include nice enough - bagel , english muffin , freshly make waffle , ceareal tea coffee hot choc , breakfast room small cleanall nice hotel busy city break not want spend much money hotel 
 Oct 30 2009 	 one prettiest location ideal central starting point 	 arrive dismal rainy Saturday evening taxi Newark already prepare hotel past comment extensive use Google Streets ! reception staff good arrival handle Yorkshire accent well . room small not spend much time apart sleep . bathroom toilet spotless - wife particular thing . breakfast area small would say cosy ( clean ) ! not room sit table , people would take stuff back room eat . this hotel literally 10 minute walk Bus Station . arrive taxi take Airport Shuttle bus station back Newark ( $ 30 two , cheap $ 90 taxi ) .Location brilliant - 10 minute Times Square - good . empire State Building another 10 minute ( lot walk get good walking shoe ) .Nightclub next door ? - hear noise 3rd floor front , window good soundproofing not disturb we all . reception check we onto return flight back UK ( have arrive sit separately ) look bag ready leave . again , enjoy short stay hotel , would certainly recommend location . 
 oct 22 2009 	 convenient travel major attraction 	 hotel not Times Square , be far ( couple block ) . room overlook current Times newspaper office main bus terminal ( make convenient bus , taxi dispatch several subway line - station various line interconnect underground walkway ) . neighbourhood not great look though well run deli 's coffee shop nearby . read somewhere ( Choice hotel site ? ) hotel restaurant - must mix not , think place eat nearby . we ' ve New York know hotel pretty expensive , like many big city real estate premium . get good rate ( date ) via Quick Book stay whole week property . pay bit per night previous trip , room whole lot well , facility include breakfast . the first room allocate not type book , get duty manager change want king size one bed . 4th floor room clean , modern well appoint good tv , safe large enough laptop plus camera , passport etc . room however small 's not lot space luggage - discipline stuff . bathroom fine - clean everything work well include shower ( operate shower pull small ring end bath tub faucet / tap spout confusing ) . use free wifi successfully several time laptop wifi phone . connection speed ok . get access code reception . trouble sleep . bed comfortable , aircon worked want , could open window fresh air ( though make little noisy sound city ) . ask refrigerator / microwave apparently 3 room facility , use . end not need , chill bottle wine use ice bucket . we minor niggle stay , deal front desk staff - maid take complimentary newspaper away chance read , phone would not allow make local call . aware may small daily charge use safe . the breakfast good , selection cake pastry , cereal , juice waffle . breakfast room , basement , small adequate . problem come guest behave use , folk choose sit long finish eat , seemingly oblivious guest wait . pay get early possible , always grab something take back room . tea / coffee available 24/7 along complimentary snack bar . also vend machine ice maker . also coffee machine room maid leave enough couple cup day . bottled water also provide room day . all staff hotel great , particularly guy run breakfast room . front entrance lobby not great look , particularly construction work go , sometimes get bag trash pile , 's functional . 's concierge desk available booking tour , ticket transportation , though not use . 's small waiting area lobby staff hold luggage . kindly let we use restroom downstair change sort luggage transatlantic flight home . 
 Oct 17 2009 	 Filthy Noisy Hotel . appropriate customer service . 	 friend & amp ; book hotel last minute nowhere else stay New York . we arrive Saturday night , greet enormous pile black rubbish bag ' Escuelitas ' , nightclub next door , full swing . lot club kid hang around hotel entrance . entrance & amp ; reception area hotel dirty & amp ; small . room locate basement , could hear music nightclub , thumping wall . also stank damp , & amp ; tiny . bed , & amp ; room walk front & amp ; one side . wall mark & amp ; dirty , tear portion wallpaper . bed cover large stain include ( hope ) look like sort blue candle wax . anyone suppose sleep room beyond I . the tv remote , bin liner bin open window , balcony door , , ask , give key . however , air con system chuck warm air , dirty smelly courtyard . smell bad . shut door brave damp smell inside . bathroom , actually clean , surprisingly high standard compare room . ask move , hotel full . staff say would relocate we next day . we attempt use kitchen facility make food & amp ; discover tomorrow breakfast , sit ( bagged ) floor dirty closet . plate make polysterene & amp ; mine actually melt piece toast sit . kitchen & amp ; clean cupboard floor , night try sleep , disturbed morning people come use facility , clean cupboard also floor . staff knock twice within hour , want relocate we . clearly want sleep , never going happen . we tire . long flight night . first New York experience . also idea real day light , weather low level room , make even hard get motivate . we relocate room much high level ( 16 ? ) . view , building , dirty , treeless street actually quite depressing , low floor side would view car park . window least open crack , , bed sheet dirty & amp ; smell disgusting , mean AWFUL - no way sleep tonight . bring we refrigerator & amp ; microwave could avoid kitchen level , discover bathroom door shut , shower head break , still bin liner bins & amp ; enough hotel . spend day find another hotel , relocate . mean come back thing & amp ; ask transfer ( another Comfort Inn ) . say would charge we night & amp ; transfer possible due hotel bring different management . ( book agent apparently possible ) . tell would come back follow day discuss management , & amp ; ask money back . manager currently unavailable . first day New York ruin lack sleep , money spend around town & amp ; worry find another available hotel . get money back night charge . take lot time , effort & amp ; waste precious time city , & amp ; compensate that . on make right choice stay New York , know answer . 
 oct 8 2009 	 would definitely stay ! 	 stay Comfort Inn 3 night . 's less block away metro station , close Times Square . also able walk block see Wicked . hotel open last month , room clean , little small . window thin , hear street noise night long . bar block , get really loud sometimes . stay $ 120 per night . staff helpful , be nice continental breakfast serve morning . 
 Sep 22 2009 	 HELL HOLE NEW YORK . 	 want start say first ever review stay hotel feel right tell people stay away . it start first pull hotel look like building site rubbish bag place say smell like rubbish tip , also would like add get hotel always walk pass hotel staff puff away cigrette 2 inch door . after walk reception area dirty ever know really want wash hand touch thing room . to honest staff behind desk ok can not complain give key go trip 10 bag room small . so lift go 14th floor hallway clean good point . into room well say room like cupboard think go small place suitcase would nice top look window building opposite could see computer need leave blind day help feel prison cell way . the next morning good night sleep bed nice last hotel get something right go breakfast room , take one look laugh go breakfast fancy eat 1 inch away person next seriously small I m lie . the location hotel good right times square avenue dirty smelly hell hole way wife would go road night own . then top last morning get check person desk take key say word think rude hotel book taxi we politely ask taxi outside reply dont know go ASK rude walk out . right must finish hotel cheap dont stay BOOKED feel sorry . 
 Sep 19 2009 	 Small Price bathroom Suck 	 arrive tired Miami reservation room twin bed . tell hotel staff upgrade we junior suite king size bed 2 bed room . we jump joy till time enter room . the 1 bed ROOM say small could barely keep luggage walk . KING SIZE bed could take 1 we . small . internet wi fi work internet cable . finally roll sofa [ -- ] bed sleep tilt like slide . shower confuse operate . good part hotel proximity time squre . plan rest 2 , would recommend go another hotel . staff good hotel room size small . 
 Aug 30 2009 	 great location 	 great location Time Square . room clean , bed comfortable , breakfast adequate start day . 
