's 	 travel lot stay 90 night various hotel . although company allow stay five start rate many country , could stay time . see many Westin brand hotel not provide service match 's brand , specially LAX airport . true Westin quality actually beyond expectation . hotel staff welcome , well train , service level excellent ! one facility love executive lounge give quiet zone well meet space sudden necessity . train hardworke staff lounge also fantastic ! drawback room stay not enough insulation could hear people talk hallway loud vise versa . definitely stay next time visit Beijing regardless 's business pleasure recommend everybody visit Beijing . 
 Nov 25 2009 	 great service 	 good te Westin Beijing Financial Street staff . platinum member SPG , alway enjoy good service executive lounge various hotel . Westin Beijing lounge staff treat customer like real friend . 
 Nov 24 2009 	 endearing service excellent personal touch 	 stay 20 hotel 500 night past 2 year road , Beijing Westin Financial St remain first choice Beijing . I quite numb hotel long room clean , internet fast , much complain , afterall , need roof night internet cable work night . however , hotel stand rest simply one reason : genuine care concern guest . flu nice lady Club lounge happen know . pleasantly surprised buy fresh juice porridge room tell housekeeping send bottle water . this one memorable incident mention special effort remember last name , drink preference even like egg do , detail like could take grant seldom encounter elsewhere . look forward meet nice folk next trip ! 
 Nov 19 2009 	 friendly staff excellent service wonderful experience 	 wonderful greet smile especially lovely Front Office Manager long flight Beijing Vancouver . 5 day stay Westin Beijing , staff make great effort make stay enjoyable feel like home . 
 Nov 16 2009 	 great value outstanding service top - notch facility ! 	 stay Beijing Westins Fincial Street five time already . experience definitely unforgettable . travel twice year Asia stay various five star hotel . hotel unique stay always feel stay home staff like friend . almost everyone call name greet like old friend . manager , Lucia Liu , superior job make arrangement . surprisingly , everytime check check , would apprear beside immediately , greeting make sure everything perfect . needless say , many five star hotel build build China . however , Beijing Westins Financial Street far one truly impress top - notch facility also friendliest attitude care service . 
 Nov 12 2009 	 everything would expect 5 * good breakfast buffet ever 	 excellent hotel fully deserve 5 * category . good thing buffet breakfast - large selection food cuisine ever see entire life hotel , beautifully present . japanese , chinese , european , . room decor taste cream net curtain taint whole room kind depress brown light , bed truly heavenly - slept like baby . tv , fridge , coffee maker , desk , iron ironing board ( thank ) , hairdryer , lovely toiletry present . real complaint wall attachment shower , mean impossible shower normally . give bath instead . gym full new equipment extremely well equip clean . enjoy use it . another thing perhaps worth note , use business center print e - mail charge £ 1.20 per sheet paper . know 5 * please .... finally follow another reviewer 's recommendation find Sunshine Kitchen restaurant 5 min away hotel , past tgi 's side road leave , directly opposite Ritz .. go ! easy picture menu , clean smart restaurant , delicious cheap chinese food . 
 Nov 9 2009 	 good home 3 night 	 meet tour group next morning arrival Beijing . need little supper not include tour package order bowl soup . bowl easily hold 1 liter quart soup ! good . Hubby order sandwich salad could not finish half ! breakfast buffet dinner buffet good . room comfortable 2 bed . bottled water deliver quickly need . business center efficient . though quote price 15 - 20 minute , use computer 5 minute price scale short time . business center accept yuan cash not bother additional charge room . 
 Nov 2 2009 	 Perfect Position business 	 ' ve stay apartment wing first visit ( stunning 2 bedroom affair reasonable price ) second visit , think try hotel solo traveller . the position hotel brilliant . also well keep property . less 5 year old ( ? ) applaud team keep good order . I relish Sunday & quot ; red & quot ; theme brunch massive selection food champagne . quality food brilliant highlight seafood peke duck section . australian food beverage manager ( Jason ) knowledgeable approachable . lead excellent team . the breakfast buffet daily good although get bit boring ( stay four day ) .The room well appoint staff efficient - instance , iron break soon call service express another door . drink cheap mini - bar bar . bathroom excellent although placement rubbish bin quite annoying ( foot near toilet ) .Well worth stay reasonable rate . 
 Oct 25 2009 	 room good restaurant way overprice - eat nearby instead 	 room comfortable attractive . basic modern traveler would want . Westin & quot ; Heavenly Bed & quot ; indeed wonderful sleep . issue watch hotel : 1 . restaurant good food price outrageous Beijing . ( apparently count expense - account business traveler cost conscious . low cost labor food , Westin gouge customer . ) Contrary may read elsewhere , eat well nearby much less . try Sunshine Kitchen couple block away - food terrific , easy order English speaker , reasonably price ( one third Westin 's price ) restaurant decor smart . something quick , cheap informal , try food court downstair Seasons Place mall across street . far well food court US , although English yet . also large supermarket downstairs snack , drink , etc . 2 . wall thin hotel neighbor noisy , problem . room end hall well since share one wall another room ; 3 . staff friendly try hard english problem . report problem room light 3 time someone fix - think not understand telling . 4 . room need attention - addition problem light , phone room fix carpet stain . surprising lack attention detail hotel price stratum . despite issue , recommend hotel . bed good . aware comment . 
 Oct 17 2009 	 great Room Bad everything Else . ruin ask g / f marry ! 	 check Westin Beijing Financial Street last week , will never stay , although ' ve invite return offer upgrade . would not matter offer week expensive room free . can not get back moment spoil . I know management read review , guy , confirmation number 204494160 . ' m Starwood Gold Preferred Guest , ' m compare service hotel Westins ' ve stay , country . my poor experience begin arrive . call hotel explain concierge special weekend , have ask girlfriend marry . ask could find nice nightclub get date guestlist . idea talk keep ask want restaurant reservation . book hair & quot ; appointment & quot ; girl . say & quot ; appointment & quot ; call hair salon make appointment , not ask name . like & quot ; seven ? yeah , sure , show up . & quot ; make nervous , fear realize later . attempt book makeup lesson spa . service advertise website . person answer phone not know word & quot ; lesson & quot ; tell makeup person available Friday afternoon ! call Jewel , fine - dining chinese restaurant . ask table away kitchen . person answer phone not understand mean . put girlfriend , speak Chinese , still not understand . Exasperated , get touch manager ( Larry Sun ) , credit , say would confirm everything . call back next day say take care , problem . hair , makeup , get good club far away . so show . trouble phone , Mr. Sun upgrade we nice Renewal Suite . far good . go spa find ' ve get makeup follow evening , move everything Saturday . makeup lesson , though , makeup . ' ve get makeup person available , can not lesson , especially person get lesson speak Chinese ? make sense . anyway . Friday night go club . one amazing experience set . contact club 's floor manager , give we personal tour 3 - dance - floor - plus - intimate - terrace club , style like opium den , World Suzie Wong Club . not wait pay cover , sit VIP table night . fantastic . on big night , Saturday . get dress , put suit . go facial spa . facial great . hair . real problem . one kid hand walk , not know . nice guy , tell hair thick style ( simple chignon hairpin , be worn ) , proceed put rubber BAND ( make hair ... make wrap NEWSPAPER ) hair . cut later , rubber impossible remove . end half hair job walk see , near tear . take picture debacle may post later . call duty manager immediately acknowledge hair not look good . long option . go back spa makeup . professional makeup setup . armchair makeup artist ( kind ) lean , work endtable . not drape anything dress line collar keep makeup fall ( ask towel ) . makeup look beautiful . artist skilled . go time hair makeup push table reservation back couple time . duty manager sorry , try explain issue , busy nod apologize , not really feel hear say . busy exercise customer service training fail connect . okay . can not ask world , guess , good try solve problem . offer send red wine room later evening . tell red wine not going bring magic back . girlfriend go one big night life stress upset . eventually make dinner . Jewel nice . reasonably price level service quality food ( excellent ) , dish ask . terrine pork ear . pigeon . Beijing duck previous day good restaurant city ( Liqun ) , oh well , guess will chicken . I would skip ask marry trip wait well moment , expect , not really option . be happily engage , Westin not much help that . on checkout , Mr. Larry Sun apologetic take hair charge bill , tell rest experience , have never come back , give card said & quot ; come back , email first , will make sure everything go well . will something special you . & quot ; say not come back ... not hear ? well well , real problem associate service ( hair / spa / concierge ) not world class , expect Westin , ' ve get every place ' ve stay . my summary : room nice . renewal room bath concierge great . aficionado spas service , be event require multiple service hotel , stay ELSEWHERE . be go day be go hole room , might good choice . 
 oct 9 2009 	 good home base travel 	 hotel locate near main tourist site . however , 5 minute walk subway taxis always available cheap . area clean safe . service good . breakfast buffet high quality , expensive Beijing standard . 
