excellent 	 attentive staff lovely hotel . upgrade suite luxurious . breakfast great good choice hot & amp ; cold . 
 Nov 22 2009 	 feel like boutique hotel chain 	 3rd time ' ve stay Radisson Bloomsbury Street every time ' m make feel well - take care . front - of - house staff personalize welcome room , definitely not feel like chain hotel . level service assuredly top - notch not hesitate recommend anyone wish stay London . add bonus - be around corner British Museum . well do ! 
 Nov 22 2009 	 Brilliant hotel friendly staff superb location ! 	 book standard Queen bedded room seeing show Leicester Square Theatre . room ready arrive , however offer complimentary drink wait room . room ready ask need help bag , staff warm , welcome polite . go evening , return 10 pm , sit bar lovely bottle red wine , ambience perfect , never nice time London . could fault hotel , room clean beautifully decorate , security brilliant - could enter bedroom locate without key card . location second none - back recommend hotel anyone want listen ! ! try food hotel , return , ensure fit meal restaurant look lovely , relaxed friendly . 
 Nov 21 2009 	 Perfect fantastic everything would wish 	 Perfect , fantastic everything could wish superb customer care attention . Kris manager look we express disappointment room stay sister hotel Kenilworth , small double bed wall , hardly romantic set romantic weekend London . make amend disappointment , Kris arrange we complimentary breakfast move we Bloomsbury , disappointment soon turn delight show we beautiful suite way make previous night , beautiful room hotel staff friendly attentive . food hotel excellent . thank - you kris excellent care lovely manner . Patricia Sam Belfast 
 Nov 20 2009 	 Fantastic Location 	 hotel great location , however , ' background ' music loud Reception area difficult hear receptionist whilst check in . we give room off - put smell drain hotel reluctant give we another room immediately . fob we Maintenance Man bottle bleach . not solve problem . not one Housekeeping staff tell we always problem smell particular room hotel relent agree change room . clearly know drainage problem allocate we room . drink bar expensive service charge top . breakfast lovely dining room cramp . this hotel good value money . 
 Nov 19 2009 	 luxurious hotel 	 beautfiul hotel , moment walk surrounding luxurious staff eager help . room beautiful tshort walk escalator room treat softest carpet ever ! ! ! ! ! request bath robe come quickly lovely soft ........ oh shower fabulous ! ! ! also eat restaurant staff friendly helpful steak amazing . also even conference facility exceptional . staff friendly warm buffet lunch enjoy everyone ( 60 delegate ) .I would definitely come back business pleasure . 
 Nov 18 2009 	 good babyshower ever ! 	 hold baby shower hotel lunch . 20 guest set menu lunch . fantastic afternoon . planning stag end afternoon pleasant experience . staff professional friendly . look give 5 star service . the food fabulous ! guest extremely impressed ! would recommend hotel function . 
 Nov 11 2009 	 excellent stay - top hotel - great location 	 stay hotel three time year . hotel choice London . happen travel colleague trip often travel . woman traveller , important feel safe . yes , hotel feel safe indeed . Raddison Edwardian Bloomsbury ( apart tragically long name ) great hotel . staff friendly yet professional . always experience good service staff . room pleasant well appoint , small choice ! ! want something big ? ? upgrade ! love free internet ! ! location perfect - walk , underground cab , heart city ! ! enjoy stay - always ! ! 
 Nov 11 2009 	 Nice hotel excellent service 	 stay hotel 4 night September . come hotel early morning give we room . check easy . hotel locate area good access public transport within easy walk distance number shopping district restaurant . close British Museum . hotel nice beautiful room bathroom . staff member friendly , polite efficient . special thank Mr. Kumar , Guest Relations Manager , help we reservation outstanding customer service professional too . overall , nice stay good price central London hotel . would definitely recommend . 
 Nov 8 2009 	 comfortable right theatre etc 	 room comfortable clean , staff pleasant helpful . breakfast good good selection food drink . decor hotel lot black marble darkish wall cover , smart every one ` choice bright airy colour scheme prefer . 
 Nov 7 2009 	 well hotel ..... 	 stay 4 5 star hotel world one less impressive . 2 day Medical Conference arrange drug company pay bill .... ( would much annoyed pay ) lobby attractive that s good . room TINY wonderful view wall equally tiny window . the tv 5 - 6 channel ( could least invest freeview box would triple channel choice ) . mention receptionist tv remote dead say someone would sort .... course one do . the small bathroom clean shower low pressure . the room also bite dusty colleague mine another room also mention next morning . to top , receive wake call next morning 730am not request ... later find lady queue behind ( tell receptionist remote control ) ask 730am wake call never get . overall not impressed . glad not pay . maybe put ' second class ' room mass book company . food restaurant quite tasty . seriously .... london far well hotel offer price range . not fool lobby ..... 
 Nov 7 2009 	 simply good ! 	 pleasure stay . super location , extremley efficient friendly staff . atmosphere lot vitality , clean & amp ; comfortable . choice hotel London visit three four time month ! reception team well see ! mean rhyme ! ! ! ! 
 Nov 4 2009 	 great location stylish modern decor 	 fantastically place West end without right . Stayed go Colliseum ( English National Opera , straight road ; also handy Royal Opera House Covent Garden ) . friendly professional staff , well decorate room ( big , 's central London ) . also check lebanese restaurant , right road open late . 
