luxury 	 stay couple month open . beautiful suite great layout . love everything incredible bathroom , comfortable bed remote control shade curtain . casino connect venetian lively fun . phantom incredible . 
 amazing stay one Las Vegas ' good suite hotel 	 Palazzo quiet serene oasis midst Vegas strip activity . twin tower Venetian , huge Palazzo suite amazing view Strip - directly across Treasure Island Fashion Show Mall . location great . never leave Venetian / Palazzo complex , , be close Wynn Encore Mirage . 
 Great Stay 	 second stay would stay anywhere else . service room always excede expectation . room huge always clean . service great always happy help . everyone work maid taxi line people always say good morning , afternoon , ect . would recomend hotel anyone . 
 Mature clientele 	 stay Palazzo right Thanksgiving . find hotel mature clientele , without much party scene , fine . think be hipster look big party scene , may right hotel . hotel nicely appoint clean . room nice , impressive , consider pay . certain area , & quot ; aroma therapy & quot ; pump , combine usual cigarette smoke , bit hard swallow . staff service average . one waitress make positive impression tip accordingly . desk personnel friendly , agenda sell pay upgrade . logistically , Palazzo good jumping place want within close walking distance either Wynn , Mirage , TI Harrahs . hotel large , combined sister property , Venetian , slight orientation challenge . two join property , be pretty much something everyone . overall , not big issue hotel , expect , give price pay room additional service . 
 vastly overrate 	 unfortunately big disappointment , except bright spot ( server Grand Lux , comfortable / spacious room ) . service nowhere near would expect five diamond hotel ( receive ) -- multiple call priority service get equipment room working order , surprise fee , unknowledgeable concierge multiple occasion , room service meal sit hall almost 24 hour . be prepared pay fitness center ( despite note website ) . tell additional charge use whirlpool ( ask multiple people ) , find one outside free charge -- not staff know property ? back Bellagio next time 
 Nov 26 2009 	 good stay vegas ever 	 Palazzo te new tower build back venetian suite hotel . 1200 + suite nice ever stay staff fanatastic . definately return soon often 
 Nov 26 2009 	 nice hotel .... 	 ... top & quot ; ' ve go heaven & quot ; nice . lovely lobby check smooth . room nice , spacious well - care two thing put bit damper trip Vegas . firstly , smell cigarette smoke knock casino walk order get elevator whisk room , secondly , get bit attitude one suited staff member check really throw back . numerous suitcase since combine business leisure trip three destination two week period since could not carry , ask employee dress suit rearrange & quot ; traffic & quot ; rope near front desk could help either get luggage porter call someone radio telephone could help . uninterested response get , & quot ; will take least 10 minute - 's right & quot ; . could not believe ear . actually point across room ! ' m feeble swollen ankle , trip back forth across expansive lobby front hotel something enjoy expect have . leave hotel feeling disappointed . 
 Nov 25 2009 	 Great Stay 	 stay wife 4 night birthday bash . Palazzo come highly recommend friend live Las Vegas . see . first enter room , think desk clerk upgrade we would charge additional . desk assure stay basic room . room step living room , stunning view Strip 40 floor , nice touch top notch hotel . complimentary valet parking great location quality service , place outstanding . stay several hotel Las Vegas , place far well . 
 Nov 22 2009 	 good part trip 	 stay Palazzo 25th wedding anniversary . first trip Las Vegas . stay standard luxury suite upgrade ( free ) deluxe view . room beautiful . spacious clean . need two people large room . hotel attach Venitian also marvelous . plan pay lot food restaurant . good deal food court Venetian . reasonable price . remember touch anything fridge . charge everything sensor . $ 5.41 take bill . hestitate stay either Palazzo Venitian . can not go wrong . 
 Nov 21 2009 	 would return day . 	 Hotel BEAUTIFUL , close Strip great shopping mall . price good quality ! 
 Nov 21 2009 	 beautiful hotel 	 new hotel build vegas - Palazzo definitely magnificent size decor . room stay king suite , beautiful clean . room service breakfast one time food come quick - disappoint ( although pricetag bit hefty - 60 + dollar ! ) . eat restaurant Lava ( ok ) head club well Saturday night . club pack alot fun . qualm hotel pool setup . different pool use , first one main door - sun 1 pm . adjacent pool long narrow generally pack morning . problem lack lounge chair space - literally top one another . pool long narrow hte space next pool . 1030 - chair space available would eye hotel patron see would leave - like parking spot ! - hotel beautiful clean . 
 Nov 20 2009 	 Fortuna Suite : worth upgrade ! 	 stay Palazzo often , usually upgrade Concierge Level . time upgrade Fortuna Suite , well . the Concierge Level upgrade continue good buy , breakfast selection evening hor d'ooeuvers , expertly mixed drink , worth daily upgrade $ 100 . Foruna Suite upgrade $ 70 . Fortuna Suite huge ( advertise 1000 square foot , ' pie ' shape , well organize . door bathroom next entry door , suite , rather bedroom area . convenient walk - in closet , however . feel additional space warrant upgrade fee $ 70.the Palazzo remain one good hotel Vegas , excellent physical facility service . 
 Nov 20 2009 	 love 	 sister stay 3 night September . check request room ' available . upgrade nice room inconvenience – ' complain ! quick drink round pool call go . room beautiful could easily stay whole trip . bathroom beautiful brilliant size two girl trying get ready time . staff meet polite . problem find bed bit short ' tall begin . would definitely recommend friend stay . 
 Nov 19 2009 	 nice property prefer option 	 visit Vegas 4 5 time year usually stay either Wynn Bellagio . Figured would give Palazzo try offer receive mail 3 free night , price right . Location Best part location easy access Wynn . seriously , biased definitely prefer Wynn . Palazzo bite walk main part strip ( e.g . Caesars , Bellagio , Flamingo , etc .. ) casinothe sport book really awful . terrible layout run bunch 20 something seem bit clueless . go 8:00 reserve table try call room .. tell not take reservation , later see table reserve . seem like person work sport book give different answer reserving table . roomshotel room great . sink living room two flat screen tv . nice bathroom although fixture bit loose . like bed linen , etc .. foodnot big fan Grand Luxe fancy Cheesecake Factory , many people love . go Dos Caminos , ok Mexican . overall , free nice experience , would probably go back . price would choose Bellagio Wynn property . 
 Nov 19 2009 	 great expensive trip 	 wife stay Palazzo offer affordable upgrade room Venetian . new room 43 - 805 * amazing . * large tv 's bedroom living room , jetted tub , power window shade , WORKS . property look fairly new quite clean . hotel section property quiet stay elevator quick ( important , 43rd floor ) . internet $ 10 day ( MUCH cheap expect , though not use ) . fitness center spa site , $ 40 day use ( bummer ) .The casino clean slightly spacious compare casino see stay . & quot ; smoke - free corridor & quot ; lobby elevator , otherwise plenty people smoke . table staff waitress friendly . offer instruction many table game ( i.e . crap , roulette ) day well , new gambling . be plenty around casino , show evening live music St. Mark 's square along indoor canal . FYI , would advise gondola ride . expensive private , many people walk along canal watch pass . catch 2 cirque du soleil show town without problem ( Mystere Ka , awesome ) .The food excellent throughout property , exception Dal Toro ( italian restaurant first floor major disappointment ) . sadly , quality cooking come quite steep price . know Vegas would expensive , challenge find dinner $ 90 property . room service morning anniversary timely tasty ... $ 70 egg , toast mimosas seem excessive . notably great restaurant Tao ( must eat ) Dos Caminos ( good margarita ' ve ) .The location acceptable , though would ' ve nice monorail stop . walk Harrah 's next door long one ; monorail run behind casino not make easy get . bad offender Bally 's , openne monorail strip , actual stop seem like 2 mile walk casino ( seem quest & quot ; monorail within & quot ; rather actually stop ) . be interested lot casino hopping , not place ; one close proximity Harrah 's , Treasure Island ( go & quot ; T.I. & quot ; ) , Wynn Encore . also mall across street food court great selection store . in closing , Palazzo great property many option entertainment wonderful food . would dare say 's clean beautiful casino / hotel strip . prepared pay quite bit trip . 
