Kimberly 	 two bedroom suite outside deck limit nice view 19th floor . full compact kitchen , two bath , really nice old hotel . lot action lobby street . 
 Nov 23 2009 	 Little Disappointing 	 family 5 , two adult three child age 7 13 . travel family 5 tricky NYC due extremely rigid room occupancy regulation . lot research , decide kimberly base size room , location good Trip Advisor review . Good:1.Our room HUGE ... especially NYC . three bedroom / two bathroom suite . two floor connect 70 's style spiral staircase . kid think coolest thing ever ! 2.the rate room size great ( cheap , great size ) 3.the bed clean extremely comfortable . linen feel new . 4 . nice flat panel tv ' room . 5.the location great . walk everywhere ... Rockefeller Center , Broadway , Times Square , Dylan 's Candy Bar . Good:1 . carpet old need replace ... least major cleaning ! would walk around bare foot ! 2 . bathroom definitely need update ... along major permanent fixture room ( closet door , rail spiral stair , non - working safe etc . ) . 3 . mini fridge soda spill inside ... charge mini bar one look see ate / drink ? ? maybe day since room occupy soda look sticky rather runny ... although admit not touch ! soda leak cabinet hold fridge ton ant enjoy ... yuk ! ! call front desk responsive come clean.4 . well , try call front desk . call cell phone none many phone room work . however , , quick send someone fix phone ( also outdated , btw ) . 5 . bathroom , clean spacious , also need major update . grey white marble floor , everything look like perfect 1970 's bathroom.6 . balcony second floor bedroom use filthy look one step foot many month . step onto balcony moment see another door lead hotel stand wide open . look like might lead another room service hall way something give creep . go back room , lock door not venture again . one side note ... restaurant next hotel ... Nikki 's ... serve great Sunday buffet brunch . reasonable rate ton basic , well prepared , all - you - can - eat brunch food . hotel 's restaurant renovation stay . overall , room meet need ... leave little bit " yuck " feel pretty sure would return . 
 Nov 16 2009 	 Classic New York Hotel 	 pleasure visit Kimberly weekend 11/15 . not know expect look like old property going renovation . get hotel , obvious old , classic NYC hotel . scafolde , lobby bit old fashioned . go room , carpet kind old fashioned , keep style building rest decor . give room balcony 17th floor , dissapointed , fact , quite impressed . room like regal New York City one bedroom apartment still classic , recently update . furnishing , although ornate , magnificant , clean , clean , clean . room fresh spotless . bathroom probably big , well - appoint bathoom ever see hotel . not want leave shower ! huge , featured tremendous rain - shower head , hand hold sprayer . great . go without say place value well ! speak actual room price pay directly , amazing overnight park $ 30 night ! quite value NYC ! . addition , mini - bar price quite reasonable- rare NYC hotel , , although not take advantage , since restaurant close renovation , kimberly offer 50 % room service ! could not believe . quite lovely offering . great hotel , would happy stay . 
 Nov 9 2009 	 good hotel NYC ' ve stay 	 location ( mid - town ) convenient . room clean , sort amenity . iPod dock ( radio alarm clock one ) , coffee - maker ( also tea available ) , small refrigerator , microwave , bathroom scale , two white terry bathrobe slipper , two umbrella , small safe , even electronic shoe - shiner . usual shampoo lotion ( Neutrogena brand ) , also conditioner ( ' notice lot hotel ' ) mouthwash . , usually see hotel room . New York City standard , room definitely large , nice surprise . bathtub also quite large , great bath . shower pressure good . use Neutrogena shampoo , conditioner , lotion , like — I like nothing perfume fancy . bed extremely comfortable I — not soft hard . lot pillow . also two nice chair table , desk chair , enormous widescreen tv wall . front desk lobby people helpful pleasant . happy hotel would definitely come Kimberly . 
 Nov 2 2009 	 BeautifulQuaint Hotel - great location # 1 Customer Service 	 NYC several time business leisure . customer service provide Kimberly good ever experience . bellman never fail open door get taxi immediately . room cozy , comfortable immaculately clean . view 27th floor awesome ! also great little cafe next door ! 
 Nov 1 2009 	 good stay 	 stay 1/2 term trip recently friend 2 teenage girl . Suite format room work really well area seem safe girl walk even evening . staff responsive friendly . many hotel many year - always good sign . 
 Oct 12 2009 	 Wonderful Hotel ! 	 stay Kimberly Hotel August 28 September 1 thoroughly enjoy stay . see comment date lovely . husband stay one bedroom king suite 12 9 year old comfortable 4 - night stay . king bed absolutely wonderful comfortable sofa sleeper kid . two flat screen tv , living room one bedroom . living area nice kitchen perfect need . balcony small nice . bathroom pretty small newly remodel shower great plenty hot water even 4 shower . hotel 's location great ! close everything - Times Square , St. Patrick 's Cathedral , Rockefeller Center , Broadway , soma , etc . , etc . highly recommend hotel - 's great price area cheap Embassy Suites ! ! 
 Sep 8 2009 	 good affordable accommodation Midtown Manhattan 	 stay part weekend group trip . pleasantly surprise nice price location . room separate bedroom living area small kitchen . clean quiet . bed comfortable . would certainly consider stay . 
 Aug 29 2009 	 Geat Hotel spacious room 	 enjoy stay Kimberly location convenient . stay one bed room executive suit spacious comfortable . staff amazing specially Mrs . Dusty helpful concierge make alot make stay NewYork great stay . 
 Aug 11 2009 	 spacious room good NYC rate 	 reserve room Kimberly Hotel 50th St. Lexington 3rd Avenue Midtown Manhattan . stow luggage since arrive early morning day checkin . request King bed rather two double , guarantee know ahead time . complimentary upgrade deluxe king room spacious marble bathroom multiple shower head shower stall separate jetted tub , seperate water closet double sink . room balcony also . step onto balcony view East River . employee helpful offering assistance without request part necessary . never see housekeeping always return freshen room . convenient subway system . table two chair spacious sleep area cramp room modestly price NY . 
 Aug 11 2009 	 extremely efficient Comfortable Convenient Hotel 	 attend regional conference Kimberly 's new board room stay property . one thing strike first stay extreme efficiency staff . customer , recognize value . show front desk , bell stand , housekeeping meeting staff . the room extremely well appoint , luxurious comfortable gear towards business leisure guest . bathroom extremely impressive ( large space ) well rain shower , weigh scale great soap product . the bed multiple feather pillow extremely comfortable . closet walk - in , fully closable closet safe fit laptop , greatly appreciate . 
