still 	 second time one night stay : think excellent value London like location . walk king Cross Euston get number 73 bus . local Goodge Street tube handy northern Line take embankment heart city . Goodge Street also many eat place choose inevitable Tescos mini supermarket . free wifi appreciate , pay small fortune previous hotel one hour ! room small comfy get need , use space great , attention detail evident . yes , road noise , problem winter window close . think could summer though window remain open . also find staff welcome friendly think inclusive breakkfast brilliant value ( day another London hotel want £ 23 cooked breakfast ! ) link John Everett Millais intrigue business visual art . 
 excellent all - round would definitely stay ! 	 hotel perfect , great location - minute ' walk road near Tube station handy travel Euston Railway Station . staff friendly helpful room well - appoint comfortable nice rear outlook . Breakfast also include price great all - round value money . would definitely stay next London trip . 
 Nov 19 2009 	 excellent value money great location helpful staff 	 lovely stay Arosfa . staff / owner really friendly especially late notice ask extra bed put room . hotel lovely clean breakfast good hot cold food offer . downside size bathroom room . tiny struggle close door use toilet ! everything good would recommend anyone easy reach tube walk place like Oxford St . 
 Nov 17 2009 	 great price location staff - CLEAN ! 	 husband two friend recently stay Arosfa Hotel five day . stay upstairs apartment ( two bed room double bed , small kitchen , share bathroom ) . room spacious , comfortable , clean . staff friendly arrive early first day , store luggage we explore city . breakfast perfect include price room . location hotel great – close many tube line . since read review look room clean , think get good room place other look bit small . also warn elevator book small apartment three flight stair climb . issue we , soon check staff show room potential guest gentleman quite time climb stair . , place jewel definitely back . 
 Nov 14 2009 	 friendly clean look tiny room 	 last room available must account small possible twin room . two different sized bed radiator head board take thing bit far . shower room incredibly small room wc shower . also close door use wc enough room knee . great difficulty get hot tap tiny sink turn plug supply . as indicate review though staff mostly friendly hotel keep nice clean . nice guest lounge ( although overpowering lily , thing ) free internet access good . I guess would happy pay less £ 204 two night small basic space . still recommend though room small , check first ! 
 Nov 4 2009 	 ever reliable value 	 2nd stay Arosfa everything say back May year still stand . one expensive city world accommodation , Arosfa amazing bargain wonderfully central peaceful location . yes , room small yes , lot stair ( especially be triple top floor ) not visit London sit room day enormous breakfast serve , stair help keep fit ! staff unfailingly helpful friendly , safely store luggage late plane train . simply beat location ... good bus Tube connection not fitness freak able walk Soho , West End shopping , theatre etc , close British Museum , Tottenham Court Rd shop , Kings Cross & amp ; St Pancras Stations great pub restaurant around Southampton Row area ( include Ricky Gervais ' favourite indian place area , Hason Raja , husband would heartily recommend ) . London budget will not stretch Connaught Claridges , avoid overprice shabbyness many London 's middle range hotel book bargain Arosfa . 
 Oct 30 2009 	 Warm Welcome Small room Great breakfast '' 	 Arosfa small gem hotel ( b & amp ; b ) locate vibrant Bloomsbury , short walk British Museum . upon arrival ( 9:30 ) greet warmly , find place store luggage room would ready head spend couple hour British Museum . promise , room ready noon . though small U.S. standard , everything clean fresh . room remind cabin aboard ship : everything need proper place . turn , much see London , room size really not matter much . staff unfailingly helpful friendly . patiently answer question make helpful suggestion . price , fantastic breakfast , Arosfa turn great value indeed ! great place eat ( drink ) right around corner , pub name & quot ; Marlborough Arms & quot ; . 's fill university student pub menu quite good . food reasonably price . bar selection ( wine beer ) good , . 
 Oct 20 2009 	 fabulous little gem hotel ! 	 stay 5 friend 2 night weekend reunion . great location , close lot London 's attraction tube station . stay apartment top hotel two big room large bathroom share , even little kitchen come handy . bed comfortable room clean . overall hotel well decorate lot character . staff could not enough we friendly . Breakfast delicious lot , hot cold . price great ! enable we spend money enjoy . consider large chunk money go hotel cost would definately recomende plan stay . thank staff great stay ! 
 Oct 18 2009 	 Great Hotel Price aware traffic noise 	 sister - in - law stay 3 night end September . twin bed room incredibly small , adequate purpose . location excellent get around , close tube station , walk British Museum . great price , include hot and/or cold breakfast item . one complaint room face Gower Street noise window traffic terrible - go night . solution shut window completely run fan full speed generate ' white noise ' . entirely block . maybe room side hotel would well . 
 Oct 6 2009 	 tiny room affordable price excellent location friendly staff 	 hotel really good be travel alone - price per night London city centre unbeatable . be travel someone might want look double room somewhere else share price . the single - room tiny tiny bed , everything need.price include full - english breakfastthe location excellent , staff friendlyit free internet , wireless pc guestscareful - reception close 22:30 , make sure manage get time . apply 1st night , since get key arrive late want 
 Oct 3 2009 	 great location reasonable price . work we . 	 husband get home London 6 night stay Hotel Arosfa . location look ... walk distance British Museum , bus stop right across street , tube station couple block . room clean though first room ( twin reserve online ) small claustrophobia know could not 6 night . owner sympathetic offer we large room price . find second room ( think triple ) satisfactory good time London . one area could use improvement service breakfast . person server dining room brusque unwelcome personality . never introduce make chit - chat . though service efficient atmosphere dining room uncomfortably reserve . ask anything outside regular english breakfast ( 1egg ( poach ) , bacon . bean , sausage , broil tomato toast ) make we feel like fussy irritating . result visit socializing often enjoy bed breakfast establishment miss . also , lucky great weather result window open . aware lot street noise Gower St .. use ear plugs night block noise make tolerable we . 
 oct 2 2009 	 definitively come back 	 hotel - perfect location , pleasant staff , nice room ( family room ) , cool lounge could write home free pc internet , good breakfast good beed . friend stay single room . room small , hotel really good way not bother . bathroom small , price London - 's really good place stay . try lot hotel London , well far . 
