good 	 get back England trip stay last night Premier Hotel . 's second stay be even well last trip . much improve dining area . great food Bar . room compact well appoint exceptionally clean . location great , lively Earls Court road 2 minute walk tube . close also Holland Park Hyde Park . parking always expensive 's close short term long term parking . staff excellent always helpful . will look stay next family visit . definitely good family value around . 
 look futherthis ! ! ! 	 recently stay Premier Inn , Kensington Earls Court pleased service decide write experience other go see . front desk restaurant refit want difference ! ! reception slick self check still traditional reception desk . restaurant really nice , relax spacious . hide gem team customer service . feel team member , one person pass bye without ask " stay " " well " . thrill , clean hotel , good . 
 Nov 24 2009 	 absolutely excellent 	 one good hotel stay anywhere , well other pay 4 time much London States . room spotlessly clean , spacious , extremely comfy bed , excellent air conditioning ( always give ) large bathroom plenty bathroom storage space . staff always smile really helpful , domestic staff , restaurant staff reception staff . nothing seem much trouble . restaurant serve tasty food great choice , breakfast dinner , Earls Court tube literally 3 - 4 minute easy walk away . lot shop restaurant / bar choice nearby also , good thing hotel tremendous value offer . special offer pay £ 130 2 night 2 people include breakfast - simply excellent ! ! hotel heartily recommend can not wait go back . 
 Nov 21 2009 	 Excellent hotel 	 stay hotel 5 night friend September . staff incredibly friendly . friend town , staff go way discuss map plan around city we . always greet smile anyone meet hotel . the room comfortable clean . leave morning , everything always clean time return night . hotel great location . minute away Earls Court subway station plenty restaurant shop around . hotel go renovation -- redo restaurant , believe -- , quiet stay night night , thing still keep clean . budget hotel , excellent stay , would definitely come back . 
 Nov 13 2009 	 Perfect location great price great hotel . 	 partner stay 2 night ( Fri - Sat ) . arrive 12 Fri check be not unitl 2 , girl reception kindly allow we check early room available . room spotless , nice hot shower , tea / coffee make facility , extra pillow quiet night ( could not ask ) . 3 minute walk road Earls court underground station , line go major attraction . opposite baker oven cafe ideal do not fancy Premier Inns Brekkie . staff hotel friendly , price London reasonable certainly will not look book elsewhere next trip London . highly recommend . 
 Nov 12 2009 	 Great Location - Good Value Money 	 stay 13 year old son 4 night Wednesday - Sunday half - term week October . room bed comfortable - exactly describe . temperature fine - usually suffer Premier Inn type hotel hot , time fine . Maid service lacking . run toilet roll ring . sure maid miss room one day . replenish milk tea tray happen 5 pm couple day run thing . Sunday awoke pour rain , rain start drip window frame carpet . staff friendly enthusiastic reception . the hotel fully book week breakfast incredibly busy . go 8.45 , would wait table lengthy queue form seat . mug , jugs teapot short supply one day wait 15 minute mug cup tea , view good enough . variety food offer excellent could not better really . hot breakfast item well cook good standard . good value money kid eat free , pity wait utensil though . noise - room side road across bridge , away railway line . not experience noise Floor 5 , bridge . good location , couple minute 's walk tube station plenty restaurant eat locality . ate & quot ; Real Greek & quot ; - nice meal , one authentic greek place outside Greece also & quot ; little french restaurant & quot ; set menu £ 9.95 . good . great place stay London . would not stay Premier Inn outside city break airport stop , certainly suit purpose busy day visit London . good value money , room slightly big boutique hotel stay twice room rate . 
 Nov 3 2009 	 clean 	 ( 2 adult baby ) stay Premier Inn - Kensington 7 night October . stay family room . hotel locate far Earls Court tube station convenience we . room overlook rail track . could see hear train . bother we . lot place eat grocery store nearby . room small clean . staff friendly . restaurant hotel serve buffet breakfast . line always long . the drawback wait long time check since pay cash . would fast pay credit card . we be happy hotel . 
 Oct 25 2009 	 friendly hotelgreat location . 	 stay 2 night , walk distance place want visit like meusem , harrods.the staff friendly nothing much trouble , food good breakfast great value money , room clean comfortable.its nice area really close earl court underground.would stay . 
 Oct 24 2009 	 excellent value money friendly service 	 book hotel want hotel close museum one value money suitable child ( 6 year old ) . not disappoint - hotel far exceed expectation . from review read , expect noisy - could not hear train guest , even though hotel fairly full . room clean good size central london separate single bed daughter say comfortable . the breakfast excellent - around £ 7 free child . selection quality good ( well ) pay double hotel . all staff polite welcoming go way help . all pleasant overnight stay . would definitely look stay another Premier Inn , especially travel family . 
 Oct 21 2009 	 Excellent value money 	 stay Premier Inn $ night October . find staff extremely friendly helpful , room comfortable , meal excellent standard ( sticky toffee pudding something die ) . well locate near tube station , get central London tube minimum fare . definitely stay visit London 
 Sep 27 2009 	 bargain definitely 3 star bit noisy 	 manage book £ 49 night promotion Premier Inn run moment . price , bargain London , stay would not pay anything £ 65 per night . the location superb minute walk Earl 's Court tube station lot dining place , reasonably cheap , around . also safe area , good plan stay late walk home late night . its also reasonable 15 - 20 minute walk South Kensington area museum such . the lobby hotel nice , redecorate , staff friendly helpful . newly open restaurant bar look cosy invite , dine comment food . however , all - you - can - eat breakfast £ 7.50 , purchase spot ( discount pre - booking ) .The room functional , air conditioning work well . get one room directly overlook train track , two set thick window could hear train sound ! however , wall rather thin hear sound door slam people talk corridor ... could unlucky live floor stag party group . one downside internet wifi room ; modem connection . 
 Sep 17 2009 	 great location great value money 	 ideally locate close Earl 's court tube station ; get great rate Feb ; clean excellent service 
 Sep 14 2009 	 Great Location ! 	 stay , know expect . Premier Inn locate great location - tube stop close ( great access back airport well Picadilly line ) . generally stay cheap hotel , cause London August , sure want air conditioning , Premier Inn . nice cool . room large clean . staff always friendly , issue , doresolve quickly . instance , check double room , also acot room .. request take quite lot space . call tell need remove , come upstairs fairly quickly assess situation ( remove next day rather large ) .. point come help we quickly . one problem hotel ... clearly not enough cleaning staff . twice come back hotel 3:30 pm ( past 4:15 ) room still clean . like come back , clean head dinner theaterand able get room late time problem we . hadseveral long day trip , know , happen several time thanthe two time know . clean staff nice good job , say not do 3 pm ( ) . think people London like clean dinner many show 7 pm , one would expect beable one 's room 4 pm . hotel re - furbished , problem . , staff quitehelpful always smile . recommend especially summer month onerequire air conditioning . clean , comfy , centrally locate . 
 Sep 6 2009 	 awful hotel service 	 travel weekend London show . hotel set vey strangely - side road , cross via creaky 1st floor gangway . hotel ' sshhh ' sign place , reflect thinness wall . the staff okay , although fairly forgetful disorganised . need walk quasi building site get hotel ( new restaurant ) .I would recommend anyone . 
 Sep 4 2009 	 quiet comfortable unpretentious excellently locate ; reasonable value 	 read many TripAdvisor ( TA ) report selection hotel , boutique well chain , choose Premier Inn well bet reasonably price decent hotel . disappointed . first , web site elegantly simple one come across . fussy , work every browser use ( many site set IE not check work other - not even bother proceed ) . book Premier Inns long period 2 city cancel ; problem . later re - book short stay one . much information front . price quote include VAT etc ; search fine print add - ons . warn adjacent rail line ( fact seem sit one ) problem rail road noise . undergo renovation ( could old post WWII hotel take ) bit concerned arrive thing notice obvious external work ( noise ) small temporary reception area . room clean , compact compress . example , double bed fact queen bed ( comfortable ) , small writing desk , mirror ( adjacent hair dryer ) double dress table , one could easily stretch chesterfield . simple electric jug making tea . bathroom simple effective , especially soap dispenser bath hand basin ( walk soap bar little sampler bottle never use ) . air conditioning . one thing really look air conditioning . TA report brief mention make review hotel one weakness Premier Inn difficult get information specific hotel . much reading conclude hotel , include one , AC other . therefore , get room first thing check AC . various sensor wall ( old obviously connected ) could find anything seem work obvious & quot ; window & quot ; big box . phone reception desk complain work air conditioner . & quot ; will someone within 10 minute , sir & quot ; . within 5 . one crafty quiet system come across . turn big box , vent ceiling ; turn AC ( ) could not hear see anything obvious assume one . lead mention one important deficiency . ought folder room explain thing work , include set wake call ( instruction ' phone , handpiece , see pick call reception desk wake call ) detailed instruction ( include station / channel number list ) operation tv . maybe people familiar English / EU system need that . incidentally , check apologise restaurant ready think one necessary . within 5 minute walk ( octogenarian snail 's pace - could 3 minute ) Earls Court Road wide variety ethnic eatery - lebanese , japanese , chinese , italian , French , representative various fast food chain , even England forget Cornish Pasty shop essentially station ( pasty well long time ) excellent pub ( Blackbird - name Lockheed SR-71 speak know nothing ) . area around Earls Court underground station good transportation hub . four stop east Victoria easy access Gatwick Express ; Piccadilly Line take directly Heathrow , underground happen strike ( yes , happen we - twice ) short cab ride Victoria Paddington Heathrow Express . past couple year stay two London hotel , choose easy access Heathrow Express ; Best western simply much wrong high price , Paddington Hilton excellent come high price , probably reasonable value want bell whistle . Premier Inn sit nicely - unpretentious , bell whistle one need quiet comfortable stay London reasonable price ( GBP98 ) .room improvement without outlandish expense consequent price increase ? yes . web site give link could get information ( one two paragraph ) pertain specific hotel . hotel would nice find information folder room . 
 Sep 1 2009 	 Good Value Good Location 	 stay 3 night hotel , 1 block Earl ' Court Tube Station . room roomy , clean comfortable . hotel undergo renovation visit , not hear noise , get inconvenience work . with renovation go hotel able offer full range service , give clear quiet , offer good night guarantee . staff guide we another Premier Inn 5 minute walk away Breakfast . Earl ' Court Road also offer option Breakfast . the room offer pay use WiFi internet service 5 GBP hour 9 GBP day basic use . ( business package also available . ) share iron iron board room floor frustrating demand high / guest neglect return it . overall hotel reasonable give undergo renovation time . close Earl ' Court make convenient reasonable value money . bar breakfast facility , willbe good value hotel London . 
