Exceptional 	 stay 12 year love hotel . great room amenity . excellent English breakfast many choice . location near tube , restaurant , theater many interesting sight see . friendly atmosphere . would recommend age . 
 Nice renovate hotel good location 	 work 5 min away use overnight stay London . recently renovate , nice hotel , pretty good service door reception . room king , internal facing , fine arrive 5 not really look , probably worth check view get . bathroom really really small spotless modern great . room decent size , desk , seat , LCD tv decent sized wardrobe . hotel overnight shoe shine service not use not aware lead sign aspire good hotel . overall would say good hotel frankly price good . hotel London generally hit miss sometimes , pay £ 200 would stay , central everything , modern clean . however cost £ 190 get Claridges £ 250 ... mmm formal / stuffy fo get overall well hotel Royal H. overnight stay stay . tourist stay long , fair bad choice , although good 15min walk Covent Garden 5 - 10 Trafalger square . 
 Nov 14 2009 	 absolutely fabulous ! 	 great hotel , book surprise birthday treat fiancé BEST time ! original booking booking.com seamless , confirmation call Latoy reception arrange upgrade room we , fantastic Michael concierge manage secure we last minute book amazing Gaucho Grill Piccadilly hotel could do more . we graciously greet , swiftly show amazing room – 312 overlooked river Thames London Eye . bathroom rain shower LCD tv bath , everything could control touch button bed , perfect . I would recommend hotel Londoners , Mancunians , brummie , foreigner , everyone ! situate prime location , everything could want doorstep , whether prefer travel tube less 2min walk away , ' rather jump cab ' disappoint everything London offer close taxi fare ' break bank . I use ' check rate ' feature Tripadvisor able find unbeatable price – definitely make use utility future booking ! 
 Nov 8 2009 	 lovely hotel perfect location pub theatre 	 usually stay Marriott County Hall business . since full , thought would try Horseguards almost directly opposite north side river . disappointed . although , not swim pool like County Hall , well restaurant , bar breakfast brilliant . staff friendly general hotel relaxed welcome atmosphere . one big plus good pub near Strand within staggering distance ! room 6th floor overlook Thames . 6th floor treeline river fully visible . one negative size bed , although fine one person , two would bit squeeze . ' m sure whether room size bed though . , thoroughly enjoyable definitely recommend , 
 Nov 8 2009 	 Fantastic- new London favourite ! 	 first visit Royal Horseguards- certainly will not last . from gentleman sweeping door open we arrive , lovely man check we , breakfast staff concierge , staff polite , efficient charming . we arrive early , 12.30pm not expect able go room , think would leave luggage go , 5 minute wait , give keys- apology delay ! double room view spotlessly clean , tastefully decorate . lobby area easily spacious enough we . stunning view Thames London Eye , even amazing night light various colour . small touch like heated bathroom floor , tv bathroom , mood light dress gown slipper provide make stay feel special . the bed linen high quality bed comfy . pillow soft like purely personal opinion . minor fault mention speaker bathroom not work , sure mention would try fix . breakfast excellent , consider buffet , fry scramble egg cook perfection . staff attentive polite . next time stay London , hotel . 
 Nov 7 2009 	 Watch currency conversion rip - off 	 really nice hotel excellent room , staff location . however , feel rip hotel convert bill pound $ usd fail mention fine print & quot ; exchange rate mark - up 3.5 % . & quot ; mark - up mention check - out unfortunately not notice arrive back state . really add insult injury already poor $ usd pound exchange rate spoil otherwise good impression hotel . 
 Nov 6 2009 	 Sheer luxury 	 hotel pricey , quite luxurious . location great , within walk distance many historical site close undergound . 
 Nov 5 2009 	 Excellent Hotel 	 Lovely Hotel great location . good sized room first rate furnishing fitting . check staff helpful courteous . would definitely recommend . 
 Nov 3 2009 	 Fabulous hotel - central comfortable . 	 stay Royal Horseguards hotel one night - Hallowe'en fact . manage snare special discount price - think £ 160 include breakfast - pretty impressive . perfect location . room front could see river London Eye . short walk Embankment Tube station , extremely short distance area theatre . room great . think basic model , impressed . furnishing well think - nice colour give homely feel . bathroom not huge , double shower , heat towel rail , underfloor heating etc . breakfast Sunday morning . fine . english breakfast - can not comment aspect . not much add - appear say poster . wish wehad stay long appreciate facility hotel . although not discount price would not do so . I hope visit - definitely put TheRoyal Horseguards Hotel high list hotel stay . 
 Nov 1 2009 	 good 	 ferb take away character , wait late afternoon , long 2 pm checkin time get room , ( 3 , ) go theatre clothe travel hour . expect , stay . beware , do not rely timing may miss show ! 
 Oct 14 2009 	 great facility convenient neighborhood service somewhat want price make . 	 midst spend 8 day property . second visit London -- first 1996 -- impressed physical facility cancel reservation Ritz go finish stay last half visit ( stay Ritz 1996 thoroughly enjoy experience ) . hotel locate Whitehall Court Westminister , Royal Horseguards Avenue Whitehall Place , overlook park run alongside Victoria Embankment border Thames . select deluxe room river view ( command high price cheap room ) turn goodly size -- 450 square foot include bathroom small 2x2 shower stall regular sized tub ( radiant floor heating heat towel rack convenient dry sock ) -- feel large high 12 foot ceiling . price 239 pound per night ( without breakfast ) , tremendous bargain since view fantastic hotel 75 yard embankment tube stop ( serve three line ) embankment pier one get boat Greenwich , etc . nice firm bed ( lack memory foam topper even foam bridge & quot ; tie & quot ; two single bed together , pillow ( although , candidly , not ask whether available , assume perhaps improperly available would standard issue ) .The drawback , , service definitely top drawer . think , though , disparity may characteristic singaporean hotel -- stay 10 day last summer ( Olympics ) Raffles Beijing , find hotel facility great service merely acceptable . however , price convenience , one forgo service . the hotel five minute stroll Downing Street ten minute stroll Houses Parliament Westminster Abbey , , course , river view worth weight gold . 
 Oct 12 2009 	 Nice hotel not pay extra view Summer 	 stay hotel read many positive review . choose Premium Club King suppose & quot ; splendid view Thames London Eye & quot ; . first room show completely grow foliage tree dark . second room . finally allocate room 6th floor call partial view gap foliage river London Eye . final room bright airy add bonus lovely big window bathroom . room amenity nice feel bed bit firm side glad move six night . the service experience check strange disconnected apology fact promise view forthcoming . our room rate also include canape room every evening . show first evening call ask second night . check informed room service indeed entitle canape arrive complimentary bottle wine . nice gesture , check staff take note . also delicious serve every evening thereafter promptly appoint time ! breakfast adequate . not try restaurant night breakfast ordinary . overall hotel lovely , modern , clean , wonderful bathroom beautifully maintain service reception odd unnecessarily frosty especially 23 hour flight ! 
 Oct 11 2009 	 impressed ! 	 impressed hotel moment walk door - polite , friendly , professional service beautiful surrounding . first night neighbour extremely noisy complain offer new room turn upgrade ! hotel excellent location - quiet ( although building work go moment Whitehall ) central main sight . both room stay comfortable luxurious - thing could improve double bed quite small pillow plump - otherwise real please stay definitely return . 
 oct 8 2009 	 luxurious hotel fabulous location- highly recommend 	 choose hotel base glow review give guest Royal Horseguards Tripadvisor . happy choice . staff friendly helpful . free breakfast include package exceptional . location great- across river Eye London- take walk bridge walk Eye , close tube within walk distance many sights- Big Ben , Westminster Abbey , Trafalgar Square . room spacious even flat screen tv jacuzzi tub . would definitely return hotel again- hope soon . 
 oct 8 2009 	 great hotel great location 	 spend two night Royal Horseguards London late September . room lovely , fantastic view Thames Eye , staff great location perfect see high point London short visit . need pay deluxe double view able see Thames , ask 7th floor view block tree . hotel beautiful , old building room large sunny . 
 Oct 7 2009 	 fancy hotel ' ve ever stay ... 	 not online , advance price discount would ZERO chance ever able afford stay hotel . luckily , start London holiday research several month advance get great price twin room friend . view course suspect even Royal Horse Guards ' bad room rival good room hotel . our twin spacious well lay fill sort thoughtful classy touch - heat bathroom floor , slipper housecoat , one point , lovely tropical plant appear night stand table , suppose . the service equally exceptional . housekeeping thorough never lessen quality entire five day stay . in - room tea / coffee / treat replenish daily . door staff concierge consistently friendly professional . the location hotel quite central wonderfully close embankment tube station . easy walk anywhere . several pub coffee shop locate nearby . Villiers Street , embankment station , lot little cafe Princess Wales pub stay open quite late really good breakfast . all good choice want something extra special London hotel stay . 
 Sep 25 2009 	 lovely stay 	 stay Royal Horseguards recently boyfriend 's 30th . great time ; room lovely fabulous view hotel great location explore city - opposite London Eye , Downing Street Trafalgar Square around corner . hotel bar nice ( predictably pricey ) , particularly weather pleasant enough enjoy drink terrace . attention detail would expect top hotel , lovely additional touch - return bit sightseeing find tray chocolate cover strawberry room ! not eat dinner hotel ( go Bleeding Heart restaurant Hatton Garden - absolutely fantastic well worth visit ) , sure good restaurant . slight niggle entire stay choose take breakfast room say lukewarm would kind ! guess sacrifice heat bit privacy , would take trip downstairs next time ! hotel not cheap , good thing London rarely ( ' ve live work 8 year feel qualified make comment ! ) , base experience deserve 's good reputation . 
 Sep 24 2009 	 Dream Hotel 	 picture see hotel website usually different person . , exactly like picture online . awesome experience ! room clean large . great location Underground , London Eye , restaurant / shop , etc . wonderful staff people . everyone helpful friendly . accomodating . first trip abroad , would heartbeat trip start wonderful experience hotel . exactly think London would . outside hotel beautiful inside . Cheerio . 
 Sep 21 2009 	 top choice central London hotel 	 superbly locate central London sight , would great choice weekend London . hotel newly refurbish smart , clean , comfortable spacious room . good view quiet street front hotel . minor quibble soundprofoe room not good , noise corridor audible , breakfast bit disappointing , great otherwise . 
 Sep 20 2009 	 can not think well location stay first trip London 	 14 year old daughter stay Royal Horseguards last week August . room 4th floor ( Rm . 412 ) . really nice room EXTREMELY clean , make difference . negative comment make view River Thames block tree really not view . location hotel EXCELLENT always feel safe . close site tourist want see first visit London : Big Ben , Westminster Abbey , Parliament London Eye . also walk Trafalger Square , National Portrait Gallery Buckingham Palace ( 20 min . walk ) . tube around corner take everywhere ... Tower London , Kensington Palace tthe Apollo Theatre see Wicked . everyone hotel pleasant . would hesitate stay . breakfast include rate . serve hearty english breakfast : sausage , baked bean , bacon , egg , porridge , etc . comment breakfast never change start get boring day . coffee shop near embankment station delicious panini . Wish could stayed long ! 
 Sep 19 2009 	 Fantastic ! 	 spend 5 night September , say hotel perfect . staff amazingly polite helpful , something common Europe moment . check departure , nothing much trouble . good choice breakfast , room well equip , great location ! thank entire team beautiful experience . 
 Sep 18 2009 	 amazing hotel fabulous location - must stay ! 	 hotel live review room location absolutely amazing . hotel locate right Thames walk London 's major attraction . lobby check elegant doorman extremely welcoming . room 314 bellhop take we room show we amazing feature room . ipod charger / plug integrate speaker room , tv bathtub , amazing view garden , robe slipper , safe huge armoire , large desk flat screen tv , one large room imagine . go hotel , must stay get chance . rate 129 regular room 149 room view . view tree not recommend spend money view . breakfast nice , 10 pound extra . far nice room ever stay Europe majestic hotel like stay castle . worth every penny never want leave ! 
 Sep 17 2009 	 could live London would want live . 	 Royal HorseGuards Hotel take breath away ... gorgeous building , interior exterior , location , wonderful room - enthral . arrive States ungodly early hour 8 ( London time ) , managed get we room shortly return breakfast . the room lovely , terrific view . GREAT shower Breakfast .. nothing short amazing - include . huge saving allow we eat even large meal dinner : - ) look walk creation , location perfect - embankment tube step away , Charing Cross Station short walk away . close enough walk Trafalgar Square , middle touristy crowd . hotel also incredibly close Jubilee Bridge , one get incredible photo Thames , Big Ben , London Eye . ideal we -- location , service , amenity , . negative could not stay long . certainly plan return . 
 Sep 11 2009 	 lot potential 	 Royal Horseguards beautiful hotel fantastic location . agree positive comment many reviewer : property clear , room spacious , renovation make property look great . reason 3 star rating mainly due soundproof . light sleeper despite fantastic renovation hotel soundproof . every siren , pass car nearby street , construction crane hear inside nearly level outside . unfortunate first night move river view room due noise outside ( second person request move noise evening ) . comment would regard room upgrade . front desk aggressively push pay room upgrade somewhat ad hoc manner - happen watch happen guest time tell hotel nearly full . never experience 4 5 star hotel London , surprising . would recommend property anyone get favorable rate long light sleeper . 
 Sep 10 2009 	 Beautiful Hotel perfect location Classic London 	 standpoint american tourist look see & quot ; classic & quot ; London site , Royal Horseguards perfect . location standpoint Royal Horseguards short walk London Eye , Trafalgar Square , Houses Parliament , Big Ben , Westminster Abbey much . mention embankment station 100 m away ? hotel , beautiful . great view across river small park locate hotel property perfect way start end day . hotel staff invite friendly , answer question smile . downside room bite small money , , location staff make . also , ' ve tell London room close Europe vs. US - size room may standard . next time ' m London hesitate check Royal Horseguards . 
 Sep 9 2009 	 beautiful elegant perfect location ! 	 husband stay Royal Horseguards 2 night . lobby lovely staff unfailingly polite helpful . room Thames River view , view nice nonetheless . room large luxurious , amenity . believe hotel recently renovate result lovely . location wonderful -- walk Trafalgar Square , Big Ben , Westminster Abbey , Royal Galleries . would definitely stay ! 
 Sep 8 2009 	 fantastic hotel ! 	 return week long vacation London hotel one highlight . location perfect key site ( Westminster Abbey , Parliament , Big Ben , Buckingham Palace ) right next Tube station make easy use subway system . staff second none always help we question book site see trip we . favor look hotel ... disappointed ! ever make back London , know stay heartbeat . 
 Sep 7 2009 	 vastly improved since Last Visit ' 07 	 husband stay Royal Horseguards number occasion past 10 year . first encounter late ' 90 , sorely need upgrading repair . recent visit , note hotel new management perhaps nice place ' ve stay central London . Royal Horseguards boast full range modern amenity include air - condition room ( room non - smoking ) , flat screen tv room bathroom , WiFi newly refurbish appointment throughout . previous proprietorship service attitude hotel staff leave lot desire , change management appear do wonder quality establishment level service . room overlook Thames London Eye request email ( although guarantee ) . Breakjfast include consist standard english fare , spectacular , adequate business traveler . ( staff gracious enough allow we conduct small business meeting breakfast . ) location always excellent traveler business UK government , well tourist . base upon experience , choose Horseguards next trip . 
 Sep 7 2009 	 great Clean Hotel Impeccable Service 	 fault hotel , perfect location , clean , attentive genuinely friendly staff . stay first night honeymoon safely say make great choice hotel , quite street right action , Trafalgar square two minute walk away . perfectly clean spotless hotel great buffet style breakfast ....... disappointed hotel . 10/10 
 Sep 1 2009 	 good view London ! ! ! 	 husband travel london hotel really make difference trip . take 29yr old son friend . accomodation fantastic . staff nice location great . definitely stay . son junior executive suite 2 twin bed . it perfect ! ! ! travel quite bit know great hotel ..... one ! view husband suite beautiful ! ! ! ! directly look River Thames London eye across we . we love ! 
 Aug 29 2009 	 good location accommodation little touch let 	 hotel good position offer excellent accommodation feel 4 star 5 star . bedroom well fit breakfast disappointing let place down . there paper napkin instead linen napkin usually find 5 star hotel , orange juice cheap concentrated variety rather fresh juice . pats butter look pretty taste - clearly low quality butter horrible substitute - something usually find 5 star establishment . we also cream tea well present . scone tasty bread doughy revolt cheap butter subsitute . service tea excellent . if Royal Horseguards could sort catering bring line 5 star establishment would certainly recommend . another warning - Pimms expensive hotel . four small glass Pimms charge £ 46 . would much cheap purchase bottle wine . appreciate price 5 star hotel expensive could 4 cocktail price . glass Pimms ( twice size ) £ 3.50 pub yard away . 
 Aug 21 2009 	 Excellent - first class room service food 	 room fabulous , clean , date , decorate impeccably . nice touch room good bath shower . tv bath . good view Thames lovely . 
 Aug 18 2009 	 Great Location Nice Hotel 	 husband spend 9 night Royal Horseguards - July 2009 . extremely happy choice . location great - could walk major tourist site Tube Station block away . check - in quick easy . room spacious love large window . bathroom update towel rack warm also heat bathroom floor . & quot ; rain shower & quot ; type showerhead tv screen shower well ( love bathroom ! ) king size bed nice soft comforter plenty pillow - problem sleep whatsoever . we breakfast include & quot ; package & quot ; buffet breakfast morning include egg , toast , coffee , sausage , bacon , fruit , cereal , pastry , coffee , tea , juice ... something everyone . would definitely stay ! reason not give 5 star ask 2 wake - up call stay . first one automate able request phone . second wake - up call last morning ( crucial check time catch flight ) time call order one someone front desk take request . luckily , awake anyway wake - up call .... never receive one morning . & quot ; stuff & quot ; happen would not let keep stay ! staff also nice ! hope back soon - great time London enjoy sight ! 
 Aug 17 2009 	 amazing find practically faultless 	 great find ! generally fussy traveller usually reside Four Seasons County Hall however entertaining friend decide book somewhere different . hotel room spacious light- usually central london & quot ; airy & quot ; room not come territory . modern yet wonderful architectural features- view london rooftop 9th floor impressive . complete renovation exceptional standard feel privalage stay . drink expensive- £ 40 round 4 people , bar , lobby resturant atmosphere not anything write home mainly use hotel sleep , perfect . room really quite something- standard room tv bathtub- something would usually approve rome ... toiletry provide Elmis plentiful . overall decor staff service excellent seem well train . great location- could not fault it . I definately stay next opportunity ; almost want keep secret rate stay low . excellent find recommend . 
 Aug 17 2009 	 First Class experience 	 stay hotel 8/11 - 8/13/09 . originally plan stay 6 night unfortunately return home daughter . experience wonderful . hotel locate near Trafalgar Square theater district directly River Thames . receive free upgrade River View room standard deluxe double . room spacious , immaculently clean , modern / traditional decor set four french door full window Juliet balacony ( though reamin cable close safety concern ) overlook beautiful garden River Thames . room service wonderful great food , beautifully present heavy gauge silver tray . room rate 150 GBP , complimentary upgrade ( book directly hotel reservation phone number ) per night complimentary bottle wine arrival complimentary breakfast day ( serve downstair buffet room 10GBP fee ) nice choice pastry , cereal , fruit salad along egg traditional english breakfast item . first night feel well , phone room service 1:30am send someone tea , juice , toast , croissant , jelly butter -- charge - & quot ; guest care guest . & quot ; get treatment like mother 's home ? ? ? ? ? heat towel bar , power deluge shower head , new modern tile blue edge beautiful bathroom mirror light makeup mirror , also include television tub area . switch operate heated bathroom floor well . absolutely spotlessly clean . big item hotel . concierge arrange car service Heathrow black Mercedes sport sedan nicely dress gentleman kind courteous engaging conversation -- nice . reception wonderful . fault nothing hotel except mattress pillow . stay , disappointed . stay Kensington love area , 4 - star hotel stay around 160gbp-180gbp nothing near amentie , service accommodation quality hotel -- definitely 5 - star experienc . nice ! ! 
 Aug 16 2009 	 central location great staff . 	 stay conference . staff great glitch room alocation helpful attentive . breakfast huge vast choice hard tear away get conference . also good advice get Heathrow . problem rest holiday parcel post Royal horseguard we pick return whole process go smoothly . relax enjoyable stay though next time would ask room view . 
 Aug 14 2009 	 Lovely Friendly Hotel 	 stay one night partner . lovely time service great , room clean tv shower , breakfast include price unusal day full english really nice . location next embankment tube perfect . 
 Aug 13 2009 	 certainly 1st Class 	 book less week 's notice middle summer ( tourist ) season although expensive ( 209GBP / N ) , cost certainly match accomodation class ... specially compare similarly class hotel staid ( London ) . pro : 1 - compare similar / same class hotel ( i.e . : Softel St James ) similarly boastful review , hotel price 10 % less , provide well room ; 2- & quot ; Royal King View & quot ; room stay to - die - for view river Eye London quiet , well stock amenity comfortable sleep ( picky sleeping accomodation ) , LCD tv heat floor bathroom , fast complimentary wireless internet connection , plenty accessable power outlet , iPod dock integrate room 's audio system , plenty storage / cabinet space ; 3- hotle well situate easy access attraction , destination , and/or transportation access point . con : ( nothing major enough leave even hint bad taste picky certainly thing need improvement ... ) 1- start 9 am , housekeeping enter / exist adjacent room , room room slam shut automatically result disturb bang ... planning sleep , warn not think could sleep loud bang ; 2- late night tv useless 15 news channel plus maybe 4 - 5 foreign ( non - english ) channel , plus 1 - 2 movie channel none ( usable movie channel ) work ; 3- last day stay , room phone not work VOIP ! & quot ; Cons & quot ; list really effect we see could big problem many . 
 Aug 10 2009 	 great Hotel ! 	 long weekend Horseguards pleasure . great hotel great location , staff excellent check leave . room river face spotless great bathroom . breakfast good plenty choice . return . 
