good 	 good thing hotel location , convenient base see Beijing major " tourist " site . room nice bathroom ' functional ( flush issue ) .hint : seven eleven close lot good yummy item great price . 
 comfortable 	 stay night husband , part organise tour group . pay tour whole , can not really judge value particular hotel . it be well situated , shopping mall , enormous supermarket , pizza restaurant lot restaurant nearby . room clean comfortable , though bathroom look tired . bed hard , many chinese hotel room . two bottle drink water lot toiletry tea - make necessary provide . a little information would useful - example , electric socket use UK visitor , be hide round side desk , first night charge gadget shaver socket ! also , need room key use lift ; know mean take age get room , husband get trap 12th floor wait rescue . I would stay . 
 Great Location Good Value 	 stay , ask .pdf file hotel 's name address chinese show driver airport . immediately respond satisfaction . location can not beat . connected mall , near subway exit , surround local chinese restaurant many open 24 hour , bar coffee shop , mall , international food chain , near Wangfujing , Forbidden CIty , Sanlitun , easy hail cab hour . outside hotel lot car day 's hire case want go Great Wall , Ming Tombs , etc .. speak English well bargain good price . police outpost nearby too . check - in check - out breeze . front desk efficient . concierge readily help we hotel card direction tourist spot . the deluxe room stayed recently refurbish . bed comfy well pillow . get extra pillow request , extra towel : ( bathroom gripe . 2 we register guest , one set toiletry . probably could ask another set , not bother . soap replenish , even though stay 3 night . weird . bathroom ceramic tile , ugly completely unexpected , like throwback past . showerhead tub also antiquate need upgrade . particular bathroom cleanliness sad say , hotel need improve area . I regular Marriott client , safely say hotel one bad bathroom ever . due renovation soon . free wifi also instal keep current hotel trend . nonetheless , satisfied location value . 
 Nov 26 2009 	 reasonable 	 hotel well really central location cheap . not expect 5 star service . Beijing subway ( line 5 & amp ; 2 chaowenman Stn ) , Starbucks , McDonalds , Pizza Hut & amp ; local restaurant around corner . hotel concierge able provide local information . 
 Nov 19 2009 	 nice hotel stay 	 spend 4 night hotel . the room clean well maintain . breakfast buffet also great . location accessible mall , restaurant subway . would like stay visit Beijing . 
 Nov 19 2009 	 Hotel Great Service Convenient Location 	 Good point : 1 ) great location - walk distance subway ; access mall 2 ) room clean 3 ) helpful staff - concierge staff patient writing instruction cardsdownside : moment step hotel lobby , smell cigarette smoke . gym pool within hotel building . 's good hotel & quot ; come home & quot ; full day tour Beijing . room clean always order , comfortable . great location . will never go hungry restaurant around hotel open 24 hour . traveller crave comfort fast food chain , be McDonald 's , KFC Starbucks nearby . want local flavor , 's food court adjacent mall taste local fare . 's even mall supermarket buy essential plus food stuff local buy eat . not problem room service either , despite language barrier . even arrive Beijing , able experience customer service Marriott chain Courtyard Beijing . already make inquiry get airport hotel even request instruction chinese show cab driver . receive answer inquiry request via email within 24 hour . great service ! concierge speak english patient writing instruction card prove helpful take cab around city . 
 Nov 16 2009 	 conveniently locate 	 stay couple night part tour group . place convienent location several place eat area addition restaurant hotel . Pizza Hut & amp ; KFC addition Ramen place serve japanese style noodle . also coffee shop 7/11 , latter 2 block hotel . great stay hotel . 
 Nov 12 2009 	 great stay ! 	 wow ! stay Courtyard Marriott Beijing great ! many restaurant + starbuck build subway station 1 min walk ! room get exactly like one picture . even alone , give confortable King Size bed ! book hotel know China , get decent hotel room ruidiculously low price , hotel cheap quality , compare stay US.I would definitely go back ! 
 Nov 6 2009 	 good location nothing outstanding 	 spend one night close business meeting next day , able use many facility . location hotel convenient , many restaurant cater taste budget . restaurant locate nearby adjacent shopping centre . small supermarket buy drink snack room . the room clean good size , provide separate sofa coffee table along king size bed . bathroom also adequate size . much value pay internet access day ( 80rmb ) rather hour ( 40RMB ) . pay , also use wirelessly main area . check - in check - out breeze staff always friendly . it typical stay Courtyard Marriott Beijing , excellent location good value without anything special . 
 Nov 1 2009 	 not stay ... 	 hotel two type room , renovate not . first check put we ugly , smelly , old room . ask non - smoking room , room smell like smoke . request new room , change we recently renovate room . room courtyard standard room , old one not . service hotel horrible . front desk useless will not go way help . concierge try , ' resource . trip plane get there . to summarize , ' stay , ask recently renovate room . there starbuck McDonalds right behind hotel . also coffee shop mall across street . subway station really close . 
 Oct 23 2009 	 rather average good value 	 Courtyard hotel fairly handy location 10 minute walk Tiananmen Square convenient adjoining metro station . despite convenience generally busy surround area , hotel nevertheless feel rather off - pitch . building look rather date , comprise several fast food restaurant mid - range shopping mall , Courtyard tuck around back . lobby drab staff friendly efficient . hotel seem experience low occupation . my room generous size large bedroom separate living room . think fairly recently redecorate bed certainly comfortable quality linen . bathroom dull . amenity ( safe , coffee / tea , toiletry , iron , tissue ) available - although , strangely , iron UK power plug socket chinese ! breakfast top - floor executive lounge nicely present substantial . lounge also offer free happy hour drink snack early evening . staff friendly helpful . complaint . also use restaurant one evening , inexpensive menu dull appearance equally average food staff . my expectation hotel website good quality mid - range establishment lively , buzz cosmopolitan setting . reality , despite fairly good value offer thing visitor could want , not quite match expectation . 
 oct 9 2009 	 Photos Deceiving Courtyard Standards 	 tolerate stay hotel spend little time room . second room ... move room peel wallpaper . hotel guest do . hotel poorly construct maintain . courtyard name affiliate property . 
 Sep 27 2009 	 good value well look centre city 	 exellent time city although traffic BUSY easy get around . room recently decorate lobby / reception area could revamp . 
 Sep 26 2009 	 Quiet Safe Middle Beijing 	 IntroWe choose spend first 10 15 night Beijing Courtyard central location low price September . two room provide wonderful base family ' bejing vacation . Location TransportationAs early review mention , short distance Tiananmen Square , Forbidden City , Temple Heaven big factor we . want spend time heavy traffic , prefer see place ground travel . nearby subway train station offer many option favor cab . the shopping center attach hotel convenient grocery store , food court department store along many shop . thing forget pack . cab inexpensive Beijing fare attraction 30y ( 5USD ) . long day trip Mutainyi section Great Wall ; 800Y rent van driver carry five we ( guide two college aged child . ) due road closure 60th National Day celebration , decide move hotel close PEK airport final 5 night depart PEK day celebration many road close downtown . Room Features Price normally use Marriott point vacation , 500Y / night rate include two wonderful breakfast low use point . hotel one block south main east / west street , Chianmen Dondajie , road noise mute 12th floor king room . bed bit firm , fine housekeeping place mattress topper second day . everything room work except bath / shower faucet , temperamental . play get warm water , find turn 5 time hot turn . seem self service laundromat China , retractable string tub hang laundry wonderful . hung laundry everyday clothe shrink much dryer send , laundry price high neighborhood . a / c great long day hike around Beijing . minifridge keep we supply cold drink purchase downstairs mall . within 5 minute call housekeeping , maid bring we free ice drink . the staff keep room clean well stock 4 free bottle drink water day tap water drinkable China . 22 channel tv include Discovery channel , CNN several english channel , good selection unlike hotel several country visit . restaurant HotelWe choice free breakfast : 16th floor executive lounge limit menu ( egg order take 20 minute come restaurant ) 2nd floor restaurant , much large wide selection chinese western dish . small quieter town , may find noise level high unbearable place Beijing . good idea take earplug noisiest place . sometimes may feel surround billion people , like quiet seclusion executive lounge chilling ( open 5.30 - 7.30 ) usually eat breakfast restaurant . one night burger , another dinner share beef brisket . dinner fine cost 40USD two . enjoy option Executive Lounge evening heavy appetizer , light dessert free drink often eat dinner . lounge wonderful stop weather hot cold eat outside . weather perfect stay , either exhausted walk day head room spend evening dining outside lovely weather . if foodie look special lunch dinner , try new Capital restaurant across street South Gate Tiananmen Square . terrace view worth million dollar , fusion menu world . lamb oxtail superb follow deluxe dessert tray two definitely set back diet . ask concierge make reservation , enjoy dinner incredible view nightlight Beijing . full meal run 50 - 75USD per person well worth . place make we wish live Beijing ! Concierge Front Desk StaffThe concierge desk helpful writing place name address chinese hotel card cabby could take we correct place ( time ) could find way back use hotel ' card . limited experience , local speak enough english direct we destination , certainly could speak enough Mandarin ask question . important consult concierge leave day . the front desk staff speak limit little English , usually could answer question . fortunately manager and/or assistant around day , quite friendly speak English well . answer many question big plus hotel . make sure quickly find cab day . see western tourist stay , seem hotel staff eager please customer . free Newspapers HotelAt breakfast location , several newspaper include China Daily , extremely helpful lot Beijing news interest visitor . USA Today arrive around 6pm Concierge Desk . complete language barrier , real joy read news day especially article Beijing . Guide Service GoWe use service local guide meet we hotel first 3 day , enlighten visit Forbidden City , Temple Heaven , Great Wall . preferred half day first 2 day due jet lag . see rate range 35 - 100.usd per day depend guide ' qualification number people party . find guide , Jack , early TA review , fine job . email [ -- ] .after three day feel comfortable take cab hotel rely guidebook . love 3 hour Summer Palace ; kid rent paddle boat take hour across lake . also go nightspot attraction . husband prefer slow , eclectic approach sightseeing day spend mostly lounge around hotel area short walk neighborhood stop nearby coffee shop . feel like tackle challenge attraction breakfast , go . , choose something easy mind body . 50 ' , long push 16 hour day see everything humanly possible . Beijing many outstanding park , garden , temple , museum , serious nonshopper like could visit different attraction day month tire city . although visit Beijing shop , find price well store least high US . main difference seem Beijing store offer many item ' easily find us.electrical outlet roomswe could find specific arrive relieved receive four plug power strip check . wonderful plug hole must fit kind plug . careful whatever plug converter build may fried different voltage . charge laptop , cell phone camera every day strip . bathroom ingenious plug . Hotel Health Club PoolThese facility 5th floor open 10AM . swim pool long enough lap , lane marker bottom , one side straight . extremely nearsided , watch small child make excellent move target . allow pool shoe walk water , everyone must wear cap . water room temp seem tad cold times pool . son use gym say okay , ' vouch . summarythe Beijing Courtyard provide perfect base first 10 night China . safe affordable price tourist world . visit China frightens , hotel help overcome fear unknown . appreciate quiet refuge extremely noisy metropolis . 
 Sep 25 2009 	 Fantastic Location 	 typical Marriott Courtyard , whch mean know expect . accpetable exceptional . however , hotel 's location fantastic . within walking distance Beijing Railway Station ( 6 long block ) , 2 subway stop line # 2 . subway station line # 2 & amp ; # 5 directly corner hotel , easy travel Beijing , great subway system easy use & amp ; understand , also easy take Airport Express Subway upon arrival , connection line # 2 , & amp ; 5 stop directly corner hotel . 25 Yuan Airport Express & amp ; 2 Yuan Line 2 hotel . $ 4 usd total entire trip airport hotel , not get much well . hotel part New World Shopping Center , include usual US offering Starbucks , McDonald 's , Pizza Hut , KFC & amp ; Haagen Dazi important . great inexpensive Noodle Shop 1st floor , well local restaurant area . origus , 2nd floor next door , pleasant $ 7 buffet large variety . also great local food market 1st floor building next door hotel , worth visit . anything & amp ; everything local like , well lot variety tourist . also small grocery store inside market snack & amp ; drink room . would stay hotel without hesitation , since know get & amp ; surprise , & amp ; location unbeatable . 
 Aug 9 2009 	 4 star ? 	 ' m concern Courtyard Marriott Beijing manage receive 4 star , location acceptable though 4 star may wholly inadequate ; locate small side road many taxi driver hear . service adequate however need ask respond e.g . not help we , initially , confuse elevator system reach floor room ( unhelpful considering go cousin live room two floor ) neither mention breakfast . Cleanliness Courtyard 's weakness opinion , though mean dump vastly resemble 4 star ' ve live past . Orange peel scatter floor corridor ( first day ) invite we equally smelly room ! bedsheet exceptionally clean whilst go back service find plate leftover lie corridor whole day . room nice ( large ) size though not expect view every room ( per usual ) . bathroom however outdate , need major uplift . Overall Courtyard Marriott awful hotel fact may quite decent compare hotel Beijing , however understand 4 star . price might expensive disappointment staying might hit hard . 
 Aug 7 2009 	 thoroughly recommend 	 complaint whatsoevercentral location part shopping centre - full range shop / service sitewell appoint maintainedcomfortable quiet roomsupgrade executive floor good value £ 20 per room per nightexcellent breakfast would stay 
 Aug 6 2009 	 Value money Central 	 make book direct hotel - get really great deal - impressed intially go 5 day end stay 10 day . nice roomy hotel - breakfast challange food hall building - level 5 . also supermarket get thing cheaply . pool also level 5 - nice quite - thing little weird - wear cap go pool - sad - ensure use pool shower proir entry . nothing really add worth stay enjoy Beijing . 
 Jul 29 2009 	 location good hotel could well . 	 wife stay Beijing 11 year old son . hotel book part three week tour , organise Thomas Cook . hotel clean tidy , room moderate size . staff speak reasonable English , basic cover well . Breakfast , include deal , adequate , would advise get reasonably early food suffer sit hour two arrive towards end breakfast . range food available evening room service rather limited . indoor pool , though clean , rather cool little dark . also walk edge shopping mall get pool main elevator , wear bathrobe ! main selling point hotel location ; close Tiananmen Square Temple Heaven , right next subway station , important hot walk far July , traffic Beijing rather congest . , reasonable hotel , provide value accommodation good location , well equip hotel available Beijing . 
 Jul 25 2009 	 Hotel great find wonderful guide 	 room comfortable . great location ( centrally locate , near huge mall & amp ; close McDonalds , Starbucks , Pizza Hut- also many chinese restauant course ) grocery store basement mall . hotel wonderful service , clean neat , helpful staff , ammentie . easy get taxis inexpensive subway station around corner ( easy navigate get map intranet go ) Guide Lei Wu $ 35 / day godsend ( [ -- ] ) meet we hotel daily , speak wonderful english , honest well verse -save we significant money help we great vacation . 
 Jun 23 2009 	 * great place stay Beijing * 	 great hotel . location : fantastic , near Tianemen Square ( bout ten minute taxi ) . bout two n half hour great Wall Mutainy ( private car hire ) . inside hotel inside shopping mall . lot shopping also nearby outside mall . resturant plenty . staff great . bed so - so , like bed Asia bite hard side . great basis overall stay Bejing , really enjoy trip hotel . 
 Jun 14 2009 	 great location price 	 book hotel directly online & amp ; pay USD70 per night ( room ) truly unbeatable value . hotel locate shopping mall complex . supermarket basement pick necessity . Metro right outside . Mcdonalds ( 24 hrs ) , Starbucks , KFC , Pizza Hut & amp ; local eatery surround hotel . local food court 5th floor . new western style mall across road food & amp ; shopping option ( e.g . H & amp ; go open ) .room good size . Wardrobe tired looking & amp ; bathroom otherwise clean . housekeeping responsive . usually deliver within 5 - 10 min time call . a good sized pool locate separate health club 5th floor . free use need hand room key exchange towel . need swim cap will not let swim . Gym also locate not use it . Front desk & amp ; concierge polite & amp ; helpful . would recommend hotel look 5 * luxury value dollar convenient location sight ( train taxi ) . 
 Jun 6 2009 	 basic - certainly business hotel ! 	 stay 5 night part business trip , stay number Marriott hotel across Asia sorely disappointed . check slow staff throughout hotel speak little english surprised give promote suitable hotel international business traveller . I stay executive room , different standard room , rather expensive provide free internet access , not wireless , chargeable , remove check - out ( add delay ) . one 300ml bottle water provide day , unlike hotel stay Beijing , think mean exective room , pay almost £ 100 per night ( bed breakfast ) .I particularly upset call reception 9 am morning arrival remind pay extra room book . despite fact stay subsequent 4 day ( book pay ) , Sunday arrive previous day London .... executive lounge window filthy view , appear anything top floor room coffee machine cheese cocktail stick .... two option breakfast : paltry selection executive lounge second floor resaturant choice . Business Centre badly service , book meeting room pricey , print photocopy ; although expect international hotel , one expect facility work properly . printer substandard therefore document email one reception staff 's personal account , download print receptionist 's printer . , guess , good staff , , facility service understoond would provide . the gym adequate , although open hour 10am-9.30pm , good looking use work . pool good size . in future would stay business . adequate sightseeing comfortable bed , certainly suitable require professional service , help luggage without ask several time , business facility work effectively staff understand request . 
 May 11 2009 	 Perfect Hotel ! ! 	 hotel center everything ! 10mn Forbidden City , Temple Heaven ... much ! ! easy access subway , friendly staff ( sometimes difficult communicate ) clean . though pay separate breakfast internet : ( - include reservation package . honest cab driver front hotel . hotel provide map place interest . friendly bell boy . please stay want easy beijingp.s : taxi driver hard time find hotel entrance ( 120rmb Airport ) 
 Apr 5 2009 	 great English Wonderful Location Extemely Happy Hotel 	 Excellent location . excellent concierge ( bellman ) . excellent room . Mariott Courtyard exceed expectation . lot shop restaurant surround hotel . bellman speak great English tell we get everywhere . even make plane train reservation furthur China Travel . room clean , large , bed comfortable . Business Center high speed computer ( pay use ) . subway 2 line less 2 block away . Easy Subway take everywhere . 5 star hotel price location ! 
 Mar 16 2009 	 Perfect location 	 Beijing leisure choose hotel good location low price . hotel even well situate anticipate two subway line within 100 meter . good restaurant , supermarket shopping mall locate within 5 minute walking distance . staff friendly language issue . Taxi driver read speak english , make sure hotel phone number ( hotel write mandarin ) take taxi airport explain driver go ( approx . 100 rmb ) . road pretty large Beijing , traffic noisy , hence make sure live high floor . live 10th floor could barely hear traffic . definitively stay hotel next visit Beijing . 
