hot 	 New York Helmsley two - and - a - half block Grand Central Station even close Chrysler Building , Bryant Park street . shop real close , starbuck local little place grab snack . NY Helmsley within walk distance Madison Sq Garden ( 20 min ) , Radio City Music Hall ( 15 min ) , Rockefeller Center , Times Sq .. ( 15 min ) brisk walking . great location . stay 36 floor room nice view , opinion . opposite side hotel view Empire State Building , side Chrysler Building look side , diagonally leave , right could see part Queensboro Bridge . room HOT , warm good . control air keep window open whole 4 day . lobby restaurant due renovation , tell would do mid December , know book . room pretty clean find sock bed someone else 's stay . towel , bathroom soap great robe provide . coffee pot room , refrigerator , microwave room . dbl bed seem small use , comfortable ! ! would stay right price . 
 nice stay would appreciate inform ongoing renevation 	 Third stay hotel although first one three year . room excellent , staff friendly however would much happy tell renevation lobby . bar hotel , lifts kaos times ground floor pretty much building site lift system part improvement . still nice stay would much happy tell booking certainly would influence hotel choice . 
 Nov 24 2009 	 Comfortable Stay 	 Hotel close attraction . walk Grand Central Time Square . also catch subway corner 42nd 1st . bed comfortable . staff friendly . would love stay long . tripadvisor not stir we wrong yet . thank everyone recommendation . 
 Nov 23 2009 	 Excellent hotel top location 	 despite undergo renovation still impress Helmsley , great room large tv view Empire State building . although renovation mean bar restaurant , plan look excellent hotel sure even well work do . hotel close Grand Central walk distance Times Square . would highly recommend hotel anyone visit New York 
 Nov 20 2009 	 great hotel staff location . 	 Helmsley situate central , walk thing , big bonus ! hotel clean , staff polite helpfull . lovely big room , great view 42nd St Chrysler building , crisp new sheet every day . if find negative , would ongoing referbishment lobby area . however know book , spoil stay . sit 's lobby anyway ? ? ! love , go spring 2010 . 
 Nov 18 2009 	 Terrific Value Location Accomodations People Pets 	 book stay NY Helmsley pet - friendly policy ( addtional fee ! ) central location . staff friendly happy meet dog . lobby construction , staff accomodation make inconvenience . love able walk major landmark : Times Square , Grand Central Station , 5th Ave shopping . room clean great view Empire State Building . definitely stay next trip NYC . 
 Nov 18 2009 	 overprice old bad stay away rip - off waste time money . 	 okay , fair hotel extensively remodel lobby wreck food establishment . ' m good . good fact hallway room floor stain , smell , ratty carpet pealing wallpaper . room old , elegant add insult injury check - in staff seem care less sporting event talk . understand remodeling , within scope hotel employee power control , fail every turn . hard imagine waould ever stay . 
 Nov 16 2009 	 business 	 old antique furniture good hospitality . 
 Nov 13 2009 	 great experience - spacious clean comfortable 	 travel NYC Spring Break 3 child ( 7 ) really enjoy stay . reception staff helpful friendly . location great ( close Grand Central Station ) .We not eat hotel always look pretty busy rarely eat hotel family holiday anyway be always overprice . family also stay Helmsley say goo.dWe would definitely stay . 
 Nov 9 2009 	 good hotel staff ever . 	 front desk personnel professional polite . helpful give we direction tip travel city . delight bell staff . nice fellow . enjoy availability separate bed room . comfortable clean accomodation . thank much allow we access room early . make everything go smoothly . wonderful time would recommend hotel friend family would visit New York City . whole staff friendly even welcome sense humor . 
 Nov 9 2009 	 convenience 	 New York first time september Brazil Festival . quite experience must say . first get charge rip ground transportation airport hotel . get hotel construction bar room dining room . manage nicely without . hotel employee helpful courteous . room need comfortable , come new york sit room anyway . coffee shop right across street , Mickey 's street , employee always hail cab we need . fun cab ride give we . Lot 's laughter wonder go to live cab ride , right plan another trip big apple definitely another stay New York Helmsley 42nd street . love new york , ground zero , lady , empire state building , cruise take . know lot movie build around New York City . 
 Nov 7 2009 	 definitely stay next trip ny . 	 surprisingly large room ( corner face east south ) , nice bathroom , bed comfortable , staff pleasant perfect location Central Park Madison Square want go . renovation problem would like see complete . 
