Great 	 be get cheap table strip - $ 5 minimum bet let ride roulette card game . useful new casino do not want lose money quickly ! 
 not overlook hotel due location ... 	 ' ve stay hotel 3 time really like . take mom ( 58th ) birthday last year also love . room nice , clean bed comfortable - especially love pillow ; - ) . yes , 's strip bus stop right next hotel $ 5 get 24 hr unlimited bus pass ( purchase bus ) . not mind walk be definitely doable . this hotel also wonderful 360 view revolving restaurant ( be pricy remember be also pay view quality service ) . dinner really good waiter really nice attentive - even give mom free slice bday cake . the negative woman walk around take souveni picture - 's really overprice say not interested not finish sentence literally grab photo walk away - really nice . almost complain decide let ruin night . just give comparison experience . ' ve also stay Rio ( nice 's mile strip walkable due highway - try regret shuttle fee ) Sahara ( simply , will not stay ) far , definitely prefer hotel . expensive yet service get not show . 
 Northern Strip 	 want right thick thing , not place . , however , not want . great small hotel everyone work simply wonderful . service level extraordinary , ' m hard please work customer service . 
 Good Vegas Hotel 	 good quality room , normal Vegas Casino facility , 20 minute walk centre strip . 
 Nov 26 2009 	 great value still good last time 	 first time stay hotel Jan 2005 , travel Las Vegas ' m please say return 4 year later standard slip . hotel hussle bussle main attraction strip , however price quality not think anything anywhere else beat . someone want decent place stay pay odd place . pool area great , choice food place great will find price slightly cheap hotel . time take friend honest not mind walk main part strip , allow we view part strip may bother go everything hand hotel locate centrally . shop close internet cafe across road . taxis cheap far hotel large shopping outlet , need taxi get . since 2005 create mono - rail , not want take taxi plan several stop strip great way travel . exchange rate fall , thing become slightly expensive , however still cheap UK . dinner buffet hotel cost aboout $ 22 p / p , however Stratosphere meal deal buffett breakfast , lunch dinner set price quest get discount buffett price . spend lot time pool area day barman certainly keep we amuse . bar offer snack food great want quick bite . overall great place stay budget would rather splash casino hotel room . 
 Nov 25 2009 	 view gone 	 stay last night trip part US . room good , service fine . shopping area little outdated , quite odd simple shop actually , would expect . the stay include unlimited number trip tower view Vegas Strip . realise construction progress little Strip eventually ruine night ' view tower . unique selling point stage go , continue build high front tower . 
 Nov 25 2009 	 Great Hotel 	 read lot review stratosphere hotel initially skeptical . however great place stay . our stay cheap chip . entire stay ( 3 week ) average $ 50 ( US ) per night great . the location strip little far walkable . walk every day burn food eat . could also catch deuce $ 3 , catch taxi strip $ 15 get monorail . deter 's location . the casino look like casino inside poker machine . the room nice service daily . include fridge , kettle microwave little dissapointing . the pool ok food service closed winter little bit annoying . manage get food pool service shut food great . overall nice basic hotel . want something fancy , go somewhere else end pay $ 100 per night add benefit . place great cheap getaway leave money spend fun thing holiday rather waste money hotel room . 
 Nov 24 2009 	 comfortable great value 	 wife Scotland spend four day Stratosphere Hotel June 2009 andfrom Car Valet Reception welcome helpful friendly . room onthe 17th floor adequate large comfortable bed , clean linen goodpillow , fine towel . facility good swimming pool large well equipped . Buffet good wil get Las Vegas Hotelsand execellent value whatever time day choose dine special priceswere offer . Tower Restaurant wonderful experience service second none Manager pay guest table visit chat . 
 Nov 23 2009 	 good hotel clean room grotty area 	 good staythis hotel be not good area honestbut say problemsihop dennys yard awaymonorail sahara 10 min walkroxy 's diner must , great roast beef duece stop outside either downtown freemont st ( 5 min bus ride ) catch 108 bus fashion outlet mall wellroom clean sheet change towel etc change complaint thereluckys cafe open 24 hour u get free admission tower wellall good hotel u do not mind end stripi find good nightlife downtown anyway honestfreemont street must ! ! ! ! 
 Nov 23 2009 	 great hotel 	 say Stratosphere hotel 3 night room great . would recommend hotel everyone . stay hotel also get free entrance Stratosphere tower , enjoy panoramic view take ride .... insanity well : ) 
 Nov 22 2009 	 great value ! Best price really nice hotel ! 	 stay friend Stratosphere hotel . not first stay , go family several time . every stay simply great ! really love value get hotel . okay , not & quot ; heart Strip & quot ; get fast . spacious , clean room pay $ 40 per night ! amazing deal ! furthermore , ate & quot ; top world restaurant & quot ; amazing experience ! ! love , love view whole city food great ! service brilliant staff friendly ! ! stay Stratosphere not miss restaurant bar top tower ! try make reservation , get really crowded , especially weekend . really like pool , offer sunbed also towel guest . even locate middle strip , Stratosphere really nice location spend Vegas expirience . save little money accomodation spend save money gambling nightlife ? stay Stratosphere , be great place ! 
 Nov 20 2009 	 fun hotel affordable price 	 stay hotel two son nov 12th 19th . staff excellent deal room clean comfortable quietness night . the location end strip monorail less 5 min walk also public bus stop front hotel course taxi also option . I find location perfect tire constant hustle bustle main strip . would recommend friend definately yes . 
 Nov 20 2009 	 beware parking garage scam 	 stay Stratosphere Casino Hotel nov 6 & amp ; 7th 2009 find place nice except parking situation . park wrong area gate block vehicle boot 3 large security guard force withdraw $ 100 cash remove , felt extort report ti Gaming Commission future stay downtown appreciate longtime customer . Joseph Padilla Flagstaff , AZ 
 Nov 18 2009 	 Fun Times 	 like bright light excitement within elevator ride nice quiet room , place go : ) 
