good 	 second time Sams Town know expect generally . booked room online good rate since mid - week , season people , ask inside room . willing give one ponie another $ 20 night decline - room decor inside outside different , view inside boring . Valet service friendly , room adequate , check check fast place one low resort fee . hotel shuttle Strip warn could take hour get . budget hotel / casino clean okay night rv'rs - quite distance Strip 's Walmart around area need pick anything . eat mexican restaurant hotel mediocre good .. 
 Bad Bed pillow 	 be go stay not get room waterfall sound show noisy unless plan bring ear plug . another thing , need replace bed pillow horrible . bring pillow 
 Nov 21 2009 	 glad back ... 	 two year since last trip Vegas determine start place feel like home . check - in still friendly , casino still mercifully free flashy type gravitate towards south end Strip , room breathe . speak , cigarette smoke seem hang air less visit . nice surprise . the Firelight buffet provide great Sunday champagne brunch enthral ever Mystic Falls . sure would miss Fresh Harvest Café , TGI Fridays friendly $ 4.99 breakfast special worth try ( twice ) .We 3rd floor room look onto atrium behind Mystic Falls surprising smell cigar smoke get couple day . good - mention ... slot great , atmosphere relax - someone listen comment make site like - cocktail waitress much evidence casino . would come back ? try stop we ! 
 Nov 9 2009 	 Sam 's Town GREAT 	 Get player card , play heart . pay ! 
 Oct 29 2009 	 horrible bed 	 husband choose stay Sams Town offer package request Travelocity 39th anniversary trip . arrive excited obvious amenity food service go convient casino location . stay 3 night 4 day . even though arrive early welcome early check make first day enjoyable . first evening end retreat room , apprehensive stiffness bed . firm mattress home know extremely hard . decide try bed 2nd night change rough night sleep . pillow extra hard also . tube shape fluffy . discuss last morning breakfast see strip even fly Grand Canyon Skywalk , trip perfect exception sleep arrangement . will not come Sam 's Town definately recommend family friend , bed . 
 Oct 26 2009 	 far strip great value nice hotel 	 well , lot farth strip originally think . ... nice hotel ! standard room lot nicer thought . nice roomy , flat screen tv , comfy chair , okay view .. clean comfy together . friend stay @ Sahara , go go visit , GLAD stay @ Sams ! lol . sahara old elevator make noise .... paper thin wall , view roof chip glass everywhere , roach .... u get picture . come back casino / hotel like , luxurious compare ! , off - strip residential neighborhood location important , suggest pay little bit stay strip . kind comfy quiet place . nice place stay not care strip . 's hip place nice club anything . family orient kind place . lot old couple & amp ; family . also little food court , mcdonald etc . kind knott 's berry farm feel , decor wise . real comfy , cute & amp ; charming ! really enojoye stay , especially price ! 
 Oct 25 2009 	 get well bad time ! 	 previously write review base stay September 2008 back . time become somewhat disappointed Sam 's General . stay many time since 1999 last year always consider great value . construction value diminish lot . visit pleasently surprised . first , reserve room Hotels.com rate well could gotten book direct . help . room clean bed comfortable instead rock mattress normally get . since stay three night huge plus . staff check - in wonderfully friendly . construction seem complete . section casino non - smoking good addition although never feel Sam 's smokey . sport book awesome rest gambling seem fair . also seem increase number drink runner last year always good thing . however , restaurant selection take downward turn . go 24 hour Harvest Cafe one favorite italian restaurant , Felini 's . fortunately Felini 's still Stratosphere go dinner Friday . new TGI Friday 's . mind , like Friday 's . go Vegas not want eat corporate chain . Friday 's also breakfast menu , tell , horrible . Willy & amp ; Jose be still ( good mexican food ) Billy Bob 's ( steak ) . buffet average little pricy weekend . one great addition new snack bar sport book . cheap , yet good deli style meal , include breakfast sandwich kaiser roll die . overall long get decent rate , somewhere $ 55 - $ 65 weekend , continue stay Sam 's . would still consider good value , especially economic time . much higer start consider location Boulder . 
 Oct 25 2009 	 Great Hotel 	 stay Sams Town 11th -14th October much enjoy visit . room clean spacious everything could need . hotel 15 minute drive strip lot amenity , large casino WalMart supermarket accross road . daughter son - in - law come visit we hotel strip catch free shuttle great , time mean not run back fore . love garden area middle hotel fountain show great fun . would love stay Sams Town would recommend . 
 Oct 20 2009 	 inexpensive nice 	 nice hotel good price ... room big clean service good . negative strip neighborhood seem nice . 
 Oct 19 2009 	 Bowling midnight weekday 	 Bowl midnight weekday . bowl $ 1 game ( shoe rental also $ 1 ) . lady counter nice . alley well maintain . do not wait lane . 
 Oct 7 2009 	 good off - strip hotel Vegas 	 good rate choose Sam 's Town , although rate go high weekend . clean , comfortable spatious room , lot towel / soap / shampoo . excellent staff frontdesk . pool bit small , casino huge . absolutely need car stay Sam 's ( free shuttle - service Strip ) . totally complaint , pleasant stay week . 
 oct 4 2009 	 Fun Alternative Strip Hotels 	 husband spend one night return trip Salt Lake . Friday night reasonably price , quality hotel short supply . Sams Town fill need everyway . Valet efficient helpful , check super friendly helpful . our room clean comfortable problem noise . Billy Bob 's Steak House adequate , perhaps little pricey quality service good . breakfast / brunch buffret good plenty champagne . weird thing serve plastic cup . atrium beautiful waterfall light . not gamble much enjoy casino action night . enjoy dance club relax friendly fun everyone dance . problem lack free Wi - fi disappointed husband . we would stay . 
