Great 	 stay Serrano Hotel four night love . host complimentary social hour free wine tasting every night 5 - 6pm . also serve free coffee morning guest . hotel nicely decorate chic . 's close Union Square make ideal shopper , little bit close rough neighborhood careful wander wrong direction be familiar area . hotel great value pretty reasonable price . 
 Nov 25 2009 	 great rate . great place stay . 	 stay quaint hotel conference host across street Hilton . Serrano offer Continental Breakfast morning , friendly staff accomodotate late check due work schedule . definitely would stay . also take advantage workout room day row , business center check email internet etc . within walking distance Union Square walk straight O'Farrell find Macy 's , lot shop side street . perfect place stay . room small size everything one would need : enough space luggage , closet , tv , honor bar , IPOD radio / clock . bathroom pedestal sink not whole lot counter space put stuff try place shelfe elsewhere work . also park across street hotel get decent rate $ 36.00 day . 
 Nov 19 2009 	 lot charm character competitive modern business hotel 	 serrano beautiful old ornate lobby . service terrific , room old small . exterior window dirty , filthy actually , find common Kimpton property . we hotel series business meeting . choose two nearby Kimpton property slightly cheap . meeting do well food unique terrific . location , like expensive San Francisco hotel , challenge . one hand , near Union Square Powell Street cable car lot shopping . , really tenderloin neighborhood , team homeless people questionable & quot ; massage parlor . & quot ; 
 Nov 17 2009 	 Fantastic ! ! 	 great stay hard check . take advantage 3 night stay discount enjoy corner queen deluxe top ( 17th ) floor . bed , pillow sheet fantastic although might stretch call queen size bed . room small side bathroom actually roomy although much shelf / storage space . room blissfully quiet enjoy view downtown action . housekeep great job never return uncleaned room . although street people Tenderloin walk thru bad take - out pizza hand 1 am without issue . 
 Nov 5 2009 	 Great Value Nice Accomodations 	 Hotel Serrano suberb value . excellent location ... other say , careful walk toward Hilton ... otherwise Tenderloin area bit seedy . decor hotel charming ... bathtub drain need fix ( room 1114 ) . include breakfast ( think pay $ 1 extra ) adjoining restaurant fantastic . delicious croissant , fruit , juice , coffee ... perfect start day ! though staff fine , find & quot ; edge & quot ; friendliness other rave . would certainly stay . 
 Nov 5 2009 	 make feel like own hotel ! 	 serrano hotel fun hotel , believe ! game scatter throughout , be pet friendly , complementary wine hour every night . everyone doorman , front desk , maintenance guy run elevator , housekeeper , etc great friendly . make feel like own hotel ! free wi fi room lobby . 17th floor hear street noise whatsoever . low floor , could issue - ' m sure . one thing Serrano can not change location ... 's edge 's know Tenderloin District quite street people . doormen fantastic job keeping move away hotel . literally , cross street Union Square district 's non - issue . 
 Oct 31 2009 	 San Fran 	 Nice hotel stay - comfie bed clean room . noise . 
 Oct 24 2009 	 Nice hotel central location prepare pay park though 	 friendly hotel clean comfortable room ( slightly small though ) .parke available onsite pay $ 40 day keep car local car park . the 5 - 6pm wine reception great good chance meet guest stay hotel . its locate close Union Square shopping district . good transport link via bus tram nearby . 
 Oct 23 2009 	 Lovely Hotel - would love Return 	 husband stay part trip around California celebrate 40th birthday . last hotel trip wonderful fitting end fabulous trip . communal area hotel polished pristine . room spacious , corner room , double aspect view street . right middle bustle San Francisco great ambience . concierge service fantastic , particularly Chad helpful we tip place go , travel arrangement direction . although facility make hot drink room , free coffee available morning lobby - nice touch . overall - good quality , mid - range hotel modern , clean room friendly , helpful staff - good location . could want ? ! 
 Oct 23 2009 	 's great place stay tight budget 	 say ' tight budget take $ 50 account type deposit mini bar . get back next 5 business day . stay 3 day ' $ 150 ' count next 3 5 day . besides hotel gorgeous service great . feel every one working enjoy . ' leave door man good tip advice trip . TIP give ' pay Valet , parking station right next hotel Taylor Street . pay almost 20 dollar less valet . try restaurant ' fancy also hotel old cozy feeling . 
 oct 22 2009 	 charming great location 	 Serrano conveniently locate hotel downtown San Francisco near Powell St. Muni BART station . stay 4 night impress charm service hotel well personnel . although arrive around 12.30pm , check - in possible room locate floor 10 . room small , one bed directly locate window wall bathroom . nevertheless boutique style furniture nice bed comfortable . additionally room quiet . one small anomaly : although tv hdtv able , channel analog quality . furthermore location hotel great . couple block BART , Muni Cable car station Powell St , well large Westfield shopping center . Union square two block away another great place shop . WIFI free register loyalty program Kimpton Group . restaurant attach hotel numerous place eat nearby well . overall definitely recommend hotel centrally locate , nice clean room friendly employee . 
 Oct 20 2009 	 perfect weekend 	 family wonderful weekend San Francisco . highlight stay Alcatraz , Dylan 's City Tour ( Muir Woods $ 39 ) stay Serrano . place nice clean , location sketchy close everything door man John complete riot . keep good work SFI love city 
 Oct 19 2009 	 Clean Charming 	 hotel exceed expectations- clean , locate convenient area city , lot charm . someone clean freak , hotel let . hotel also offer complimentary coffee early 4:30am wine happy hour start night great . would definitely stay ! 
 Oct 18 2009 	 wonderful hotel 	 book room last minute originally book Fairmont . suite nice spacious . family 6 either rent suite two room . suite big enough accomodate we . wine hour early evening nice welcome back hotel . enjoy every night ( 4 night ) . centrally locate . able go back room night get ready dinner . great take pizza place , Blondie 's , block away kid love . enjoy run , hotel staff provide running map convenient run . would highly recommend hotel . bed comfortable , room nice size cleaning staff good . 
 oct 9 2009 	 fantastic stay great location 	 serrano great character fill hotel close Union Square within walk distance public transport ( must ride cable car ) load great restaurant shop . despite centrally locate room quiet ( ' m light sleeper ! ) well furnish comfortable bed , mini bar , safe lovely leopard print bathrobe ! price pay fantastic area get free wine reception every evening include price . go back San Franciso would not hestitate stay 
