Pleasant 	 search many hotel web site , choose Galleria Park . want stay large hotel , appreciate ammenitie provide . wonderful hotel provide . do nicely Art Deco theme . room good sized & amp ; clean update bathroom , adequate sized elevator , free internet , room coffee refrigerator , personable staff , workout room , outdoor 3rd floor terrace jog walk dog GARBAGE TRUCKS middle night . we able park SUV garage 1/2 block away $ 30 / day ( & amp ; tho ' ) 
 Nov 24 2009 	 Galleria Park ! 	 place great ! lovely boutique hotel great room , bed decor - super spacious ( get corner room ) . situated heart city 24hr reception - think remembering . walk distance metro , uphill chinatown downhill shop district - pretty much middle ! though could hear street noises night ... come home dead tired tour anyways take notice . also , farmer market one particular day week downstairs - great see fresh produce ! Free Wifi big plus ! would highly recommend ! 
 Nov 20 2009 	 Location Location Location ! 	 arrive Thur Nov 5 5 night titans/49er game . first time ever San FranciscoTook go Lorrie 's Shuttle Airport ( $ 15 ) . take BART , not know far stop hotel w / luggage . buy 3 day Muni Passport + map airport ( level baggage claim / cash ) unlimited ride Bus , train , cable car , streetcar - INCLUDE BART . great deal since hotel locate Center downtown SF close everything . walk block stop way . ask Jacob Bellman question - answer always give great direction ! alone couple day feel safe walking around night - within reason . yes , homeless ppl , major metro cite homeless ppl - lucky shock homeless ppl . the hotel meet expectation - clean comfortable . room 608 face street - loud not problem w / cellphone signal ( Verizon ) . room look exactly like pic website ! yes , room little small , expect old hotel . 1 2 elevator couple day , big deal - housekeeping adequate , little stingy w / the towel , call ask extra . flat screen tv A / C hard adjust - little thing not ruin trip . evening wine reception AWESOME nice chat w / staff guest . I not eat Midi restaurant - little froufrou taste , plenty within walking distance ! nice steak dinner Bob 's Steak & amp ; Chop House Omni ( ask Aaron , great server draw map favorite spot ) Walgreen be across street snack , Pomodoro Pizza around corner , Murphy 's Bar across street , Union Square Chinatown within walking distance ( ' m lazy ! ) take F Streetcar Fisherman 's Wharf , Alcatraz , Ferry Building - think fun find way around big city ! MISS Farmer 's Market Tue , Thur Sat - amazing thing - fresh fruit / vegetable / local vibe food vendor waterfront - not feel like tourist . recommend RoliRoti - Gourmet Rotisserie Chicken - line really long , go front be get lunch plate ! feel free email question - great trip $ 100 / night , think Galleria Park pretty good value money recommend other ! 
 Nov 6 2009 	 great Weekend Getaway 	 husband go first time San Francisco extended weekend getaway . great time . first , hotel stay , Galleria Park Hotel , treat we well . staff attentive need make stay pleasurable . also host wine taste early evening , great way relax day sightseeing . discover several hidden gem pizza place deliver hotel room ( pizza fabulous ! ! ) small wine bar couple block hotel soothe , relax vibe . one good dining experience eat one small stand sell seafood Wharf . could not get enough fry crab stick clam . also worth take ferry Sausalito explore . another great experience . overall , would go back heartbeat ! 
 Oct 31 2009 	 Nice issue 	 property nicely locate heart San Francisco near shopping . nicely decoate would expect boutique property . room little small sufficient . a problem . move room original room locate inside hotel could not get cell phone reception . second room outside , street side , tolerate street noise attempt sleep . there be much shelving bathroom woman put cosmetic . there be control room heat . the & quot ; gym & quot ; joke . 's little room 1 treadmill , 1 elliptical , 1 bike weight . 's towel anyte wipe sweaty equipment . the breakfast omelet get day good . include sausage OJ . however , mushroom soup dinner amazing ! ! ! 
 Oct 30 2009 	 wonderful Time 	 location alone well worth . staff outstanding helpfulness . hotel old nicely keep . room small stay hotel room San Francisco anyways . would recommend would stay . 
 Oct 30 2009 	 wonderful way 	 go s.f . Sept. 25th , 2009 October 2nd , 2009 . yes , room smallish , rest incredible . hear nothing street , bed comfortable , employee super nice . A1Wine taste every afternoon 5 pm 6h30 pmtry Midi Restaurant , 10/10would go back tomorrow . very central , walk everywhere need bus pass . traway , please please please wait car stop . throw traway big conductor teach lesson . scary ! beautiful city , people lucky live ! 
 Oct 28 2009 	 comfortable convenient 	 clean comfortable room . convenient location numerous public transit center . helpful staff . shopping center locate block . coffee shop locate next door , walgreen store around corner . 
 Oct 27 2009 	 great location staff boutique hotel 	 book one night base review tripadvisor time . room book room basis via hotels.comThe location hotel excellent - 5 minute walk Union Square . check - in simple reception area quite glamorous fire plush seating . good start ! staff really frienly helpful asked get particular place . take lift room second floor disappointment begin . bed comfortable pleased feather pillow . however , room small dark , furniture include desk , side table tv table , not much room walk around . furtniture piece really quite scruffy need replacing . bathroom small , bath really low , power shower great . refurbe modern WC , sink & amp ; tap grout wall tile atrocious really need re - do look botch job grubby . hotel business centre 2 pc offer free internet access . internet connection slow weird parental control setting could not read gamble Vegas - ? ! ! also printer room . holiday brother , whilst business centre , brother room watch tv suddenly hear hiss sound . turn heater / cooler system leak switch carpet wet . not affect stay temperature outside fine not need heater/ cooler . slightly concern , brother point sticker inside bedroom door give health warning along line ' these premise may contain trace carcinogenics fabric hotel structure ' oblige law state california declare . nice ! nice touch though free wine ( red white - rise ! ) resident 5.30pm 6.30pm downstair reception / seat area give opportunity relax abit early evening chat fellow resident . not eat room basis . miss complimentary coffee morning serve 10 am . modern separate bar hotel look trendy not drink go evening . to summarise , see hotel try - staff friendly reception area lovely give good first impression , hotel really let decor room really not standard boutique hotel . know San Francisco real estate not cheap location hotel superb , expect far price pay ( approx £ 200 ) basis , would not recommend hotel . day early , ( go Vegas in - between ) stay Holiday Inn Express Fisherman 's Wharf , although location not central , 's lot well value , much big well room breakfast include price would prefer stay . 
 Oct 23 2009 	 be ridden pretty hard 	 not understand other say say room spacious . stay two , beg large room , tell not exist . small room . good benefit hotel indeed well locate company own great group . , keep think recent stay : old mare ride hard put bed wet . Joie de Vivre put $ 1,000 saddle $ 5 horse . paint ( celedon ) , fun art ( mostly drawing sketch ) clean bit . trim beat hell , floor cover not secure place , window air conditioner , dark room . like Joie de Vivre hotel , let us encourage rehab Galleria Park Hotel . deserve . 
 Oct 23 2009 	 Great Boutique Hotel 	 find hotel online month visit & amp ; able book outstanding rate . service excellent , friendly desk folk , bellman give we idea fun walk tour China Town & amp ; North Beach . wine taste lot fun & amp ; create enjoyable buzz lobby amongst guest . old building room small & amp ; city noise . neither fact diminish stay . next time visit San Francisco visit one chain boutique hotel . 
