great 	 go group school really nice experience . room really nice everything service . local pub restaurant around hotel make stay even well . grade 1 - 10 , 10 good 1 bad , breakfast buffet hotel like 6 . first day eat , follow morning eat toast coffee . food overral be not good , besides beutiful hotel . 
 Nov 24 2009 	 Recommending Russell 	 Gorgous age elegance hotel heart City . superb service lovely room . gorgous breakfast staff freindyly efficient . ... highly recommend . 
 Nov 23 2009 	 great value great location Hotel London 	 Read Trip Advisor review go bit worried mixed , however , hotel absolutely fine . got room 2nd floor next Generator ask change problem even upgrade cost . room refurbish recently fresh , issue cleanliness . reception staff good Concierge . 2 min underground main Piccadilly line perfect get around ! ! downside queue breakfast get Dining Room get food far long , wait 15 min queue get breakfast food Dining Room ! ! ! excellent value money . 
 Nov 21 2009 	 dirty Room Shower 	 husband stay Russell Hotel , Russell Square 2 night August , go show o2.on arrival room , find look large piece machinery , presumme part air condtione etc noisey . fill central courtyard hotel . in bathroom , tiny , hair previous occupant shower around toilet . pretty much possible use toilet wash hand time . shower shower head dirty , shower mat black underside mould - thoughtfully wrap wide & quot ; band & quot ; hotel . top mat also black mould it . the shower door would stay shut unless foot it . in bedroom dust thick light fitting top unit clearly visible one bedside light hang wire . on second day back hotel afternoon , arrive quite late ( around 3.30pm ) find room untouched maid show sometime later see want room do . bother intention go while . the room dirty , ask head House Keeping come present shower mat take tour problem area . advise we would get rid mat immediately . the chair dining room old base cushion practically disappreare , sit chair long get dead leg pressure chair frame . on whole hotel good location easy access Underground etc never recommend hotel friend , family client , afraid . having stay lot hotel never come across poor standard cleanliness . 
 Nov 20 2009 	 comfortable hotel 	 hotel pricey comfortable . staff look well . breakfast pleasant get queue . 
 Nov 17 2009 	 expensive hotel poor service 	 stay hotel weekend late deal price . great location grand foyer positive end . slow check bored look staff . normally expensive room , shabby decor basic amenities- enough tea / coffee / milk plastic tube two drinking glass bathroom , condensation drip window . room face back soundproof late night noise ( nearby pub ) hear . final straw wake Sunday morning cold water throughout hotel- washing / toilet facility result ! problem result outside hotel , kind notice reception duty manager offer apology & quot ; circumstance beyond control & quot ; would welcome , reception staff appear disintereste try obain information . stay MacDonald Hotel Manchester Ambassadors Bloomsbury ( close ) 4 star hotel comparrison- facility service hotel far superior . will not return . 
 Nov 16 2009 	 avoid Hotel ... 	 oblige stay Hotel four night ( although leave three ) due attend Conference . stay five colleague check together . five minute check , four us stand reception request change room . not even bother walk first room difficult open door fully single bed - small room see hotel year . also gloomy nice view wall single dirty window . after long ' discussion ' Reception Manager give another room . large room could classify small double . room tired drawer space fairly large totally empty fridge – useful thought .... ? room fairly grubby – window ' close , old tv 5 channel bathroom could touch four wall simultaneously stand middle . iron black sticky residue bottom immediately transfer shirt ... think get picture . I believe room Hotel refurbish however maybe catch bad time always seem like queue Reception Bar also frustrating . suppose cook breakfast ok fruit appear tin past well . ' difficult find redeem feature Hotel find something positive say ... oh , yes – ' never stay ! ! ! four Star – ' think ! ! ! 
 Nov 13 2009 	 nice hotel expensive . 	 hotel look like museum church outside interior old elegant . room get small clean nice large bath . hotel right around corner Russell Square tube stop .... travel quick convenient London . there plenty dining option around hotel , Pret Manger Tesco right next door budget . negative hotel centrally locate ... chance stay get decent rate , will not regret stay ! . 
 Nov 10 2009 	 pleasant surprise 	 room £ 100 less travelodge London not expect much , pleasant surprise lovely spacious room , great bathroom bath shower . really clean , friendly service , efficient check easily walkable lot attraction include shop British Museum right next door tube . 
 Nov 10 2009 	 poor business 	 stay Russell hotel 4 night combine business pleasure . find room old need restoration breakfast & quot ; English & quot ; bad sense , overcooked bland . the hotel wifi room charge guest £ 0.5 minute . end bill £ 50 checking email 4 day . travel business reliable reasonably price wifi connection must hotel . quite hotel around world catch idea free wifi , since internet connectivity extra service stay hotel . essential water tap . quite frankly £ 50 4 day email force use ethernet cable joke . return Russel Hotel would advice people travel business look around well option . 
 Nov 3 2009 	 overprice - tired 	 Russell Hotel great building outside . inside , show age . room comfortable , overheated winter , quite noisy many old single glazing . room face internal courtyard , noisy night due ( think ) plumbing , lift ( elevator ) build courtyard . also large number a / c fan hum away ground level . food good so - so ; breakfast would fine £ 30 B & amp ; b , disappointing four star hotel . tin tomato , bread ( roll toast ) , limit fresh fruit . beware wi - fi access . tell connect room ; not tell 's whopping £ 15 day charge . room service ( not use ) appear expensive ever see . one unusual gripe - in - room advice fire escape route inadequate , say proceed nearest exit . way ? ? ? 
