peaceful 	 Beaufort feel bit like home . nice staff , complimentary bar soft drink alcoholic beverage , liitle lounge , quiet street , close Harrods , Knightbridge even Piccadilly . we Junior Suite King size bed , sofa bed rollaway , stay 2 adult 2 teen . bathroom bite small one washbassin . 's charm houses Beaufort settle , guess . 
 Nov 15 2009 	 London Storm 	 wife & amp ; stay @ beaufort wonderful time . staff great room . problem storm ! ! use Beaufort next trip . 
 Nov 12 2009 	 atrocious stay poor service substandard room / breakfast 	 stay Beaufort Hotel July 1 night unexpectedly one family member seriously injure prior stay Hotel . require change room ground floor 2 room beside help family member walk / dress , enter / exit room . unfortunately , hotel staff could accommodate need necessitate move hotel . request refund remain night give emergency situation refuse . 1 night stay basement room , small ( unsuitable 2 people ) , loud ( hear people upstairs ' business lounge ' , ventilation . also junior suite , lovely room breakfast order room awful . Cereal box , plastic pre - wrap muffin , cold coffee , bruise banana deliver late . staff hotel unsympathetic injury family member , berate person make feel unworthy uncomfortable ( cry lobby staff say could not help anything ) . end move street Beaufort House ( different Beaufort Hotel ) fantastic stay ! 
 Nov 4 2009 	 Enjoyable Surprising 	 Beaufort excellent location Knightsbridge . room fine , though would stay basement floor hear footstep lobby . hotel offer free beverage alcoholic non , particularly nice . staff helpful , well - mean friendly , virtually untrained professional hotel service . surprising hotel price caliber Eastern central european staff . 
 Oct 18 2009 	 lovely hotel european style 	 boyfriend spend three night Beaufort absolutely love , although take bit getting use definitely & quot ; American & quot ; style hotel . bad thing ! ! little unsettling folk generally stay American - base chain hotel . please keep open mind settle . give basement - level room , must say put first get quickly , room gorgeous , big bay window , stylish understated furnishing , nice big bathroom . also probably clean hotel ever stay , perfectly spotless floor ceiling . bit foot - traffic noise hallway outside room expect building age . small detail take care ( housekeeping leave single rose room one night , sweet touch , welcome chocolate arrive ) . hotel free wi - fi really not work room low level lounge / business center work fairly well lobby lounge . go try get work do may well request room strong wifi signal . blessing disguise holiday though . bed also comfortable linen fresh crisp clean make it . scone tea make lovely afternoon treat ; scone freshly make delicious warm come pot clot cream jam , nice treat . open bar nice touch : ) perfect location , step away fantastic dim sum house , lebanese restaurant , Nero coffee , well long selection shop restaurant try , street pleasant , quiet clean . we gladly recommend ! 
 oct 9 2009 	 wonderful location friendly accomodate staff lovely boutique hotel . 	 arrive overnight flight , delight able settle right suite . short resbit , awaken tea service tray scone . we make hotel home week , like come home every day , see many wonderful sight London . staff accomodate , welcoming ... would get we anything need . suite modern , spacious , clean . especially like computer lounge , could plan sightseeing . pretty neighborhood , exactly picture internet . 
 Oct 1 2009 	 lovely place fab location 	 partner book hotel surprise romantic trip London . expensive ( £ 200 ) night worth . book deluxe room Secret Rooms upon check give free upgrade junior suite . room big small sofa , plasma tv , comfy bed , bathrobe . nicely decorate . good part afternoon tea free serve 3 pm 5 pm room , scone delicious ! free ( help ) bar 11 pm lot choice include spirit , wine , champagne , beer soft drink . tea coffee facility room dial reception pot fresh tea room within minute two - excellent service ! ! problem noise staff friendly . dissapointment continental breakfast £ 14 per person , price pay would expect include price . choose go breakfast Harrods instead ! ! would definately stay . 
 Sep 26 2009 	 Awesome service great staff perfect location Kensington perfect ! 	 great hotel perfect location , roll bed luxury staff respond every need immediate manner . open bar late afternoon evening wonderful fresh tea scone room make we smile ear ear . momment walk momment check feel welcome guest friend home . perfect experience we . back London favorite London hotel . 
 Sep 21 2009 	 Perfect Location Lovely Accommodation Wonderful Stay 	 book stay Beaufort Hotel birthday celebration night London . beaufort clean contemporary finish nice touch complimentary afternoon tea . scone serve warm room delicious . great location Harrods Harvey Nichols designer shop fingertip , great restaurant amenity close . lovely dinner Mon Peliano locate directly across road hotel would recommend visitor . I would definitely stay would recommend . 
 Sep 2 2009 	 nice local lack attention detail would expect 	 Stayed hotel late August holiday wife . well present modern look room good facility . location perfect , near Knightsbridge tube station , shop restaurant . what disappointed place lack detail service . staff pleasant enough however appear hide away back . thing would expect hotel : - downstairs lounge / business room clean regularly . complementary drink nibble great : not like eat chip , nuts olive leave day end . tea coffee facility POOR . milk one occasion turn solid ... especially disappointing die cuppa room tea / coffee facility room . unacceptable . least wet bar offer spot check do area . the lock door damage SLAM door least 3 time get lock ... ( room must problem slam door four time row 4 am , doubt catch plane ) simple little thing like rectify would make Hotel must return ... however .... hope lift game .... 
 Aug 21 2009 	 nice oasis surround good restaurant 	 spend 3 night 2 room 5th floor . teen son actually nice 2 room , face quiet street . hotel quiet , room large enough we , nicely decorate . room smell slightly smoke first ... smoke - free hotel , someone could sneak small terrace room . great location -- love close park , busy not make Harrods ! ! lot restaurant selection nearby . staff friendly willing assist need . 
