great 	 £ 95 night two people great value hotel . get hot breakfast include price.great locaton 10 min walk Macy 's empire state building 1 block subway . newish hotel bathroom etc nice clean , modern room wiht flat screen tv . 19th floor fab view city skyline.would recomend hotel age group , clean , modern great value money . 
 great hotel great location great price ! 	 girlfriend , another couple stay last trip NYC . decide Hampton Inn Chelsea due good review see it . the hotel clean , first thing be important . 's also quiet location block away subway . 's convenient location whether be walk take public transit . and price great ! would definitely stay another trip NYC . 
 Nov 20 2009 	 pleasantly surprised 	 fall Wall Street ( account balance ) use stay Surrey Hotel , Upper East Side . looked look settle Hampton Inn - Chelsea . remember see hotel Homeexchange block away . I must say pleasantly surprised . modernish simple lobby , cheerful helpful staff ( one person , everyone encounter ) . hold breath hope room would measure . first , ask quiet room ( end hall ) . room small side ( welcome NY ) clean accommodate . nice firm king bed , desk comfy chair flat tv . black curtain really work double pan window keep incessant horn & amp ; siren bay . check late ( fly LA ) do not get high enough room great view , 9th floor view roof onto next street . bathroom modern clean maid service good . 3 problem , light closet , minimal lightng room challenge see cloudy day . problem safe , guess I ve spoil , do not feel right leave stuff semi hide ihn luggage . concerned medicine , sticky finger . the last problem slight gap door room someone talk hall , sound like yur room . bad , hear slamming soneone else 's door . do not hear anyone thru wall , feel shake rhythm make obvious going . major problem would stay . hotel great location . one block subway walk Greenwich Village , Soho , East Village , agllerie Chelsea . weekend famous & quot ; garage & quot ; flea market directly acrossd street . fall bed go shopping . another great feature free breakfast buffet . ok , Four Seasons , there s hot food , pastry , bagel , cereal , juice , fruit , coffe , enough get properly start be . I noltice lot Europeans stay . hear many language . & quot ; gym & quot ; 1 bike 2 treadmill ( 1 do not work ) stair climber flatscreen tv . there s small laundromat well . all great vakue great location . would come try get high room . ask room end hall , quiter . 
 Nov 20 2009 	 good Choice - great location near gay bar restaurant 	 hotel perfect location , convenient many train bus line . hotel clean staff friendly . 's perfect hotel look heart gay New York well . many gay bar restaurant nearby ... like Splash , Gym Bar , etc . 
 Nov 11 2009 	 good value Manhatten ? may well . 	 Hampton Inn criticism outstanding advantage cheap ( manhatten standard ) well locate . W24 Street attractive day night well locate bus metro . standard room reasonable size city famous calling closet bedroom inclusive breakfast standard Hampton Inn fare brief walk area produce really good diner wanted & quot ; pig - out & quot ; true american fashion . spend three night find problem get around Manhatten Brooklyn . tip - use yellow taxi JFK get cabbie go via Brooklyn Bridge arrive night . will not cost much extra ( anything ) otherwise fix fare fabulous approach fabulous city . 
 Nov 9 2009 	 Great Location ! 	 stay 13 night 19th floor . room small , clean & amp ; quite . staff lovely , helpful & amp ; friendly . breakfast basic however , say SHOCKED see cup , bowl , plate make polystyrene ! make we feel like 6 year old birthday party norm 30 + Hampton Inn 's Manhattan , think daily accumulation waste scary , sure New York , City , enviroment & amp ; future EARTH favour ! please get rid ! would cost effective purchase plate , cutlery commercial dishwasher ? stay foam cup go ! : ) tear recommend hotel , point ! thank & amp ; cheer , Hodi Poorsoltan Michael Hooker New Zealand 
 Nov 9 2009 	 Thanks Tripadvisor 	 spend past weekend would pleasantly surprised follow hotel Tripadvisor . guest room small New York City normal . room clean , well take care . rarely spend much time room fthe size nearly important cleanliness , hotel ambiance , friendliness staff little thing make difference . the staff check ( dorian ? ) check polite friendly without seem force company edict . gentleman take care morning breakfast also pleasant , attentive helpful . stay also cause come contact night front desk clerk resolve problem could complete request . also receive unsolicited help hotel engineer happen pass try access beverage kitchen area . hotel reputation friendly helpful , stay live that . the hotel 8 block Penn Station Madison Square Garden . take train city easy walk luggage train hotel . Bruce Springsteen concert easy pleasant walk night hotel concert . walk lot city hotel Penn Station / MSG would appear long folk . the hotel good location head either uptown downtown . Friday walk Metropolitan Museumof Art Central Park Saturday walk Battery Park . long walk doubt hotel location give we chance either . on weekend across hotel flea market old parking garage . although find nothing interest trip occassionally yield find . the street glamorous safe . lot business street store front open evening . street look quite deserted . access hotel usually come 6th street make right onto 24th . hotel close 6th 7th . fitness facility typical small way room . equipment consist treadmill two stationary bike . operational work properly . room clean flat screen tv wall . all enjoy facility staff good . find hotel basically check review tripadvisor review place justice . 
 Nov 5 2009 	 would stay 	 like close proximity 4 subway line Penn Station . 3/4 mile walk Times Square . ton inexpensive eatery close . nice clean , smoke room top ( 20th ) floor , get hard find , well appreciated . good breakfast , hot cold choice , fresh fruit . quiet . laundry room site . good service . king room decent sized , plenty closet drawer space ; big tv . 
 Oct 19 2009 	 Typical Hampton Inn Experience 	 long know expect hotel fine place sleep visit NYC . room tight two senses:1 Interior design room fixture tightly placed.2 hall several room door practically touching result happen people next door enter exit frequently hear time . Breakfast standard Hampton Inn , like every one 100 be across US.We limited contact Front Desk seem friendly helpful . hotel easy access several subway bus line . area Chelsea Grammercy Park close . would not describe Times Sq within walking distance , unless consider 1 mile walking distance . , summary , way plush , decent choice basic lodge NYC 
 Oct 14 2009 	 excellent choice middle manhattan 	 pretty new ( newly renovate ) hotel Hampton chain , small gem middle manhattan . walk distance time square , flatiron building , greenwich village lower eastside . modern interior design , everything clean look new . could even open window ... room small ( course be talk New York 's ok ) , breakfast room bit crowd open nine weekday . two internet terminal locate lobby wireless lan access provide . cellar contain fitness room guest coin laundry . 
 Oct 8 2009 	 clean pleasant stay good location 	 travel wife , 7 month old infant in - law . overall experience good . room clean tidy , little small expect Manhattan , guess . the staff extremely friendly , courteous accommodating , store baggage free , hour check - in time . convenient us leave baggage go sight seeing . free hot breakfast good , goody . even though busy breakfast , food buffet getting top constantly . use free pc printing ticket , work fine . 
 Sep 27 2009 	 need facelift 	 stay four year ago hotel fresh bright . unfortunately , hotel not refresh quite beginning show age . elevator look beat hallway room furnishing . breakfast tasty although breakfast service seriously understaffe . nice young lady try well keep replenish egg , juice , coffee etc . much one person . result , times certain breakfast item miss . overall hotel fine staff competent could certainly use spruce . like beige beige beige , will find place soothe . little color add wallpaper , paint furnishing , place would much appealing . get good deal use point , hotel trick . otherwise , would stay elsewhere . 
