Great 	 spend 1 night hotel . the Staff could friendler .. everyone say hello Concerige really helpful . there renovation take place do not disturb we , room little date comfortable . it lack tea / coffee maker negative.we really love location would definetly stay 
 Nov 23 2009 	 Karno 's breakfast 	 yes hotel well locate , room well furnish good size service often willing , property quality allow breakfast service degenerate circus experiance Saturday morning . firstly inadequate capacity . a 25 minute wait . we direct ajoine lounge coffee . no seat stand wait . no coffee cup coffee . use toilet ? will not go condition ! eventually seat buffet small table difficult access without drop meuseli fellow guest neck . a long wait eggs omelette hard press single chef struggle cope demand . all well £ 20.on day 2 stay actually get early try avoid circus . just need leisure weekend . well fundamental problem remain . the hotel embark refurbishement . I would suggest spend penny fabric seek logistic capacity breakfast operation . donate space banquette signature restaurant fine Royal Garden do not neglect basic ! 
 Nov 11 2009 	 could not ask 	 great 2 night break London . arrive well check time , not problem , leave luggage & amp ; walk around park & amp ; call we room ready . easy access tube network hotel & amp ; helpful concierge ensure line close towards destination . room service & amp ; food deliver good time & amp ; good . 
 Oct 27 2009 	 good all - round hotel great location 	 hotel regular base business trip last 25 year recently private week - end break London . many visit always enjoyable recent upgrade certainly worthy comment . late visit 22 October three night refurbish & quot ; Garden Room & quot ; 9th floor . get good view always ask high floor . always book Park View room , vista Hyde Park City simply amazing . find new class room floor 7,8,9 worth extra cost . room modern style excellent facility . revamp bathroom separate large walk shower cut original wardrobe space ( problem short stay ) . new wall panelling , wood , fabric mirror wall provide welcome improvement sound insulation , good original room . large comfortable bed comfortable seat area standard in - room safe . Mini bar well stock in - room tea / coffee make facility . Breakfast Park Terrace excellent , la carte service Monday Friday buffet weekend , get busy around 9 weekend . top ( tenth ) floor chinese restaurant worth visit , food good little expensive strangely attempt keep food warm table . bertie Bar Park Terrace comfortable retreat excellent service . staff throughout hotel generally polite , friendly efficient many year , good sign hopefully good employer ! outside hotel , beautiful Hyde Park offer excellent walk , Oxford street Harrods 25 - 30 min brisk walk realistic enjoyable alternative tube taxi nice day . good restaurant along Kensington High Street , easily within walking distance . tube station 5 min . if drive , car parking hotel via rather tight spiral ramp cost £ 30 per day , annoying new & quot ; Pay Display & quot ; system mean return park pay 2 day ( dot ! ) , try prepay third day 2 hour early machine want charge £ 56 instead £ 30 . Hotel 's fault parking separate company new system bit put - off guest use it . final tip , check bill carefully Mini Lounge item late charge , frequently find wrong . overall good round hotel great location . certainly keep use Royal Garden London visit . 
 Oct 27 2009 	 wonderful time - thanks much 	 small group girlfriend manage leave small child behind get precious time . we arrive different time stay different length time felicity reception could accomodate various requirement . huge thank concierge Mansoor find we good place go - really spot price , atmosphere location . great stay - will back ! ! ! ! 
 Oct 14 2009 	 Excellent room service location 	 stay Garden Room ninth floor seven night . room overlook Kensington Gardens view towards London Eye Gherkin . the Room high standard include comfortable King size bed , large tv screen , tea / coffee make facility , mini - bar essential electronic gadgetry . the en - suite roomy quality toiletry lovely large fluffy bath towel . heat towel rack bonus . we appreciate fruit platter welcome note receive Guest Relations Manager start stay . we dinner Min Jiang Restaurant ( special treat ) tenth floor enjoy meal spectacular night view . venture Bertie ' bar couple occasion night treat large selection nibble drink . there large selection good quality food breakfast Park Terrace Restaurant . even get see Aussie cricketer stay Hotel one Day match . I make two separate booking seven night order take advantage cheap weekend rate , B & amp ; b option . check - in present problem booking combined room entire period . we stay four time Hotel find location beneficial . bus stop right outside Hotel Underground Station 100 metre away . pub , shop supermarket conveniently locate Portobello Road within easy walk distance . this stay notice Hotel offering reasonably price lunch dinner option . although ' try , look attractive . special mention concierge help we couple occasion . 
 Sep 22 2009 	 lovely long weekend Royal Garden 	 back 3 night stay Royal Garden , 3rd time hotel enjoyable . the hotel enjoy perfect location south west corner Kensington Gardens , many room offer lovely view garden Kensington Palace . we upgrade newly renovate garden room guarantee view mention . room ( 939 ) modern light elevate seat area beside almost full length window . king size bed , large flat screen tv , bathroom bath separate shower . the hotel offer several package choice 3 night price 2 include full breakfast , make really good offer . Breakfast Park Terrace busy weekend advice go early ( 9 am ) , may patient queue 5 10 minute . would also wary table busy passage way , lot people movement back forward various buffet , may find distract . lastly mention hotel staff . every recall stay hotel London staff encounter outwardly warm friendly . 
 Sep 21 2009 	 Great Hotel Great Staff 	 hotel week dining concierge staff friendly attentive . the location great right High Street lot local restaurant shop . 5 minute walk Tube . 
 Sep 18 2009 	 nice 	 nice hotel , good location .. seem like different type room , get good one . strange meet bodygard time get floor , butt guess someone important .. 
 Aug 31 2009 	 wonderful hotel next Kensington Gardens Hyde Park 	 book junior suite wonderful room pull sofa bed child , nice view High Street Kensington large window workstation . bathroom huge . hotel room look recently refurnish everything great shape . hotel minute walk metro station , bus stop front hotel , cover car park hotel , Hyde park right next door . definitely good hotel stay London price . 
 Jul 31 2009 	 Superb 	 moment check departure , excellent visit . new room 8th floor absolutely superb , well appoint guest mind time . breakfast excellent service buffet . 
