clean 	 husband stay Thanksgiving ( 2 night ) . purposely choose hotel away craziness parade route , even though knew have go watch . hotel locate less one block w 4th St. subway entrance ( pleasant surprise ) , make easy come go pleased . quickly learn get subway follow exit sign W 8th St. ( W 3rd ) . bring waverly Place W 4th intersection , close hotel . hotel lobby small , clean nicely decorate . one small elevator , problem morning hour wait arrive . continental breakfast typical ( croissant , muffin , fresh fruit , cereal , etc . ) notice people wait line seat finish . Glad get early . room spacious New York ( walk around bed , be spacious ) , bathroom clean nicely appoint . find mattress comfortable , like bedding . room stuffy use AC work fine . window look onto another building , view unimportant we since plan go thing vs. look window . however , bit disconcert blind / shade bathroom ; bubbly privacy glass . room across way someone could enjoy voyeuristic view , suppose . keep bathroom light . , pretty good experience . 
 Nov 23 2009 	 clean hotel spacious room fantastic location 	 could ask well location New York . love next Washington Square , stone throw away 5th Avenue Soho price right someone do not money throw away . room generous size , bed really comfortable shower plenty hot running water . would definitely recommend hotel would probably return . our complaint staff reception really heart job come across unhelpful . 
 Nov 15 2009 	 Washington Square - standard slip .... 	 return NYC hotel October 2009 old - time ' sake really . way back first ever trip NYC stayed enjoy , eight year later time go back . initial impression remain positive . well - position near bohemian Greenwich Village , hotel 's locate quiet - ish side street ( Waverly Place ) two minute trek subway station . subway station serve line directly JFK Airport station 's add bonus , be great diner across street . check - in friendly quick . unfortunately would seem lot , , work do room since 2001 , although remain comfortable free , quick internet via cable supply hotel . one real gripe service , cleanliness . obviously room stayed vacuum maid , ' evidence ' would suggest little make bed carry out . surprisingly bin not provide room . say , one not really expect previous day 's McDonald 's wrapper newspaper still present return day 's exploring - , would seem , little / lot work could do area . price - $ 200 dollar per night single room - 's really good enough . say , would probably stay .... 
 Nov 12 2009 	 small charming 	 love bed . 's tiny room , 's New York . bed comfortable linen absolutely delight sleep . location perfect . 's right heart Greenwich Village , load history surround area . love old charm feel interior . , however , keen breakfast , quite disappointing actually . but price , location comfort New York standard , bad choice . 
 Nov 11 2009 	 okay 	 book WSH business okay stay . request deluxe room street view place room back hotel look wall ask move . place room look side street - quite view park hope . room okay really lack facility - tea coffee make facility , refrigerator put cold drink basic guess . air conditioning unit noisy window screen keep mosquito . corridor really ugly wonder ever freshen . paint job new carpet could really wonder place . breakfast include rate basic would really nice toaster could heat bagel ! breakfast room really cold lack atmosphere never really feel like hang around . overall , okay really hope would much nice . location great lobby staff pleasant helpful . probably would stay be not special . 
 Nov 9 2009 	 Nice hotel quiet neighborhoud 	 first visit US NY particular . already arrive notice busy city . hotel fortunately locate quiet street next Washington square park . the hotel look nice room nice clean , although bit small . an add plus fact hotel locate close metro station make travel easy come back late night ( visit Broadway theater ) quickly get hotel room . bed good : big soft . one thing not nice breakfast . book hotel serve continental breakfast . serve small diner next hotel . not really good . well skip breakfast look something well . all , good hotel nice neighborhood . 
 Oct 31 2009 	 great area super hotel 	 stay Washington Square Hotel five night October thrill hotel . travel mother request twin room accomodate . pay extra deluxe room seem well worth see room window appear open onto brick wall ! bathroom good size even get bath robe . the area quiet still good buzz . load nearby restaurant price hotel staff always ready offer advice recommendation . get good tip they . the complimentary breakfast good bonus , though amazing , job . include cost not much complain about . all , great stay . certainly stay next time travel NYC . 
 Oct 31 2009 	 Brilliant location 	 great hotel locate beautiful Greenwich Village . right next Washington Square ( busker / chess player / tree ! ) close restaurant Greenwich Village . 5 minute walk famous Bleeker Street . much nicer stay Uptown . walk Top Rock take hour taxi $ 10 ( cheap subway bus four travel together . we really please stay - bed ( 2 large double ) really comfortable bathroom ( stay quad room three night twin double one quad unavailable first night ) range sumptuous ( Delux double ) fine ( double ) . quad room number 120 street level yes hear street noise - New York tired busy day exciting thing sleep well . bathroom plenty towel free shampoo / conitioner / body lotion / soap . Breakfast delicious - fruit salad , home bake pastire , good coffee orange juice , cereal yogurt .. staff include freindly doorman helpful booked taxi airport end stay Newark $ 62 . cheaper get yellow cab roomy need take baggage . the good attraction visit top rock 's worth get daytime / sunset deal ( not end pay twice ) sunset Manhattan one world 's exciting view . moma one good art collection ' ve ever see - 5th floor Picassos , Matisses - wonderful . Staten Island Ferry - free great skyline view . teenager love Record shop Thompson Street - nothing like UK . load good place eat near hotel Staples online checkin around corner . would definately recommend hotel anyone would book without hestiation . want sterility double glazing go somewhere else - hear street noise kind thing annoy might well stay Uptown . 
 Oct 27 2009 	 wonderful stay hotel 	 arrive wednesday evening receive warm welcome ..... request room upper floor nice view hotel accomodate request . absolutely love hotel ... quaint service front desk bellman restaurant server fantastic ...... room large comfortable clean location can not beat .... within walk distance restaurant , night life , shop ....... real gem nyc . 
 Oct 8 2009 	 Pleasant Stay 	 arrive hotel tell room ready - around hour half two room ready we . staff not apologetic not seem bothered fact wait - good start ! get room however happy size comfort - safe , hairdryer , ice bucket bathrobe provide . not much natural light room expect new york city window close another building , not much problem . the room clean daily free breakfast morning good - staff restaurant helpful polite . also option order cook breakfast reasonable charge not want free breakfast . the good thing hotel definitely location - two minute walk round corner be fifth avenue ! Washington Square absolutely gorgeous morning 's really quiet . body clock never quite adjust time difference often 6.30 - 7 am take opportunity explore square surround area local dogwalker around . go local coffee shop get drink snack eat park every morning , really nice peaceful - highly recommend ! overall good place base New York , recommend ! 
 Sep 30 2009 	 Location Location Location 	 hotel well situate metro next corner 6th Avenue chap lobby look guest bag friendly helpful . room compact , reasonably comfortable bathroom adequate size . avoid take complimentary breakfast restaurant area , would suggest . find self serve area get full . there plenty bar , live music - ( Bleecker Street think ) . metro puzzle , get different block , depend come go way round make sure front back train . mention waverly Restaurant / Diner . usd 43 get feast 2 glass zinfandel . give eat town ( twice price ) come dinner last breakfast . full regular tourist . 
 Sep 30 2009 	 Excellent location value 	 stay WSH 5 night friend . find Village area nice relax compare constant bustle Times Square 's surrounding . hotel self clean , complimentary breakfast good way start busy day sightseeing shopping room small NYC bad . staff nice professional enjoy stay ! 
 Sep 29 2009 	 Perfect location attentive staff 	 family 4 stay 4 night last year , find room comfortable -yes - small , somewhat date , comfortable . long flight Australia , inclusion full sized tub bathroom welcome inclusion . day concierge extremely helpful & amp ; attentive big surprise ( ) quality coffee ! convenient location - problem find way around really not take long get anywhere want go . would definitely stay Village - 's great place base NYC . 
 Sep 21 2009 	 Excellent hotel 	 firstly , great location . right middle Greenwich Village within walk distance lot good bar restaurant . Bleeker Street especially . hotel , wetre easy reach everything NYC could offer . even get metro direct Coney Island ! deluxe room plenty space . nice view Washington Square . could not fault it . service always good breakfast perfect ( not eat much morning couple bagel enough ) . 
 Sep 20 2009 	 LOVE WSH ! ! ! ! 	 stay July well August . love area . close wonderful restaurant , great shop , great green space . subway conveniently near . complimentary breakfast great plus . room not huge .... stay room NYC ? staff friendly helpful . definitely stay ! 
 Sep 11 2009 	 Perfect choice 	 move daughter NYU late August , hotel perfect choice . arrive 2:30 a.m. block , find all - night diner drugstore . street quiet green heart action . love staff room charming . look forward stay . 
 Aug 31 2009 	 Pleasant stay Washington Square Hotel 	 come New York visit June , third visit city . decide want stay Greenwich Village hotel choice area pretty limited opt Washington Square read review tripadvisor . although hotel bit tired place , charming little hotel lovely art deco touch . room one interior room prefer & quot ; quiet & quot ; view . certainly quiet well , hear peep outside anyone else hotel . our room small would like little closet space small price pay locate Greenwich Village . much see hotel doorstep . staff also friendly welcoming , always goodbye hello leave entrere hotel . with regard food , eat breakfast hotel , plentiful could also order cook extra prefer . simply hundred place eat nearby - vegetarian fantastic meal place call & quot ; Gobo & quot ; , around corner hotel . also go one many food tour area - great way spend day . overall , great stay Washington Square hotel - would certainly stay . 
 Aug 18 2009 	 great little Hotel Fab Area 	 return 4th stay WSH . read review , say stay deluxe standard room although room small , be happy size . last room stay particularly small closet , simply put luggage desk way . not bother thin shower curtain either , although would like see rod hung bit low keep water . love WSH - lobby spacious , staff friendly professional ( exception Ronnie , talk mile minute try convince we eat restaurant ' ve interest - think get kick back recommend certain place ) , location wonderful , everything CLEAN . reviewer complain breakfast - not know be use eat , we , bowl muffin / scone / bagel yogurt , cereal fresh fruit plenty . ' ve also order regular menu not disappointed . orange juice always freshly - squeeze , coffee tea freshly brew . ' ve also bar food - guacamole fresh obviously make kitchen . drink reasonably price staff courteous professional . good part WSH ? cross street Babbo restaurant get 4:45 pm wait door , seat table near bar astoundingly good meal . every time stay , sometimes 2 night row . food good . con ? small space - overly large person , probably will not feel comfortable . elevator small , room small , corridor small . definitely make plus - sized traveler . squashed corner elevator plus - sized couple not fun . 
 Aug 15 2009 	 Excellent location heart true New York 	 friendly helpfull hotel staff . delux room small many american hotel / motel room , good New York city hotel . excellent location near subway lot restaurant / bar / club Greenwich Village . good complimentary breakfast . stay yuo want experience authentic New York . 
