meet 	 choose hotel Hilton Canary Wharf rank highly tripadvisor review . however , quite disappointed . hand , upon arrival midday inform room available , seem like great start stay . make request anniversary clearly completely ignore little angry . standard room quite large lovely bathroom . clean immediately notice bed quite small low . hilton around London , bed big notably much small other disappoint . another problem fan keep switch matter many time would switch throughout night , cold . usually breakfast , seated waiter / waitress immediately offer either tea coffee introduce buffet selection , however case wait getting fed eventually ask could tea . breakfast lot choice fruit / pastries/ cereal etc . however hot food look appetise . dirty plate remove table either mean limited space . overall breakfast service standard . overall , think much well hotel deserve rank particular Hilton not think would recommend probably will not return . 
 Great Hotel ... 	 stay 1 night late November find hotel high quality . arrive quite late , check extremely fast also give free upgrade executive room , great surprise . room lovely . spacious , large tv , ample storage space spotless , well equip bathroom ( excellent shower ) . view not scienic , lot construction work go , can not fault hotel , noise hear . decide go dinner breakfast package , feel work good value money , £ 50 extra . dinner Cinnamon restaurant downstair delightful , delicious come excellent service . breakfast really excellent buffet , something suit need ( breakfast cost £ 20 prebooked ) . staff extremely helpful , especially concierge , provide plently transport map , cinema time , tour intinerarie general know . location , hotel well serve transport link . South Quay DLR station 1 minute walk hotel , get almost anywhere dockland area . walk 5 minute Canary Wharf tube station , get tube directly city center , go o2 , one stop opposite direction . Canary Wharf mainly business district , also many good place shop , eat entertain . 5 minute away form hotel , Canada Square shopping center , boast many high end budget shop also large Waitrose ( grocery store ) . also ice rink outside , great fun cost £ 9pp . 5 minute away Jamie 's italian ( Jamie Oliver ) , fantastic restaurant , really modest price ( main , side , drink = approx £ 15 pp ) , aware restaurant take reservation , wait common , worth ! , wonderful time Hilton Canary Wharf . return area London , would absolutely return hotel . beautifully furbish room , excellent helpful staff , delicious food convenient location make stay memorable one . 
 Quality Hotel 	 stay order catch early flight City Airport . Hilton really well locate Canary Wharf . right next shopping area restaurant . the room well appoint comfy bed decent high pressure shower . the restaurant doubtless good one go something much modest surround area prefer . the hotel quiet great partner light sleeper . the one moan hotel breakfast order room service not turn time - v.early flight want coffee 5.30am . not even begin 6 am . however doubt would matter visitor . a good example Hilton good business traveller . 
 Nov 20 2009 	 love ambience 	 good location great view . book twin bedroom 125 pound woth money . breakfast equivalently tasty . definitely choose hotel next visit 
 Nov 16 2009 	 Superb London Hotel 	 wife stay Hilton Canary Wharf one night recently . brilliant . firstly location great O2 Greenwich , one good sight whole London . South Quay DLR opposite hotel Jubilee line tube short walk rear hotel . also , building Canary Wharf worth visit own . the room superior double 9th floor . huge well equip spotlessly clean . book room online agency get good deal full breakfast include - breakfast good excellent service . all staff polite helpful Concierge service useful . we park car underground car park . secure clean cost £ 20 24hr period . think worth room deal good . we return hotel soon . 
 Nov 15 2009 	 gorgeous roomlovely staff confusion booking . 	 stay Hilton canary wharf London 1 night partner birthday . when first arrive staff welcome we nicely friendly . warning : pay £ 50 check incase use room service refund ! ! book executive room adv purchase £ 159.85 print confirmationWhen lady look system show book double room ( ) .I show confirmation say fault hotels.com website ! ! anyway still get room pay 14th floor ( executive ) .When book do not include 15.00 extra english breakfast continental breakfast include already front house say English continental free , happy ........ book executive not pay 15.00 extra English get free anyway buffet . room : gorgeous , spacious , clean , lovely decor , widescreen tv ( picture great good enough ) view lousy ( look office block car showroom ) could handle room nice , exactly website . room service expensive not touch , even charge extra £ 3.50 pay bring food tray . our room include go Executive lounge food drink include great . breakfast : big selection , bread , roll , cake , bacon , hash brown , egg , salmon , ham , different juice etc buffet style open 7 11 am . light lunch light : sandwich , sushi nachos , hot cold drink ( could do selection ) serve 3 5.30dinner : wide choice alcohol soft drink , lovely samosa , nachos sushi.serve 6.30 9.lounge clean , modern nice .... internet access , staff friendlyGym : nice clean mini gym e.g two machine , open 24hour great . Sauna steam room nice cose 11pm . whilst book travel 02 nearby tube . have pleasent stay would go back . 
 Oct 18 2009 	 lovely 	 although live 20 min London wonder would like tourist day . arrival hotel impress courteous service , get room amazed , massive bed , plasma tv , bottle water fresh flower . room air condition also appear sound proof could hear thing busy day Canary Wharf . breakfast wonderful , could eat much want . only side drink bar extortionate price , really overprice ? love stay Hilton , sheer luxury ! 
 Oct 16 2009 	 look nowhere else 	 great hotel . review spot . can not wait stay London . right beside transport link , close city . 
 Oct 14 2009 	 Excellent Hotel right next Tube - Perfect ! 	 fiancee go 2 night , 3 day trip london stay Hilton Canary Wharf night bed Breakfast Rate . check arrive super fast , literally take 20 second get key card sign form . we get straight enormous super fast lift 9th floor room overlook Thames Bridge . the room absolutely massive , double bed , comfortable chair , desk incorporate hair dryer , mini bar ( item cost ) , tea coffee make facility biscuit , television , alarm clock radio , array lamp light good sized wardrobe iron ironing board safe . the bathroom lovely size , shower brilliant plenty fresh clean towel , also supply we lovely Crabtree Evelyn shower gel shampoo etc . the breakfast fantastic , seat straight away offer tea and/or coffee orange juice table , help buffet great variety hot cold food different juice . also offer pancake , belgian waffle porridge request , pancake day lovely come we within 3 minute . all hotel perfect , location Canary Wharf Tube 5 - 10 minute stroll , go quickly take 3 minute find out . the shopping centre also connect tube station would take whole day get around . bus stop also outside tube station across footbridge . 
 Oct 12 2009 	 great stay close action 	 great time stay hotel . right outside DLR take we town short ride . room large modern . super clean . one negative charge internet . 15 pound day ! pay one day eventually find cafe restaurant nearby free wi - fi . 
 oct 4 2009 	 Great Hotel great location 	 stay Hilton LOndon Canary Wharf boyfriend birthday .. great convenience central london . room large clean great bathroom hotel staff helpful . thing could possibly say be not entirely suitable romantic getaway . decor modern cold really suit romantic weekend really , would grasp straw . would perfect business trip desk internet access room . like say , everything else perfect struggle think anything negative say . 
 Sep 30 2009 	 Location .. location 	 Excellent service , parking site .. good access Canary wharf , O2 West end . clean , modern spacious room . good concierge . do need eat many restaurant area .. include new Jamie Oliver . 
 Sep 24 2009 	 high level service - excellent location 	 normally stay part London arrive rather late afternoon City Airport decide stay near Canary Wharf . hhonor gold consider Hilton Canary Wharf Hilton Docklands . although latter pool , opt fot one - conveniently locate must admit : disappoint . it take we 20 minute bagage claim check - in hotel . invite check - upstairs , since get upgrade standard guestroom executive room . room everything would expect decent hotel room good bed positive side possibility open window uninspire view highrise construction side . surprisingly hotel offer WiFi room , cable connection ad GBP 15 p / day . I would like stress though , positively surprise consistent high level service encounter . member staff meet go way accomodate request concern pE later check - out special request housekeeping . stressfull day , value enough . location property good . DLR South Quay front hotel Canary Wharf tube station 5min walk via footbridge . nearby mall ( Canada sq ) decent amount shop restaurant intend self - cater 24h ASDA Supermarket 8mins 1 dlr station away . we use breakfast lounge - standard Hilton - breakfast , good quality decent choice . end morning attention could give stocking item already run . tea lounge , excellent . abundant choice sandwhiche sweet / cake available . all would definately recommend hotel business traveller tourist necessarily want central London time . consider rate - definately value money . 
