Super 	 spend three night President Hotel mid - November excellent stay . slightly concerned report sort 50/50 , good good , either lucky ( doubt ! ) , people understand expect money . room clean recently refurbish , thing agree , bed " brick - hard " rustle bit ! ..... like orthopaedic bed … .. get accustomed even ! oh yes key … you would never take , make reasonable shoe - horn ! ! Breakfast ( full English ) efficient buffet selection always plentiful , never encounter queue mention elsewhere . we book Thomsons Superbreak everything go smoothly , even train time ! good value money . 
 good hotel- terrible breakfast ! 	 take boyfriend weekend away surprise birthday hotel . hotel good location explore London- close tube station , open - top bus starting point , local pub , Tesco suppliess , near nice restaurant . comfortable room , altho bed bite crackly protect sheet top mattress , clean . good service staff . get breakfast- start boyfriend 's birthday . do not want much early start breakfast suppose serve 10 am get 9 - 30am table dirty plate clear away , thing bun jam plate put anyway- sure choice early hang around bit not bring anything else . tea pot sugar put . orange juice . decide leave find nice cafe around corner . disapointe start day . so follow day do not even bother go breakfast . maybe day put we ! would maybe stay hotel bed breakfast basis . 
 3 star ? ? ? ? beg differ ! 	 whoever rate fleapit 3 star obviously live hovel ! isthis really well expect standard accomodation 2009 ? many hotel London choose , please accept advice pay alittle avoid stress atempte sleep chaos . true , location convenient , apply many hotel London . food , room , staff etc leave much desire , struggle find anything positive say . find astounding reviewer award place 5 5 , welcome . 
 Excellent Location comfortable need update 	 stay President one night . location good minute course venue 10 minute walk king Cross . room comfortable clean . everything work hairdryer would useful . meal evening ok good value price . restaurant generally clean staff attentive . breakfast fine . 6th floor not suffer noise problem . overall hotel quite dingy seem little natural light . use restaurant convenience not much way ambience . think hotel fine price comfortable bed night night could brighten bit . 
 fine hotel excellent location 	 book travel agent superbreak , idea hotel like . look tripadvisor find review say bad . find hotel clean , helpful staff desk restaurant . expect 5 star accommodation price pay like , room well heat , shower good , flatscreen tv , hairdryer trouser press room overall happy stay . agree reviews breakfast luke warm , feel much make time leave eat . 7.45 morning long opening . would gripe still able enjoy . go pre theatre meal night . good value food although suggest early sit food already set buffet 5.30 . would go back would not want costly hotel hardly due sightseeing theatre . excellent location tubestation take london use piccadilly line ( mind get oyster card get quickly cheap ) .if 1st time london like , book big bus sightseeing tour desk get around see sight , last 48hrs ( hop hop ) time year first stop round corner . 
 Nov 24 2009 	 clean good value money 	 hotel excellent value money . situate 3 minute walk Russell Square tube station . room clean freshly decorate comfortable bed . small bathroom good , powerful shower bath . breakfast adequate - trouble find table sit . stay sister hotel , Royal National Hotel personnally find hotel far superior . would definitely stay . 
 Nov 23 2009 	 Excellent Accomodation 	 reading review look forward trip London , say ' what people want ! ! ' hotel clean , staff friendly & amp ; helpful , breakfast excellent ( English ) hotel ideally locate 100 yard tube ( Picadilly Line ) . walk landmark easy quite central . National Museum nearly doorstep . hotel bar cheap every bar go £ 2.40 pint lager London really cheap . definately stay President people go & amp ; would highly recommend anyone else look decent hotel , centrally locate , kipper breakfast ! ! ! LOL . 
 Nov 17 2009 	 Good Hotel do not put 	 do not know folk want slag hotel ? come back two night stay find hotel clean friendly good buffet breakfast . great location easy walk covent garden . its 3 * star hotel want 4 - 5 star pay hundred ! ! .... do not put staying hotel . we would go back first time stay less four star . good bar evening fair price . 
 Nov 17 2009 	 Good Hotel ! 	 stay hotel 3 night . excellent location near tube station , good continental breakfast ( pay 5 pound english breakfast ) , cozy & amp ; clean room . we would go ! ! 
 Nov 15 2009 	 Good Location Bad Accomodation . 	 stay two night andf find Hotel well locate Tube Station Noise level horrendous 6 o'clock morning ! ! vehicle reverse beeps/ Bottle Banks emptied/ Metal clash about/ trolley clash concrete floor . make bad single glazing , still loud window shut . Decor date , staff fully conversant Tube Station location . breakfast shamble enough cutlery available , food luke warm , try get hot drink whilst get past queue hot plate , dirty tablecloth , hotel reception , bar dining room constantly smell Kippers ! definitely need update get natural light everywhere , dark dingy . 
 Nov 7 2009 	 will not return 	 advantage hotel location .. step Russell Square Tube station . 's , be . room dingy , bathroom shower brown crusty bit ceiling wall , shower cap provide . toiletry consist multi - purpose shower / shampoo gel tiny , tiny bottle bar soap . toilet would not flush ... flush 3 time work . water bathroom sink would back tub - black , nasty stuff ! ! bed hard - sheet clean . absolutely heat room cold - radiator heater on / off knob break . breakfast come room awful - 's kind . dry - out , thin white bread barely toast , fatty , bacon , egg - not taste like egg - leave float water , coffee instant - preserve no - name brand . little wait service - need set table - find cuttlery china , tableclothe filthy previous diner . one guest table say know have set table , have stay home ! 's also noisy - room door spring mechanism cause SLAM shut .. hear day night ! also hear busy , busy traffic outside night long . previous writer state , place dump . I initially read horrid review speak travel agent change Holiday Inn Kensington Close . Agent say pay attention review recommend hotel , say colleague regularly stay President . clearly , agent colleague different standard . speak , going get earful . never stay group hotel . convince stay cost ... may inexpensive , 's reason . 
 Nov 5 2009 	 awful awful awful ... 	 family nightmare stay hotel . arrive Friday night wife fly home Monday morning . make arrangement teenage son stay another room hotel two night fly another country . although voucher prove another room book Monday , hotel clerk paperwork show room book Tuesday instead . rather change paperwork Monday ( hotel book full ) , tell could anything situation would talk book agent . try getting hold anybody North America weekend , cell phone . wife want fly home Monday morning without assurance son accommodation , book pay another room son . fly home Monday arrive , son call say hotel would give new room paperwork booking sort . frustration , son book room another hotel . foreign country , expect hotel assist every way . President Hotel staff helpful despite assure wife son would room , let we completely . Expedia later tell we nothing wrong paperwork hotel make numerous mistake way handle thing . hotel refuse pay long distance charge incur hotel try resolve situation . hotel dingy rundown . coffee shop downstair ever open . maid friendly , loud . seem like run floor work . good thing hotel location . believe , lot well hotel area London . 
 Nov 3 2009 	 disappointing fear would ... 	 look simple clean hotel 3 night end trip . leave London two day return fly home . hotel know prefer room spite reservation allow persuaded agent book President - wish not ! hotel musty smelly , linen unclean . even though ask replace next morning , come back night find spotty sheet bed . size room ok everything old neglect , even smell cigarette though tell staff non - smoking hotel . bath clean towel clean plastic curtain unclean ! ! good thing place location , central , close tube night bus , oh come really cheap ! still , regret book another hotel advance else pay plan well hotel . feel comfortable hotel spoil enjoyment we good spend little time possible ( sleep ) ! 
 Oct 27 2009 	 Great Hotel Great Location 	 read review , honest fear bad . first see hotel admit not smart date hotel . however , hotel spotless , ( although slightly worn place ) . room comfortable clean , ( want price central London ? ! ) . bed sheet clean crisp , ( check arrival ) change daily . towel not overly generous fine . look bathroom recently refit shower good powerful . all staff come contact friendly helpful . even housekeeping staff say hello pleasant . staff reception great helpful . full english breakfast ! ample everything well cook . long queue Sunday morning everything constantly top shortage . the location excellent . 10 minute walk Euston station . 20 minute Covant Garden 25 Soho , need expensive taxi night ! also nice pub restaurant nearby . Russell Square tube also round corner altogether hotel could not well place ! thing would recomend would coffee ! truely vile room breakfast . buy jar ! altogether enjoyable weekend . stayed & quot ; well & quot ; hotel London good value money far ! 
 Oct 25 2009 	 Hotel Dump ! 	 President Hotel , Russell Square London , nothing dump ! Lesson London hotel rate good true -- good true . location , around corner Russell Square tube station , convenient , young staff friendly , be say favor . dingy run , although bathroom spotlessly clean , towel threadbare , bed bedclothe ill - fitting suspicious cleanliness . mattress thin lumpy get middle first night unable sleep . decide put extra blanket top mattress serve mattress pad , proceed undue bedclothe . discover old , thin , ill - fit mattress pad cover pee stain -- seem fairly new ! disgusting . pull mattress cover not even use , look sheet carefully put back bed . needless say , comfortable night . contact housekeeping morning respond bring another old , thin , ill - fitting mattress pad , albeit without pee stain . rest stay keep extra blanket mattress pad shield mattress . problem sleep hotel wall paper thin . single good night sleep due noise neighboring room , addition uncomfortable bed . could hear neighbor talk , could hear tv ( keep nearly night long ) , could hear man next door pee , could also hear snore night long ! also , never forget BANGING shut door hallway . room door fit automatic closing device shut door forcefully hear door BANG shut hallway . night truly torture . 
