customer 	 locate two block Times Sq small perfectly form hotel come restaurant / bar make great base explore Manhattan week Thanksgiving . arrive Saturday , one flaw place , bar loud evening , room 1st floor next elevator vibrate disco go downstairs . however , staff quick relocate we top floor suite remainder stay extra charge ( fact discount first night ! ) . room well appoint cosy New Orleans flavour . whole place warm , welcome feel , much friendly typical large hotel . thank Tori colleague make lifetime visit NYC memorable one ! 
 Nov 26 2009 	 well package - super location 	 nice location well ( ? ) street NY , restaurant row . free ( special anyway ) breakfast free internet . helpful staff . clean room . quiet night . quite small room , think ok ' m NY enjoy room . drawback ( minor ) shower take 2 - 3 minute warm gym . 
 Nov 24 2009 	 Sleepless night perfect management 	 alert fact hotel right bar , assure desk clerk one could access hotel floor bar stair elevator . however , first night , awaken twice drunken patron scream ( 1:30am 3:30am ) second night , awaken 7am bar staff drag patio furniture around order put Christmas decoration . incense , morning , tell front desk need rectify problem . assure manager would call return home take something price . not hear , write impassioned email , outline problem , respond immediately phone , offer reimburse stay full . also invite we come back future night guest . although hotel really need something relationship bar , clearly aware problem try fix . applaud management generosity sense duty . 
 Nov 23 2009 	 gem Manhattan ! 	 stay hotel October perfect little gem Manhattan ! brand new , great decor comfort . mention fantastic location . staff super friendly really enjoy talk General Manager - Colin . knowledgeable great tip thing see NYC . back stay Christmas . 
 Nov 1 2009 	 wonderful room wonderful location wonderful service ! 	 read great review Tripadvisor choose French Quarters hope would live . everything people report , ! moment enter staff make we feel welcome . room really large NYC standard bathroom good sized , nicely appoint spotless . decor lovely continental breakfast pretty good . love location -walke distance Times Square Central Park . overall , great find ! 
 Oct 27 2009 	 far well expect 	 stay 3 night pleased room 3rd floor sunny balcony overlook ' restaurant row ' skyscraper ahead . pub downstairs excellent cocktail food . good bar nearby ' the Mean Fiddler ' get noisy pack 11:30pm night dj friendly bar staff must deaf . good local cafe find Brasserie Athenee corner 46th st 8th ave open 24hours aswell . average pastry bread continental breakfast thing could find fault with . it perfect long weekend break middle manhattan . 
 Oct 16 2009 	 Perfect Spot 	 search high low Trip Advisor site hotel NYC reasonably price well - review . keep find place 5 star 1 star review -- people either love hated . not want take chance . happen upon review French Quarters , right smack middle everything -- right restaurant row right near theatre . review glow deserve ! room 3rd floor French Quarters look onto bustle 46th Street ( Restaurant Row ) . thing finally sell place picture see bathroom huge beautiful shower . can not trust place will not show picture bathroom ! room exactly need , extremely comfortable beautifully decorate , quiet , safe , spotlessly clean . combine fact every member staff friendly , helpful , knowledgeable ( even stand outside hail cab today despite miserable rain ! ) perfect spot stay theatre district . stay . can not imagine well spot . thank Colin whole staff . 
 Oct 11 2009 	 top notch NYC hotel 	 stay 3 night September spouse . room little snug , although apparently normal NYC standard . manage see room 2 double bed quite bit large queen room stay , still not problem . 's NYC not spend much time hotel . the hotel room clean , service excellent . despite small bedroom , bathroom actually quite large well do . could use counter shelf space toiletry , incredibly noisy exhaust fan , minor issue . the location could well , close multiple subway line Times Square . continental breakfast include take advantage 1 morning , eat day . basic , baked good , juice , coffee , etc . unfortunately also include cardboard box cheap , mostly sugary cereal not seem fit fine ambiance rest hotel . would not hesitate go back . 
 oct 9 2009 	 fantastic place stay gorgeous room big bed great comfort 	 one nice place ' ve ever stay . room clean . bed huge , 4 we could haveslept one without meet night . bathroom great huge shower lovely complimentary toiletry . room balcony really nice sit table eveing . go dinner Bourbon Street bar downstairs food amazing service excellent . also cocktail great ! would recommend Hurricane ! really make trip New York , can not recommend highly enough . 
 oct 8 2009 	 Cozy amazing bed GREAT bathroom ! 	 though room may seem little & quot ; snug & quot ; , well appoint everything need . keurig coffee maker , huge shower , chic styling , good bed ' ve see hotel long time .... feel like home ! Staff lay back , nice helpful . Adjacent pub hopping night , local - type crowd ... good sign . Colin great manager ... accommodate guest 's need . definitely stay , , ! ! ! 
 Oct 7 2009 	 must stay ! ! 	 truly enjoy stay French Quarters Guest Apartments . location perfect . staff friendly informative . 2 block Times Square . Breakfast add bonus start day . problem whatsoever hear noise bar next door . would stay heartbeat ! ! look many hotel trip advisor make final decision boy choose well . also New York able see hotel locate research glad . room huge big enough 3 us luggage purchase . beautifully decorate even include hallway - disappointed . highly recommend anyone know head New York ! ! wish ..... 
