almost 	 London 21 - 24.11.2009 . stay Premier inn situated center London ( 50 m London Eye Big Ben ) . unconventional reception good ( check - in check - in machine want , wait ) . reserve twin bedroom get extra large bedroom one double bed one bed extra ! ! ! great ! ! ! room perfect . extra clean nice clean bathroom , flat tv , hairdrayer , cofee machine ... breakfast good can not describe ... full english buffet breakfast ... planty everthing ... word ... one one thing ok shampoo bedroom stay empty three day . definetly ' m go Premier inn ... 
 Nov 25 2009 	 excellent location would highly recommend . 	 hotel excellently locate , right beside London eye Waterloo Station . feel little bit soul - less , guess sell feature type brand hotel . electronic check make hassle free beginning stay , carry remainder stay . room spacious , clean , comfortable minimal . we , want base visit city perfect crash pad . decide bother get breakfast hotel due review , however italian cafe bar right across street delicious full breakfast . 
 Nov 19 2009 	 pleasantly surprised ! 	 go London long weekend towards end summer holiday . Booked hotel search age suitable place availability . hotel not open long . arrive hotel leave bag secure baggage area go day . family room massive . big double ( also quite high 4 year old fall one night ) , sort mattress single floor , sofa bed . view sadly Thames ( hotel take back County Hall ) view restaurant shop adjacent . staff friendly happy . breakfast lovely . self - service everything could want breakfast . restaurant not use many restaurant area ( like Pizza Express ) .Obviously major selling point hotel location build ticket hall London Eye , next Thames . drawback lift quite difficult get morning . full people floor . try find stair , joy . really recommend one . 
 Nov 18 2009 	 great base visit London 	 end day Premier Inn , know expect . visit London tourist need base ideal . Perfect London Eye , even not book close turn open good chance get without long wait . Breakfast McDonalds budget ( yes know ! ! - kid ) Great Aquarim , 3d cinema , Thames , Parliament , horseguards , list go . family room , stay - stay . 
 Nov 17 2009 	 need ! 	 Reception upheavel due refurb , however receive pleasant warning phone call day check receive warm welcome arrival . check efficient soon room . rear view overlook drab courtyard ' eye ' , convenience location view list priority . room spotless , really comfortable bed & amp ; pillow ( often neglect ) excellent blackout curtain . slight moan water could hotter bath , however shower good . really not much could ask hotel room . breakfast excellent value £ 7.50 . agree previous reviewer location toast - lot child possible accident blackspot . great value excellent base visit London many attraction walk distance . customer service good every member staff introduce seem genuinely keen help , offer information generally ensure good stay . use Tripper boat pier ( 200yrds ) - stop St Pauls , Tate , O2 comfortable & amp ; clean 's short walk tube . 
 Nov 17 2009 	 dissapointlingly flaw 	 standard double room large good sized shower / bath . spotlessly clean seem newly decorate . bathroom fitting also new . bed comfortable initial impression good . however : window old cheap internal secondary double glazing . neither original new set fit well howl banshee noise three night stay ( particularly windy period ) . suitcase rest go floor ( least ample room ) . could not hear outside noise howl wind wall bedroom poorly sound insulation could hear every word loudish discussion neighbour . there shaver socket reception run adaptor . breakfast good value want english poor choice continental alternative - cheese cold meat . breakfast bit chaotic - think undrstaffed keep run item - mug , milk , tea bag etc . however , staff friendly helpful certainly work hard . generally , happy hotel produce good night sleep clean money hope bit . 
 Nov 14 2009 	 listen other say 	 ok start decide spend weekend London , stay hotel business know location pretty well . arrive early hotel , 1200 , advise room available immediately , request room overlook garden however room allocate overlook pretty dismal courtyard upper half London Eye . happy accept room however available immediately allow we commence London experience straight away . we advise beforehand work undertake assure would affect stay .. slightly incorrect painter floor wake we quite early , store use locate right beside room seem use noisily regularly , suffice say room feel intimate . we eat hotel first night honestly say food good value money , niggle order Coffee Brandy , hey be holiday , Brandy come Coke type glass , Coffee Breakfast Mug classy way serve fair barman trainee write badge ... bit mentor maybe . breakfast one morning ... worth every penny .. small niggle , enough toast make facility location toast maker accident wait happen staff squeeze queue hot food replenish . anyway cut long story short , Management be listen , toast facility , bit attention small detail , glass etc , please love God change Loo Roll be use . 
 Nov 13 2009 	 exceptional customer service highly recommend 	 stay 2 night sightsee London . hotel great location , 2 minute walk Waterloo Station close enough able walk Covent Garden , Trafalgar Square , National Gallery , Tate Modern Shakespeare 's Globe ( name ) . initial fear stay Premier Inn soon put rest - room spotless , bed comfortable enough bedding cool , crisp white cotton sheet . bedroom downside ferocity door closing mechanism bathroom mean door slam whenever go , way disperse steam shower . weird . all staff - reception restaurant worker friendly , helpful smiling . breakfast plentiful , complaint quantity quality food , even peak time . problem late night revelry next door neighbour . downside ' budget ' hotel like attract school group group corridor . put fair amount squealing , door bang people run outside room call reception ( 1 a.m. ) , apologised not know calm excellent night 's sleep . get impression spend lot time money get right customer - smooth operation show . 
 Nov 10 2009 	 great hotel need well receptionist ! ! ! 	 lovely hotel bad receptionist . major attitude problem could not cope problem . unable give we key room due problem key cut machine give we helpful suggestion leave room open left could get back ! ! ! great security system ! ! ! 11 pm night key available , terribly inconvenient apology even key light still able take money we . get key work hour lock we follow day . clean spacious bedroom fabulous breakfast keep we go day , lovely bar staff especially young man name badge saying & quot ; training & quot ; aka fernandez ...... great location everything nearby.would stay could without friendly receptionist . 
 Oct 30 2009 	 great hotel - perfect location - need sort breakfast 	 Booked hotel review excellent . delight everything except breakfast . book alloted time slot , still breakfast shamble . morning run plate , main item cook breakfast . queue ridiculous , enjoyable breakfast fact stressful one . would think twice breakfast . price cover & quot ; much could eat & quot ; manage small plate , could bother join cattle market fruit top up . the hotel excellent every way . 
 Oct 30 2009 	 thoroughly enjoyable 	 stay premier inn city break London . want good base explore city without spend much money . premier inn extremely reasonably price . room large modern . view face inner courtyard , also noise traffic . decor modern excellent condition . room really spotlessly clean . opposite hotel noodle bar / pub small shop ideal late night snack ! overall comfortable enjoyable stay . would absolutely stay next trip london . 
 Oct 29 2009 	 good hotel great staff 	 arrive hotel 21th september arround 10h30 11.the room allready free could go put stuff room . the check frontdesk go quickly . friendly member staff even help solve problem cellphone ( unlock sim ) . thank friendly lady , stay begin great . room 2nd floor . room large ( like 1 person room london ) room large bed , desk , tv - set seat . could also make coffee . bathroom great ( bathtub , ... ) .A downside little hot room . hotel also great restaurant bar . eat well good price . would love come back hotel , one well one stay London . 
 Oct 28 2009 	 Good Hotel Good Location 	 stay 2 night business . location good , right next London eye 's plenty bar restaurant area . would imagine would good spot stay sightseeing . room actually decent size perfectly clean , bathroom . the staff perfectly professional breakfast tasty enough . downside lack free wifi ( although seem become common ) lift ! may think ' m trivial , Saturday morning must wait 10 minute free lift finally arrive , consider 2nd floor bit annoying . would happily take stair , not ( bar alarmed fire escape ) .but overall , major complaint would happy stay business pleasure . 
 oct 22 2009 	 October Break 	 hotel great . staff friendly make trip even well . hotel central make travel around easy . recommend highly . 
 oct 22 2009 	 Great Location 	 great location within walk distance many site attraction . room clean staff friendly helpful . Buffet breakfast good plenty choice hot cold item fill we dinner . dinner good value tasty . server restuarant breakfast dinner friendly efficient . 
 Oct 20 2009 	 great location tourist average hotel 	 tourist will love location within walk distance many attraction . hotel nothing special . single room small seem clean enough bed comfortable enough . hotel food look expensive , lot cheap option within walking distance . hotel subcontract company charge 9 pound per day in - room internet . hotel quiet place . one night room noisy ( mechanical noise pipe ) . one morning fire drill everyone leave room . also worth mention property construction . clean staff courteous . overall good stay . 
 Oct 20 2009 	 clean comfortable efficient good location 	 stay colleague business trip London . check - in efficient staff smile joke we . room second floor look onto courtyard recently renovate . decorator still lift lobby use one three lift mean wait lift morning . room clean , bright comfortable bed good sized comfortable double . could even open window , although regret 6 am skip lorry reverse courtyard window - beep , beep , beep ! ! ! breakfast excellent always Premier Inns . overall good place stay money well locate . 
 Oct 20 2009 	 good value clean friendly 	 great location , clean room , friendly staff . ( 2 adult + 2 teenager ) spacious family room 4th floor face inner court . quiet much look ! minus : mattress bite hard breakfast room bit crowd busy . , excellent value money & amp ; certainly stay . 
 Oct 12 2009 	 Location can not beat ... room great ! 	 recent trip London , family ( husband 10 year old son ) stay Premier Inn County Hall . location be practically next door London Eye , find hotel within walk distance many attraction want see . hotel , able make way foot Tower London one day British Museum next . low expectation & quot ; family & quot ; room , thought would cramp . wrong ! room generously size , two double bed plenty space energetic youngster . room recently renovate could still smell fresh paint fixture bathroom ! 
 Oct 11 2009 	 Good Location service price 	 stay 6 night . wonderful location - London Eye , 5 minute walk Parliament building Big Ben . easy access Waterloo station well westminister station . the breakfast economical free kid offer . room neat change linen every day . take family room , would say big , spacious enough traveller sight seeing , day would go room dinner . we lunch hotel comment . two night order Pizza hotel dinner - good . staff friendly . I would recommend hotel type traveller . 
 oct 9 2009 	 good price location cleanliness purpose . 	 London get expensive , nice budget hotel almost amenitie one pricier chain . not plan stay hotel day , look clean place sleep , hot shower , feel safe , convenient . walk distance Underground Eye . 's park nearby local like hangout . also Royal Festival Hall lot food option . reason give 4 star , one night , come back long day sightseeing find key room long work . 6th floor , several room away elevator , little annoying go way back lobby get key fix . also , button room phone not work . staff kind enough let use phone , , mean walk way lobby make call . nonetheless , would stay . one item note , nightly charge use safe , make sure let know plan use check . 
 oct 9 2009 	 good value terrific location 	 stay Premier Inn London three day September . locaiton terrific , right London Eye Big Ben . one reviewer mention airconditione , would problematic not cool outside . , kid eat free nice family room good price . really clean . hotel conveniently locate two tube station lot restaurant attraction within walking distance . would defintely stay family . 
 oct 9 2009 	 WOW location economy quality 	 stay several inner city London hotel / budget accom top . right middle thing budget hotel continue premiere inn great quality ... sure cost little nothing relation london accom . how great wander great night sleep accom directly London eye wondrous thing County Hall building , let alone go ... way parliament building , big ben westminster abbey ... festival hall ... tour pass yet retain quietness street outside drop beneath main road ... would highly recommend dip London day depart international flight ... one highlight fact ease get London Heathrow .... Booked dot Dot transfer provider impress everything thie operation . book online 3 month everything right rang confirm ... anxiety thatn real need . amazed large roomy vehicle arrive much luxurious international flight turn ... efficient , time hassle central location ... 
 Oct 6 2009 	 highly recommend 	 stay family 3 day September 23 - 26 . early request room high floor . give family room 517 . fifth floor quite indeed . believe renovation happen second floor . room kinda stuffy . small table fan provide serve purpose . positive point location , friendly staff , clean price ( $ 214 , w / breakfast ) . hotel beat price . breakfast okay . negative point free internet . 
 oct 4 2009 	 not get well 	 use County Hall Premier Inn 5 year always get consistent . meet employee care remmeber experience always first class . 
 Sep 30 2009 	 good value London 	 stay London long weekend . 3rd time County Hall first review attempt . say hotel brilliant . staff attentive , smile polite , & quot ; face & quot ; . room LARGE , quiet clean . the breakfast good 's plenty - coffee exceptional . bottomline : would not stay anywhere else ' m Smoke , either business leisure . 
 Sep 21 2009 	 clean simple great location service value 	 fourth time would stay . half price London hotel look . clean , quiet room . wonderful customer service ( inluding free printing internet ) . arrive early , allow we check early room available . frill , everything would want hotel . location can not fault - slap bang Houses Parliament , London Eye , several underground line ( District Circle , Jubilee Bakerloo ) . 
