San 	 love location hotel along service inside outside room . great able get everywhere want go walk front door . people hospitable . 
 good hotel good location 	 7 night Westin . begin think 5th floor really noisy SF downtown hotel , relatively quiet . ourse hear fire fighter regular tour downtown . also applicable & gt ; 30th floor . the room stylish roomy . even healthy stepper thing locate next floor ceiling window . nice , clean bathroom well . bar restaurant also nice , rather expensive . 
 Nov 15 2009 	 great home base explore city 	 Location , location , location apply real estate travel , hotel perfect location explore San Francisco . be right around corner downtown shopping district , Union Square Chinatown , wife able hoof Telegraph Hill , Fisherman 's Wharf , Japantown , Painted Ladies Lombard Street ( though prepare : city 's huge hill JOKE ) . able walk everywhere blessing , consider outrageous charge nearly $ 50 / night park car here . the hotel nothing write home , really , room adequate course Heavenly Beds make Westin worth stay . first room give we small terrible view , quickly upgrade ask well view , could see bay sunrise next room . I would recommend hotel mostly location , though be expect something really luxurious price pay , probably will not get be look . 
 Nov 12 2009 	 nice business hotel center town 	 Convenient convention center central San Francisco . really standard Westin - nothing particularly complain , nothing memorable . 
 Nov 7 2009 	 Westin Excellence tinge uncharacteristic unfriendliness . 	 always fan Westins , W 's etc , starwood chain . however , several people particular location provide less welcoming hospitality come know . terrible general , comparison calliber service chain , sub - par . primarily , front desk bar tender , baggage handler , droom staff superb . however , nice , clean , beautiful hotel convenient central location . will not anything fantastic right outside doorstep neighborhoody feel , centrally locate ease get many major attraction . block shopping , Union Square , financial district , BART transportation long acceptable walk Embarcadero Ferry Terminal . price vary drastically hotel get good deal , can not beat often , well value . W street far enjoyable experience . bed amazing always , room slightly small typical , San Franciso quite ample . room staff responsive , extremely friendly diligent . concierge also amazing arrival . 
 Nov 6 2009 	 Nice hotel near Union Square 	 stay friend two room , upgrade $ 20 deluxe room . upgrade add floor ceiling window king size bed . room locate next 23rd floor , however one room large sit area 75 % size fairly compact . parking expensive hotel ( average hotel area ) amenity room fairly limited compare Starwood hotel ' ve stay . room include personal coffee maker Starbuck 's coffee , excellent touch much easy use average hotel coffee maker . overall , nice clean 4 - star hotel Union Square area , nothing amazing ! 
 Nov 1 2009 	 Vanilla kind place great location 	 Stayed conference end May . conference facility great , room , whole would say vanilla ... bed comfortable top , bathroom CRAZY small . call ask fridge room keep wine chill take call get . would easy could temporarily move stuff minibar fridge one sensor charge something get move , not try . room 23rd floor , provide interest young kid .... watch fire truck approach area 10 block away , watch fog roll across city , etc . location , tough beat . husband kid join trip even though attend conference time , cable car terminus , union square , Yerba Buena park within 5 min walk . BART station also right nearby . also take F cable car market Embarcadero . food stand amazing -- bad not open long hour . anyone go convention Moscone center , 1 block away . eat twice restaurant within walk distance hotel recommend concierge . think uninspire . think eat restaurant downstair menu rather pricey prix fixe menu ( one night week ) 2 choice entree , red meat not eat . good meal whole trip burrito run Mission ! ! two separate note ... conference & quot ; rate & quot ; offer organizer $ 150 / night high rate book room online . rate get , think 's ok value , one pay & gt ; $ 200 room . be nice ' m sure could find well easily . on final note , late flight home front desk accommodate hold bag departure airport 6 pm . ask cab waiting take us airport return sightseeing shortly 6 . instead cab , hotel & quot ; driver & quot ; take we cost cab . town car instead taxi super friendly safe driver . 
 Oct 27 2009 	 ok business 	 ' m back business stay Westin . location good business especially convention Moscone 5 minute walk . be pleasure ok location Union Square 10 min walk . good hotel service fine ask room away lift . noise come air conditiong duct room pretty loud . one night move without fuss , though . gripe , universal , price wifi $ 14.95 / day breakfast - $ 25 buffet ? 
 Oct 24 2009 	 great base City stay 	 stay nice room , tastefully decorate extremely clean not big room ' ve ever bathroom nice modern fluffy towel good quality toiletry . quite big , busy hotel never disturb guest traffic noise etc . bed extremely comfortable great pillow well . the use internet expensive $ 15 24 hour - noon noon follow day , find free internet Coffee Bean & amp ; Tea Leaf shop 5 minute walk away . book Expedia feel good value money hotel . 
 Oct 19 2009 	 strong potential good location serious lapse check - in 	 bay area resident stay business day go dinner theater evening . location adjacent Yerba Buena garden , Market Street , near several major museum public tran , quite good . 's stone 's throw four season substantially costly . decor modern well do ; room modest size well kept tastefully decorate ; comfy bed , in - room Starbucks . excellent black - out curtain ; noise level 8th floor minimal , suggest good construction . amenity include essential ( soap , lotion , shampoo ) . sufficient towel . 3 electrical outlet internet cable plug - in spot strip compact - sized desk . must comment check , * * dreadful * * , unless like stand line hour bag . least 100 people front we two reception people working desk . young staff ( concierge ) try valiantly make nice , hand bottled water , say , & quot ; everyone arrive ; bus ? & quot ; ( exactly . ) line half way across lobby every time party check noon 3:45 finally gutte line . husband try check early day , say , & quot ; , 3 , & quot ; later clearly annoy line , came ask we do & quot ; pre - check in . & quot ; ? would offer morning ! ! fairness , marathon town day , know 1000 people check , need foresight add staff stagger hour check people . hour couple people finally add help check . would recommend hotel caveat sort check time ask & quot ; pre - check & quot ; make reservation . also car , avoid high hotel traffic times valet service hear people line complain bottleneck ( problem early a.m. however ) . 
 Oct 12 2009 	 Classy Elegant Beautiful Hotel ! 	 hotel right heart city ! convenient walk around everywhere . beautiful majestic room wonderful view San Francisso . thoroughly enjoy living ! ! ! extremely modern elegant hotel ! 
 Oct 8 2009 	 favorite place US 	 wonderful time San Francisco . stay Westin , Market Street . room spacious , clean , service great . many attraction see , thing , can not name . Alcatraz MUST ! like 4 hour . fairly easy get around city , public transportation , stay town . 4 day need car . kind neat little restaruant tuck different neighborhood , city . sure ask stay suggestion . , can not wait go back . 
