Great 	 great hotel . stay room 609 spacious . friendly staff , large room easy access central london ( 25mins tube ) . room hotel could facelift , comfort quality would stay . get good price online book early . stay many London hotel cramp room rude staff professional place 
 stay room food awful ! ! ! ! 	 partner stayed weekend go think hotel nice . room need date , old fashioned furniture style . first be not bother went breakfast food terrible . scramble egg runny , veggy option good good choice food could get . tea coffee cold fruit fresh ! ! ! ! would recomme stay ! ! ! 
 Nov 23 2009 	 Fancy breakfast stranger ? go . 	 mum travel london weekend october lucky enough room long . location good small walk away shopping centre tube station enter hotel look lovely . arrive friday afternoon ask would like upgrade room £ 25 extra . the lift slow arrive sometimes not arrive even press button countless time . view good window open air conditioning break room stuffy . bed resonably comfy bathroom quite nice , breakfast bad breakfast ever go sit large table people do not even know , eat breakfast quickly could go buy elsewhere . enjoy hotel much thankfully excellent time see wicked ross noble . 
 Nov 21 2009 	 not stay 	 suffer attempt blackmail check - in . receptionist want £ 30 ' well ' room . indication expect cash hand . whilst room adequate ( shower - good part stay - surprisingly good ) bathroom suffer nicotine stain ceiling . restaurant staff rude breakfast require full payment could even enter breakfast room prepare make English / continental selection even see food . from website could fool think WiFi available seem restrict certain room type . the hotel tired run bandit - advice spend money elsewhere . 
 Nov 16 2009 	 good experience except attempt blackmail checking 	 receptionist explain exec - deluxe room ( something like ) good rate excellent one . pause . £ 40 could excellent room . & quot ; , thank , & quot ; say . scribble room number slip push towards we . & quot ; smoke fine & quot ; say , statment question . & quot ; smoke fine , & quot ; say . state dimissively , standard room . scribble & quot ; Twin bed ok ? & quot ; , say , pay non smoking double expect . muttered wait , doubt expect we say , go , will pay extra colleague shout across room number scribble give we room number without say anything else . can not help feel work script commission disgraceful . the room clean comfortable . quite new toilet tile floor , carpet look clean fairly new , bed comfortable clean , room temperature fine fairly quiet . dining room breakfast hot crowd cooked breakfast fine . I charge overnight parking rate give web , fact 24 hour rate . realise later though : ( book rush get chance read review , heart sink read bad experience . apart check - in blackmail pleasantly surprised . must hit miss . extortion attempt would make avoid future recommend . 
 Nov 14 2009 	 it´s amazing british kind 	 nice Hotel . good bed , good shower , good apartment . there good Bar Pizzeria restaurant . the location next Canary Wharf tube station easy go anywhere . I strongly recomment . 
 Nov 14 2009 	 stay peril .... 	 stay simple term .... order food , bit order do not show late West end show ! staff rude care ! maid come room without stop call knock ! party room next us hotel take long time sort ! complain give we complimentary room , hassle take get book clearly design would quite simply give up . do INSULT staying STAFF management dont care , PITY LOCATION ok .... REAL PITY . 
 Nov 5 2009 	 awful - much nice hotel stay price 	 recently stay 1 night Britannia Hotel since business not look luxurious stay , clean comfortable room feel safe . sadly room not tick box . room extremely noisy tube 150 m away run past room could hear next door telephone conversation . bed linen wear , tatty stain , drawing wall , dirty carpet , tv floor , mattress old uncomfortable . door bang every 30 sec wind whistle corridor . somehow manage ignore thing , mind matter say attempt log onto internet . could not connect telephoned reception tell not internet access room access lobby however break time - genius ! ice cake , pack thing , proceed reception , demand refund move hotel road upgrade tell awful experience Britannia Hotel . this hotel desperate need big shake . ' ve stay well hostel this . do not waste money , find another hotel . 
 Nov 4 2009 	 Conveinent O2 	 pick hotel base location : one stop tube O2 ( event ) close husband 's office Canary Wharf . it be fine need place crash night area get good deal not expect anything special . main drawback : -very hot room , noisey poor A / c unable open window ; - next dlr line ( although not run night ) -thin wall could hear neighbour flush loo , shower , tvs etc ; -noisey loo flush ( take ear plug be light sleeper ) ; -generally tired date decor ; -hard bed ; and - poor quality linen . it could really refurbishment . 
 Oct 31 2009 	 poor value 	 badly need refurbishment . wallpaper scene Fool 's & amp ; horse . Decor pre 1970 's , television room could buy car boot sale £ 20.room hot could turn temperaturedouble bed 2 single bed push together , comfortableif hotel 4 star rule world ! ! ! 
 Oct 25 2009 	 Mouse dining room ! ! ! 	 get back bad hotel stay life . daughter day London plan receive email Britannia Hotels offer special deal decide book make weekend . bad decision . room smelly stuffy , hot even though heating turn 16 degree , window could open . 10 noisy fan roof right outside bedroom , room 503 , time loud almost impossible sleep . put corridor group school child incredibly noisy run corridor scream small hour . decor tatty , bottom bed fray narrow difficult turn night without fall . top , try carvery Jenny 's restaurant first night finish dinner spot mouse run around table scout supper . point waiter not seem surprised not first time would see . definately hotel avoid . 
 Oct 25 2009 	 Grubby wear unhelpful . 	 stay International Britannia Hotel 15 pupil staff part conference hold two day , three night . roomthe room incredibly date say least . decor hideous without theme . artwork quite raunchy , include naked people suggestive position ( remember ' m student ) . tv not work way could turn switch , neither remote . toilet door would not lock , one person put camp bed , front door break struggle lock no - one could come without card . way boil kettle balance bed due immense lack normal plug socket . phone reception three time get someone come fix tv , manage manager came say would send maintainence fix door . not . call three time even get fix leave third day despite call occur first day . mirror broken view construction site ( include lovely sound 6 am ) . walk room find apple chandelier last inhabitant . air con noisy never decent temperature , either glacial boiling . bed not bad except camp bed . hot drink facility good variety choose hot chocolate , decaf , tea etc . facilitiesprior stay , reassure would swim pool gym avaliable we not conference room . day meeting group want work go swim , however , swimming pool shut Friday Saturday gym unavaliable Saturday due class teach . manage get gym , nice range high - tec machine bar closeby anyone want spa fruit , energy bar drink . swim pool surprisingly small compare photo show website incredibly cold , quite clearly unheated . sauna steam room nice . RESTAURANTSIn morning , group breakfast buffet Jenny 's restaurant , afternoon pizza pizzeria evening three - course carvery meal . food Jenny 's restaurant faultless . wide range vegetarian . meat carvery outstanding entire breakfast brilliant . pizzeria not quite effect . pizza burn airy coke come pizza barely drip last meal decide give we full pint glass . would recommend Jenny 's restaurant stayer hotel would not recommend pizzeria anyone . EXPENSEI not anything book not get much clue cost stay , bar . 200ml bottle coke £ 2 . think really take mick restaurant sell pint coke £ 2 . impressed price that . I think anyone wish stay London look elsewhere . & quot ; 4 star hotel & quot ; , would struggle give 2 star . imagine expensive disappointing people pay . definitely think far well hotel area . 
