well 	 stay Priceline rate good experience . first , put 32nd floor one good view Montreal ' ve . ( we Priceline regular usually expect something low floor view parking lot . ) second , bed fantastic . third , right top Metro . yes , room date lobby seem bit fuddy - duddy be 40 . overall , would mind stay . 
 Nov 19 2009 	 Old - fashioned out - date comfortable . 	 stay two night boyfriend . not get deal would felt rip , although location convenient . lobby area set nicely , room small tv old . people pay , would think would up - to - date . pro : location ! connected metro underground city ... although many hotel . staff friendly quite helpful . towel linen appear almost new ( although one might argue towel decent shape would required 4 star hotel ... ) . view nice , elevator fast . con : appear water stain ceiling , perhaps bathroom ? stain bedroom . tub sink drain properly , one like stand pool ( cool ) water shower . maid service good , ' ve work housekeeper 3 - star hotel typically know look . fun , usually check top picture frame see kind dust . always tell work . much dust fall clump bed ! surprised . recommend ... get deal not look anything fancy . 
 Nov 15 2009 	 Bland 4 star 	 stay two night , nothing wrong hotel , outdated therefore feel overpriced . good location . 
 Oct 10 2009 	 Tired Lady : - ( 	 step Marriott Chateau Champlain feel history Gem Canadian Pacific Hotel . 13 year ago Ocean Properties Portsmouth NH purchase property add Marriott International Chain . typical Marriott customer excited see Marriott finally add quality hotel Canada portfolio . we 13 year pass hotel become old tired . & quot ; Lady & quot ; need facelift . unfortunately make list top hotel . wall paper peel room , rugs hall fading , wood elevator chip staff happy . accord one employee , ownership recently open brand new Westin Montreal pay attention property . how sad many year CP hotel one first Marriotts Canada property leave become run tired . even Sheraton across way go thru major renovation last year ... think time property become competitive like use . 
 oct 9 2009 	 date presentation good service 	 Hotel entrance grand smell like clean product consistently ; room old date ; room do not dvd player old school tv ; bathroom look homey , nothing elegant beautfiul ; clean ; fair service ; locate central area montreal ; nothing really great bad hotel ; average compare 4 5 star hotel I ve stay . room really need renovate . 
 Oct 8 2009 	 Staff excellent 	 staff great . Hotel centrally locate , clean reasonable price . 
 Sep 26 2009 	 platinum member recommend 	 clean , quick check , great location , standard business service , access underground tunnels shop metro – bay window room help great view . 
 Sep 7 2009 	 finally ... dream hotel . 	 visit Montreal quite regularly stay Chateau Champlain dream many year . receive excellent rate Travelzoo stay hotel night way back Quebec City . hotel , build late 1960 architecturally special . tall . slender , graceful building unique semi - circular window . inside retain vestige ' old ' grand hotel fitting ( high , vault ceiling , wood , brass ) warm inviting . room beautiful bed comfortable . especially like separate anteroom contain dresser closet space . bed comfortable wish double bed large queen bed . well locate , polite friendly staff . careful parking : want privilege , take valet option . 
 Sep 5 2009 	 Great Hotel ! 	 stay hotel last month say well staff good hotel . would highly recommend hotel . close train station , Bell Center course shopping . 
 Sep 2 2009 	 GREAT GREAT Hotel 	 will keep brief .... idea complainer talk . nothing wrong hotel . beautiful hotel great location . sit Metro stop convenient . hotel offer great view city , close everything middle downtown . service amazing check , room service , concereige .... everything ! love place definately go back . the thing fault hotel somewhat date room 's really push . rest hotel beautiful , room could use bit makeover , still nice . hesitate book hotel . 
 Aug 30 2009 	 great location friendly helpful staff ! 	 pick hotel base review read site . location great ! good way see Montreal ' metro system hotel serve great location . 2 stop Old Montreal walk distance hip restaurant . staff extremely helpful friendly . pleasantly surprised gift receive check . yes grab local shop spend money store think nice . concierge door man helpful suggestion restaurant get site . eat hotel room clean bed comfortable . pool great size family nice touch actual guard / attendant duty . agree need face lift bit date carpet get wear . us price , location friendly staff make stay Montreal emjoyable . 
 Aug 29 2009 	 Good Location Good Service 	 Hotel directly connect Metro system via lift underground walkway . 2 metro stop Chinatown , 4 metro stop Berri - Uqam . 3 block south St Katherine shopping street . easily walk less 10 min . hotel bit old small swimming pool ( big show website ) . however , location nice stay next trip Montreal . 
 Aug 28 2009 	 enjoy stay 	 stay hotel four night . upon arrival , room distinct perfumey smell , complain maid promptly switch cleaner without fragrance . room need renovation , get decent price , can not complain . location good , service good , helpful maid , concierge , front desk . buy ticket attraction concerge desk , super convenient save we wait ticket line . sarbuck lobby , well deal hall starbuck small cafeteria get two full breakfast ( egg , breakfast meat , toast , hash brown , drink ) price two coffee pastrie Starbucks . every morning check Concierge get sight day metro , always helpful tell we line take get . car necessary see sight . 
 Aug 22 2009 	 Decent Option Good Staff 	 Stayed point layover long drive Quebec City . pay upgrade fee junior suite upper floor well worth it . the location good want near Catherine , Peel , Crescent Streets party scene . convenient Old Montreal immediate area bit seedy stay young family . the hotel handle large crowd well , fast elevator important high rise . find staff friendly , competent , efficient . room service also fast friendly . review point , room lobby bit date . typical lot city hotel , include small room size . free wifi also plus . bottom line probably well Montreal , also much bad . depend price get circumstance , could good option . 
 Aug 22 2009 	 disappoint 	 husband stay Marriott Chateau last two night honeymoon . first three night W Montreal surpass expectation . room upgrade suite top floor overlook park everything top - notch . be loyal starwood brand ( W , Sheraton , Westin ) want bit close center city choose switch hotel . never make mistake again . this far bad Marriott ever stay . hotel old date ( think curved shower curtain rod date television ) . be spend $ 200 + night room , expect well -- clog bathtub drain wade ankle - high water mattress howl pain stiffness . promise & quot ; free & quot ; wireless internet , connection poor able log minute time . upgrade we . never expect room upgrade , would nice room one high floor since special occassion we . beware coffee maker room . husband leave two stained dress shirt lid disposable coffee cup not make size fall . ridiculous ! inoperable remote control . battery must dead -- think would check thing periodically make sure everything good guest . along , service fair good . walk front entrance bag one approach we help we . three bellman simply stand talk amongst . wow , change W constantly helped greet . maybe Marriott take lesson customer service ! hundred hotel montreal well meet need . unless Marriott pay stay , beware ! 
 Aug 20 2009 	 great staff great location slightly date decor 	 many reviewer point , decor old room small side . travel alone 2.5yr old daughter , good news . spill pizza sauce duvet cover rug ? yes . spill entire shaker salt pizza sauce stain ? yes . spill hot chocolate stain next morning ? yes . matter ? . huge relief know stain would probably go away hotel remodel . love pool , although wish least small shallow end sanity 's sake , love push elevator button . fact could get Metro lobby also plus since mean less walk traffic . concierge incredibly nice helpful identifying age - appropriate activity we , room service deliver relatively quickly , receive follow - up call make sure everything order . call front desk ask DVD player connect room tv , polite honest apologize tell rental price would cost buy new one . ( note : bring portable dvd player ) . weak link housekeeping staff take hour bring extra blanket , may one staff member . overall , really enjoyable visit great staff great rate . would absolutely stay , recommend anyone except honeymooner . 
 Aug 17 2009 	 ok - expect much 	 husband return 5 night stay Marriott Chateau Champlain . montreal business , frequent traveller frequently stay Marriotts . , expect lot full - service Marriott Montreal . pro : -- full service , Starbucks lobby -- near Bell Centre , 10 minute walk Rue Sainte - Catherine 20 minute walk Rue Crescent -- room view park across street -- friendly concierge -- free Wifi -- decent size gym small nice indoor poolcons : -- date room , small side ( poor lighting bathroom ) -- 20 minute walk Old Montreal , eat meal -- Wifi flaky timesAs write list pro , see full impression hotel dominate outdated decor room . give many fancy , boutique hotel Montreal ( stay Hotel Nelligan previous visit ) , think Marriott need catch . might try Courtyard next time want stick Marriott property . 
 Aug 14 2009 	 Excellent location friendly helpful staff . 	 hotel terrific location downtown Montreal . metro undergound shop accessible directly beneath hotel . many terrific site withe easy walk distance front door . daughter urge see movie 22 theater cinema locate 3 short block away . hotel show age well maintain friendly helpful staff render fact moot . frequent business travel take Marriott hotel many location staff among well experience . also provide one full service Marriott 's encounter free internet access include well run concierge lounge . definitely stay next trip Montreal . 
 Aug 11 2009 	 nice Stay Good Location Downtown Helpful Kind Staff 	 2 day stay great . helpful get around town Old Montreal . Metro system underneath hotel . underground city underneath hotel . room clean nicely decorate . clean bathroom . great valet service . would definitely stay . 
