good 	 good hotel nice aqua bar central location ND 
 life simple 	 like hotel . properly maintain , clean neat . room big enough comfortable stay love one . offer good variety food smile 
 Nov 23 2009 	 avoidable like Park Properties 	 like Park Hotels , one full noisy teenager dress local people . the hotel website three time expensive online agent would offer . I would suggest , avoid call brand . 
 Nov 18 2009 	 do not stay 	 arrive Park Hotel 18.00 Friday shock . since hotelier , ask upgrade provide we super luxurious room GLASS WALLS bathroom room . imagine could hear everything happenne bathroom .... bed linen full hair stick ... bathroom dirty ... lot hair floor bathtub ... also hand shower .. water come top .. breakfast ok ... lot variety still look bit dirty maybe mind hair find bed .. restaurant fine . general 5 star hotel ! 3 star hotel Greece far well .. unacceptable ! ! ! 
 Nov 10 2009 	 please find another place ... 	 4 5 star hotel - maybe , barely , good 3 star . room small , hotel look well worn , meal restaurant much - much - much expensive - drink bar ( close $ 20 shot scotch - please ! ) . top room rate way price . pay close $ 230 room go half . beware , photo web site look good , tell true story . italian would call & quot ; bella figura & quot ; - English would call put good face * * * * . also find staff pushy . good side - room clean , upper floor quiet , good selection breakfast food . 
 Oct 30 2009 	 Overpriced overhype 	 though quite unbearably trendy sibling Chennai Bengaluru , establishment right place serious work traveller stay - certainly price charge . go bit centre Delhi get much well value . room smallest & quot ; five star & quot ; room ' ve ever encounter , bed far king size ordinary 4 ' 6 & quot ; double . fruit , biscuit , newspaper . shower exciting experience water change hot cold 9 second cycle . despite many people dining room well 7 a.m. ( breakfast start time ) effort speed thing two wait staff already overwhelm time 7 o'clock arrive . slice bread available , bread pastry . suggest check respond clear need customer early breakfast brush aside . stay , get room near top building well away awful noise ' music ' disco late night . return . 
 Oct 18 2009 	 ok lot scope improvement 	 previously stay Park Kolkata eager visit Delhi version . located right heart city Park nothing much offer . would rather call building bar , bakery discotheque room . the room ordinary , staff front desk personnel behave snobbish way . regret come . staff seem interested entertaining guest bar discotheque rather room guest . the thing like able Flury 's bakery , coffee cake yummy make forgot negative point . would recommend people want walk around Connaught Place central Delhi . 
 Oct 8 2009 	 please go back ? 	 Delhi hectic demand . choice hotel really important part India , glad find Park . brilliant would definitely include hotel return visit India . interior design groovy , cold . service smile paint decorate effort . restaurant hotel pricey briliant . food contemporary Indian odd unusual splash region modern appreciation . service spectacular . pool side really relax . make sure indulge daily breakfast ground floor . 
 oct 4 2009 	 worth . 	 stay week hotel . experience average well . know something wrong ask wait lobby breakfast . make share table someone & quot ; busy . & quot ; place lack service top hotel , clearly business that s focus quantity , rather provide quality . simply , do not bother stay . 
 Sep 24 2009 	 average experience- highly price - low value 	 1 . car airport transfer dirty ordinary . price charge airport trasfer around Rs 2000 incl tax one way .. driver 's mobile keep ring way airport hotel .. 2 . person check .. yet thefront desk staff keep insist sit down . , . whe long flight do not want sit , want go ahead room .. low sensitivity .. 3 . corridor hotel room poor state - 3rd Floor .. chip top , lot finger mark etc ' 4 . room somewhat save grace .. though small yet well appoint ... housekeeping room good5 . bar overhype priced6 . indian food great .. order room ervice delicious7 . breakfast mess next morning ... toast service vertually large queue toast .. overall average ... price pay ... look another hotel next time 
 Sep 6 2009 	 3 star 	 dissappointe . design excellent hotel already 10 year old . the carpet room corridor old overuse . window clean , one elevator work . restaurant feel like student canteen 5 * hotel . many group . end try charge one night twice . rather 3 - 4 * Receptionstaff young experience . 
 Aug 30 2009 	 Terrible Rude Staff Poor Cleanliness not Waste money 	 travel kid old parent . throughout stay several bad experience , would not expect find kind hotel . get service expect , kind money pay . 1 ) first fly food buffet area every day , fly open food item . staff buffet area attentive . 2 ) get human hair food three time stay . 3 ) water flush black , cause concern fall sick , water come shower , swallow . 4 ) room unclean . rug dirty stain . 5 ) phone would start ring early hour ( 5 ) disturb sleep , happen twice , among 2 night . turn phone quipment faulty . actually ruin sight seeing visit next day . 6 ) father find scorpion like insect room ; call staff member fumigate room . 7 ) , request parent kid sit reception / lounge area hour half , check , get work do . refuse outright rude . could order drink food leave , courteous ask first , yet treat kind . consider poor hospitality , wonder would kick ? report issue management , however courtesy show action take . in past , many five start resort like Taj , ITC Moghul , etc . decent hotel , inconvenience , senior management would take care courteous way . would never visit Park hotel future . & lt ; /textarea & gt ; 
 Aug 5 2009 	 great experience economical 	 good facility , clean heart city market walking distance . 
 Aug 2 2009 	 5 star hotel - maybe 2 star ! 	 Bar outside play insanely loud music 3 could hear clearly throughout room . keep we awake night . thin wall - could hear people talk even blow nose . poor service - breakfast dinner . breakfast selection - cold lousy . elevator break room really small . would stay ! awful experience . 
 Jul 6 2009 	 pleased stay .... 	 inspite bad review net , take chance stay park last trip Delhi . I ve stay & quot ; park & quot ; Calcutta several occasion , find room , service food top notch - price pretty spectacular , must add ! property Delhi pretty good guess one familiar design & amp ; service philospy park group - room & amp ; ambience might seem tad strange . fitting room bath fine - really pleased room atleast half dozen plug point . 
 Jul 1 2009 	 Ok 	 can not say much good place , much bad either . room small fine . loud street Delhi right window pigeon sit ledge whole time . would fine except feather actually window behind bed . sanitary ask . Dogs bark night street , middle city , know ? restaurant good , Fire restaurant excellent . room service really good one night falafel hummous wrap , yummy ! be get cool feel , 's . breakfast nothing special staff blah ... sorry not much well say . 
 Jun 27 2009 	 worth money 	 dowdy room bathroom . very expensive restaurant . pathetic staff uniform . 
 Jun 21 2009 	 mal - functioning poor service 	 upgrade club level without privilege . pay Sula wine serve champagne flute . snacks.room somehow & quot ; cheaply & quot ; furnish despite club level . rain shower inefficiently work especially get rid shampoo conditioner take age . water tempertaure could ajuste : remain hand - warm . aircon could adhusted : either hot FREEZING . hair blower powercut use all . the packed breakfast ( incl . rate necessity due early check - out ) consist one sandwhich apple ! hotel whole impressed unfriendliness , lack service malfunctioning feature room . I particularly dislike & quot ; design & quot ; feature room comfortable : 2 tiny table attach couch instead decent table make room service dinner unpleasant . the hotel seem somehow cheap z . 
 Jun 18 2009 	 funky glitzy indian five star 	 one pretender great hotel Delhi indian twist . the decor utterly modernistic ( though arty view ) lobby full glaring shade . however can not match class imperial hotel like Intercontinetal Barakhamba ( total business friendly ) , Claridges even Ashok ( excellent value money ) room small compare large one stay Intercon Ashok . everything else quite good part five star though nothing home write . would recommend anybody business CP delhi though intercontinental well opinion . the & quot ; Fire & quot ; happen nightspot pool heat . gym quite good staff polite cultivate - sea change ashok . 
 Jun 11 2009 	 Love disco - theque 	 stay park cannaught place many time . find hotel interrior excellent & amp ; good hospitality . good break - fast , swimming pool & amp ; pub . try . restaurant expenssive . INR 2000 one person minimum good lunch dinner . recption staff help ask 150 INR one print unusual India . overall stay wonderfull . 
 Jun 10 2009 	 chic stylish central location 	 ' m fan Park chain property india , Park New Delhi demonstrate why . the hotel feature stylish room , great service excellent location . wine dining property attract famous not - so - famous wannabee range bar restaurant , traveller say food well find hotel Delhi . the Park New Delhi offer contemporary take indian hospitality - one always happy accept city . 
 Jun 9 2009 	 ananda spa himalayas stop 	 mean 5 star holiday like 3 - 4 star 3 star ... room clean pretty basic - tea make faicilitie big round brown box kettle work properly - expect design someone practical .... think hidious .... reception helpful courteous say service elsewhere .... restaurant real disappointment - plate / cutlery clean presentation buffet / lunch / dinner appetize appealling .... watch rowdy music though think hotel mark teenager club goer worry cleaniless detail ...... 
 Jun 9 2009 	 functional unfriendly 	 excellent location , bang Connaught place , jantar mantar , close office Govt financial establishment , good clean area Delhi . hotel hygenic , quick unfriendly . guest tolerate pay . 5 star facility provide entitlement smile hospitality . ok quick business trip . 
 Jun 5 2009 	 ok ok ok 	 Hotel nicely do , food quality good , Pub waste time 
