will 	 stay whole week Thanksgiving Holiday love every minute . room cleanest fresh hotel stay . sheet comfortable choice pillow , either soft firm . view greatest , not spend much time look window . morning enjoy breakfat buffet gather round crap table ( $ 3.00 minimum , great ) get crowd . first , complain slot tight , last night morning leave , . staff friendly helpful not mind ask dumb question . room big , arrive , husband ask book suite . location convenient us daughter family live close able forego rental car . take shuttle strip one day hassle - free . life good Suncoast Hotel Casino . 
 Nov 20 2009 	 great time would go anytime . 	 budget traveler love good deal . affordable price we ( $ 50 weekend cheap decent place find Vegas online search ) . despite low price tag , impressed . room fantastic , extremely spacious , give we impression pay much money ( even double check later cashier ! ) . website say room floor ceiling window , though not expect much . right ; entire side window ! sure not great view , make bright room . not big gambler , can not comment game , everything seem available . enormous sport betting lounge , even bowl alley . everyone deal friendly , clerk give we couple free drink food coupon cocktail waitress . one thing note : may good night , drink service far quick recent time . impressive ! casino strip , offer shuttle service , want spend evening like , be perfect . con confuse location elevator fact registration right heart casino . issue first arrive bring bag . know everything , location convenient . all , be great value leave thinking have spend . 
 Nov 14 2009 	 perfect purpose 	 stay dad hotel . really perfect not feel need strip everyday . go gamble relax . limit usually small play strip . Lots Video Poker nickel want . also crap $ 3.00 minimum day . offer courtesy shuttle take strip . take Tropicana want hang strip , also take airport . room adequate . food price fairly worker nice . thing not like pool . although pool fine , way set sun not hit pool area afternoon time . couple day go early freezing would hang whirlpool warm . really overall would recommend place . 
 Nov 14 2009 	 Great Place stay 	 stay suncoast 3 night last week & amp ; delightful place stay . room 7th floor overlook golf course & amp ; beautiful view . fact mini suite & amp ; lovely room , bed comfortable . eat buffet food good . would recommend hotel anyone really want stay strip quite way . casino comfortable & amp ; one thing enjoy smoke pit like casino 's . enjoy play well . plan return soon . 
 Nov 9 2009 	 price ... wow ! 	 truly magnificent hotel . beautiful , spacious room ; massive bathroom . anywhere near strip , hiker / climber , great location access Red Rock Canyon / Spring Mountain Recreation area . would go back heartbeat . stay away tight slot though . 
 Nov 7 2009 	 everything sun ..... 	 husband go Las Vegas end October quick getaway head Zion Bryce National Parks . , Suncoast meet need . like strip . room exceptionally nice huge glass window overlook golf course . low key casino great we big gambler . buffet breakfast inexpensive excellent food . one problem hotel . location swimming pool fall season result serious shortage sunshine locate behind resort block sun low . shadow later afternoon . beautiful weather could lay pool . something wish would know book . note , husband go suncoast summer previously enjoy ample sunshine pool day appear seasonal issue . say , still great place friendly people would hesitate stay . 
 Oct 27 2009 	 pleasant comfortable 	 visit Suncoast last year dinner bit gambling visit friend Summerlin , decide stay two weeknight September part West Coast trip . convenient want neither us big gambler interested Strip since entertainment shopping . room big clean comfortable king size bed . include rate $ 55 breakfast dinner buffet . breakfast pretty good numerous choice ; chance take advantage dinner late night drink appetizer TGI Fridays happy hour rate . nice pool grassy lounging area , however , sun appear side building mid afternoon bit cool . also outdoor hot tub stairs pool area feel good pool . staff pleasant helpful . I would definitely stay area . 
 Oct 25 2009 	 love suncoast 	 stay 3 night september , really love hotel , 10 mile vegas strip , would soon area strip , be quite small compare big strip hotel , suit we well , staff friendly , room lovely spacious , pool area small never overcrowded . area nice plenty shop & amp ; restuarant nearby . casino small & amp ; friendly review comment smoke casino , find bad & amp ; non smoker . check breeze & amp ; get box chocolate , think lovely touch . I would certainly choose hotel ever vegas area . 
 Oct 21 2009 	 Hotel Casino Summerlin 	 Sun Coast host hotel USTA Women 's 4.0 Nationals tennis championship Las Vegas . would recommend hotel follow reason : Pool not get sun 5 PM . & quot ; high End & quot ; Steak House site really mediocre food . smoke casino- walk reach elevator hotel rooms- ridiculous . Sun Coast really need update room ventilation system Hotel . team ever make national , strongly advocate stay Marriott locate directly across golf course . 
 oct 8 2009 	 nice place service extra premium price however 	 suncoast nice place stay residential area way way strip . go business , sightseeing not agenda fine . room roomy cozy , comfortable pillowtop mattress . a / c weak small central unit wall rather typical large box hotel window . third day , notice sink shower clog . do shower , stand foot water . sink never stay clogged brushing tooth . nice huge flatscreen tv , although barely spend time watch tv.wireless internet available unfortunately free . cell reception around hotel spotty carrier ( tmobile ) notice time coverage would times drop could not make call random place hotel . talk friend live Las Vegas say nothing hotel free anymore , maybe be grant . notice postage stamp letter cost $ 1 , seem ridiculous I . aside , rate get reasonable room clean . bathroom wide open hotel . good place sleep stay business . 
 Oct 8 2009 	 Nice room casino environment 	 stay suncoast see friend live nearby . two school aged child , casino part hotel unavoidable locate first floor . room clean relatively large spacious bathroom . worried non - smoking room would smell cigarette smoke . in - house restaurant okay pricey . pool nice kid go swim shade . 
