clean 	 recently stay hotel 2 night . room clean well maintain quite small . time sleep 2 night not problem . the staff friendly helpful . query attentive help we sort everything out . the location good . quiet location within easy walk distance Midtown . I would definately stay hotel . 
 Nov 24 2009 	 great value -- definitely stay 	 hotel quick 2 - block walk Penn Station , easy mile walk Times Square . clean , room plenty big give 's New York City , staff helpful ( check bag we entire day check ) . be write review response other read TripAdvisor stay -- people seem complain speed availability elevator hotel . must fix , never wait -- ever . can not believe still get great value NYC ! ! 
 Nov 24 2009 	 Good Hotel Great Location 	 stay 4 night teenage son , brilliant.5 min walk Empire State Building . food bar fab , huge portion . ideal . good idea book NY limos airport save wait , driver arrival area . room ok , 2 large double bed , ask high level flooe Empire view 
 Nov 14 2009 	 good hotel - good location 	 stay 3 night begin November . hotel good location - 10 min walk Penn Station Macy 's little bit Times Square . hotel amenity would need stay short trip - room good , comfortable clean . room 8th floor front building . Bathroom keep clean good hot shower . room enough clothe good flat screen tv load channel - sometimes lack cheap hotel . stay California summer big problem . term location never far away everything , shopping , subway , bus , sight etc etc . would recommend hotel - may someone want amenity site - room 's . would agree previous comment lift - 2 whole building wait 15 min lift day leave one working - imagine could problem . 
 Oct 17 2009 	 excellent look place sleep 	 3 man room wasn´t good idea , need clean , safe place sleep 3 night NYC . 2nd floor without trouble noise . great location middle Manhattan . lovely caretake service . 
 Oct 13 2009 	 staff helpful polite 	 hotel fine decide stay first night dinner . steak 2 veg 2 bottle local beer . amazed cost . charge $ 115 . member party breakfast charge $ 48 coffee toast 2 . 
 Oct 10 2009 	 see NCY 	 great room ! great price . parking problem . staff nice . Great Location 
 Oct 5 2009 	 will not rush back say . 	 hotel , like many new & quot ; budget & quot ; hotel , must design cost accountant edit architect 's design scalpel . start elevator . two elevator serve 25 floor even service elevator ? ! ? kid ? everybody get wait - include clean staff - cost accountant put value convenience guest . as room , could get millimeter small size . could , would , floor would extra room result ! get bathroom close door exercise contortion . will not feel pampered staying hotel , be sure . unlike other , find double bed comfortable . feel like cheap one cost accountant could find . I find staff friendly helpful . location pretty good , : away hubbub Times Square still within fairly easy walk . close Union Square West Village . Chelsea , hotel find , pleasant neighborhood well . 
 Oct 3 2009 	 great location Great Hotel 	 stay Mother 80th Birthday Sept 2008.The hotel locate area know & quot ; Garment District & quot ; . great location Metro around corner , close diner , delis , pharmacy around corner . the staff hotel really helpful enthusiastic - even ewa busy ! ! room high floor view super . September - Octobr good month NY temperature drop city busy business . good advice - buy comfy trainer walk leg ! ! 
 Sep 19 2009 	 clean quiet good location . 	 room bathroom little clean comfortable . good location , easy quick go either up - town down - town Manhattan : 3 metro 's station nearby walkable distance Empire , Flatiron , 5th Avenue . quiet district many restaurant and/or pub nearyby . 
 Sep 18 2009 	 incredible view truly city never sleep ! 	 hotel fantastic location minute macy 's , empire state building , madison square garden etc , perfect exploring . view room truly breathtaking , look towards empire state chrysler building , however curtain provide , room not get dark difficult get much sleep ! room ok size clean comfortable , however despite trip end summer , still rather expensive , particularly not get meal . overall , pricey worth ! 
 Sep 15 2009 	 Great Stay 	 friend visit New York City last week . stay hotel pleasant stay . check quick staff helpful . eat resturant three time food good . hotel good location . walk several area almost every day . clean . staff helpful get us car airport day leave . check smooth . highly recommend hotel . room small , short time . 
 Sep 12 2009 	 little gem heart city 	 follow accumulation Airmiles Priority Club point ( Platinum Status ) plan & quot ; free & quot ; trip NYC UK . stay know roughly want stay around main highlight trip new Yankee Stadium . choice Crowne Plaza Times Square stay CP . new hotel decision basis fact internet free ( unlike review speed adequate ) .arrive JFK take LIRR Penn Station make short walk 7th Hotel . arrive 1 pm offer room immediately - even though freebie - 1901 King Bed & quot ; view & quot ; Empire State Building . end stay also offer late check - excellent service status reccognition hotel . having stay New York expect small room unless pay earth . room perfect size . hotel want bed , desk , tv bathroom . provide excellent . must say first hotel stay provide HD Tv actually hd channel ( fact almost full cable line sd HD channel ) . complaint bathroom - good shower toilet basin . nothing else want ? local area provide good mix shop ( CVS , Wholefoods , Duanne Read , Best Buy ) place ( subway , starbuck Macdonald good restaurant ) block . subway close along key bus route - walk Empire State , Rockafella Centre , Times Square Union Square within 20 30 min . overall wonderfull hotel go straight top personal list manhattan hotel 
 Sep 12 2009 	 great hotel keep perspective ! 	 stay hotel 6 night towards end August say impressed overall . prior arrival touch hotel parcel deliver arrive , manager take charge request keep we attentive staff inform arrive . let get perspective , hotel Manhattan island , right middle thing therefore space always go limited . compare hotel four time price may case say room small , realistically , location , price amount time spend fine . say likely bathroom cause ' small room comment ' small side , perfectly usable . our room not ready early ( around 1 pm ) able leave bag set stright away , advise come back around 3 pm expect room ready we . room ' upgrade ' standard room would normally get rate , 19th floor Empire State building view room , whilst size room ( room similar property , suite etc , standard room ( seem become common franchised IGH property ) ) well due open air feel lack brick wall outside window . the room good , sure not huge , like central London hotel , size cost money realistically get hotel $ 100 night smart booking really can not beat . elevator cause people comment , sure sometimes long queue , seem large party check hotel , really not issue stay . the internet free , great bonus consider IHG location charge $ 20 hour access Europe , not fast thing planet fast enoguh need greatly help we sure filled day well possible . free PC 's n business center basement , print ticket etc free - excellent facility overall department . we not eat breakfast food hotel stay many different reason . hotel food not cheap , breakfast not cheap not nice location . door Bar / Restaurant ' office like ' layout facility not invite . bar ' light ' poorly battery power led light dim size room . cafe desperately need table chair outside , reason stay pile outside unusuable - maybe pack away winter , although temperature around 83/85 stay could useful . over though , Peter ( hotel manager ) team good little hotel would not hesitate stay , nothing much trouble great value overall . highly recommend . 
 Sep 8 2009 	 great deal ! 	 book 2 room : 1 king bed room 2 double bed room 2 night please ! ( especially consider low price pay ) . staff professional , room beautiful , clean big expect . max occupancy 2 double bed room 3 person accord hotel could easily 4 . max occupancy 3 one side one bed touch wall one bed would difficult access one person would much problem 4 person . room well isolated , not hear anything room . the bad surprise get safe keep valuable stuff ( passport ) room . keep & quot ; safe & quot ; front desk ( use service ) .When check - out , keep luggage could leave NY later day . there plenty cheap parking around hotel ( http : //www.bestparking.com ) . think get well deal use bestparke website use hotel 's parking & quot ; deal & quot ; park 30 second walk hotel . 
 Aug 29 2009 	 great stay great price 	 husband stay 4 night Holiday Inn anniversary please discount rate able give we phone . staff friendly , although room small update recently clean . linen nice , bed little firm , even give variety different pillow type choose . locate & quot ; side street & quot ; , F train close ( maybe 3 4 block ? ) , able walk Empire State building . feel fortunate find nice hotel low rate NYC . 
