hotel 	 unaware watch 4:00 pm est check - in prematurely . therefore 1:00 p.m . think manager behind front desk take without complaint whimper . nothing fancy B & amp ; b clean comfortable . much interaction staff find rudeness . unlimited free breakfast excellent . much well last stay La Quinta L.A . definitely come back get nice deal . 
 Nov 13 2009 	 Nice hotel close Strip 	 Room clean quiet , even know close main road . upper room would get nice view neon light Vegas casino . two big queen bed , soft comfortable . could not get tv go , maintence man come promptly pleasant . breakfast big variety hot cold item – egg , sausage patty , biscuit & amp ; sausage gravy , toast , bagel , cereal , muffin & amp ; pastry , coffee / juice . staff polite seem helpful . very.happy stay , especially long sleepless flight , lovely relax comfortable room . little complaint complimentary bottle shampoo / conditioner , body wash & amp ; body lotion . restaurant within walking distance . 
 Oct 27 2009 	 Pretty Decent 	 hotel surprisingly good view strip right side hall ! room pretty clean , staff pretty nice , hotel seem always pack car night , find comfort know ' m one . however , security probably need improve little . 2 - 4 time day , would pizza flier slide door ( probably kid pizza business hire improve sale ) .. door , go side hotel , clearly states & quot ; soliciting & quot ; ... either hotel not care people coming solicit , really oblivious guest ... ( would never buy pizza company way ) shuttle go Mandalay Bay MGM good . use service , since go till 12AM ... odd , since people Vegas stay till way past , would assume .. bad part hotel fridge ....... hate . mean , be desert fridge ... like wtf ? pay like $ 80 plus $ 10 $ 12 taxis night ... think be probably right price , although would well low : ) 's good place stay be Vegas day , give chance get away rustle bustle hustle casino . 
 Sep 5 2009 	 clean new 	 find hotel worth £ 160 3 night . decent free breakfast , shuttle service strip excellent . room clean faciltie fine . pool area also well maintain apart plunge pool order . short trip LV look clean affordable hotel would go place . complaint ever . p.s try bar top & quot ; hotel & quot ; great view strip . shuttle drop . Fab ! 
 Sep 3 2009 	 Fantastic Service 	 drive Grand Canyon stay Holiday Inn Express , delighted service one different night . criticism . really good time fantastic selection room dine great small child . 
 Aug 31 2009 	 Average 	 Las Vegas one night fly home two week vacation Utah , choose hotel one large hotel could close vehicle parking lot & quot ; repacke purpose & quot ; lot luggage . complimentary shuttle go Mandalay Bay ( south strip ) MGM Grand ( middle strip ) , find Bellagio ( north strip ) end evening , opt take taxi back hotel . cost $ 11 worth walk have do . bathroom could clean , forgot ask room top floor listen people stomp around we . breakfast buffet typical Holiday Inn Express young woman tend awesome . ten minute end still bring fresh hot food , restock everything , clean table . make day . 
 May 28 2009 	 clean quiet affordable 	 Loved free shuttle Strip . nice , big breakfast every day . quiet pool . little bit problem reservation number give solve next day problem . room big clean . would like airport shuttle airport extend hour airport shuttle airport end need get taxis way . overall good experience . 
 May 12 2009 	 Fabulous ! 	 clean hotel , friendly staff . free internet access brilliant , grateful shuttle . breakfast typical , plenty choice ample eat ! swimming pool brilliant , often one ! room excellent , room overlook airport , notable noise , fact enjoy sit end bed watch plane take ! ' m glad not stay strip , nice get away hussle bustle . would definitely stay , oh price extremely reasonable . 
 May 6 2009 	 Top Notch 	 hotel , service , everybody smile . just get feel welcome comfortable . 
 Feb 25 2009 	 Great Location Clean Reasonable Price 	 absolute pleasure . ' m glad not stay strip ( ' ve hear read horror story ) . staff friendly helpful ( check - in quick ) . room bathroom clean appropriately sized price . 3rd floor face strip , view amazing . I appreciate free parking , free internet , free breakfast . place easy find plenty parking available right front hotel . free internet room , free printer lobby . ' ve minor issue hie city , one great zero complaint . 
 Jan 26 2009 	 Excellent money 	 please stay Holiday Inn Express . staff pleasant helpful , room relatively spotless continental breakfast average . location strip great , especially since 10 minute shuttle ride away . also convenient airport shuttle . would positively recommend hotel next Las Vegas visit . 
 Jan 24 2009 	 want go Strip ? place stay . 	 stay Holiday Inn Express 5 night include Christmas Day . location , whilst strip merely 10 minute free shuttle journey Mandalay Bay MGM Grand Hotel strip . conveniently locate airport Eagle Riders , hire motorcycle . staff helpful friendly , room clean reasonably spacious . bathroom well equip decent hairdryer , minor thing bath shallow good wallowing ! breakfast rolling program hot / cold buffet , perfectly adequate without excessive , carry bag available early start mid - morning snack . we impress level customer service , wait shuttle one cold evening MGM Grand become apparent never go appear . one quick phone call Hotel Receptionist taxi pay ( include tip ) . 
 Sep 2 2008 	 Clean Comfortable A//C ! 	 bad experience striip hotel ( A / C ) , check hotel , Holiday Inn , ( visit friend next day Westin , still A / c lobby , restaurant , casino lounge . never notice airplane noise , always carry several pair earplug , anyway . rest well hot room Westin . ( Westin employee say hot three day prior arrival , also ) lovely stay Holiday Inn would consider stay next time . 
 Aug 28 2008 	 another good example chain 	 choose hotel close location airport car rental depot . go start tour next day want convenient hotel could park easily outside . time booking , could got Strip hotel few $ , want park half mile away room one night stay ? king size bed divinely comfortable clean . make full use free internet access , , fly UK 8 hour time difference , hour breakfast serve 6 ! breakfast good usual fare bagel , cereal , muffin etc plus hot item . if travel UK word caution take SatNav hire car . take long time new TomTom kick ( next day fact ) glad print instruction get hotel . the next week return Las Vegas confront traffic horror afford Strip area , thankfully , hotel save we first night . get exactly want . 
 Aug 24 2008 	 Spot 	 find hotel hope . speedy check , pleasant staff , nice room , clean hotel , good pool hot tub ( virtually ) . breakfast good , freshly baked cookie 16:00 hrs . shuttle service always time , every 30 min Mandalay Bay every hour MGM . problem service night shuttle may make one journey due number expect wait sometimes . not car not go strip eat nothing close . gas station near sell drink snack though . plane noise never bother we . would recommend hotel want away strip . 
 Aug 6 2008 	 Rude Employees horrible Customer Service ! 	 day arrival call request early check 2 room , tell could check @ 10:30 ! really happy not expect early check , think would able check around 1 pm . arrive 11:30 , get luggage car . woman desk stare we , not even greet we wlecome we . tell check , immediately respond say & quot ; oh , not room available right ! & quot ; tell call early more give early check , believe ask speak . tell speak man around 8:30am , look side say , & quot ; , room available right , give 20 minute will check ! & quot ; sit lobby 30 minute . wait , get luggage car walk towards front desk . man promise early check , ask guarantee early check ? response , & quot ; maybe , say would get early check in . & quot ; ask time could check room . man front desk reply , & quot ; 45 mintue hour ! & quot ; , walk around 2 1/2 hour scorch sun , 5 hour drive , wear 5 year old son . go back hotel tell we thing , & quot ; may hour ! & quot ; point entire family decide change reservation another hotel much friendly proffesional . sad part not we rude . witness couple try check man desk would give receipt check early morning . front desk clerk keep tell guest not check next morning , way could get receipt . soon guest want check say ' m pay cash , clerk say Ohh , ok let check ! ! ! ? cash ? ! management need talk employee customer service skill . mean man talk cell phone loud voice front desk ! never go back PLACE , neither customer , family friend ! 
 Jul 25 2008 	 would stay ! 	 ( i.e . 2 adult 2 teenager UK ) want stay somewhere not totally focusse gambling achieve HI Express . stay 4 night , really please not stay Strip . really convenient though complimentary shuttle bus run every 30mins nearby Mandalay Bay , hourly MGM Grand Hotel , deliver heart action . noise Casinos drain energy be gamble be kid , really great stay Strip say . 2 Queen bed - suite sofa bed , sofa bed rust spring break . room 324 . tell reception send roll - away bed , break actually hold together polythene bag . anyway , next day staff move we room safe function sofa bed ( room 218 info ) , problem . breakfast standard HI Express fare , coffee available day lobby . laundry facility ( powder provide we ) , ice , vend coke , etc problem . reception staff fairly friendly , everything everyone Vegas large life , somewhat brash loud point enjoyable . hotel pool smallish , adequate , welcome cool - off heat . always quiet round pool . overall , excellent value ( reviewer say , money save booking let spend Cirque de Soleil , Grand Canyon etc ) . way , saw & quot ; & quot ; fantastic , see Blue Man good . visit Vegas , ( will not ) would stay . 
 Jul 22 2008 	 Good Budget Option 	 Lets face , be much Las Vegas day night need plenty cash . hotel considerably cheap strip , especially weekend , save we cash spend going see fabulous Cirque du Soleil . ' ve stay strip hate wander casino enormous hotel get back room . Holiday Inn Express good place sleep shower reasonable price , nothing fancy clean comfortable . car location block behind strip great get far enough away bit quieter . agree soundproof could well rather noisy neighbour tv full blast time . credit front desk word think fall deaf ear . Overall 's good option want save cash Las Vegas ' many distraction . 
