avoid 	 Appalling customer service ... wish never book hotel ! reputable agency - online offline think twice business Dylan house ( London ) . hopefully soon later realize stop deal they . the reason book 2 night hotel via www.bookings.com close proximity need London last weekend October NLP seminar . call hotel 3 day arrival date inform maintenance work go room available . nobody bother apologize inconvenience . find another hotel nearby . month later check credit card statement realize Dylan House still charge £ 77 - one night fee . phone inquire charge , - bookings.com Dylan House reply , cancellation fee show .... please , aware try avoid hotel cost ! 
 Nov 17 2009 	 Value Money 	 thank lot Dylan house book studio scare reading review , reach stay 42 day find amazing . the staff helpful caring , room standard excellent . actually must say worth pay stay . special thank go Mr. Rajat surprised birthday put nice bottle champagne heart shape cake room away , soon open room decorate flower ribbon . my wife happy expect tour want make wife happy , prefer come . 
 Nov 17 2009 	 excellent peaceful placce centraally locate 	 enjoy stay dylan . especially kitchen apartment big advantage . nice clean room look newly refurbish 
 Nov 3 2009 	 Fraudlent Advertiser 	 Dylan house appear 3 - 4 star hotel ; good 1.5 . internet site show spacious room possibly exist give situation building . make 4 - night reservation via United ( Venere ) , arrive informed 10 % surcharge pay credit card . pay one night advance cash . enter room literally small could put suitcase floor unpack . kitchenette approximately 2 - foot wide appliance nearest outlet 4 foot away . after 10 minute return desk ask money back . refuse , attendant ask pay another night up - front , say 48 - hour advance cancellation fee . leave immediately use internet find another reputable London hotel area ( Grand - Plaza ) , currently stay 
 Aug 8 2009 	 Buyer Beware 	 book Dylan House internet sadly disappoint . room allocate bore little resemblance advertise hotel 's web page . one staff member present tell we deluxe room feature internet , none available . our room one climb luggage close door . ensuite tiny room one person stand ( move ) toilet , basin shower recess . our friend three adult similarly cramp room window opening onto internal courtyard full cigarette butts . 
 Nov 24 2008 	 bad 	 actually enjoy stay Dylan House . arrive late take long expect get Heathrow Airport . try pay room 6 night receptionist discover Credit card insufficient fund happily accept cash one night say could pay rest next day , pay cash would well charge 5 % credit card payment . room small , bathroom , , opinion , . London see sight spend day room . wall thin could hear people walk around upstairs hallway , , . 's small boutique hotel , Hilton Best Western . location extremely handy everything - close Paddington Tube Station many great restaurant mini - mart . the staff helpful , , come home long day see sight discover accidentally book room 5 night instead 6 , guy reception tell room available hotel Earl 's Court could stay pay 6 night . apologetic , even though entirely fault . I would recommend hotel : ) not expect luxury b ) Budget issue c ) need place sleep sight seeing day 
 Aug 15 2008 	 Great Budget Hotel 	 budget hotel , dylan house modern accommodate offering provide need , small hideaway far centre london basic amenity particularly good standard . I book studio double room ensuite friend 2 night break . get room typical compact studio room clean fresh , ensuite kitchenette high standard cleanliness . ensuite cosy small feel claustatphobic . kitchenette useful we , want keep food cost . storage facility , clean cutlery nicely sized fridge , top plasma tv bonus , add storage space plenty 2 night . top floor , suit we perfectly . couple stair worth quietness top floor offer we . also aware studio room get stuffy fan unit provide great asset stop . would say room clean good standard , problem DVD player , would work . go main office man oblige send someone . however , whilst man well solve problem plain see knowledge . promise new dvd player would brought promise broken . bad aspect service . every occasion office maintain friendly atmosphere service always offer smile . overall impressed standard available basic budget would book stay Dylan 's house . would however mindful Dylan house good short break 3 - 4 day would advice , especially people look compact studio room center good standard choose Dylan 's house . 
 Jun 16 2008 	 Agree - not stay ! 	 ignore general feedback book night Dylan Hotel , cost ! put room 41 . stay sort hotel , many basic small ( ' 4 * ) , like . sell double would small even single room – would fit slim single person small piece hand luggage . ask anything would actually fit two body luggage , show another room even bad , slightly big low ground absolutely natural light . stay Rm 41 . never . double bed push wall barely room walk bed wall , clothe also suppose hang ! ¾ size door miniscule bathroom ' open way bed way . ' kitchenette ' sink - sized bench corner mini fridge underneath , 2 hotplate side tiny sink toaster , absolutely room actually anything . teabag , bedside table , read light , hairdryer , air conditioning , pay deposit remote control tv ( though ' tell check ) . website go say wi - fi coverage ' reach room ; also going charge £ 3 / hr ! wall ceiling paper thin hear every movement around . furniture fitting new - ish watermark wall old overall ' functional space unless literally take one step door bed , sleep , go . people office pleasant try respond concern ' much could . case greed overriding functionality . advice – ' ! great area ( use live around ) load hotel . able find other also reasonably price actually move around . 
 Jun 9 2008 	 stay ! 	 stay ! thing good hotel 's website . photo description portray find . dirty even London standard , grossly over - price . leave one night . room booked & quot ; available & quot ; offered provide something & quot ; suitable & quot ; extra $ 80.00 per night - take leave . bait switch . manager laughed say would find another hotel . arrive leave stand rain 20 minute one available let we build . foldaway mattress ( sheet ) filthy stain . shower small adult would trouble move inside . price charging find much well London . ruin trip . 
 Apr 19 2008 	 stay 	 stay . send partner hotel room leak ( apparantly ) - warning get . not know have pay room actually room we put one staff room away weekend - sheet cover belongin put bed would book 3 . complete porn stash bedside table ! ! Manager rude complain act like we favour ! 
 Apr 8 2008 	 mixed feeling 	 get quite good deal book place laterooms.comif have pay full usual rate have furious . room fall piece , damp mark wall , tap not work well , wall thin 's noisy morning can not sleep . staff friendly many problem not think would ever go back . 
