Charming 	 wonderful stay Inn Opera ! locate across City Hall nice walk Union Square . decor charming quaint , yet update classy . service excellent . 
 Charming lovely ! 	 charming lovely hotel , minor glitch . first , room prove rather noisy : awaken nearly every morning neighbor shower ! could not believe loud sound water pipe ! ! ! ! ! real problem , though inattentive concierge , spend time sound like personal call look see people wait thing could help . 
 LOVE Inn Opera ! 	 recently spend night perfectly situate Inn Opera San Francisco . small hotel right across street stage door gorgeous San Francisco Opera . short walk wonderful restaurant shop , great location stay San Francisco . rent car time , determined figure driving , right Civic Center make easy get around . tiny lobby , big hearted staff , love guy park car take care we , delightful concierge print huge list vintage shop woman make tiny room big people complain ... look next trip , catch music , vitality , joy Inn Opera . fun ... two old , somewhat handicapped seasoned traveler . 
 great stay 	 staff friendly accomadating . hotel bit worn clean charming . room bit small , adequit . location outstanding San Francisco performance Hays Valley reason . 
 Nov 19 2009 	 Thank ! 	 email send ( today ) Javier Hernandez , Inn Opera 's manager , regard recent visit : Good Morning Javier , complete 9 day stay property ( room 77 ) want express thank gratitude wonderful customer service staff . arrive Saturday , Nov 7 , Ballet room Romeo confirm we yet available room 28 night . next day relocate room 77 , , belonging move room . want say extra special thank Betty Housekeeping . wonderful Saturday & amp ; Sunday arrive transition new room . throughout stay would always stop say hello breakfast . fortunate friendly helpful person staff . front desk staff go way make we feel welcome always address we name , add personal touch . it rare day experience consistent customer service obviously Inn Opera get right ! thank ! 
 Nov 8 2009 	 great hotel 	 service excellent hotel : staff helpful extremely friendly . room bite small side consider location reasonable price downtown completely acceptable ! breakfast buffet include fresh fruit good & quot ; continental & quot ; assortment . 
 Oct 26 2009 	 miss mark every count 	 third time stay Inn Opera . time reservation make website follow - up phone call verify process easy confirmation often forthcoming . time , ten day stay reserve Opera Suite ( large ) , call ( June October stay ) assure reservation place . upon arrival , room available small one ! Bummer tiny room 10 day ! ! notice room clean well . inform rate include make bed ( clean bathroom ? ) . right , clean bathroom anything else matter ! notation website , particularly ask discount limited service rate . disappointed will not come back ! ! 
 Aug 19 2009 	 know take reservation know hold 	 reserve 3 room 498 square foot suite Orbitz . I offer 2 room 292 square foot suite . suite small family four check - in . staff Inn Opera tell we small suite almost good one reserve . apologize blame Orbitz / overbooke error . say call Orbitz ( number , either ) . help search another hotel promise charge cancellation fee . I sit lobby Inn Opera search another hotel . find another place , put kid luggage car drive away . 
 Aug 15 2009 	 Inn Opera new favorite getaway ! 	 friendly hotel staff find ! ' ve stay twice truly enjoy stay . Breakfast always plentiful , service always smile . suggest parking car valet lot & amp ; walk use rapid transit city . location perfect see beautiful city hall ( pretty much across street ) well War Memorial Auditorium & amp ; Opera House . Inn Opera easy walking distance Asian Art Museum ( great Samurai exhibit along entire day 's worth artifact ) , United Nations building ( neat fountain ) , nice little park playground area kid ( adult must accompany child enter ! ) , easy access trolley , bus , cable car . will definitely back ! 
 Jul 28 2009 	 Quaint Elegance combine w/ personal service healthy breakfast apple cookie 	 stay & quot ; Inn Opera & quot ; every time go San Francisco . staff know us name give personal name recognition & amp ; attentive service everyone - bend backwards make sure stay relaxing & amp ; worry - free . last stay arrive @ 9 am w/ friend take red - eye Hawaii - staff accommodate let we eat breakfast rush get room ready early check - in ! depart 6 am flight & amp ; limousine service not arrive schedule , staff manage find & amp ; call driver home , clarify suppose @ 4 am 4 pm ( schedule mix - up ) & amp ; able get everyone airport time ! love go San Francisco love stay ! 
 Jul 23 2009 	 four Fabulous Days San Francisco 	 Inn Opera lovely hotel care , efficient staff member , wonderful restaurant , amazing location ! Symphony Hall close many shop restaurant . classical music play , lovely decor happy atmosphere make one favorite place ! travel world ( mostly limited budget ) one hotel really want return ! place special magic one ! 
 Jun 30 2009 	 Inn Opera desperately need renovation 	 ' ve stay several time , mainly inn two minute walk opera house . staff wonderful ; try hard make place work , last time there- past weekend , see three opera three day -- last time something do upgrade place . one suite , hard get , require reservation many month advance . room spacious , bathroom nearly large home . however , bath water barely warm ( good ) weekend , bathroom , despite large space , poorly plan , ( example ) counter put toilet kit , sit floor . would see arrangement believe . provide cabinet big space would not big deal . inn also AC room , normally problem San Francisco , happen three rare day temperature stay warm night . get little sleep siren horn blast go open window fifth floor , last day break beyond . bad bed infest bedbug , wife come home decorate , last count , six angry - look bite . pity . ' ve really like funky old place , contrast modern hotel ( last night town gave move Donatello -- another member chain ) strike . come , Shell , spend money fix old sweetheart hotel . 's worth save . 
 Jun 29 2009 	 great Stay except Van break 	 recently stay 6/22 - 6/26 . staff excellent , accomodation clean adequate , daily breakfast fill everything excellent unti 4th day leave tour find van break . prevous night hubby decide park van along McAllister ( across City Hall ) leave GPS stand van . bum / thief smash front passenger 's window steal stuff van . Hubby spend $ 300 fix window lose day touring need van get around wait get fix . hotel staff say incident like happen lately . 
 Jun 21 2009 	 great location Opera ! 	 ' ve stay hotel & amp ; convenient opera . 's 1 1/2 mile Union Square . old hotel , like residence . room small , suit roomy & amp ; good value money . 1 small elevator 7 floor . room could light color decor , think work upgrade , room new flat screen tv . airconditione room , fan , usually problem San Francisco 's cool climate even summer . great restaurant fine dining side . Complimentary Continental Breakfast . 
 Jun 1 2009 	 location can not beat part city . 	 want away city center , business city hall go event one theater auditorium near , certainly hotel pick . stay one suite believe call Opera Room . two full bath perfect accomodation three person . feel roomy design maximum privacy . elevator small ( 4 person ) slow , be one upper floor prepare wait . room safe . originally go write room little tired need makeover look close see recently one color scheme make look way . two tv 's 19 & quot ; CRT 's one bedroom not swivel far enough make fully face head bed . heat two oil fill radiator wheel like kind one buy Home Depot . room generally quiet could plainly hear shower upper floor . 50 % time toilet next bedroom would not fill flush remove tank top get unstuck . also , noticed pipe sink toilet still tag hardware store . like see little attention detail . price certainly reasonable room size . staff front desk extremely friendly helpful . continental breakfast adequate filling . 
 May 27 2009 	 Great stay- Great Staff 	 guest Inn May 22 - 26 , 2009 . hope . staff attentive , friendly accommodate able answer question , include personal opinion . old hotel keep mind , elevator small 2 people luggage , especially claustrophobic one . run water loud time , always hot good pressure . courtesy apples cookie welcome treat return long day . caution walk alone area , always feel safe take advantage local bus rather taxi get around . restaurant Ovations FABULOUS . lillian hostess , bartender , waiter , cashier , would not surprised helped wash dish . smile good service . jin front desk help numerous time , well FD staff bell staff , unfortunately remember name . concierge eager attend & quot ; owner update & quot ; , simple conversation . close City Hall , opera house , fine casual dining , easy access Union Square bayshore , much . seek quaint hotel excellent service , please take opportunity check Inn Opera . will return . 
 May 14 2009 	 wonderful experience ! 	 book last minute trip San Francisco weekend decide try http : //Hotwire.com good deal room . get GREAT deal FANTASTIC room Inn Opera . yelp result never know exactly be go get Hotwire book . trust review site booking site day . Larry , Ed Gourmet right target thier rating - Inn Opera pretty much rock . easy find ( someone limit knowledge San Francisco ) inn locate nice safe , clean area . even avoid overnight parking fee Parking Karmaforce happen score one street parking slot . be locate within step stunning Opera house ( ' m even fan Opera - build architectural glory ) . inn beautifully appoint , staff exceptionally prompt , curteous & amp ; sincere . one thing appreciate fact not look nose & quot ; Pre Pay & quot ; show hoodie baseball cap direct tow - in surf session ( staffer property ' ve stay Nob Hill section SF ) . room , though small , well appoint comfy . fact , sleep well , snoozed right free breakfast Sunday ( ask sort mattress ' use bed heavenly ) suggestion could make room sort bed tray work laptop desk space . wireless work well , mini fridge , microwave , coffee maker , plush terry robe , lot hot water ( love super long hot shower ) plenty fresh white towel . property would make sweet romantic weekend getaway , nice place stay business , , case , great place call home mix business pleasure - sure well would work family though due space constriction . I definitely booking back Inn Opera futurestay - even can not score 50 % discount book online Hotwire ( 59 buck per night - $ 120.00 + ) . 
 May 13 2009 	 definitely favorite 	 booked room Hotwire , avoid pick part town ( Hayes Valley / Civic Center ) effort avoid hotel . frequent traveler San Francisco , understand concept small room , whether market & quot ; boutique hotel & quot ; & quot ; european style & quot ; . honestly say small room ever stay . view fire escape not help . total claustrophobic hotel , poor service . great location walk thing ( except Civic Center Opera House ) , poor service bar / restaurant . seem run hour , consistency . sure Hotwire rate 3.5 star hotel . 
 Apr 20 2009 	 Exceptional Service 	 thinking come San Francisco consider Inn Opera . staff could enough make stay one shall remember long time . Shiela , concierge take care question tour , place see , get around town etc . front reception staff always nurture take care need . breakfast continental plenty choice . Location Inn Opera great - safe neighborhood Civic Centre district hour away centre town Fisherman 's Wharf . good tour recommend Movie Tour . treat learn 600 Hollywood film shoot San Francisco learn city time . worth every penny . advice Inn Opera get CNN tv system rather horrid Fox News channel . provide free internet guest lobby would also enhance service provide . know free internet service available room , would brought laptop . overall experience Inn Opera exceptional . first class . 
 Apr 19 2009 	 bad suite experience ` ` resort '' Shell Hospitality despite good location 	 search hotel stay weekend visit back San Francisco , come cross hotel manage Shell Hospitality consider & quot ; resort & quot ; company 's standard . suite property right Civic Center , War Memorial Opera House Symphony Hall posh Hayes Valley area . welcome area lounge area decorate classic tone completely charming boutique feel begin boutique hotel boom industry . first staff encounter Front Desk uniform arrive quarter past 1pm ( bit early check - in Sunday city run low occupancy hotel industry , thought could give try ) . course , room / suite ready . store belonging hotel errand city . tell room would ready 3PM . return hotel around 3:30pm give room 35 10 minute wait Front Desk get someone acknowledge . get key within one minute go classic SF apartment cozy elevator . get elevator , almost hit robe ( sure clean ) , hang door enter wing room locate . carefully walk around Hotel ' narrow hallway . indeed remind bit like many city sponsor apartment building around SF , except price tag hotel way much high . walk past open door housekeeper inside get room , know room would ready ( come experience work Sales & amp ; Marketing department two major hotel chain US 10 year ) . bed do room really bad odor . turn around go back Front Desk . time , notice right away . inform staff room give ready . radioed housekeeping department tell room ready get confirmation housekeeping . tell FD staff bed make could possibly clean ready . one FD staff go office behind desk later give another room - room 55 5th floor . time encounter dirty linen hang door notice housekeepers floor . get STUDIO really shock . kitchenette area efficiently front door . right , bed would crashed 2 night . working area desk . tiny night stand house old lamp , house phone , standard hotel radio / alarm pile magazine / hotel information directory ( gather want get shock 3.5 star hotel accommodation ) . armoire right front bed VCR - tv combo , drawer hanger . safe deposit could find 2 - 5 star hotel would across US . iron iron board tug away next armoire mirror wall ( yes , mirror wall find road - side motel often big billboard offer honeymoon suite hour ! ) side bed classic armed - chair sit window ( go fire escape ) leave bit room walk . studio really tiny compare hotel room see San Francisco ( one hotel chain work city ) room suppose STUDIO hotel name 3.5 star resort . truly disappointed tell make since stay two night . try put away suitcase belonging since much room walk around bedroom area . armoire ' open way hit end bed open 60 degree carefully tug bag armoire well portable heater leave room . the bathroom decent size compare sleeping quarter would consider efficient luxurious nicely decorate . appear clean everything seem attach , however , rise color shower curtain stand way ivory / creamy colored bathroom . look hotel ' website make sure make mistake research book hotel . find room hotel small mine , call Ballet Room efficiency traveler ( however hard - time image room small mine ) . type studio , suppose two chair desk table accord hotel ' website . tell way , hotel even try put another chair desk / table still advertise studio comfortable two people . pull pillow desk bed sit one chair make work working area . resort / hotel deserve 3.5 star see 2.5 3 star hotel city spacious , clean well dècore . ' know hotel pull together get star rating AAA pass standard require . Shell Hospitality manage great resort really disappoint hotel part Shell ' world elegant resort vacation home . rate studio low know get hotel less star rating comfortable set traveler . back get stiff sit chair work laptop one hour , business traveler definitely would able use property business trip . 
 Apr 6 2009 	 book 2 night 3 + month advance relocate hotel check - in ! 	 disappointing experience . I wish could review hotel . choose hotel primarily 's location amenity . reserve 12/31/08 4/3 - 4/09 stay . call 48 hour advance re - confirm let know would check 6:00 pm 8:00 show get . arrive 7 pm tell someone & quot ; overstayed & quot ; would stay elsewhere . sorely disappoint unable stay plan ( show Orphuem 4 block away , Opera House , 1 block away ) plan walk 9 year old daughter hotel night . hotel 's credit , say hotel put expense location 8 block away , uphill nice old place friendly staff Majestic . recommend Majestic , Inn Opera , apparently guarantee able stay , even guarantee rate book well advance . 
 Apr 6 2009 	 Loved Staying Inn Opera 	 find like elegant small european hotel . staff wonderful accomadating . ovation , restaurant beautiful delicious dinner . 
 Apr 2 2009 	 Amazing Service 	 lady nice , offer much we 4 night stay . really cramp ask . welcome offer kind service felt need . one bed three people , bring extra roll bed extra restroom supply . complimentary breakfast simply beagle , boil egg , fruit serve . 
 Apr 1 2009 	 Cozy bit small 	 Inn Opera quaint little place stay friendly staff . sleep Juliet Room . room smell really good neat tidy . feel really cozy serene much small be use . bed pretty awful . never get comfortable manage smack time toss turn . size bed would suitable one adult two small people nowhere near big enough two grown people . wake sore back neck . complimentary breakfast adequate . plan arrive late , do not expect get room service . accord binder room , room service stop 9:30 . starve arrive exhaustion . would stay provided get large room king size bed . small room one available , would skip unless . 
 Mar 29 2009 	 stay ever go back SF 	 husband stay four night March 23rd - March 27th , 2009 . reserve ballet room 87.00 night . really impress much hotel offer consider cheap hotel room . build charming . little old ; add french charm ! love decor , . room clean comfortable . blanket , pillow bed comfotable easy sleep . bathroom also nice , not much space store cosmetic , end put stuff floor . part quiet night , except early more around 6:00 , could hear someone start shower . breakfast great . come way find great price good hotel ; especially one offer nice complimentary breakfast . resturant downstairs call Ovation soooo good . highly reccomend try creme brulee . be out - of - this - world ! service maid great . however , dissapointe tell room would ready 3:00pm ready 4:30 . quite upset waste precious time SF . also , hotel locate within walk distane attraction , make travel kind difficult . rent cab part , hotel good calling cab we . overall , Inn Opera great place stay good food service great value . bump , pleasure stay out - weigh snag along way . would love come back SF , reserve room Inn Opera . next time though , think get big room . = ) 
 Mar 23 2009 	 March 2009 Stay Inn Opera 	 wife return week 's stay Inn Opera . nice charming hotel well keep old building . clean . agree other locate bit away many attraction municipal transit system pretty easy figure bus trolley stop within block . first room seem small quickly get use enjoy . use coffee maker couple time keep bottled water wine fridge . continental breakfast nice - bagel , english muffin , danish , cereal , fruit ( banana , watermelon , cantaloupe , honey dew melon ) , yogurt , coffee , tea , juice . serve buffet style staff fill coffee cup . hotel also put bowl fresh apple lobby every morning . really good . general , hotel staff accommodate , professional , customer orient . lapse experience occur one evening around 10:00PM newly arrive guest open door . front desk mistakenly assign room . good reason always use chain lock room . judge well everything else do stay obviously one flukey thing happen . would definitely return charming hotel . 
 Mar 15 2009 	 exceptional value good location nice hotel . 	 need hotel one night decent part town , within walk distance Civic center . room small neat offerred need ... . even small microwave , fridge , coffeemaker , utencil , glass dish two . cool ! free internet not laptop PC lobby use long want ... free . service impecable , complimentary breakfast . concierge day long good info one use . good , price $ 97 , include taxis . location also good - small quiet street within walk distance many place . try restaurant gallery Hayes St ( block away ) . awesome ! ! ! would highly recommend gem single traveler couple short stay SF . 
 Mar 7 2009 	 Outstanding hotel wonderful staff 	 stay Inn Opera many time many year find consistently attentive thoughtful staff fine accommodation . well place interested several cultural opportunity nearby , Opera House , Davies Symphony Hall , Herbst Theatre , Civic Auditorium , Asian Art Museum , remarkable San Francisco Library , palatial City Hall . San Francisco blest copious mass transit effective get without suffer trial car major city . also close hand trolley museum , " downtown " ( far ) , BART train go downtown across Bay Berkeley , Oakland , etc . facility modest size particularly exemplary wonderful staff friendly concerned , helpful attentive patron need . hotel large charming intimate quality . medium price room fully suited need enjoy parking provision , free fresh baked , warm cookie afternoon , omnipresent bowl apple , well free SF newspaper every morning etc . give ambience concerned caring place many trip San Francisco . 
 Feb 28 2009 	 wonderful experience 	 hotel perfect opera experience . loved room extra touch throughout . set perfect walking distance venue . back ! thank 
 Feb 18 2009 	 Charming Place stay wonderful Treatment Staff 	 first trip San Francisco clue stay . read review Inn Opera , decide try absolutely regret . first , seem really small , quickly come love cozy , yet elegant charming surrounding . first encounter desk staff last goodbye , treat utmost courtesy . management staff absolutely friendly helpful meet 30 year travel . ' m sorry not remember everyone 's name , two can not forget Julio Betty . every effort make ensure good size room party 3 adult & amp ; child . room bit small first night , inquire something big large , really expect anything , next day , manager move we 3 - room suite fantastic 2 bath , kitchen . european style hotel welcome change hotel chain tend look alike . complimentary breakfast delicious beautifully present . fresh fruit always available welcome treat . manager graciously offer hold room we visit Napa Valley spend night beach . location hotel bit far sight want see , really problem become familiar street , bus route , etc . feel safe Theatre District even night walk restaurant nightspot . short enjoyable walk distance beautiful Opera House historic building . would stay without question . 
 Feb 7 2009 	 Excellent Little Place 	 stay hotel six night book via Hotwire $ 59 per night . say , wow value ! ! hotel small adequate room . room also small wet bar microwave , refridgerator coffee maker . morning serve good continetial breakfast nice restaurant . more newspaper also complimentary . breakfast alone huge money time saver . hotel nicely decorate seem update . staff friendly quite helpful . it near touristy Union Square area , find relax quiet without constant siren cable car noise . Muni ( subway ) five block walk get anywhere . many nice restaurant within two block Hayes Valley area . overall great place stay , unless travel young kid , could challenge try tourist thing due location . 
 Jan 22 2009 	 Excellent Service Nice Accomodations 	 daughter stay Inn Opera last night . attend 2009 SF Ballet Gala dinner performance want drive back home East Bay Peninsula . second year choose stay Inn Opera evening . addition room clean attractive , service receive concierge , front desk bell staff exceptional . easy walk Opera House City Hall . morning walk Asian Art Museum catch Afghanistan exhibit , walk Pacific Heights lunch - 16 city block Van Ness California Fillmore Delfina . recommend Inn Opera highly . 
 Jan 4 2009 	 Charming Hotel Great Service 	 stay Inn Opera 1 week . location : convenient ; 1 bus ride wharf ; 45 minute Napa Valley . Reception Staff : courteous , efficient & amp ; friendly . room : clean , comfortable , temperature right . key card work third day come back napa- reception quick fix problem . free continental breakfast fill although waiter fail fill cup coffee ask we want . stay future . 
 Dec 19 2008 	 Felt like family Inn Opera 	 consider Inn Opera home San Francisco . recent stay entire staff -- front desk , concierge , bell , housekeeping restaurant staff exceptional make we feel completely comfortable take care despite travel change result arrive day early without reservation night . nevertheless , desk staff provide available room first night bell staff facilitate painless transfer reserve suite second third night . survey follow early visit , wife suggest consider number old guest bran flake add complimentary brunch . time bran flake — a detail reflect level hotel ' customer service . grateful entire staff make stay pleaure . addition Inn Opera near Civic Center include City Hall rich history elegant rotunda , San Francisco Opera , Ballet , Symphony , San Francisco Culinary Institute serve public Friday lunch buffet reasonably price elegant . locate San Francisco ' Hayes Valley district , south west abundance neighborhood restaurant european flair , coffee shop , bar , boutique , bookstore , sense family community . block block level street offer respite Union Square Nob Hill knee challenge amongst we . 
 Dec 19 2008 	 Great Place 	 Excellent hotel stay . stay one night visit SF Ballet Nutcacker . hear indifferent review , concern , get love hotel . area bad , people make , hotel really nice . room really clean , bed comfy . breakfast morning so - so , free , complain free food . hotel really throw back old day , make feel like stay old victorian ! enjoy , , Tim . 
 Dec 16 2008 	 Room @ Inn 	 take 2 day adjust & quot ; european style & quot ; type room ( studio refrig . & amp ; micro ) , thereafter cozy & amp ; adequate.adjuste small size room challenge due last year stay @ another svc property s.f . ( Donetello ) studio huge ! wife & amp ; highly recommend Inn @ Opera ... staff professional & amp ; friendly & amp ; go way please & amp ; serve ... daily complimentary continental b'fast awesome ... onsite restaurant ( Ovations ) pricey yet admirable quality & amp ; service . 
 Nov 29 2008 	 Love place staff 	 usually not get great service hotel general . trip drive vino bello napa stay opera . never get good treatment staff . remember Joseph Rowena front desk even Patricio valet guy , amazing treat we true costumer always treat . hotel great look ( european style ) . totally recommend . 
 Nov 20 2008 	 great experience ; perfect location ! 	 although not true & quot ; 5 - star & quot ; establishment ( easily 4 - star ) , definitely & quot ; 5 - star & quot ; experience . hotel european , old - style feel , though update ensure guest comfortable everything clean . staff gracious friendly , although valet parking full , direct we parking right behind hotel actually save we couple dollar . location perfect - practically next door Opera House Civic Center , make lovely evening stroll ( though short ) . stay Junior Suite comfortable many amenity provide always find hotel ( & quot ; green & quot ; shopping bag , dish , etc . ) . free continental breakfast quite good restaurant intimate beautiful . hope arrive early enough next time dinner show . hope return gem hotel many time future . 
 Nov 17 2008 	 Excellent European - Style Hotel 	 Whereas stay October marred lapse staff attentiveness , time service good . Brian Front Desk especially professional enthusiastic . room comfortable well - appoint , hotel excellently situate patron like we come attend opera . 
