Great 	 friend stay Comfort Inn November week . find reception people helpful friendly . food Brendan 's good , not forget use key room card get money off - we do - and not ask ! ! ! hotel may bit date , clean . fantasic location . subway , Macy 's Empire State Building within 5 minute . whole love stay . bit paint would help brighten . noisy night dustbin collect New Yorkers like use car horn ! ! ! 
 Nov 25 2009 	 21st birthday 	 great location ! ! quite dated hotel need base . tea / coffee facility room , hotel lobby .. Mountain Dew vend machine ! ! ! free internet access need . 
 Oct 30 2009 	 Fab Fab Fab Hotel 	 stay Comfort Inn Manhatten 6 night 10th September , 12th floor , Empire State Building view - wow ! ! ! ! totally amazing . check desk & amp ; reception staff efficient friendly , room nice , bed comfy , stair well little need re - decorating not really care , well happy . breakfast include stay , bagel / pastry / cake / pancake / eggs / cereal / waffle etc . location perfect 5/10 min walk Times Square , Empire State literally behind hotel , Macy 's end road , Subway 's close . nice little Irish Bar O'Reilley 's across road brill , go evening . will definately come back hotel .. 
 Oct 25 2009 	 fantastic location complaint 	 wonderful time Comfort Inn , room nicely furnish clean , comfortable bed ever sleep . breakfast nice plentiful , already aware plastic cutlery , not spoil anything . location brilliant , view bedroom Empire State Building , Macey 's around corner . complaint whatsoever , would definitely recommend hotel stay . towel change every day . 
 Oct 25 2009 	 ok probably would not go back 	 stay Comfort Inn 3 night start October 09 half 2 daughter . firstly , remember 5 star hotel , read previous review open minded . the hotel well situate centre Manhattan , stone throw Broadway 5 - 10 minute walk Times Square . Most staff helpful , however exception . we give room 1011 adequate size situate rear hotel view wall 10 ft away . room dark , good thing quiet . we stay room sleep , real problem . the room well appoint recently decorate , ' clean room stay , clean come daily . the continental breakfast provide good bagel , waffle , toast , cereal , cake , hot cold drink other provide . usually go 09.30 morning , usually quite busy , get seat table not real problem . we not eat Brendan 's due number food outlet nearby . out , use 48 hour hop / grayline bus tour ticket get see New York . uptown , downtown night tour good , bad guide mediocre , however good , keep topic interesting . never real problem get top level bus . Times Square good , always bustle people plenty shop restaurant choose from . the Empire States build around corner hotel Macy ' block away . if travel budget plan busy time Manhattan night hotel would . expectation high would give miss . nothing greatly wrong hotel , however ' give feeling would use return New York . 
 Oct 23 2009 	 clean room excellent staff service 	 stay two night , go photography workshop NY . hotel close Penn railway station also close Broadway many store ... room clean , bit noisy train ... 
 oct 22 2009 	 Great Location Nice Hotel 	 stay six night find Hotel good . staff always helpful , room clean pleasant ( 10th 6th floor ) tea coffee available free twenty four hour day , reception area . brendan serve nice evening meal complimentary breakfast adequate need . location great Macys yard away , 5th 6th avenue also close . ten minute walk get Times Square , Empire State Building around block . nice restaurant find opposite hotel plenty short walk away . definately stay . 
 oct 22 2009 	 not stay ! 	 checking , staff unwelcome dismissive . journey room fifth floor , become apparent hotel major need redecoration maintenance . 30 min room , water start pour ceiling . go back reception report offer another room . apology . street noise noticeable room situate front building would advise take earplug incase . heater far long air con noisy . surprisingly , breakfast pretty good , 7 order find somewhere sit . last day , flush loo empty content quite possibly content guest toilet bathroom . report , apology . although budget hotel good location , financial saving simply worth hassle disappointment stay . advice , stay somewhere else ! 
 Oct 21 2009 	 shabby poorly maintain 	 4 night stay.in two room . , enter one two room water pour ceiling , obviously old leak ceiling paper stain . give another room apology whatsoever . toilet room flood last day . second room key card work time result go lobby time get new card , apology . heating pack second room . report nothing do , apology . one two lift break day . attitude staff leave lot desire . whole hotel shabby except lobby dining room . would recommend hotel anyone . 
 Oct 8 2009 	 not well 	 stay tour across US disappoint . room decorate really nicely clean . staff times abrupt concierge could retrain definition role really not want help . I really want place good feel staff make place really let place . 
 oct 4 2009 	 Great Value Location 	 although old property , do not let discourage . recent remodeling nice touch great location even well rack rate . empire State Building literally right around corner , block Broadway . walk everywhere around Times Square / Rockafeller Center area . stay twice , 2005 2008 , highly recommend budget - minded traveller desire close action . Convienient Subway station jump FDR , drive , also . 
