amazing 	 look website . look odd - not go . , like , think look amazing re - mortgage house , sell family silver - whatever take - visit ! ! think bad review people not get ? take Partner overnight birthday . hotel stunning . wonderfully eclectic mix style . gold tooth gnome seat next giant chess set foyer - need say ! ! staff wonderful make day absolutely perfect . Booked ' romatic package ' room look amazing arrival champagne rise petal . do not eat dinner hotel cocktail Asia de Cuba midnight pack still find we table 5 3 minute somehow . fabulous vibe really relaxed atmosphere somewhere busy . thank staff make day special . 
 fabulous ! 	 beautiful , hip trendy hotel , lovely room ( studio room champagne , rise petal , candle amazing view ) bar fantastic . Asia de Cuba wonderful food service perfect , although seem little keen move ' ve finish eat , even still drink wine . pricey worth money spend ! 
 Overpriced 	 Crowdy hotel , nice people , good restaurant Asia de Cuba nice lounge bar small room expensive quality 
 Nov 14 2009 	 Love Hotel 	 stay St. Martins Lane Hotel month May return 2 month fall . London work family join month . love hotel . staff friendly helpful . even though hotel trendy , never feel place unwelcome 2 1/2 year - old son . pillow comforters comfortable bed . impressed bathroom take picture design idea house . good , hotel perfect location London . 
 Nov 9 2009 	 eh '' ok '' 	 stay st martin lane november 2009 . wife well travel , feel know good bad hotel see one . disappoint overall . room run dirty . staff nice helpful . great location ! walk sit coffee Trafalgar Sq . ( starbuck front hotel ) people watch . overall would stay 
 Oct 24 2009 	 Noisy Moldy Leaky 	 Room 315 : -thin Walls door - black soot eminating airconditioner cover bed , tablehotel : -Stayed 2005 love ! look worn dirty.-leak 3rd floor hallway , wet carpet moldy smell - noisy patron , drunk throw hairdryer room next door 2 amservice : nice , quick check in / out baggage service - very expensivelocation : -great , walk distance tube station , restaurant shoppingwill stay ? : 
 oct 24 2009 	 Englands Answer W 	 pleasant hotel - great location - upbeat atmosphere helpful staff particularly concierge . lot activity lobby , restaurant rum bar . would stay . 
 Oct 11 2009 	 worth 	 important see hip place ... stay . want nice hotel great location look else . location good staff hot . room average internet charge outrage . stay dozen hotel area nice room crazy rate hotel charge . 
 oct 9 2009 	 Great Hip Spot West End 	 often stay Royalton Hotel NYC , love stylish approach hotelier , Royalton part Morgans Group Morgans operate several property , one London 's West end ; St Martins Lane . stay night , take EuroStar Paris , like hotel almost consider delay Paris day two decide would retun St Martins Lane time find London . cool hip stylish descriptive fit St Martins Lane . room big bathroom great trade pleasing environment . love place . 
 oct 9 2009 	 home London . cool urban vibe ideal central location hot doormen 	 St. Martins Lane home whenever london . hotel cool , contemporary vibe hot spot night . central location w/ immediate walk access London offer . room suit small find hotel easy trade . ask corner room floor ceiling window make London much close . doorman hot London helpful well . 
 Oct 6 2009 	 great place base stay 	 upgrade king size bed welcome front desk clerk . first time London , want place great location , hotel disappoint . room clean great bathroom / shower . great bed pillow ( not understand 's review bed : never sleep well ! ) . gym next door . warn however exhorbitant cost feature laundry , bad , local phone call . apart , complaint . 
 Oct 5 2009 	 Disappointing compare sister Sanderson 	 loaction great hotel stylish couple thing let ; - arrive early room room ready left case number reception call ( feel unwell want lie asap ! ) around 11.45 call great . return reception hand key room . explanation room guess 503 5th floor would liked tell gym ask want paper stay.- bed . awful . uncomfortable , bad hotel bed ever , could feel spring creak simply change ( sleep ! ) position . - clean . bin really small room end put almost empty coffee cup floor next bin could clear away . clean must knock realise left room big stain floor . 
 oct 4 2009 	 something different friendly staff 	 drive past hotel twice not sign outside realise weird look build hotel appreciate individuality . NCP parking back hotel plus . friendly staff quick efficient check . garden room great private terrace , alebit small . main thing room lighting - cele light strategically place lamp downlighter allow tailor ambience suit mood ( recommend couple ! ) . lovely shower great ( course expensive ) mini bar . room service efficient ( tell expect food ' 24 ' min turn ! ) not use bar restaurant judge funky people hang around lobby cool place see . expensive ( room £ 350 ) London spend money somewhere like bit different ? 
 Sep 26 2009 	 staff huge credit hotel 	 cool hotel fantastic location central London . be look something traditional , want something different innovative decor place you . the outstanding aspect hotel staff . cheerful , polite , friendly , helpful & amp ; efficient . can not praise enough . attitude guest actually heart warming . consider work busy hotel centre one major city world , huge guest turnover , still manage treat we though guest deal week . absolutely commendable ! would say hotel cusp need little redecoration & amp ; soon . nothing outstanding need specifically , slight feeling bit refreshing would not go amiss near future , , staff like , not worry all . we stay next visit London - 's sure ! 
 Sep 25 2009 	 Fabulous hotel not stay anywhere else London ! 	 stay St Martin 's begin August blow away hotel . stay swanky hotel around world St Martins get one good . stay Garden room , lovely , small perfectly form still room move . service amazing , everyone pleasant , polite would anything help . Light Bar great place drink shopping concierge help query . room service good room good mini bar ' ve ever see , dinner fifteen ( amazing , go get chance ! ) can not comment restaurant . fabulous hotel , make feel special minute taxi pull outside door , not stay anywhere else London ! 
 Sep 24 2009 	 Exceptional Service Great Location 	 could not happy decision stay hotel . room quite nice -- contemporary good shower ever hotel Europe . nice bedding , toiletry , linen , etc . access gym next door also big plus . get hotel snap ton see close . particular , concierge hotel staff excellent . help , able completely debunk myth food England sub - par -- eat like king ! 
 Sep 23 2009 	 Great Spot 	 good hotel great spot . room small get litlle date review suggest . well maintain clean . staff really helpful friendly genuine way rather usual stuffy british way . location perfect , Leichester Sq Covent Garden , attraction walk distance plent great eatery bar nearby SOHO . bar hotel also great place meet friend head . would definately stay . ( maybe try sister hotel Sandersons ) 
 Sep 21 2009 	 Nifty West End 	 's something hotel seem throw together quickly possible . neat stuff go lobby like bunch sized chess piece size gold tooth 's bit whimsical . like humor thing not get wrong tad force . staff front desk friendly accommodate bell boy concierge . concierge fact gve we couple good restaurant recommendation ( mint leaf one ) room large , even roomy ; cozy / crowded . closet entrance hallway bed desk TV stand deposit main chamber make good use little space . room modern sexy mood lighting bed ! bathroom modern much big one would expect size rest room . the sound hallway carry bit well room even interior door help marginally . guess 's good know people good time inn hotel though.one night stop bar drink ; definitely night maybe 4 guest hide away . time perfect want low key night cap . could see cool night activity would fun . 
 Sep 12 2009 	 total convert 	 book hotel right trip ' m make November -- go back St. Martins Lane third time less year . collegeague base London recommend SML past February -- one night meeting girlfriend mine fly state fun weekend . usually fan mimimalist hotel -- normally Dorchester devotee -- love everything SML . location fantastic -- tube , restaurant pub right door . night - cap evening International right street corner Trafalgar Square . avid runner Gym Box full - use gym available guest . travel much , nice change - up able work full size gym oppose hotel gym . experience great , return SML past June Wimbledon business . great staff , another great experience . room problem A / c time , call day . send someone right away -- return hotel late night tell problem could not fix . offer another room -- upgrade -- aside form hassle move everything late - night , staff great accomodate . order room service every night match always quick delicious . so , go book trip November . hopefully good other ! 
 Sep 10 2009 	 surely good London offer 	 arrive hotel first check time tell reception problem room previous guest check late . dissapeare office minute two come back tell we upgrade we Loft Queen Deluxe . this huge room beautiful bathroom dress area . bath look amazing not get chance try one night shower fantastic anyway . the room fresh clean lighting effect certainly novelty day great fun night ! not get opportunity eat restaurant although spend hour intimate Lightbar . lighting look along odd face wall ! drink amazing although reasonably pricey hotel right centre West End really suprise . Room Service breakfast prompt morning . food seem fresh delicious . odd thing water container enough 3 cup tea two us one go without second cup ! ! checkout quick easy billing accurate . I would recommend hotel moment notice . cheap place world good thing never come cheap . 
 Sep 5 2009 	 one good London 	 probably favourite hotel ! staff gorgeous , hotel gorgeous food even well . make sure eat Asia de Cuba restaurant visit . ( Asia de Cuba salad ' die ) gripe room small tv 's , apart hotel trendy worth money ! 
