Nov 	 Valentine 's Day 	 love city trip ! hotel great , guess celebrity room stay ? 
 Nov 16 2009 	 great hotel - highly recommend ! 	 excellent staff comfortable stay Hotel Triton highlight trip San Francisco . every one staff encounter incredibly friendly willing help way possible . the room stay ( Eco Premier King Room ) nicely furnish plenty room quiet . fitting ( mainly bathroom ) little bit date everything clean good condition . be free wi - fi throughout hotel free ( pretty basic ) fitness room basement . free daily wine reception great opportunity sit around chat staff guest . the location Hotel Triton good be within easy walk distance Chinatown Union Square . Muni Metro , BART , F - line streetcar Powell cable car line within five minute walk 's easy get anywhere city to / from airport via BART.We will definitely head back Hotel Triton next visit SF - 's great value honestly can not think one bad thing say experience ! 
 Nov 11 2009 	 find ! 	 group friend go San Francisco celebrate birthday choose stay Triton 's funky look Kimpton brand . although know have great stay , still blow away amazing service , great location unique funky atmosphere . every staff member encounter friendly accommodating . location could not well , step away great restaurant , shop China Town . make fuss birthday even give birthday gift ! room bit small , hotel much heart make . work hospitality industry would not hesitate recommend hotel anyone . 
 Nov 11 2009 	 Quirky little hotel great location 	 SummaryGreat little hotel fun freebie like wine taste cookie . room small view 's location great service friendly helpful . LocationRight China Gate walk North Beach , Exchange Square , even Mission though 's close subway . Valet $ 35 night really cheap elsewhere . roomssmall small window bit dark quirkily decorate perfectly clean comfortable . tiny bathroom , though clean fineservicefriendly helpfulBar RestaurantThe cafe next door bar restuarant great cocktail not eat . however friend live San Fran say 's great cafe . breakfast odd affair oj muffin deliver room paper bag pop downstair want coffee ( free lobby ) . make sure one day though pop round corner world famous pancake ! ! 
 Oct 23 2009 	 great location really friendly helpful staff 	 love stay Kimpton Hotels travel . pick one San Francisco know would busy area town lot restaurant . great choice . go great morning run San Francisco hill Fisherman 's Wharf . love Chinatown also close BART station . book zipcar park half block away . staff help find kind restaurant want eat ... fact , kindly answer question ( take BART , get . ) room small cute hotel feel like old building bring up - to - date modern amenity . love end day free glass wine lobby . 
 Oct 6 2009 	 pet friendly cool decor free wine happy hour ... ask ? ? oh right chinatown 	 book hotel find great price online plan west coast roadtrip . decent review never statye . travel pet kinda make complicated finding decent hotel accept dog ( real dog , 12 pound ; mine be 55 lbs ) . great location right across welcome gate Chinatown , great room rate , accept pet , book right away three night . only downfall ( although not see since vacation city know street parking premium ) price garage parking provide hotel . believe $ 20 night . want spend time pursuit search parking spot . truck available use get stuff forget take phone call . pretty convenient well worth cost eliminate vehicle parking hassle . the hotel staff friendly upon check - in . bring dog put name & quot ; pet hotel & quot ; chalkboard front desk visible . although , can not read , ' m sure proud recognize . nice dog , everybody love elevator , hallway front lobby guest staff alike . the decor upbeat cheery throughout hotel . the room kinda small two people dog , really vacation , room bed sleep nicety plus ( opinion ) . room well maintain clean amenity ( flat screen tv ) . comfortable nice bed ( queen ) well . decent toiletry soap shampoo not like cheap scrub skin leave dry bleeding soap right interstate sketch hotel soap . nice take shower use product provide . all , place pretty cool , hip great location . right BEST chinese food could ever get country ! great stay would definitely stay . 
 oct 2 2009 	 great place stay ! 	 shop downtown/ Union Sq . area really want stay Kimpton hotel stay within budget company . decide Hotel Triton disappoint ! check late dinner . many snack option well stock mini bar ! room smell little musty old building . not overwhelming noticeable . .... stop stay . check morning already make 3 new reservation business trip come week . excellent location clean . new & quot ; go - to & quot ; hotel San Fran ! 
 Sep 27 2009 	 quirky little room step Chinatown Union Square 	 upon walk hotel , staff extremely pleasant , kind happy see . lobby quite spacious boutique hotel every night complimentary wine hour 5 pm 6 pm . hotel locate step away chinatown arch short block Union Square . night , neighborhood feel safe , day , bustle area many dining option plenty shopping . room , 3rd floor , small . everything fit room : queen bed , tv , drawer , desk 2 bed table . bathroom small closet space pretty average . , not matter . need place sleep take shower not look anything fancy . everything clean sleep soundly comfortable bed . also , rate excellent feel like get money 's worth hotel . I one complaint . : ventilation good . need keep air conditioner entire time particularly humid . 's San Francisco simply open window provide natural air conditioning . unfortunately not option AC unit locate window . also , one strange thing notice fire emergency instruction , locate inside front door , upside . fortunately , fire not stand head read safely exit building ! overall , nice little hotel , need lot space , make sure check directly hotel make sure get big room . think large room tiny like mine . also , try get room couple window open good ventilation . 
 Sep 25 2009 	 great hotel someone travel alone 	 stay July 5 night . first time US since come Europe really worried expect term quality , service course safety hotel room since travel own . the first impression well . polite typical time people reception . the room exactly like picture see clean every day . the location San Francisco perfect , around 5 - 10 min everything important downtown . no homeless people around evening course not return back 22.00.Totally good hotel maybe little expensive solo traveler always prefer spend something worry stuff , mood etc . if return San Fransisco one day would definetely stay . 
 Sep 12 2009 	 Great Location Staff 	 hotel pleasant surprise . & quot ; hip & quot ; theme scared bit , basically , neat , clean hotel wonderful location . staff friendly professional , room clean comfortable . particularly appreciate filter water . need run Walgreens bottled water . the negative think - please , take overprice item fridge . want small fridge store item . return next year , hope find empty fridge . would consider hotel one top pick San Francisco . 
 Sep 4 2009 	 use window - type air - conditioner ! 	 travel agent ask go Triton Hotel neighbouring Marriott hotel find full 2 day start business trip settle accordingly , one night & quot ; transit & quot ; stay . the hotel location convenient staff friendly , common area room slightly wear acceptable . the main problem room equip & quot ; window - type & quot ; air - conditioning unit noisy operate , give fresh air . [ N.B . : traveller read review may trust judgement belong property discipline many year . ] switch unit night 2 hour , room become nothing noisy stuffy , lack oxygen . open windows fresh air mean 2 problem : firstly , room ( may half room hotel ) face side lane refuse room hotel adjoining building locate catch & quot ; unforgettable & quot ; smell ; secondly , service vehicle refuse - collection vehicle US operate night , dump travel noise throughout night - time . so , result : & quot ; shallow - sleep people & quot ; like sleep . fortunately , one night stay , presume would return unless install centralize ventilation system treat air . one point worth mention : hotel 's web - page not show & quot ; window - type & quot ; air - conditioning unit room ' interior photo , & quot ; experience people & quot ; like would return website find exterior night - view photo idea & quot ; window - type & quot ; air - conditioning unit along dim facade . wish noticed & quot ; window - type & quot ; air - conditioning unit agree travel agent 's former offer . 
