wonderful 	 spend Thanksgiving week Summer Bay Resort Las Vegas wonderful time . exchange week Trading Places International . check - in Sunday breeze please one - bedroom first - floor condo . accomodation newly renovate decorate quite comfortable . king - size bed , two wall mount plasma TV 's , huge tub shower , appliance utensil one could need . location Strip convenient everything early morning run along strip , nightly stroll . transportation week , notice non - stop shuttle resort without transportation . pool hot tub jacuzzi right outside door clean , practically vacant every time use , enjoyable . employee encounter pleasant helpful . negative experience even comment wireless internet become unavailable mid - week , rest week . construction issue minimal disruptive least way . look quiet comfortable place stay , still within easy access Strip , Summer Bay Resort would high list place consider . 
 Oct 30 2009 	 nice 	 seminar vegas get resort Time share offer get miami . afraid horrible ... surprised ! amazing , close strip still quite . room great clean . love ! ! ! great location great value ! ! good future finish construction . 
 Sep 28 2009 	 BUYER - BEWARE ....... 	 purchase week Summer Bay Resorts Koval disappoint & quot ; resort & quot ; . careful book trip internet site photo resort really look like . arrive taxi tractor front resort , main pool suppose waterfall chain link fence around . hot , air - conditioning main reception area another condo , not work properly . taxi driver tell put luggage patio umbrella lawn chair front building . register , not anyone around take luggage condo quite distance walk heat . finally find condo , key would open door - go back main ( condo ) make - shift office , another key work . quite hassle . the condo small , nice clean . two flat screened tv 's , one bedroom close bed . air - conditioning condo would shut run entire night . noisy . morning , call front desk tell someone would take look . another night little sleep loud air - conditioner , assure someone would take look day . return evening , message say conditioner fine . since continue run , turn open patio door air late evening cool down . the ground tear . go swim pool open two patio umbrella provide shade unfortunately take . we complain not shampoo coffee condo . tell would bring -- -- -- -- -- -- -- - never do . my friend get really disgust noise , lack shade pool open , construction . unhappy leave stay 3 night . check Harrahs much happy facility . this major disappointment . perhaps & quot ; resort & quot ; complete nice . , need taxi service sit couple patio umbrella outside hot . patio furniture mismatch , 's lobby relax , feel like 3rd world country . beware resort . 
 Sep 1 2009 	 nice room little else go . 	 wife stay Summer Bay Aug 24 - 31 , 2009 RCI exchange ( rent retail basis also ) . nutshell , great deal pricing would bring we back — at least place finish . pro . staff uniformly friendly helpful possible . ( Maintenance come fix microwave 10 minute call — even though 1 ! ) . two BR unit nicely furnish looked recently renovate . ' rate 9 10 . ground nicely manacure floral . hourly shuttle service take various location strip simply walk nearest Hotel ( Harrah 's ) 12 minute . golf cart shoosh around resort call , small enough walk . certainly quiet 's come LV for . con . curb appeal . front area construction eyesore half chew demolish building dusty pavement ( oddly , much actual construction activity ) . ' resort ' actually recently convert residential condo cluster 600 unit . ' tell resort across street buy demolish nearby big hotel SB take renovate residential condo . thus , sit new resort strip one long block desolate no - man ' s - land : fence dust debris , employee parking , scrub weed . big plan development ' tell , construction yet . ( economy ? ) walk strip day night ( Harrah ' ) numerous time , feel unease , ' 107 degree ugly nothing , might want wait shuttle -- be go want time -- plan well . gym , club house , spa , consistently function internet , welcome activity . good back fill ( in - room spa treatment , example ) , ' simply apartment ' getting -- resort . lack finished office area , check - in resort service handle convert guest room — cramp un - inviting . shuttle go different spot different time often small number passenger . one shuttle per day Von ' supermarket . three pleasant pool / hot tub nestle among group condo building small un - interesting ( uncrowded ) . remember , apartment pool , luxurious hotel resort pool . ( proximity fence would ideal family young child . ) construction sign say " Gold Crown Rating " ( RCI standard excellence ) . Summer Bay internal " Crown Club " making , allow SB owner get 9 SB property ( Missouri , Tennessee , Florida … ) bottom line : snag 2 - br $ 249 RCI last - minute RCI special ' comfortable , bit way , place nest Las Vegas strip experience . shuttle ( common everywhere LV ) make somewhat heat distance . ' spend many hundred , however , look discount package strip hotel . old property start $ 39 / nite . ' get cheap room , ' thick action . 2010 relief dust lack facility . 
 Aug 22 2009 	 good place relax vacation ( inconvenience ) 	 friend stay summer bay August 10 - 16 , 2009 . Vegas previous Nov , switch Tahiti Village Summer Bay ground not do , interested see renovation . get late night 10th , take $ 12 round trip shuttle airport ( do not take cab folk worth ) . check itnwa uneventful , except check tell we internet not expect turn back 14th . point sign shuttle grocery store 8:00am next morning . room 13204 . beautiful apartment , huge tub , king size bed two flat screen kitchen utensil need include blender , toaster , microwave , full stove oven , full washer dryer , broom , vaccum , dishwashe liquid , washing powder , paper towel . take shuttle strip . keep mind shuttle run every half hour diferent hotel strip . strip close enough walk would suggest day time . cab mandalay bay cost we $ 17 ( far south strip ) harrah cost $ 5 ) day 2 get take shuttle grocery bring ridiculous amount food . back apartment 10 . day 2 & amp ; 3 not leave ground , sit pool equip shower , towel , need bring one hotel room . pool minimally shaded nice go 6 foot deep . little put green attach pool play nice reggae music .... not sand would think carribbean . cleaning crew come 3rd day stay refresh linen apartment.day 4 toaster break promplty bring work one.the ac cut , call maintenance guy fix within hour . tv go hour still internet . day 5 take 11:00 free shuttle outlet come back 3 ( 4 hour ) pass massuse come room opt get massage imperial Palace.day 6 leave flat ( sadly say goodbye ) one ground crew take we front luggage all . so place kink ( construction , club house gym build yet , internet tv go construction ) would highly recommend look home like relax environment Vegas . 
 Jul 27 2009 	 new Vegas go ! 	 Summer Bay exactly look for . my husband book Expedia pay $ 100 night include taxis . this fantastic deal ! charge overnight parking , charge standard LV resort fee rip fee encounter resort . book Expedia ... make sure call Expedia local resort phone number . number provide Expedia website confirmation corporate number not call office hour able reach anyone . ; ) call ahead inform late check pleased welcome customer service . happy greet 24 hour guard gate direct check room . point 2 room set check main reception / clubhouse area construction . greet several time friendly staff check simple . upgrade 2 bedroom unit 1 bedroom full . also give helpful welcome packet contain map information find useful stay . the resort apartment complex . unit large enough live ! unit 2 bedroom ( tv 's ) , 2 bathroom , large walk closet , decent size living room area ( another tv ) , din area table seat 6 , full kitchen ( dish , blender , microwave , full refrig . ect ) , laundry room ( washer , dryer , iron , full ironing board , detergent ) nice size balcony table chair . husband love giant bathtub big enough 2 . love mango soap , lotion shampoo . 's perfect extend stay , 2 couple and/or family child . tell unit time share unit other reserve Expedia , Hotwire internet booking . room decent standard decor clean . notice time share room posh room . modern decor flat screen TV 's . look picture ... expect less attractive room . slightly disappointed . ground well maintain quiet . spend time pool close room . pool overcrowd like every LV pool ' ve . believe 4 5 pool open option . main pool look beautiful open due clubhouse construction . tell plan complete construction October . food site offer free shuttle grocery store many LV location . drive went buy food drink stock kitchen . also many nice restaurant near . offer room service menu assume delivery somewhere near . interested . the resort location short walk strip . resort walk 1 city block road 2 vacant lot . parking garage area access strip . parking garage grab metro rail $ 5 trip $ 13 day pass . want stay strip . want walk casino every time leave hotel return . want surrounded noise , light drunk people time . summer Bay Oasis . husband Vegas time count . far relax enjoyable trip . first time ever actually look forward next Vegas stay . assure book Summer Bay next trip . 
 Jul 25 2009 	 real Las Vegas winner ! 	 probably one nice time share resort . one bedroom unit lovely clean newly renovate . little small unit , perfect two adult small family . think would tight fit four adult . the resort mile airport easy locate . may hear plane fly overhead occasionally . would probably true almost location near strip airport close . arrive gate resort , security guard check name list direct us office . the " front desk " small , crowded ( warm day ) room fill people arrive . ( front desk move different location construction complete . ) wait line hall . line move reasonable pace . turn come , attendant pleasant professional . ask room quiet location away construction area , offer three choice point map large facility . choose unit away potential noise ( open 24 hour ) pool . one bedroom unit second floor building 2 turn convenient location . absolutely problem construction noise , sound unit we . check - in proceed across hall receive parking pass " welcome gift . " politely ask would like attend time share sale presentation say . welcome gift actually pretty nice , contain granola bar health beauty aid sample . there ample parking available front unit . drag bag stair ( note : building range three floor none elevator ) .The front door open living room leave kitchen right . the living room feature 50 inch flat screen tv across sleeper couch . cocktail table end table lamp . room nicely furnish plant painting decorative mirror dark ( cherry mahogany ) wooden furniture . large entertainment unit DVD player inside stereo unit top iPod dock adjacent tv . also fireplace granite border match granite kitchen bathroom . also large ceiling fan . to left living room small outdoor patio table two chair . door patio lead utility room contain full sized washer dryer sample detergent dryer sheet . also full size vacuum , laundry basket , broom dustpan case really feel need clean . the kitchen ceramic tile floor large wooden table 4 chair . table big small area give . could open refrigerator door without constantly move chair way . end re - locate two chair living room give we room kitchen area . granite counter top hold full size 12 cup coffeemaker , blender , toaster opener . basket hold complementary sample coffee , tea cocoa . modern wood cabinet brush nickel handle contain silverware , plate service 4 , wine glass , bowl , water pitcher , knife block , teapot , pot pan , etc . appliance include refrigerator ice maker , gas oven , large microwave . plenty storage area kitchen . an archway directly opposite front door lead large ( 5 foot 6 foot ) walk closet . bedroom leave bathroom right . the closet contain numerous build drawer two area hang clothing . come 16 hangar , could remove pole . wish bring extra hangar home . large build safe one wall . could close door hide closet direct view . the bedroom contain king bed two night table lamp 42 " flat screen tv much else . unfortunately room ceiling fan , would like . feel cool living room area warm bedroom . perhaps fan could equalize temperature . the bathroom contain large roman tub excellent shower water pressure temperature great . curiously , tub jacuzzi tub ? sink granite countertop , modern faucet nearby hair dryer attach wall . large sized sample ( 2.5 3 oz ) mango scented shampoo / conditioner , lotion soap provide . bathroom could use storage . little space towel well bathroom necessity unless store cabinet sink . toilet separate room could easily hold storage unit towel . wireless internet service available room . log password give we check . instruct call day new password , one work week we . telephone ethernet datum port living bedroom . housekeeping service week , typical time share rental . call additional towel pillow deliver we within 10 minute . the pool area view also hot tub outdoor shower . use pool facility . feel location resort ideal we . mid - strip , one ( long ) block away action Las Vegas Boulevard . sure would walk late night resort across large deserted lot undergo construction . would fine , although somewhat hike , walk day . restaurant shop immediate area . close food find Ellis Island casino road . highly recommend $ 6.99 steak special ( menu – ask server ) include salad , 10 oz . steak , choice potato , veggie 12 ounce beer ! ( root beer ) . service iffy , short wait arrive place will not win decorate award , prepare . however , food great can not beat price . BBQ restaurant also suppose good cheap , however , eat there . the resort provide routine bus service throughout day strip hotel . use bus , rental car . easy get around ; generally self valet - park hotel walk . ample free parking casino valet cost price small tip . one thing really value resort map Las Vegas receive check - in . well map see guidebook online . use often reference , especially drive visit casino strip . be negative ? well , really want someplace put bathroom towel . door separate bathroom hall lead bedroom would nice . seem like many condo put bathroom door reason . ( door separate toilet inside bathroom . ) first get room , question front desk . call phone rang rang disconnect . try time result . eventually call concierge take message later get callback . experience problem day later . mention check hopefully issue resolve . despite minor shortcoming , great resort , wait return future ! 
 Jul 22 2009 	 Amazing room Great Quiet Location right strip 	 room resort , alone , worth trip . stay 2 bedroom suite 3 big flat screen tv 's . incredibly quiet resort . 5 different pool never feel overcrowded . staff friendly , really not even see much except show ID gate . give welcome gift , ( theory ) nice turn pink disposable razor ( exciting ! ) location great want able relax still complete access activity strip . easy walk ( even 115 degree weather ) resort also offer free shuttle service every half hour . 
 Jul 12 2009 	 Fantastic Value 	 time review , SummerBay Resort Las Vegas rate 89/293 Las Vegas property . likely relate Old SummerBay location nothing new complex Koval , Flamingo Rd Sands . interesting check back time time watch place climb popularity . suspect hit top 10 , super deal go disappear . this place great . stay Building 2 , 2nd floor , overlook 24 hour pool . 2 bedroom , 2 bathroom , Kitchen , Dining Room , Laundry Room , 3 tv 's , 2 x walk closet , soaker tub , Shower , security safe , Balcony , etc . order food night save money cook breakfast every morning . bloody mary 's balcony , watch teenager swimming pool . rent car Enterprise , locate 1/4 mile away Westin Hotel pick we Summerbay paperwork . drive VON 's Grocery 2 mile away Sands , load everything need stay . car , never use Shuttle Service ( downtown , Strip , Grocery Store ) talk guest say schedule maintain . also nice park car within 20 foot front door . every place Vegas stay , car 5 15 minute away . drive Red - Rock scenic drive picnic , pleasure drive right room , pool , 90 second get home . waterfall pool Building # 1 front gate still work stay , affect we building stay . check , ask pool view room , accomodate . guest want side buidle , away pool , privacy quiet . personal preference accomodate . originally request ground floor , take , get 2nd floor instead . opinion , 2nd floor might want . ground floor unit airconditioner , right outside patio wall . sit outside , airconditioner would hum 9 inch sit . 3rd floor would involve two set stair get to / from car / pool . 2nd floor good we . we like fact pool complex available 24 hour . gate system , guest need know keycode . noise restriction 10 pm . pool vegas close sunset or10:00PM , sure nice first dip night arrive , return evening show attend . location fairly central , basically vegas block away back door Imperial Palace / Harrahs . far walk summer heat however , would nice walk nighttime , would dark / dangerious . cab , Shuttles Rental Cars would require stay . cab ride would cheap Koval strip . easy get . 
 Jul 7 2009 	 Great Resort 	 agreat resort , good location within 10 minute walk strip . shuttle bus great especially heat . two bedroom unit well appoint 3 large tv 's , ipod docking station great fixture . also large balconey view Wynn , Encore Palazzo . still construction work bother we . 
 Jul 3 2009 	 nice place still work progress 	 nice place , pretty quick & amp ; easy check . call reserved timeshare week let know need 2 handicap unit , guarantee . get , 1 ready problem find another one we , almost like not one we . end 2 separate building , 10 & amp ; 12 , sort next . 6 woman , 2 unit ; 1br 2br . suppose trash & amp ; towel Wednesday 2br Thursday 1br . problem 1BR unit . 2br unit , never come . go front office Thursday promise would do ; also tell one do , hide valuable ! ! return around 11 pm Thursday , never come . clean towel , lot trash , toilet paper ( 4 woman , toilet paper , good ) . send someone unit 20 set towel 4 roll toilet paper , not take trash . never return offer reason lack service . easy check phone . Free shuttle strip great ! need get staff gear really nice resort look promise . 
