great 	 lovely hotel , good view 59th street bridge particularly top floor bar . 10 minute walk central park much time square . great bar restuarant local area . amazingly large room central new york . two double bed room , space around edge ! can not wait go back ! 
 worth price - even discount ! 	 get $ 168 rate two night right thanksgiving give review think worth ( could ' ve save $ 50 day similar east side hotel ) - wrong . first dead area beyond York Avenue , right water thing nearby Mobile station . feel desert pull . come international flight lot luggage - one help lug stair . front desk professional nice - upgrade King bed . inside room , like decor bathroom ( nice bath product ) start notice glitch . heat 50 plus degree outside - way open window turn A / c hate use , need nap heat would ' ve keep awake . hotel directory service ( not know gym restaurant etc . ) tired go long walk store look minibar price see would cost drink water sleep .... could find price list anywhere even look inside minibar -- hot room ? ? ! ! nonrefrigerate drink - 's point ? basic cable even HBO ? several channel freeze ... regular rate $ 200 night , spring well cable . bad housekeeping . slam door almost half hour straight morning - 10 room floor housekeeper keep walk room let door SLAM loud noise . finally ask close door gently jetlagge - night try sleep . rude say - well , check room . say yes , door not need slam ! slam door call front desk complain . half hour later doze finally , room phone rang . HOUSEKEEPING ! ask wanted room service . response REASON disturb sign door keep bother housekeeping -- - disturb mean not call EITHER ! guest need something , course ask . badly manage place general feeling lack care room amenity . free wifi even lobby - walk Starbucks check email . pleasant experience front desk staff . 
 good price / poor location 	 stay partner 4 night hotel choose primarily sale price $ 190 per night . take consideration hotel generally provide discount early 5 day check - in date . also hope moderate pricing hotel service , . Wi - Fi internet cost $ 15 per day , local call also charge . location hotel little bit poor . hard get centrally locate site foot . try first day , decide take taxi . average taxi ride Times Squire cost $ 10 - 12 . like room design , furniture tired , tired thing heater work well . stuff reception helpful good looking ) . 
 Nov 26 2009 	 quite good ... 	 stay hotel 3 day November , quite good design , friendly reception problem - room not clean next day stuff clean not pick trash , 3 day soap , shampoo bath thing not renew change . not complain not like ruin holiday small problem . still $ 200 per night shampoo look like joke . room quite big enough , new flat screen tv , good furniture , free coffee first floor , always - butts - 15 US dollar per day internet ! guy NY - that s laugh . amount people pay month . way expensive ! ! ! do not need internet look nice place could , check clean arrive . 
 Nov 24 2009 	 great hotel price 	 consider usually high price hotel New York , one great affordable . stay 1 night , happy location , staff , general cleanliness . 
 Nov 19 2009 	 everything need ! ! 	 Bentley everything need trip . conveniently locate beside Animal Medical Center bring dog life save procedure . parking right hotel get discount stay hotel . room clean , spacious nice view . bed invite comfortable . staff friendly eager help way . restaurant / bar outstanding view city . would definitely recommend stay Bentley . walk several place get subway problem place want go little far walk . 
 Nov 12 2009 	 would recommend except location 	 stay 3 night November . positive : - clean , comfortable nicely furnish hotel room.- bathroom decently size NYC bathroom.- nice bath amenities.- Staff pleasant friendly , really great.- small hotel boutique - like feeling.- reasonably price hotel . negative : - location far east be NYC sightsee not need upper east side , stay . take taxi get anywhere ( yes , bus across street bus NYC extremely slow due traffic ) subway stop far comfortably walk to / from . would advise stay midtown central area near subway . also , restaurant near hotel mediocre good . not much around here.- noisy window . ' ve stay number NYC hotel year hotel pretty quiet considering be NYC . reason , hotel room noicsy . could hear noise car travel 59th st . bridge honking car street . much much noisy thought.- NYC experience mild weather November sunny gorgeous . unfortunately , heat hotel stifle completely uncomfortable . give fan blow around hot air relief . ' m type person prefer hot weather . , happen , ask north face room ( sun not beat window ) . switch room help . probably occasional problem happen , pretty annoying.- ice bucket ice floor ( although could call ask ice send ) . coffee maker , etc . - mini bar room cold even want spend $ 5 coke , open door , nothing cold ! kinda annoying be thirsty need something drink . gas station right next hotel pick cold drink next night . I go gym restaurant comment those . so overall , need upper east side need basic hotel clean frill hotel , would recommend hotel . otherwise , would recommend pay little extra stay elsewhere convenient everything NYC offer . 
 Nov 11 2009 	 Fine hotel - would definitely return . 	 Bentley excellent hotel enjoy stay . check , desk tell we upgrade we deluxe room . treat two room & quot ; suite ' two flat screen tv 's , comfortable seating bed , excellent bathroom , great view skyline . location work we , visit mile uptown east side . please overall , would stay . oh - the wall thin : ( 
 Nov 3 2009 	 value money . 	 book hotel week October cheap far spacious room review good , long queue immigration happy get hotel even happy tell upgrade big room . check fast staff helpful friendly . little beat track like we enjoy walk problem . also nice quiet area always feel safe . third time NYC , last 2 visit stay hotel near times square stay Bentley would stay anywhere else . plan next trip NYC already March . shopping Lexington Ave 15 min walk hotel subway station times square downtown Ave near Bloomingdales . would definitely recommend hotel . 
 Oct 16 2009 	 serious problem mar hotel 's virtue 	 second stay six month . hotel still impress friendly desk janitorial staff , cleanliness , spaciousness , reasonable price , view nice ever , serious problem time . heating room mid - October ! cold outside , long wall window room ( affording view ) leak residual warmth . complain , staff give one space heater would buy room . make stay bearable , kind way owner / manager run hotel ? also , wifi service , one pay provide outside vendor , slow buggy . sometimes work third try , not work require call TA line , give . unacceptable 21st century . if problem not iron , ' m sure would return third time . 
 Oct 12 2009 	 Friendly Staff Great Stay 	 spend two night NYC trip Northeast . first night stay old hotel 4 star second night stay Bentley . hotel nice , experience Bentley great . staff super friendly accomodating , room huge beautifully decorate . arrive early ( noon ) happy accomodate get we room one high floor great view . make clear every interaction meet need exceed expectation . plan stay anytime go back NYC . 
 oct 8 2009 	 pleasantly surprised 	 husband , travel NYC business company put Bentley Hotel . really bum first rate two star hotel way area . ' ve stay three star hotel NYC nice , scared Bentley would like , pleasantly surprised . lobby , room bathroom modern clean . room flat screen tv view East River & amp ; Queensboro bridge , quite nice . much nice view ' ve right midtown pretty nice hotel . bathroom average size NYC ( small ) , modern still plenty room . glass enclose shower , prefer bath / tub combo shower curtain anyway . bed comfortable nice sheet & amp ; alternative pillow . downside hotel location . be nice , quiet residential neighborhood , tourist like middle everything be really near anything . close subway good 5 - 6 block hike , one two line go way . take cab instead avoid hastle . not mind stay way , Bentley hotel great deal . one least expensive hotel see time period great deal price . 
 Oct 7 2009 	 great value money 	 little noisy since near bridge great room ( Deluxe suite ) 
