small 	 read negative review website , decide upgrade arrive hotel . upgrade standard double en - suite executive double en - suite cost we £ 15 night , well worth money . explain standard room small , room little bed . upgrading get small , rather nicely furnish bedroom , high double bed ( wooden carving India style ) , room underneath stack suitcase . tv , big indian wardrobe , desk . big window face Trebovir Road . bathroom small , nice tile wall nice equipment , clean ( ! ) . first morning breakfast room full , decide breakfast local cafe instead , next two morning eat hotel . breakfast good plenty : roll , bread toast , croissant , muesli , fruit , cheese , coffee , tea , juice , milk ...... service also good . room ready arrive leave luggage foyer , return , luggage hade place room . next morning discover electric kettle clean ( probably early guest warm milk something ) point , kettle change immediately . some reviewer complain room size . quite agree , everything hotel tiny . web side photo almost real size photo ! tine reception , tiny room , narrow staircase , be plan spend much time hotel , serve need . location convenient : 1 min Earls Court underground station .. 
 Nov 22 2009 	 much well expect ! 	 book standard double room hotel one night partner . booking room , come across website review receive ! instantly concerned apprehensive going . however really ' be . the hotel brilliant location , mere minute Earls Court tube station easy find . situate pleasant street ; ( plenty shop , restaurant cash point nearby . ) check ease receive warm welcome . inside hotel clean , tidy well decorate . get room pleasantly surprise read people ’ thought - yes small room may stay - , decorate nicely , clean , television free view box , tea coffee make facility nice clean bathroom . £ 80 prime location , ' think could ask anything well ! continental breakfast include price , serve reasonable time designate ' breakfast room . ' food provide stay nice plenty juice tea coffee offer . ( negative thing , small room feel sit closely guest . ) agree big suitcase , would slight problem much extra space room . also agree website entirely accurate reality - particularly stay one standard room . however , stay short amount time , perfect base facility need . finally , price key getting . prime London location pay £ 100 expect large room lot add luxury naïve - long take consideration - ' think deserve criticism receive . 
 Nov 8 2009 	 avoid like plague .. could catch ! ! 	 two we book weekend stay go home early . we con website glow review Conde Nast .. policy pay check chance refund . the room allocate tiny , noisy filthy . on complain tell room available , could & quot ; upgrade & quot ; second nightfor £ 20.We actually book nearby Premier Inn instead first night , excellent use future . the secnd room marginally big first minute bathroom hardly enough room sit , also grubby . having shopping deicide go staight home stay second night .. phone since hang twice ...... not GO ! ! ! ! 
 Nov 7 2009 	 Enter risk want rip 	 well shall start , web photo nothing like go get . friend book twin room get shoe box noise train view Corination Street back yard , six inch space bed , small tv top wardrobe , stain toilet , break grate shower tea cup dirty . so decide complain ( waste time ) unhelpful , housekeeper say toilet stain due toilet brush go backwards forwards clean ( could bring look toilet brush ) break shower grate do another guest fault ( point housekeeper show friend guest break grate stand shower shoe pretend shower . decide go find another hotel expect find book web site picture lovely room , wrong , get broom cupboard turn twin bedroom . ask refund could go find decent hotel hotel operate 48hour cancellation policy also take full payment checking . know , hotel make living take people money reture genuine complaint , easy money . leave spend brilliant night Premier Inn Kensington round corner ( would fully recommend hotel really great stay ) offer Mayflower upgrade £ 20 Saturday night , take offer Premier full mistake think would well , room slightly big bathroom small previous room little room even sit toilet properly , last straw cut trip London short come home . staff mayflow unhelpful concerned leaving say never complaint , beg differ maybe read review . hotel & quot ; DHSS Bed Breakfast & quot ; top friend husband rang complain phone hung him.that say place.dee shaz 
 Nov 7 2009 	 mayflower HORRIBLE ! 	 believe picture . bad hotel ever stay .. bed spring stick bed could walk right day . next train station loud . managment concern guest care would let we leave early ! . check see room ! . check heat room adjust . check toilet clean ( ! ! ) horrible smell room ! ! horrible . 
 Oct 24 2009 	 Disappointing throughout ! avoid cost . 	 deceive book Mayflower Hotel outrageously flattering website recommendation Condé Nast . appear excellent rate spacious , well equip room fact poor deal small hotel room ' ve ever set eye . apparently slightly - below - standard - sized double bed reach partition separate sink ( bedroom , bathroom ) far end room , narrow channel separate accessible side bed poorly build , shallow , inadequate wardrobe . shoe - box feel room compound angle wall foot bed . dissatisfied room , , reluctantly offer another marginally big - bed room one wall ( ! ) usable size room ( include bed feel small standard double ) roughly 7 ' square - small hotel bathroom ! , quality furniture poor , blind tear fray along length one side . bathroom basic , well clean may contribute slight unpleasant smell . the noise road almost unbearable , marginally palatable shrieking cage bird ' juice bar' . Breakfast include , not save grace terrible hotel . small selection unidentified cereal , foul tea coffee , artificial - taste unidentifed juice top croissant give impression baked week previously . not pluck courage try plate two very - cheap look process meat dry cheese . cereal milk spill floor breakfast room reach , still unattended finish . the staff less enthusiastic , appropriate reflection hotel . the hotel 's website entirely misleading , use word & quot ; spacious comfort & quot ; , & quot ; luxury & quot ; , & quot ; state - of - the - art & quot ; & quot ; elegant & quot ; describe would step average student hall residence . 
 Oct 13 2009 	 well avoid 	 six night stay payment advance mean stick average hotel . standard room pre book small could fit luggage two us room upgrade ' luxury room ' negotiate difficulty . cleanliness room houskeeepe standard poor . hotel staff mostly courteous little enthusiasm display . take several reference well know travel guide grain salt . 
 Oct 6 2009 	 never ever ever ever stay - sleep pavement clean 	 dirty , pretentious hotel poor facility extremely rude staff . report rat room ( quite large one ) , reception staff ask ' open balcony door let porter available ' . restaurant evening meal furniture room sign say ' damage charge ' . unwelcome indeed . bathroom room mould get splinter ' antique effect wooden flooring ' . particurlarly fussy , hotel really dreadful . 
 Sep 24 2009 	 Poor Service 	 bereavement , Hotel take money cancel room book room , take double money , leave distressed grieve wife . their management support process . 
 Sep 14 2009 	 warning - check location apartment major road noise level wake dead . 	 book one bedroom apt . good faith stay hotel Trebovir Road . arrival , take distance & quot ; newly refurbish ' property extremely busy 3 lane road literally metre bedroom window . website flash picture bathroom kitchen , however substance poor / dirty / minimal cooking equipment , significant drainage problem shower , certainly new , rock hard bed . upon express dismay location , staff reply fill special request time booking , vacancy relocate we . do cheap renovaton old build poor location . avoid . 
 Sep 1 2009 	 enjoy stay 	 stay Apartment 10 apartment Warwick road . late arrival show apartment polite young man . lobby lovely receptionist inform we buffet breakfast every day 9:30 . several steep flight stair arrive . flight stair bother we imagine could bad young child elderly . apartment exactly need . fully furnish kitchen , double bed eat area . though go eat meal , stay couple time cook five night stay . maid service great . young woman friendly cautious disturb . complaint follow : -no air conditioner ( though fan make room bareable day ) -only 1 channel tv work . midnight absolutely nothing watch.-dure breakfast staff friendly , unfortunately one guy work make difficult enjoy relax breakfast . first time walk look watch say hello , worried get 9:30 deadline ( 10:00 weekend ) . pretty much yell get , warn 5 minute everyone take away food 9:30 ! enjoy breakfast day ... man need take job little less seriously put customer first . otherwise , quite pleased stay . expect 5 * 5 * hotel . 
 Aug 30 2009 	 ' m definitely come back ! 	 stay mayflow hotel week August boyfriend absolutely love . mayflow hotel good location quiet Trebovir Road excellent connection ( underground ) . budget traveller interested luxury accommodation , Mayflower feel like we , 70 pound per night ! staff friendly helpful room ( n : 40 ) tidy comfortable beautiful textile nice wooden floor . bathroom clean shiny good shower . coffee make facility , safety deposit box , hair dryer , free WiFi fan , usually expect . breakfast buffet serve pleasant breakfast room access outside terrace . Buffet include coffee / tea , juice , croissant bread roll jam topping , youghurt muesli etc . fresh fruit . London , accept thing like narrow corridor floor floor carpet tiny lift . house small hotel exception , least price range . we definitely stay mayflow hotel next time visit London ! hope discover many traveller tempt rise price ... 
 Aug 24 2009 	 stay Mayflower Hotel Apartments circumstance ! 	 say hotel avoid cost ! book one bedroom apartment 2 night stay . first impression hotel lovely - reception clean modern like picture website . positive review end . realise book apartment 5 minute walk hotel be not bother . allocate apt 9 top floor ( 3 flight stair ) lift far many stair 4 year old ! small ( size large double bedroom ) sofa bed , 2 single bed kitchen area overcrowded say least . unclean unbearably hot . much complain reception move Apt 8 ( one floor ) slightly well . however , whole building dirty , without air conditioning general need maintenance - hole wall , bare wire , nail sticking , door hold together tape etc . breakfast poor serve overcrowded breakfast area . please believe negative review hotel ! really dreadful worth probably £ 50 per night . apartment like hostel ! make matter worse actually email hotel arrival request ' nice ' apartment weekend surprise husband daughter . response receive ' our one bedroom apartment sleep 3 people ' - talk miss point - know trouble . as final note - two day hear 3 seperate people complain accommodation main hotel seem 's much well apartment . general feeling room small overprice . dont waste money - really dreadful ! 
 Aug 1 2009 	 BEDBUGS apartment ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 	 apartment attach hotel - ten minute walk round corner - couldd cope ( plus noise general decay ) discover ten bedbug bed sofa bed come back midnight ! ! ! ! hotel room accommodate we ( want risk another apartment ) re around place . pay laterooms.com £ 300 2 nite stay shocking . young guy reception apologetic offer we use internet find somewhere else really , . carry bag back round street get refund start ring hotel area . eventually find acommodation 1 . nightmare . bed bug aside , apartment clean , dingy , noisy secure - e.g . balcony door lock . ( right beside tube station , main road ) could suffer bug .... . suggest previous guest may brought ... ? ? ? ? really good enough will not booking lateroom either ! 
 Jul 28 2009 	 repeat ! ! ! 	 husband recently stay 4 night Mayflower Hotel . locate quiet , charming , residential street , short distance Earl 's Court tube , many good restaurant , mayflower excellent hotel London . accommodation modern elegance well maintain , good sized , modern bathroom . breakfast good , nice selection continental , English . , staff mayflower friendly , accommodate always willing help . truly enjoyable stay . would recommend anyone go London . back sure next time be UK . 
