close 	 Room finish terrible look DIY standard . Shower curtain mark , window full condensation bottom loo brown . noisy room front onto main road . would not go back unless last resort ( would pay go elsewhere travel office away . 
 Nov 24 2009 	 Depressing . worth pay bit extra go elsewhere . 	 room grim - brown burn mark shower curtain . clean though . central London hotel cheap location great . however , get not good value money would definitely prefer pay extra £ 20 stay somewhere less depressing . 
 Nov 17 2009 	 good value although many facility close hotel 	 hotel fine , clean basic 's be pay low price . tv , tea / coffee towel room . provide tolietries hairdryer tell advance wesbite . staff fine buffet breakfast nice enough . big disadvantage fact little bar / restaurant close , arrive late Friday night place could find Baker St kebab shop ! ! would recommend sure not go need meal near hotel ! 
 Nov 10 2009 	 Depressing ! 	 long overdue review ... Booked Travelodge due proximity LBS ( attend course ) value - sadly time book early bird rate pay full price . hotelier , not expect much term service luxury ... depress walk room ! size single room appalling - like enter broom closet ! plumbing need dire repair - nauseating smell even bathroom use ... mattress super - uncomfortable . miss amenity replenish ask fix electronic key everyday . save grace location ... would never stay . 
 Oct 24 2009 	 great value hotel excellent location . 	 read several review really worried , however please note since majority write place obviously real makeover . staff lovely , friendly helpful , corridor spotless room good size obviously clean newly decorate . easily good Travel Lodge ' ve ever stay . bathroom real bath , tiny shower cubicle tile newly paint , also clean . bed comfortable ( travel Lodges terrible bed collapse lie ) sheet towel clean fresh . plenty tea / coffee / milk provide . the complaint late October heating still not switch building . little chilly room go relax couple hour early evening , surprisingly return night room seem much warm not need extra blanket helpful man reception offer ask heating . anyone complain lack toiletry size soap bar really petty . Travel Lodge , get pay need large bar soap sleep overnight room ? would recommend hotel anyone need really convenient ( right next Marylebone Station ) London hotel low price . 
 Oct 18 2009 	 ok bit tatty usual Travelodge standard 	 stay location - right near tube station , near Baker Street restaurant , easy find , Marks & amp ; spencer near open till late . friendly enough man reception . although room large , bit plain empty . double bed , clean sheet one spare pillow . kettle , two t - bag , coffee sachet , milk . small tv wall . two large clean towel , tired old bathroom , bit dirty , old fitting , badly add sealant around bath panel fall apart place . hairdryer . small bar soap two plastic cup sink . nothing special . place hang clothe , drawer . desk chair . would not go back - expensive get . really nothing special . fire alarm go mistake Sunday morning 8:30 , 8:40 not help much ... not even sure .. second time , enough wake we ! ! 
 Oct 15 2009 	 Hotel Review 	 great value price , give perfectly locate centre london , min away nice street , oxford , etc ... 
 Oct 14 2009 	 convenient location 	 pro : excellent location right Marylebone Underground stop . 's small Marks & amp ; Spencer grocery store nearby able buy food conveniently . room bed large clean , pretty bare - bone . food price restaurant not bad , either . con : ask towel twice end take front desk . pay 10 pound early check - in left - luggage facility not want sit around lobby 3 pm . , leave luggage fiance go get us sandwich & amp ; wait another hour room . 's internet room - 2 computer lobby charge pound per minute . and maybe be british version customer service , staff not exactly wait we hand foot . however , get bottle opener stick bottle wine , bartender laugh open we . bottom line : handy location , good value , plan arrival time carefully . 
 oct 9 2009 	 one well travelodge 	 stay 4 night total either side Holiday Heathrow ( cheap easy staying & quot ; airport & quot ; ) staff friendly enough London . give largish room overlook side station . clean modern functional . the king size bed little cheap side ( mattress ) sleep ok say that . the good thing place handy station importantly tube ( suitcase ! ) roughly 15 - 20 meter tube hotel . & amp ; station easy grab couple croissant breakfast without fork £ 7 ish hotel breakfast . defiantly one well travelodge . 
 Oct 5 2009 	 shocking customer service - go great stay terrible one ! 	 stay Travelodge Marylebone 4 night September . book month previous online , book saver rate room great price . not easy booking system use - could not punch start date end date cheap room - book night individually hope give room entire stay . think book four night , somehow manage book three . problem not aware nobody let we know 4 pm day suppose leave ! yes , realise mistake , check receptionist ask many night stay , reply ' four ' go say ' so check Tuesday 8th ' correct reason think book wrong . each day go back get swipe key reprogramme problem . Monday ( day leave ) get back 3 pm , get key reprogramme go back room . realise one towel , friend go back downstairs - come back minute later say not book night not pay £ 100 night straight away would leave pay late check fee . find confusing hour reception get key reprogramme nothing mention ! go downstairs speak girl reception extremely rude we , ask speak manager . manager obviously idea customer service extremely rude , raise voice several time , front customer . admit obviously make mistake booking , could not understand not pick late afternoon - tell check could easily arrange alternative accomodation last night . 4 pm though , little tricky . would accept responsibility despite we tell check 4 night . tell we receptionist would way see long book ( ? ? ) would take word ! end choice pay night 's accommodation . would budge price , charge we walk rate , despite we stay previous three night . as people review hotel , find make complaint extremely difficult , get return email manager say mean come across confrontational . apology nothing try smooth situation . this hotel go mind great one - lot offer term location , price etc . terrible one . would never stay base extremely poor customer service . 
 Sep 23 2009 	 great staff 	 stay september 21st firstly clean travelodge ever stay staff really helpful friendly lady even call & quot ; thank stay us & quot ; .we check early pay £ 10 extra nice receptionist give we option floor . after small mix room offer free breakfast.breakfast would cost £ 7.50 must admit breakfast good.we would want pay £ 7.50 , there s wetherspoon pub baker street 5 minute away serve breakfast.all good back great location right near madame tussaud 10 minute walk oxford street . 
 Sep 22 2009 	 average hotel average value money 	 Travelodge Marylebone convenient base we travel Marylebone station Chiltern Railways . apart advantage , thearea little way public transport network spend fair bit time wait bus . staff hotel efficient give warm welcome Travelodge standard . room basic rather austere , benefit full size bath , however hot water warm , hot ! £ 80 night hotel become like £ 95 , factor cost breakfast leave luggage local station ( £ 16 ! ) . can not traveldodge offer service free , like many hotel ? 
