good 	 good point - cheap ( stay night 20 pound - fantastic central London ) - family room spacious 2 people- restaurant close eg Nanos ( portugese ) , Strada ( Italian ) , Pasta , fast food station etc ) - staff friendly - early check available ( cost ) . hotel even allow early check put good point.-safe area . bad point - Mattress uncomfortable - sink middle . wife back problem every day ( ! ) -pillow thin , hard uncomfortable . end buy couple stay 2 week . - road noise window open load okay window closed - air -conditioning work room ( try 5 room ) . window open key available reception though.-towel not good often ask more.-double room feel claustrophobic ! 
 will not recommend Travelodge . 	 book travelodge convenience Euston Station , catch early train Scotland . know would uncomfortable would save money sleep seat train station . could feel springs mattress sleep pillow thin may aswell one . previously stay Travelodge Kings Cross impression Euston would standard . case recommend hotel anyone . 
 Nov 25 2009 	 travelodge stay 	 great stay . love . whole weekend great . defonatly go . 
 Nov 25 2009 	 's shame Noise ! 	 hotel good job 1 night , would not want 2nd night . hotel ' m afraid let noise room road outside . disturb believe work require ensure room little sound proof . night long traffic noise hear mean disturbed night sleep family . hotel need work note number guest review hotel . shame hotel clean , comfortable handy London 's attraction . 's typical Travelodge , cheap cheerful could sort noise room , would easily get 5 star value . 
 Nov 21 2009 	 Handy king cross - nothing else 	 book place convenience travel king Cross station . want basic room , pillow bed half inch thick , shower need degree work , like old East Berlin lodge . like bit comfort room know place go like woul book . tell friend stay . 
 Nov 19 2009 	 need shower bed ...... 	 budget range hotel not pretend anything flash , get tell you . there quieter room available , ask problem , ask politely staff help . behave like idiot probably treat like one ! like say previous review , proximity station make ideal location fly visit London , overnight whilst transit Eurostar like . my husband come manchester friend 's 60th city arrival 5 pm departure train 8 am next day , make perfect solution reasonable price . the room basic squishy bed two pillow , ask extra , ask window open , turn AC place soon cool shut window sleep cooler room . take everything not hairdryer shampoo like load towel take extra one . if want shower quick kip expect pay , lot ... & amp ; food shop station load healthy stuff brekky grab be away ! enjoy time London ! 
 Nov 17 2009 	 stay need near Euston Kings Cross Stations 	 basic , air con be not work room clean filter make actually work . Room look tatty need bit attention . 
 Nov 12 2009 	 Brilliant Travelodge 	 one night , stop en route Eurostar terminal . hotel 10 min walk St Pancras sit next Euston Station . get tube Oxford Street West End easy too . Travelodge price . room basic , know be go get , expectation set accordingly . case , fantastic example Travelodge chain . room clean bathroom well see chain well main rival . reception extremely friendly efficient happy give we extra towel . take advice reviewer , ask room high back hotel get really quiet room . amazing Central London , give level noise nearby Euston Road . breakfast rather modest , base cereal toast little else . Farringdon Travelodge situate side king cross full cooked breakfast 's prefer . overall , good UK budget hotel experience . well do . 
 Oct 27 2009 	 Love hotel London 	 Everytime London always stop travelodge hotelthe first time visit really impressed overall hotel pay 32 british pound night hotel stop future reception bright new 2 computer acsess internet , also couple vend machine stand leaflet London Attractions , Unfortunaltly staff reception let hotel rather rude will not let check early 3 pm unless want pay extra 10 pound check early time good depend arrivethe room 3 floor nice , always try get family room room alot big sofa bed well usually price standard room room trendy nice white sheet comftable bed , flat screen tv many channel , also small desk chair bathroom also spacious clean bath power shower fit . the location hotel directly opposite Euston Station get underground train anywhere wish London , aregood walker take around 10 - 15 walk Oxford Street So - Ho nice walk Tottenham Court RoadSo you re stop London always try cheap nice hotel 
 Oct 25 2009 	 cheap cheerful excellent location train travel 	 stay one night last week , quiet room basement great , room clean comfortable frill . handy location train / underground travel . would choose . 
 Oct 14 2009 	 Nice hotel great location 	 stay 2 night end September . two adult baby family room . room good size , flat screen tv , air conditioner . noisy close bus station tolerable . I honestly not understand people complain Travelodge . go find another well hotel , still pay £ 19 £ 29 pound per night ? also person complain 3 pm check offer early check £ 10 . not learn read ? everything clearly explain website book room note well . also come 2 pm wait 1 hour . find problem green square bench opposite train / bus station grab food nearby shop sit bench eat . actually go one cafe / resturant plenty ! room clean change sheet tidy come evening . problem . 
 Oct 12 2009 	 say web site - nothing nothing less 	 Travelodge basic hotel chain . deliver say , great low price . stay London Euston travelodge two night . the reception busy arrive . know check - in 3:00 planned arrival accordingly . like check 12:00 , early time troublesome . two receptionist duty queue clear quickly . the Euston Travelodge offer continental breakfast . watch time quite late weekend , 8:00 . arrive early , dead time door lock . people eat self service fast convenient . probably healthy too . the room basic , expect . double bed somewhere hang clothe , hospitality tray tea coffee , tv desk . adequate , clean comfortable . bedside light mobile give enough light . good blind window , face onto building busy street . Euston station 2 - 3 minute away , less crossing light . British Library close Eurostar terminal St Pancras king Cross . Euston Euston Square underground station close . catholic church road . there restaurant area several pick . bed breakfast hotel excellent location frill . I like good lack fuss efficient nature service provide . Least good breakfast time , weekend , number pillow , always ask another pillow . this hotel five star get exactly advertised . 
