Perfect 	 go Football Championships 2 team age 9 - 12 yrs . stay team . great time Emerald Suites ! staff polite we give we anything need stay forgot run . , great laundry room we definitely lot uniform get wash . suite perfeclty locate freeway , grocery gas station . definetly place come back every year football championship great price , great room , great staff can not beat ! ! thank Emerald Suites ! 
 great place stay . 	 great place stay , I m salt lake city utah alot business clark county past 2 year stay emerald suites everytime . quiet , comferdable , great pool . home away home , staff always great helpfull call , would recomend emerald suit everyone 
 great ' get - away ' place 	 Las Vegas native , pleasure stay Emerald Suites many time past year . many night time . location perfect touring strip shop nearby mall . everything quiet hardly get noise nearby neighbor . be great ' get - away ' rest everyday Las Vegas chaos . two separate room living area bedroom still make feel like home . small kitchen make easy bring food hotel ' eat - in ' rather spend much expensive resturant . hotel also convenient laundry room last minute laundry . the service staff always friendly courteous . anytime need new sheet towel decide extend shorten stay never problem . always ready willing help . always recommend hotel friend family , whether visit town want spend night away home . 
 feel like home ! 	 wife enjoy first couple week – ' part snowbirds group come Las Vegas every year winter month . nice feel like welcome home . ' come year back Emerald suite . service get staff way treat we make we feel good ' come . suite big , enough room stuff bring we . good thing potluck throw we around Christmas time , ' like family . 
 Nov 24 2009 	 bad Hotel ever stay ! 	 recently stay hotel Emerald Suites South Las Vegas Blvd 9 day due conference attend . let say politely .... place dump . oppose staying 2 even 3 star hotel , one one bad place ever stay life . anything hotel staff management cause problem . let first tell several problem room call front desk several time ask help , avail . FINALLY , send email office state feel issue room . let share you:1 . ) first 3 floor expect elevator . knee surgery difficult time climb stair . much surprise , elevator , room 3rd floor . suppose stay 9 day , luggage usual overnight bag . take 3 trip stair bring item room . need put website elevator ! 2 . ) walk room musty smell overwhelming . 3 . ) huge hole door frame look like lock slide chain rip wall . 4 . ) promise site Free High Speed internet Access room , mine never work . not computer conference attend another hotel work fine . 5 . ) cable tv huge hole wire cable protrude suppose plug internet access ( work ) . 6 . ) remote bedroom work 5 day . keep call front desk no - one come fix . 5th day Security office come swap remote new one work . can not believe take 5 day happen . 7 . ) tub drain stand water ankle every morning try shower . 8 . ) bedspread LESS 15 year old smell old musty . 9 . ) bed room broken frame and/or box spring . one sleep ( well two ) uncomfortable painful . 10 . ) third day stay come back hotel long day conference walk 3 flight stair find key long work . walk way front desk , carry computer briefcase ( not dare leave door ) get reprogram key . 11 . ) call twice two light burn stay . 12 . ) bathroom light not even cover light bulb hanging wire . 13 . ) wake less 3 night row people neighboore room knock - down brawl scream match . when send list issue Manager , call & quot ; miserable human no - one could obviously please & quot ; . ask thing room even like someone check say , & quot ; expect wear tear room & quot ; .here recommendation ... want cheap hotel , stay Circus Circus . least clean sheet light internet work . want stay dump ... mean ... stay Emerald Suites Hotel . 
 Nov 13 2009 	 Excellent Hotel great place stay 	 stay Emerald suite Las Vegas wonderful . the room clean comfortable , staff great . I plan stay every time visit Las Vegas . refer hotel friend . 
 Oct 28 2009 	 hotel review 	 spend one night hotel pleasantly surprise great amenity , include mini kitchen hospitality give we . our short stay we plan another trip hotel leave ! OC 
 Oct 28 2009 	 Best Place Vegas 	 husband stay Emerald suit Las Vegas Bike f , amazed comfort 10 time less place Vegas . way ever stay place Las Vegas . Emerald Suites truely awsome ! ! ! ! 
 Oct 28 2009 	 home away home 	 Emerald Suites wonderful place stay Las Vegas budget . 's great people not want crowded room . room two bedroom , family room , kitchen , bathroom . plenty space get comfortable . really enjoy kitchen cook much possible ( save money ! ) . location nice . far tourist area far enough feel sane end day . mall close - by leisure time outside strip . good part room walk closet lot drawer ! many hotel room give two hanger maybe drawer . family stay five day nice unpack , relax , feel home especially come back full day Strip . would definitely stay recommend other . 
 Oct 27 2009 	 great room great staff good Vegas ! 	 hubby go Vegas birthday love cheerful staff clean room . love large roomy CLEAN . staff GREAT ... love place . always want stay .. 
 Oct 27 2009 	 2 kids/2 dog 	 hotel great choice we . enjoy & quot ; apartment & quot ; feel kid dog . front desk helpful upgrade we 2 - bedroom suite since travel 2 kid 2 dog . 
 Oct 25 2009 	 decent budget - minded option Las Vegas 	 husband & amp ; member vacation club , Emerald Suites accommodation essentially choose we say go Las Vegas . 's nothing spectacular glamorous , work well we . L.V . week , kitchenette allow we save money meal suite instead eat restaurant 3 meal every day . also appreciate laundry facility site , workout room . sort biker event town , biker stay , little concerned first guest see lobby arrive . however , property quiet throughout stay , never feel least bit unsafe . staff frequently patrol premise , pick stray bit garbage , generally keep eye thing . parking area inner courtyard well - light night . everything room work properly , clean & amp ; non - smoking . one caveat : theory , suite could accommodate 4 people , 2 queen bed , also sofa - sleeper . however , one bathroom , ( unknown reason ) , closet attach , one person use bathroom door lock , nobody else use bathroom get closet ! perfect 2 we , would headache large # people . 
 Oct 18 2009 	 Pet friendly 	 great hotel pet . however , try charge 25 dollar pet fee - able get waive , otherwise probably would not worth stay . nice middle courtyard grass , dirt pebble dog friendly . lot resident dog well . otherwise , good service , decent place , especially price pay . 
 Oct 17 2009 	 avoid cost 	 want go vegas last minute hotels.com good rate . book come horrified . people parking lot talk loud , bbq , shaving , ..... awful . cop come within 15 min arrive never chance unpack feel soooo unsafe . take bag get heck outta . do not know call suite , motel . stink inside thre room disturb soon check . do not even bother cancel , give key back left . oh yeah , blind cheap , anyone walk see ...... 
