one 	 stay hotel three night Thanksgiving 2009 . stay frequently Marriott brand hotel hotel many familiar positive attribute Marriott also drawback . doubt will return subseqent Las Vegas trip . check : arrive 9 p.m . wait 7 8 minute check sole person registration speak another guest . front desk representative overly friendly rude unfriendly , not feel warm professional welcome provide . seem rather uninterested check we in . Valet Bell Staff : quite exceptional . car bring timely fashion , always professional friendly . Luggage handle well . room : separate glass shower small separate tub . room moderate size usual great Marriott bed bedding / pillow . carpet already look worn room hallway hotel old . coffee maker / tea / coffee etc . bathroom not lot space room . desk small refrigerator safe moderate size tv one chair , also quite worn . housekeeping : good . ' m particular housekeeping issue please . internet : big disappointment . hard wired Internet , free club level room , locate hotel charge $ 1 per minute use computer internet Club Lounge . first Renaissance hotel stay charge internet computer use club lounge . way price . room rate : good special hotel room good value money spend : Restaurant ( Envy ) : Excellant . although not know would return stay hotel would definitely return restaurant . several friend reside Las Vegas recommend restaurant . birthday celebration service incredibly food extraordinary . Club Lounge : moderate good . charge alcohol , different Marriott Renaissance hotel frequent ( often international location ) lounge look bit wear also . always one attendant lounge quite pleasant , tv blare one trip lounge many young child run around play hide n ' seek make noisy atmosphere . ambience : overall , not find hotel plush great ambience . nothing horrible hotel not find service fantastic . front lobby often fill really loud noisy , sometimes obnoxious sport team member , staff nothing control . prefer Marriott Suites , couple block hotel . location : choose prefer stay strip usually visit family business gambling . location fine next convention center . $ 10 taxi ride main part strip use monorail , stop right next door . pool : small pool main level decent small lounge area . 
 Nov 16 2009 	 Plush hotel - quiet ! casino ! classy 	 husband priceline & quot ; name price & quot ; deal not know would end . honestly , first hear go , not know expect , pleasantly suprirse ! beautiful , modern , chic , plush , casino hotel . spend day Vegas , sometimes be nice go back quiet oasis . classy place . room exactly show hotel picture website . hubby love modern feel . service good , problem room key work , say fix , not . call security , bit frustrating . next morning wait forever speak concierge recommendation good breakfast buffet . phone 10 minute moment speak . not really really fault , perhaps assistant kind . not visit night line . , though , service pretty good even bump elevator , find new favorite place stay Vegas . glad priceline land we . ( oh yeah , monorail closeby , find convenient much fast way travel strip ) 
 Nov 3 2009 	 luxurious hotel strip 	 stay one night Vegas . parking free , valet . check - in great staff start finish extremely helpful nice . issue attend immediately . room gorgeous clean . bathroom separate glass shower soak tub . bed oh comfy ! hotel directly strip , staff arrange cab transportation drop hat . right next convention center event would need close . internet free ( believe $ 12 / night ) . go back , would definitely stay . 
 Oct 18 2009 	 great overall experience . good staff good property good attitude . 	 return attend conference next door Convention Center GLAD choose stay Renaissance . be 4 minute walk convention center great place come back evening long day . decent size room , clean , fresh feeling bathroom . good quality tv nice linen . staff helpful doormen desk folk deal happy attitude . I order one room service dinner one breakfast . dinner good breakfast disappointing . complain breakfast , concern bring new one right away . ok . really try make right , difficult egg pancake right via room service . the real negative pricy internet . geez ! taste menu full service restaurant first night . bit overpriced , good . wine selection food pleasant surprise business hotel . would definitely recommend restaurant . 
 Oct 18 2009 	 quiet attentive service 	 solo female traveler attend convention one large strip hotel , nice come & quot ; home & quot ; quiet little oasis Renaissance . non - gaming hotel strip , get big hotel not problem monorail pick next door . think preference would wake morning , grab coffee in - hotel Starbucks sit outside sun come – without slot machine clatter pump beat & quot ; get boogie & quot ; flood street , Renaissance hotel will want look . marriot website offer package hotel , ' ve also see wholesaler site like Skyauction . 
 Oct 18 2009 	 Great Location Las Vegas Convention Center 	 convention south hall Las Vegas Convention Center 90 second walk . hotel really nice bed comfortable . enjoy huge casino hotel ! 
 Oct 14 2009 	 fine recommend stay 	 nice place , strip directly next convention center . convention center feature anything fairly quiet . service , cleanliness , etc fine . recommend stay . would go back return Las Vegas , 
 oct 8 2009 	 great hotel 	 book hotel long weekend could get strip . see location think bad choice . hotel great pool starbuck lobby great morning coffee . 
 oct 4 2009 	 exceed expectation 	 stay hotel several time , recent trip exceed expectation . 's quick rundown : room : room still nice ( stay room brand new ) . & quot ; retro & quot ; look , bit snazzy average Marriott hotel . will get least one flat - panel tv room . bed comfortable , lot towel . hotel space - available upgrade elite member , nice change compare Marriott property . room include walk - in shower separate tub , spacious bathroom . aveda product bathroom , not smell like standard Marriott Bath Body work shampoo / soap . pool : small pool not always lot sun , expect deep tan , might need find pool elsewhere . enjoy pool , though . food : envy restaurant outstanding . breakfast year , outstanding . eat dinner last year , steak one well ever . location : take tram strip ( fee ) , grab Taxi . also free valet parking , always rent car park . like stay off - strip , want close action , may want stay strip . note : non - smoking hotel ( except pool area ) , really nice . want smoke , may want stay elsewhere . hotel offer concierge lounge week , nice . open 24/7 bottled water , also nice . I would absolutely recommend hotel friend . staff nice ! give 4 star JW Marriott Las Vegas 5 - star establishment . hotel 4.5 star . 
 Sep 28 2009 	 Excellent hotel great price ... strip near convention center . 	 stay brief pleasant . want stay Vegas extra night , Saturday strip hotel chart expensive night . get good price hotel Priceline . from outside hotel not impressive , inside different story . interior space visit modern , sleek elegant . room also attractive , well design sparkle clean . amenity good : in - room fridge , nice goody bathroom / shower ( Avena ) , real glassware , bathrobe , extra pillow blanket room , iron ironing board , hair dryer . in - room internet access $ 12.95 think standard well Vegas hotel ( still resent pay much internet ) . tv 32 & quot ; flat panel HDTV , far could see high definition programming . king bed superb .. pillow top mattress ( think ) plenty plump pillow . room totally quiet . sleep well ! location near Convention Center far walk strip . would imagine would fine location town convention . mainly Vegas fun strip , nice place stay need car , otherwise check hotel see shuttle service . 's much interest block around hotel . room view speak ( parking garage ) . pool area locate center courtyard hotel attractive , shade time . probably good thing Las Vegas summer , will not able lay sun would like . the staff hotel first class . really , not ever recall treat well hotel check - in . person work coffee bar / gift shop go way help something need . can not say enough good service staff hotel . this 4.5 star hotel 3 star location 2.5 star price ( least book via Priceline ) . hotel good deal like stay . 
 Sep 9 2009 	 low price priceline 	 arrive late go straight bed . woman valet parking helpful help self - park mini - van rooftop carrier - would fit parking structure . appreciate help . two kid enjoy outdoor pool hot tub next morning . budget eat use expensive internet access short visit . locate away Strip , next convention center , fine us child . drive night way back California . 
