Great 	 hotel location great . stay many hotel City must say one one good . location great even middle Time Square normally like view awesome . restaurant bar 8th floor convenient we eat relax enjoy light . room good size , clean comfortable . would definitely stay ! 
 beautiful 	 good hotel ' ve stay . astonishing view , magnificent decor ... truly amazing ! 
 wonderful hotel wondeful location 	 stay husband two teenage child hotel two night . room clean , service excellent , location could well . really enjoy heart Time Square . 
 Nov 26 2009 	 marriott marquis- microcosm new york 	 all - in - all , stay Marriott Marquis quite enjoyable . location ideal . locate right heart Times Square theater district , hotel also relatively easy walk central park , rockefeller center , 5th ave . shopping , Macy 's . hotel bit overwhelming , previous reviewer point . crowd noisy . wake several time night thing blood - curdle scream , drunken hallway reveler , emergency equipment outside . course , sign bit trip NYC , hard fault hotel . Marriott reward member , prepare long wait check - in check - out . member , prepared dirty look . , exactly make hotel special . exciting vibrant , immense bold . full life . exactly go New York . parking drop - off quite convenient . not go GPS , circle around block good . call direction Lincoln Tunnel . arrive , spacious area unload , take car right . parking $ 65 day hotel rate . room certainly nice , although spectacular . unfortunately , really clean would expect hotel price caliber . hair bathroom floor , coffee stain sink , someone grocery one bureau drawer . guess could happen anywhere . aside , room comfortable , provide great sense privacy amidst craziness surrounding . we good ( although great ) meal View restaurant . must admit seem lose bit quality year . eat several time 90 , sensational . use amazing array desert choice ice cream cheese cake . price fixe menu convenient , food certainly delicious . always , view amazing . actually particularly welcome kid ( 5,6 ) . waitress , Tracy , learn name , attentive night long . really say something restaurant balance elegance kid - friendly . one side note- area around hotel unbelievably expensive . want cheap , uncrowded , kid - friendly break , hit McDonald 's across street hotel . sure McDonald 's , price consistently status quo . plenty seating , clean bathroom . eat breakfast $ 26 5 people . next morning eat Sarah Beth 's central park $ 140 . all - in - all , certainly recommend hotel . 
 Nov 23 2009 	 generally great odd experience 	 spend 5 night Marriott Marquis conference . overall , experience positive . room decent size , clean etc . lobby great . elevator work well even large crowd people , though would not want see would happen computer system glitche . concierge lounge great decent breakfast , free wifi , never end supply san pellegrino etc . staff pleasant . good fitness center extra charge like Hilton often decent business center . three complaint . first , one bar ( set poster session ) nearly turn we away 5:50 pm say would not open 6 pm . second , next day main restaurant close lunch 11:45 set open opening buffet , menu option day . third , concierge lounge regularly close friday afternoon whole weekend . seem rather bizzarre hotel accept 4000 plus person business conference . 
 Nov 19 2009 	 great hotel first time trip New York 	 arrive hotel 4:00 pm , normally primetime check - in time . check immediately , wait . delightful young woman fall try introduce we New York City , give we pointer . whisper , tell we give we complimentary upgrade would normally $ 50 per night . confirm standard King room , upgrade Corner King Room view Times Square . find elevator simple efficient , never wait 60 second . delighted room . large hotel room , well appoint bathroom . floor ceiling window view Times Square fantastic , star room bed . bed phenomenal . do not use facility like gym bar , buffet VIew Lounge rotate restaraunt . pricey ok . be not bad . ok . service horrible . hotel well locate 4 broadway show see stay , must try Junior be across street . great food ! ! ! ! 
 Nov 18 2009 	 Great Hotel 	 awesome hotel , everything beatiful center Time Square . definently worth money ! 
 Nov 17 2009 	 almost overwhelming 	 1 night stay Marriott Marquis - actually try decide want bring family next summer . still fence . reward member find Marriotts consistent one preferred brrand . Marquis average . frankly - family get everything need - big . elevator key floor tell elevator wait - 34th floor large corner king suite - great view great space - hotel like mini city - dump extremely busy Times Square - like travel little low key intimate . staff quite friendly accomodate - little unnerving trunk car cab inspect pull - course remind terror strike Marriotts part world comfort know Marriott take safety seriously , really emphasize size facility . eat View restaraunt top , rotate around full view city - environment lovely , meal well expect fix price 3 course menu . like many amenity , include incredible fitness center , bar restaurant , Starbucks , name . . look personal experience , quiet ease travel - look small hotel Times Square . 
 Nov 16 2009 	 always reliable close everything 	 5th time stay hotel not disappoint . always clean , safe middle Broadway show . also convenient Newark airport . Lincoln tunnel exit short block hotel . can not beat location be town see Broadway show . good , fast room service nice , clean room . excellent , friendly staff . really great fitness center , , open 24 hour day . upper floor room amazingly quiet , . good insulation room floor . problem get cab another part town . cabby not like get stick Broadway traffic . 
 Nov 11 2009 	 Great Location 	 stay 27th floor face Viacom building . view window building beautiful night light . book room Priceline pay $ 225 per night . king size bed comfortable lot pillow . room spacious , quiet clean . location central many thing within walking distance . glad bath tub soak long walk day . Starbucks 8th floor sell great oatmeal breakfast . & quot ; View & quot ; rotate lounge 48th floor outstanding view city ! dinner buffet $ 32 pp cheese / dessert buffet $ 17pp . would definitely stay ! 
 Nov 8 2009 	 large room good service excellent location 	 may favorite hotel New York . want middle , Marriott Marquis great choice . room large average NY hotel room . be lucky , get Times Square view ( heavy curtain block light sleep . ) front desk staff pleasant check - in , really seem & quot ; get , & quot ; need treat people respect . go bell staff -- hard work people seem care . complaint : View Lounge , cover charge . think guest hotel cover waive . not mind one - drink minimum , guest , think get priority people wander . 
 Nov 5 2009 	 Great experience 	 * * review first go another Marriott hotel ( marriott courtyard time square ) mistake . since another viewer bring mistake attention , want make sure review correct hotel since wonderful experience . go NYC New Years Eve , obviously hotel great location . staff terriffic always helpful , especially Steven Reyes ( parking ) Jonathan ? ( asian gentleman front desk ) . hotel beautiful inside convenient many place . go dinner dessert rotate restaurant top floor . nice view . great breakfast buffet lobby restaurant plus Starbucks right inside hotel , . sure normal rate , rate outrageous due New Years Eve Time Square . room face ball drop ! besides price , would definitely recommend anyone . also , walk Juniors breakfast , lunch dinner . wonderful diner food great cheesecake . would definitely go back recommend anyone tight budget ! 
 Nov 4 2009 	 New York New York ! 	 hotel heart , Times Square . hotel large , modern hotel bell whistle Marriott ... lounge , restaurant , shop , etc . request Times Square View Room , great . could watch see hustle bustle city , yet room quiet could pin drop . bed comfy ! bathroom clean , update adequate also . theatre person , hotel must . excellent location walk anywhere . walk Today Show , Rockefeller Plaza . also walk Fifth Ave . restaurant around eat one weekend . subway station couple block away . lounge bar great view city Times Square . relax cocktail watch world ! Loved Loved Loved ! 
 Nov 4 2009 	 want centre New York ........ 	 hotel Time Square . could not nearer . block attraction well , make ideal stay . room good , though modern would think . great coffee make facility view window great . resaurant expensive eat View rotate slowly eat good food view brilliant . good gym also overlook Time Square freeonly side size hotel make little inpersonal , hey put great location 
 Nov 3 2009 	 Great Location 	 happy location hotel . like never see anyone work though . room always clean returned staff need without face . can not say enough location fun weekend . think food hotel way top price . three we could not eat less $ 100 . crazy even New York . 's feel value . pay $ 470 per night tax get rip food . & quot ; EAT ! ! ! guess say place LOCATION , LOCATION , LOCATION . 
 Nov 3 2009 	 great location large busy hotel 	 Marriott deliver busy part nyc . centrally locate helpful staff , return . 
 Nov 1 2009 	 dislike customer much ? 	 way big impersonal . great week NY pretty much everybody deal friendly , EXCEPT staff Marriott Marquis . half people talk hotel clearly resent deal customer . we also feel less safe hotel street : multiple entry , nobody check get door . look anybody could roam halway barge room , like cheap motel . scary . 
 Oct 31 2009 	 can not beat location probably beat service .. 	 stay first time ' ve stay hotel , be first since join reviewer site . the Marriott Marquis many thing go - good , bad . first , theater - goer , beat location hotel . Marquis within 4 block theater , mention literal location one ( Marquis Theater ) . close show incredibly handy , however even not go performance , still doorstep everything . tkts , shopping restaurant surround property . on inside , hotel immense . right away encounter big pet peeve property - elevator . herald ' New York 's Smartest Elevators ! ' , system work pain also incredibly annoying . operate involve put desire floor keypad tell elevator go . understand system , work ok . problem , many people not enter elevator , find keypad stumped . furthermore , put number pad , miss elevator location , re - enter . , floor call two different elevator potential elevator 6 stop . find incredibly unreliable wish would go back regular keypad elevator . aside , hotel room large , large ' ve ever stay New York . bed incredibly comfortable lot room provide wonderful view Times Square . bathroom also quite big Bath & amp ; body work product nice touch . one place hotel lacking service . Marriott typically dependable good service however property generally lack . ' ve encounter pompous rude front desk staff previous stay act like good hotel city . also , press ' at Service ' phone , button contact anybody , often result wait around 15 ring , many time , answer all . the fitness center large overlook Times Square - huge plus . also open 24 hour day , hotel day . not ever eat restaurant hotel - far well one outside front door . two Starbucks inside convinient , though one lobby minimal hour . well go one 1st floor . in term connectivity , purchase Marriott 's ' Wired Business ' program $ 15.95 night , include high speed internet free call anywhere US . suppose people may find handy , although someone would like internet , cost bit steep . I think hotel really equal combination good bad . lot positive point - location room , thing wary - staff elevator . would stay , problem - would probably first choice . 
 Oct 30 2009 	 Awesome location 	 attend conference location awesome . Times Square , minute Penn Station . bar area great place meet people , one one . many level meet room share site conference work well . theatre district around hotel , walk show EASY . elevator different , find need go kiosk type floor # want go , tell elevator go ( 15 choose ) go floor . external glass view interior travel elevator 
 Oct 25 2009 	 Great Value NYC - spacious room 	 stay Waldorf , Palace Ritz Carlton Battery Park . money recommend Marriott Marquis . room large hotel view Times Square , well appoint nice bed , furnishing large flat screen tv . look elegant lobby atrium , place , be quite institutional appearance bit convention hotel . however , room much well , fact , far well room stay Waldorf Astoria two occasion stay Waldorf fraction price . food room service restaurant however mediocre good . 
 Oct 25 2009 	 Marriott Marquis Running Check Cashing Scam 	 April 2009 stay Marriott Marquis NYC . stay cash check 100 usd . hotel cash check April . June cash check second time . call inquire give run around . ( call , tell call B , B tells call C , C tells call . ) finally get someone tell happen guest , would fix . two week later receive threat lace demand letter collection agency hire Marriott . demand pay another 100 usd , plus penalty , plus interest . send proof credit rating agency Marriott owe money . care . keep come threatened destroy credit rating base Marriott 's lie . trace trail legal entity associate credit rating agency threaten legal action back . stand . Marriott still refund money . continue pursue refund Marriott . unapologetic steal money , unapologetic refering collection agent , unwilling refund money dispite undisputed fact cash check twice . file pleading initiate lawsuit recover money Marriott come settlement . refunded money pay damage inflict . although Marriott end refund money , pursue matter entail great deal personal time risk . I m opinion management Marriott Marquis NYC incompetent untrustworthy . 
 oct 22 2009 	 great location extortionate price ! 	 stay five night hit $ 200 per night rate increase second night UN Assembly town . pay $ 18US cup tea deliver room could coffee free ! pay wireless internet . business meeting lobby collect Starbucks foyer coffee shop would not provide coffee table right outside entrance ! look polished , facility heart much service good value . 
 Oct 21 2009 	 great location 	 really enjoy stay hotel . location central subway location , Broadway Theaters restaurant . wifi ultra expensive nearly $ 20 day multiple taxis tag price $ 16.95 . room decent , nothing fancy , two Starbucks property . elevator system little confusing . many people get know push floor number one keypad enter assign elevator . hotel bar total wast $ 9 get . save money . view not spectacular . hotel also close Hell 's Kitchen full local favorite dining spot want avoid chain , area close walk 9th Ave . 
 Oct 21 2009 	 Great Location ! 	 stay Marriott Marquis Sept. 8 9 pleased location . within walking distance everything plan see . get car main entrance , bell hop ask would like take bag room . say would deliver room within 10 minute check . take we 2 minute check elite check - in desk ( Marriott Platimum Members ) upgrade room view Times Square . plenty elevator , walk hall room , realize bell hop luggage 20 foot back we . wow -- -what service ! room large expect comfy bed 6 pillow , desk / table , 2 chair , ottoman , loveseat . eat one small restaurant hotel food average bit pricey . plenty place eat within walking distance hotel . access Concierge Lounge eat breakfast two day . food selection adequate Lounge never crowd . housekeep great -- -we left morning room always clean time come back afternoon . 29th floor find quiet -- - street noise noise adjacent room . complaint hotel would stay return New York City . 
 Oct 20 2009 	 Excellent Location spacious room ! 	 happy room Marriott Marquis . room spacious , clean quiet . remark could hear noise hallway street . staff friendly especially happy two Starbucks hotel ! 
 Oct 19 2009 	 Marriott Marquis New York 	 first time Marriott Marquis near Times Square New York . room overlook Broadway quiet inside . room clean lot room amenity . bed comfortable . one incident contact management handle quickly satisfaction . hotel within easy walk distance several Broadway play fairly close subway transit system . definitely stay return New York . 
 Oct 19 2009 	 could not ask well hotel 	 12 we stay Marriott Marquis part wedding group . hotel staff fantastic , really could not nicer . room superb - clean welcoming . room service staff also friendly happy fit cleaning room around schedule . location ideal - right Times Square ideal . always plenty taxi available within hotel , porter helpful . limo service also come useful many we . would definitely stay , without question . 
