ordinary 	 stay individual room Meliá White House one night . find hotel ordinary . decoration furnish pretentious bit date . the staff reception desk nice chek - in check - out fast . room small , much London standard ; however not even one chair & quot ; table & quot ; room ledge leg , barely 25 cm deep place narrow , poorly - light , aisle - like space ( awkward four - star hotel claim ideal business traveler ; course chair desk room would appear cram ) . tv big bit old . closet look bit shabby . bed comfortable . bathroom up - to - date really tiny ; even shelf toilet bag , small counter around sink . everything clean enough . coffee tea kit ( inside closet , place put ) .There something odd use in - room minibar : note advise customer use minibar cool stuff charge 15 pound . no free internet area hotel . rate 15 pound per 24h . I not breakfast hotel ; would remember price region 20 pound , good breakfast somewhere nearby ( Great Portland St. across street ) .The hotel well locate find plenty well locate hotel London similar cheap rate one does't add special value . in brief , fine 's nothing special . ' ve stay nice hotel London would recommend one get cheap rate . 
 Nov 21 2009 	 standard room small noisy dark 	 get impression pay upgrade well room ok place stay . upgrade heavily push notice / advert hotel . little space standard room wall paper thin hear everything next room . light gloomy . otherwise hotel seem ok will not stay , one we take ill , 3 hotel staff say doctor could call would cost £ 175 . mention NHS really push nearest hospital & amp ; E suggest . end call NHS direct . UK citizen could work many foreign visitor end pay & quot ; hotel 's & quot ; doctor not know could alternative ? seem unfair . 
 Nov 16 2009 	 pleasant experience 	 stay hotel 2 night complaint . we 2 room tastefully decorate well equip clean . would agree room small quite common city centre hotel . unless one intend spend lot time room space adequate . contrast lobby bar area spacious . find staff helpful , efficient non intrusive . bar comfortable well furnish good selection drink cocktail like hotel bar quite pricey . breakfast buffet wide selection food offer plenty seat space . location good , near tube taxi service outside hotel door . general area quiet less 10 min walk Madame Tussauds . 
 Nov 14 2009 	 impersonal disappointing 	 stay several year ago hotel feel opulent real treat , time feel like slightly fade impersonal face money make machine . it be get good location , breakfast immense . room tiny , poky clean quiet . 
 Nov 9 2009 	 great hotel fantastic location enjoyable stay ! 	 stay two night weekend partner parent . hotel perfect we . location fantastic . two minute walk Great Portland St. tube station five minute walk Regents Park Tube station . Oxford St. 15 minute walk 5 minute bus catch across road hotel . hotel clean tastefully decorate . room wee bit small 's expect London . staff helpful anything need deliver without problem . bar evening relax drink long day live music every night . quite expensive get deal 's well worth ! 
 Nov 8 2009 	 Great Hotel Great location niggle . 	 wife stay hotel 7th Nov 2009 one night nice . upgrade room superior double although room slightly small side , clean , tidy expect stay 4 star hotel . on Saturday night night cap hotel bar nice 4 star expectation , however dark need light bit customer read drink menu little easy . also little disappointed ginger wine whisky ; think 4 star hotel London ginger wine . morning breakfast disappointing . bacon well cook rasher stick clump together ; breakfast also cold due lack adequate hot plate . would like stress hotel nice , 4 star standard , great location stone throw away Portland street tube station . would definately stay . 
 Nov 8 2009 	 last minute bargain 	 book lastminute.com get bit bargain . hotel 's website point room soundproof problem almost every hotel ' ve past month music ear . check , without ask , receptionist rejigge booking room go noisy . end , room lovely quiet . the problem tv not much use , bathroom light not work properly , apart great bargain . paif Travelodge price proper old - style lush hotel room . 
 Nov 5 2009 	 love ! 	 stay one night - 31st October - visit WestEnd . Booked & quot ; secret location & quot ; Lastminute.com delight hotel ( well , see wanted room ) pay superior deluxe , upgrade Level arrive get enormous bed - heaven ! lovely clean , none quee everyone seem mention , either book check ! great location , easy tube access - would highly recommend stay . wish could stayed long ! 
 Nov 4 2009 	 good choice location budget quirky bit bob 	 ok . ok . highlight - quirky lift system , pipe - in aroma , spaciousness , good - sized bathroom , nice lobby ... big downside awful ( mean TERRIBLE ! ) pillow , slow laborious check - in breakfast taste like soap something . yuk ! book ' secret room ' lateroom interesting place spend night , sure could suffer pillow comfortable bed . upgrade next one standard , £ 120 night . 
 Nov 2 2009 	 try Crown Plaza Group instead much well value . 	 Booked Executive room . great location . special reception executive room not open , book front desk . executive level bar nice music telly invite stay half hour . bar limit , wine , red , white fizzy , beer . Sodas juice abundance ice ! breakfast appalling . fresh fruit except either five grape one kiwi . cook food not even remotely warm . fried egg cook could cut half knife provide . ask hot water coffee strong . the wonderful spanish restaurant not open Sundays , mind probably well consider cost drink bar ! ! ! altogether , £ 200 plus quite small room - bad value money . say , Crown Plaza much well value . 
 Oct 31 2009 	 good hotel great location 	 partner stay one night whilst visit friend London . queue check - in ; lift however bite odd select floor prior get lift , open / close door button lift ! lobby restaurant bright airy ; bar , bedroom corridor perhaps slightly date - lot dark wood dark colour furnish carpet . standard double room quite small bathroom also poky , whole fairly happy great location ( next Great Portland Street tube ) , comfy bed , cleanliness quality spread available breakfast - Sunday morning sit read paper spoil choice food - wise . service attentive polite . come leave enormous queue reception ; have pay dump keycard leave - would pain queue bill pay . would go back , would not prioritise London hotel ' ve stay ; would dependent price ( pay £ 140 double breakfast , think fair enough get , would not pay not think ) . 
 Oct 27 2009 	 nice 2 star hotel ... never 	 hotel location good , step 2 tube station close Madame thussaud´s London ZOO . book hotel without breakfast - pay 20 pound per person seem rather ridiculous . check slow , room safe work also key card replace twice 3 day . room tiny - small cabin ship , one could barely move - ibis large room . bathroom also small one wonder 4 star hotel ? overall impression hotel ok , nice hotel London offer well service space ... remove anything minibar ( e.g . wish put medicament ) , expect charge automatically 15 pound ... claim charge , offer fridge medicament - suppose come 15 minute never arrive . reception seem tired professional . free internet access . 
 Oct 25 2009 	 's okbut ' m do place ...... 	 regular guest say lot thing hotel , stay sure last one . book deluxe room usual . upon check , take two lady find reservation unbelivable long time , tired . find reservation matter switch screen hotel mode apartment mode ( WH apartment available ) . step room , immediately see something wrong . deluxe room inside corner x shape ( hotel shape like X ) , problem room nobody refresh long time . dusty , musty smelly , corner window like really castle ! ! mention small bed . usually rent deluxe room large bed one small one ! ! go front desk , get another room , annoying . get much sleep usual , mattress huge uncomfortable , terrible pillow . breakfast good , usual , expensive MAS member . 's .. bye bye Melia White House , ' m do , 
 Oct 25 2009 	 Great Location 	 Superior Room large comfortable , efficient lift system , great breakfast 
 Oct 23 2009 	 first stay leave something desire level excellent 	 hotel around 10 minute walk Euston station ( West ) pleasant location close Regents Park . first stay Classic Room impressed ; cold water , iron not work neither two light . room cramp old style steel frame window draughty . bed full size double despite double room single occupancy pay . drink exorbitant , charge £ 7 2 small glass still mineral water tap water 17 degree fit drink . huge queue breakfast main restaurant even long queue get reception check report faulty item . e - mail hotel upgrade level offer way apology next stay . check marred upgrade deliver promise , level room give level service . 10 minute produce e - mail ( thank goodness mobile phone internet access ) , issue resolve . level room superb . super king size bed double glazing , plus slipper , bathrobe etc . level lounge pleasant soothe atmosphere reminiscent club class lounge airport add bonus complimentary drink 10 pm . Breakfast serve Level lounge staff attentive food excellent . I use International restaurant evening 3 course buffet excellent value £ 24 ability return many time like take small portion able sample dish would like . dish eat really good quality . can not recommend profiterole highly enough ! overall , excellent restaurant superb accommodation / service opt upgrade Level . would recommend . 
 Oct 18 2009 	 would definitely return 	 part special birthday treat wife , stay Melia White House recent stay London . truly wonderful experience : great breakfast , clean room , terrific shower , friendly staff ( special thank concierge ! ) . wife especially sensitive scent lodge nearby smoker make less ideal fan not . be minor . would definitely return ! 
 Oct 11 2009 	 Gracious Hospitality ! 	 arrive money , wallet steal plane . pay taxi fare wait two day get new credit card fund ! trul great relief birthday treat ! 
 Oct 8 2009 	 Amazing 	 everything hotel great ! clean , staff friendly , be locate near everything ! 
 Oct 8 2009 	 Gorgeous Hotel Great Value ! 	 stay Melia White House Hotel Regents Park area London . hotel convenient 1 block away Warren St. Tube Stop ! stay Level section hotel include breakfast free well lounge area drink snack always available ! really perfect quick snak touring dinner ! hotel beautiful , room spacious , food delicious ! great stay ! 
 oct 2 2009 	 Lovely Hotel 	 lovely hotel , could staff checkin breakfast still everything go rapidly . apart slightly wear carpet everyhte great condition even decor bite overly spanish liking ! 
 Sep 29 2009 	 could not fault hotel money pay 	 book secret hotel deal save circa £ 100 normal price reading review prior go say check not slow . obviously wait 5 minute other check check process quick front house detail . staff polite helpful opinion . classic double room nice comfortable however layout make appear little cramp not issue . overall place beautifully present clean experience pleasant one 
 Sep 25 2009 	 can not beat price location ! 	 excellent choice easy access London affordable price . located step away two major tube stop easy access Regent 's Park hotel location ideal . service good time ( staff help accommodate thoughtfully help we breakfast without request ) acceptable other ( receive smoking room option even though request non - smoking - apology yes , solution ) . room typically small London not expect great view overall location price make ! 
 Sep 22 2009 	 slow checkin room nice keep refund deposit . still wait ! 	 coach full tourist arrive time we , unable checkin straight away . go early dinner , return hour later , two people front , still take 20 minute check 2 room . make pay additional £ 25 card room , hold deposit . checkout follow day , slow still , pay full card find 2 day later deposit take put still hold , even though pay also full . 
 Sep 20 2009 	 Quality hotel good location . 	 book standard room , offer upgrade arrival £ 20 . take get superior room . superior room spacious enough . room good standard , exceptional . hotel staff friendly service efficient . the hotel large busy hotel situate good place access city , 2 tube station close by . Classed 5 star hotel , would close good 4 star although hotel ok exceptional . 
 Sep 18 2009 	 Best London Hotel Stayed ... 	 husband book room Level Melia White House August Bank Holiday . customer service delivery hotel absolutely fantastic moment arrive level reception ; room great size cater every need . avail Level Lounge ; complementary paper , drink tapas relax area hotel . breakfast serve every morning cater taste serve great coffee ! ! point one problem , height bath whilst get show . husband tall , thought could dangerous other maneuver side extremely high . we certainly return Melia would certainly recommend anyone want stay near Regent 's Park ; tube across road ; taxis readily available quiet night ( stay level room ) .well do Melia White House ! 
 Sep 14 2009 	 functional quality great location 	 stone throw across Marylebone Road Great Portland Street tube popular hotel judge high occupancy weekend . upgrade superior room base previous advice glad invest bit comfort . however superior room surprise small rom lack small touch like bottled water room . these minor gripe . service breakfast good would come back . 
 Sep 1 2009 	 basic room . . . well basic ! 	 stay Melia many time . first time standard double - previously stay superior double . superior room nice spacious although bathroom small . standard room basic - comfortable bed small room , little faded bathroom even small . portable tv desk , poor room lighting . lesson - get pay simple stop £ 95 plus tax good value great central london position . 
 Aug 23 2009 	 great hotel perfect location 	 ' ve London 8 old child . know London well since live many year . hotel nice , perfect location comfortable large room . good price perfect hotel . 
 Aug 22 2009 	 live reputation 	 hotel great style service good two trip enjoy stay much expect . first time ( deep winter ) single glaze bathroom window mean freezing . lack blind etc mean quite visible outside world shower ( pretty sight ) . late stay , strong smell drain room ( although strangely bathroom ) . pillow distinctly saggy . 
 Aug 18 2009 	 great location near Great Portland St Tube - noisy room 	 book Level Executive double room spacious , nicely furnish clean . reception impressive , welcome . hotel close Tube see concert Wembley ( 3 tube stop along ) perfect location . the bar open 1.30 atmosphere great snack available close . drink expensive . our room close lift extremely noisy not realise go bed 1.00am , not get good night sleep . mention receptionist 7 am advise tell last night would change room , late : - ( ask could late check could siesta allow keep room extra hour tell 1 minute late check would charge £ 50.00 . breakfast level lounge buffett , good selection . all great hotel , learn ask room near lift ! btw park available hotel . 
 Aug 10 2009 	 could fault 	 return Melia White House , would like say level servicefrom every sector hotel high standard would expect hotel caliber , nothing much trouble , every member staff wasattentive obliging , certainly stay , yes short walk like piccadilly circus , leg , bus taxi 's . 
 Aug 5 2009 	 Poor Service Overworked Staff Bad management . 	 locate near Regents Park London , would expect least 1 english speaking receptionist . not expect Hotel . breakfast room full even thou empty table could not use clear . 2 staff overload work . one happen every single day stay . hotel bad level service bar restaurant well english speak receptionist disappoint .. however recommend food Albufera restaurant .. 
 Aug 3 2009 	 Excelent Hotel 	 ' ve stay two time Melia hotel London two diferent experience regard room . superior room like king . standard room nice room lack space . nevertheless facilitie hotel excelent , ambience great hotel beatifull . recomend hotel superior room really want great hotel experience not mind little bit far center ( 15 min fast walk oxford circus ) . 
 Aug 3 2009 	 okay - nothing ordinary 	 Read previous bad review standard room book Level Executive Double Room . Room exactly picture website photo . the level room include breakfast , free wifi , nibble drink Level Lounge . lounge comfortable good place chill out . Buffet dinner Place Restaurant horrible not waste money go . not eat spanish restaurant . not good location see London foot . close underground station though . can get well value money elsewhere . 
 Aug 2 2009 	 price small room 	 know London price high UK norm , feel hotel poor value money . lobby look great , room tiny . £ 160 per night B & amp ; b one person , expect little . addition , internet access charge £ 5 extra - feel take micky . refuse pay principle , take 5 min walk local Starbucks internet connection free , nice coffee . on positive , breakfast excellent staff friendly - would expect anyway ! 
 Jul 27 2009 	 another perfect stay 	 back second visit White House year , time celebrate parent Diamond wedding anniversary , nothing could want hotel provide ......... truly great part amazing service every member staff offer . nothing much trouble , every request meet smile , upgrade level stay , splendid , worth extra finally prepare utterly charm excelent hotel delightful staff . 
 Jul 25 2009 	 everything well expect - Beautiful Hotel ( hide ) 	 stay march wonderful , hotel accessable transport , walk , park one side short walk Oxford street . husband nephew stay August husband hope back Sept./Oct 09.I would highly recommend hotel business pleasure 
 Jul 23 2009 	 Visa charge authorize debitte without prior notice 	 Hotel Melia White House 3 night , 14/07/09 till 17/07/09 . disapointe see beside visa charge sign , find visa charge around € 135 spend course sign / authorize . get touch morning phone Hotel inform we ammend void charge send instruction banker also email confirming would sent we , far see change . 
 Jul 21 2009 	 good hotel beware tiny room 	 stay number time London cricket Lords generally good experience . last time upgrade large room . time standard ' classic ' room really small , although ok one . furniture bit tatty too . still overall like hotel . bar particularly good place relax spectacularly beautiful Regent 's Park road . if stay try avoid tiny ' classic room ' . 
 Jul 21 2009 	 Box room ! ! 	 Melia White House close Regent Street definitely good look hotel , huge , neat good restaurant . infact partner lobby - quite impressed glad choice make ...... ofcourse yet see room . huge disappointment - stretch arm touch two wall opposite side . room cramp , small dingy . hardly place get - literally jump hop bed door bathroom . I would recommend couple , especially London holiday . 
 Jul 19 2009 	 great value - top London hotel 	 read review opt ' level ' room . room soundproof , bed great , service food terrific - fabulous start europian holiday . would highly recommend . will back next time visit UK . 
 Jul 13 2009 	 good 4 * London hotel 	 stay business - small room - clean good facility ( small bath though - shower tray really ) . nice design decoration . public area clean well design . staff helpful . location great close tube , Marylebone Euston Regents park walk . nothing fault . 
 Jul 13 2009 	 worth money ! ! 	 2 friend stay hotel June 2 night . book month advance rang day confirm booking . arrive hotel past midnight die get room . man reception tell we book 2 people even though book triple room send we room anyway . get small room ever see ! ! 8th floor dearer room expect lot . double bed sofa bed ... sofa bed one wall open get bathroom room climb ! ! fun night try sleep people climb . next morning breakfast tell 2 people breakfast even though sorted reception night . one wait staff rude annoying would breakfast elsewhere avoid ... hassle everyone try eat , even wait staff could not stand ! ! also food appetize certainly worth 22.50 english breakfast . along debit credit card check even though say would try charge we take item minibar never take . overall good location clean lovely decorate hotel overprice badly run . worth 500 pound 2 night . 
 Jul 12 2009 	 average - small room - real good breakfast 	 stay Melia participate event one client . arrive early , 12 noon , room available first . unusual guest check early morning room ready around 11 . finally get room ( change want shower ) , really small - small would expect hotel category hotel website . also , everything floor room british old - fashioned dark colour , wood , thick carpet etc . Melia style often happen cool hotel chain acquire hotel abroad put label . good thing ( new ) spanish owner breakfast : combine good several world , include Spain . really delightful . also location really good : almost Regents Park , ten minute walk Oxford Street / Soho . area hugely prefer touristic area like Russell Sq Picadilly C. unfortunately , bad room make impossible recommend Melia . 
 Jul 8 2009 	 friendly Hotel superb location 	 stay Melia White House last year . three friend book Level 7 accomodation . impress friendly , attentive staff accomodation . location excellent , friend London one night . stone throw Euston Station , handy take stroll beautiful Regents Park three stop tube ( Tube station road Hotel ) Wembley attend concert . leave concert 10.30pm sit bar enjoy relax drink snack 11.15pm . the bar tend pleasant ambience . public area atmosphere solo resident put . pleased say case Melia White House . congratulation mangement staff effort make stay enjoyable . definitely book London next recommend friend . 
 Jul 6 2009 	 small bedroom comfortable surrounding 	 nice stylish hotel feel like Titanic ( see photo ) add humour stay . the room little small single bed twin room small bathroom spacious . however nice stay , breakfast buffet style either hot cold generous choice . Friendly & amp ; helpfull staff reception , end night there s nice relax piano bar night cap social evening . 
 Jul 4 2009 	 really like ... 	 hotel amazing . we ' ve 3 day , satisfied . the location perfect near underground , park . we not like service reception , slowly make not understand talk about . but except stay hotel great . the breakfast good too . and would go back someday Melia . 
 Jun 27 2009 	 Attentive Staff Pleasant High End 4 Star 	 book White Melia Lastminute.com manage get amazing rate , around £ 100 3 night £ 200 double room . hotel 2 minute walk Great Portland Street Tube . location nice convenient , quite central also peaceful , Pret Manger , cosy pub grill close . soon friend arrive greet friendly helpful staff . swiftly give key room offer help luggage . reception staff pleasant smiley . lobby lovely , fresh flower marble floor comfortable seating area . room first floor , great decor hallway , walk maid busy work , also give we warm smile greet we . room typical size London , huge , ample , large desk good storage . television ( film order , although pretty expensive remember correctly ) refreshment ( tea , coffee , hot chocolate even shortbread go treat ! ) bed good size comfortable enough , bathroom nice toiletry , shower fantastic- powerful ( welcome change ! ) stock plenty towel . like minibar , perfectly stock fridge room . room service also available ( although not use either ) also bar restaurant hotel , not use , look nice ambient . the room clean regularly . check problem . only complaint ? free wifi . incur hefty charge . but overall good hotel comfortable stay . impressed , highly recommend would certainly visit ! also elevator pretty cool ! ( will know mean get ! ) 
 Jun 15 2009 	 dissapointment ! 	 stay White House 8 year ago great experience look forward recent stay . disappointed . main complaint cleanliness room : carpet awfully dirty , sheet stain , dust everywhere , safe AC work . service high quality anymore . agree previous reviewer state hotel go downhill . good thing hotel location within walk distance underground stop Regent 's Park . 
 Jun 12 2009 	 Faeces floor : everything break dirty 	 Wow - place go downhill . ' ve stay 3 time time horror . first room paint peel window , not shut roar bus deafen . mirror bathroom crack . next room ( stay ) plug bath 2 cm small plug hole , unusable ; powerpoint wall not work could not boil kettle charge phone ; hairdryer crack hot air come handle scalded hand pile dirt behind bathroom door . room small could not physically sit table . I make mistake use toilet lobby . faece floor . seriously ... also substantial amount dirt grime round edge floor . ' m clean freak revolt I . the queue check , check breakfast grow ever long . 30 people queue front breakfast method allocate seating slow . staff pretty curt . stay somewhere else ! ! 
 Jun 11 2009 	 love hotel 	 get great deal booking.com 200 2night hotel centrally locate circle line couple stop Victoria , Liverpool Paddington station . nice area pret manger , express tesco , regent park couple pub restaurant reception area really nice staff friendly . room small enough comfortable warm . lot channel tv , good powerful shower , tea coffee facility , iron , trouser presser , safe fluffy towel nice leisure centre , gym , coffee shop , bar restaurant extensive menu , try one night enjoy mealwe would stay , central , comfortable little bit away noise relax day Oxford St 
