ideal 	 many previous reviewer chronicle , staff , breakfast , afternoon wine cheese make Library Hotel special place worth bit extra cost big - box location . also appreciate central location * * fact , business district , much traffic street night . possible open window still sleep . rooftop bar lovely , busy happy hour . Grand Central around corner ; go uptown , downtown , crosstown ease . definitely return next nyc visit . 
 Nov 24 2009 	 new NY favorite ! 	 truly recommend Library Hotel anyone look perfect place stay visit ny . find hotel NY include WiFi , breakfast ( generous continental breakfast ) well cheese wine evening hard find Manhattan . ad extremely friendly service minded staff , great Mid Town location comfortable well design room make even well . ' ve stay small ( Single Petite Room ) well large ( Junior Suite ) room offer ; yes , petite room small place someone lot luggage big suitcase 's certainly cozy high quality design amenity large room . Junior King generious size place book luggage stay one night . recommend hotel everyone know . 
 Nov 23 2009 	 Solid Hotel 	 spend two night last week teh Library Hotel . NYC mix business / leisure . pick Library base upon research / review Trip Advisor . hotel good location corner 41st / Madison . room small .... NYC ! stay Junior Suite King Bed would pass standard room ( size ) U.S. City ( ... New York ) . decorate nicely . lobby small / cozy staff behind desk friendly accomodating . big plus ! drink late one evening rooftop bar . cozy nice . , staff great . would consider stay base staff , location , etc . one negative , open bar soap leave shower previous occupant . ironic thing occur last spring tribeca Grand Hotel NYC ! must part & quot ; Green & quot ; program part NYC hotel . 
 Nov 23 2009 	 definitely ` ` conference hotel '' make trip extra special 	 husband recently travel NYC 40th birthday , stay 4 night . Library Hotel fantastic ! first bonus staff helpful prior trip direction assistance good way get JFK LIbrary Hotel . suggest economical / convenient way , Airport Express Bus , absolutely right , $ 27 . round trip , bus right outside baggage claim 2 block away hotel . convenient easy . anyway , arrive hotel , tastefully decorate lobby , staff fun us discuss & quot ; themed & quot ; room base dewey decimal / literature theme . bell hop helpful get we situate . since special occasion birthday , greet we bottle champagne nice personalized card wish happy birthday . daily continental breakfast nightly wine cheese nice welcome respite hustle bustle explorte NYC . great location , Time Square , close distance major NYC site . would highly recommend quaint little hotel really make trip extra special ! 
 Nov 17 2009 	 lovely little hotel 	 staff exceptional . they profession friendly well extremely helpful . the room small expect . well appoint pleasant . location great . roof top bar pleasant surprise . deserve 's excellent rating . 
 Nov 16 2009 	 wonderful ! 	 beautiful stay new york think good place 
 Nov 15 2009 	 Oasis Calm Bustling City 	 first time Libary Hotel - stay 7 night business . upgrade queen sized room check - in nice touch - boost floor area 20 % make difference be stay week . read good review Tripadvisor make book ' m happy say good experience . particular trip NYC , stay Library Hotel immediateIy follow another 5 night stay Hilton Millenium downtown area due work demand . provide useful real time comparison boutique hotel versus premimum chain experience . hopefully review prove useful trying decide two , give broadly similar price point . straight point - Library Hotel beat Millenium Hilton hand multiple count - price , location , amenity , service , ambience . not want review turn complaint Hilton , let put way : take free breakfast , free wireless access ( indeed , wireless ) , bedroom slipper , bottled water unobstrusive doorman grant - Hilton want charge pretty penny one . Library gives freely leave business/ leisure traveller free concentrate whatever he/ want NYC . buy bottle water CVS Duane Read agenda good hotel . room rate Hilton good three figure sum high Library Hotel rate - let fair say price , managed get large room seem accidental mysteriously allocate one handicap - access . also healthclub within premise Hilton , NY Sports club way well gym 5 minute walk away Library Hotel . meeting Wall Street travel time principal concern , Hilton well since everything short walk away . say , Library Hotel 20 minute door door subway ride away Fulton stop near Wall Street decent , least much well location come work . personally like Library Hotel breakfast despite lack hot cook food reviewer point - not find full american breakfast particularly viable full workday ahead . sheer charm good service provide small staff Libary Hotel make return ' m next NYC - hopefully soon . 
 Nov 15 2009 	 great location wonderful staff 	 stay two evening great midtown hotel . locate near Grand Central make easy get anywhere ny . Stayed Almanacs - theme room ; great bathroom , quiet . nice breakfast , tea coffee available 24 hour reading room 2nd floor . wireless internet work room problem . staff helpful question . let we store luggage hotel check . would stay . 
 Nov 14 2009 	 Exemplary - boutique hotel ... 	 eighth trip NYC , first time stay Library Hotel . location convenient - literally 1 block away Grand Central Terminal NY Central Public Library . immediately upon enter lobby , one begin appreciate elegant decor . service : attitude , gracious . get room 7th floor - large ( NYC standard ) . room clean , turndown service prompt - housekeeping issue . 2nd floor public area welcome space ( , decorate like library ) continental breakfast also serve daily . also open 24hrs / day . rooftop bar lounge great place congregate , view local Manhattan skyscraper . Free Wi - Fi throughout property also ! free pass NY Sports Club offer we , since hotel not fitness facility - nice touch . sad leave boutique hotel . upside : service beyond call duty , great location , large room NYC standard , great rooftop bar & amp ; lounge , overall excellent value . downside ( minimal ) : street noise permeate wall low level room ( significantly ) . water pressure shower bit low . also , hotel entrance tad tough find first arrive , front desk not usb wire laptop ( fault forgetting bring one ) . 
 Nov 13 2009 	 Oasis City Jungle 	 staff extremely helpful freindly . upgrade Junior Suite King see size room good idea , prepay cost increase minimal Deluxe Room Queen . recommend extra pace room make much comfortable . level 2 reading room fantastic able get coffee whenever feel like make hotel feel homely . light sleeper maybe ask room away main road . we recommend Hotel enough deserve high rank 
 Nov 10 2009 	 underwhelme still good 	 stay 5 night . great location , esp first visit NYC . choose hotel mainly review read Trip Adviser . guess standard hotel must pretty low top 5 rank ! perfectly fine cost expectation let down . positive - helpful staff , small hotel feel part big process , decent room size ( assume NYC always small hotel room ) , help Tea , Coffee , biscuit fruit time ! cheese , wine etc good quality generous - help . good cleaning service nicely decorate room . newspaper lot book ! ! ! ! negative - breakfast whilst good quality , nothing cook . old day . wrong expect well breakfast option ? read room major selling point awful claustrophobic feel . one whilst seem enjoy , carpet make conversation stand , enough seat everyone busy Breakfast , light bright . know seem like moan hotel USP not maximise . use ground floor restaurant Breakfast . would really improve opinion . I suppose not believe offer value money still good hotel nothing compare NYC . may good compare competition . would not stay would probably stay tribeca area instead . 
