Crowne 	 Amazing hotel . posh pricey wonderful place brilliant view times square . 
 great short break 	 hotel ideal position visit major shopping centre , view get soon go reception door Times Square . we arrive Thursday 5.45pm trouble book queue , book break use point upgrade onto conceige room , corner room view central park distance Times square also include free breakfast save time money use conceige lounge day . the bed extremely comfortable surrounding pleasant . staff efficient parcel deliver hotel arrive keep safe . I would hesitate recommend hotel visit Crowne Plaza would hotel choice . 
 great place 	 nothing complain . great location , friendly staff . nice clean modern room . fantastic 
 fabulous staff great hotel location 	 trip surprise husband birthday , come mixed group set couple , two family child . we arrive soggy Saturday half term , greet large check queue , diminshe swiftly efficient friendly staff .Although room not ready not deter we experience action 1st ever visit NY . go walk arrive back 3.00pm queue check horrific everybody want collect thi key etc . queue dissapate , whilst wait speak lady name Vicky husband priority point , able use surprise , soon see name recognise call make 2 month early ! ! ! ! great service skill , impress even , remember bday treat , good thing ever happen upgrade we King size room overlook Times square . WOWThe hotel comfortable poeple already express view internet charge , drink food , agree , ny .. visit deli etc splash out . all staff always courteuous , helpfull excel area , request room extra pillow etc , meet expectation . I problem return home card use twice bill , apoligetic swiftly refund , thing happen everybody human . to finalise love location hotel simply brilliant , thank Leo always smile nothing much trouble , Teresa sort payment Vicky thank .. asset crowne plaza . 
 Nov 25 2009 	 amazing location ! 	 return short , whistlestop tour NMYC , stay Crowne Plaza . the location hotel could well right bustling heart midtown Manhatton . every amenity require right door step , lovely door step too . when arrive , book large room 4 people , tell room leave . could understand since book trip month ago , jiggle around problem resolve send room . good start , one expect establishment . the room lovely spacious , modern , fresh furnishing . bed comfortable ever sleep , linen pillow etc heavenly ! ahd hear room quite noisy , find disturbed point . downside find room terribly well appoint two people . 4 we share every day ask towel , wardrobe space minimal hanger . view also disappointing since face brick wall , fair barely room not matter bit . hotel facility nice . reception area , bar restaurant chic , lift plentiful efficient . make far gym , pool etc , sure would nice ! check procedure smooth , friendly efficient . all think top rate hotel , long two sharing room ! 
 Nov 23 2009 	 Great Hotel Unbeatable Location 	 First , location could well Times Square . right middle . about hotel , newly redo nice . 33rd floor overlook Times Square room clean modern . the complaint internet 19.50 per 24 hrs . parking run hotel hotel cost 88 dollar two day minivan nyc.the staff way friendly . for see New York , can not get well location . 
 Nov 18 2009 	 location ! 	 stay 4 night end October , busy time everything work . staff helpful friendly - especially barman ! stay 46th floor - concierge level - - ! location spot , close everything main stream entertainment front NYC . 
 Nov 17 2009 	 great hotel unbeatable location 	 stay hotel girlfriend ( fiancé ! ) surprise trip New York 30th birthday ( propose ) . much deliberation internet research pleased say make right choice stay Crowne Plaza Times Square . I initially little put hotel 's low trip advisor rank previous bad review however notice review improve recent multi million dollar refurbishment . rare say get one major complaint hotel , fact thing go wrong room not ready arrive ( 3hr wait ! ) compensate $ 100 voucher spend nice hotel bar ! ! ( broadway baby nice cocktail ) . also request non - feather pillow make book present room , hotel credit member staff bring replacement pillow within 5 minute make aware problem . the hotel feel clean modern , lobby impressive staff attentive . busy hotel mixture business people , couple family . always large number staff present luggage safely looked check . location one hotel main asset , right slap bang middle action make easy get from . the room adequate size , much size major city . nice big window decoration clean tasteful ( mark scuff ) . bathroom adequate size clean , shower reasonably powerful certainly power shower . bath shallow mean romantic bath . cleaning / maid staff professional seemingly trustworthy . tv problem hd channel not overly concerned . safe excellent come handy . suprise mini bar fridge coffee / tv maker . we room 38th floor , view pretty good window not really open properly mean room get little stuffy night . would advise asking room away elevator area get little noisy . nearly upgrade concierge floor budget would not quite allow , not hear anyone rave service floor ' m guess wise choice upgrade ( try get free upgrade due 3hr check ) .The main thing stick memory hotel comfy bed ! ! simply amazing ! ! good night sleep ever bed really shame leave behind . I would certainly recommend hotel friend would stay again . I hope find review useful . my word advice New York:1 ) plan ahead - much choice simply must decide 're visit be eat day2 ) get limo airport , travel bit style might get lucky like we get real New Yorker driver give guide tour . $ 60 compare aggressive yellow cab $ 50 ! ! 3 ) see Mamma Mia - first show ' ve ever , simply brilliant production4 ) eat 21 Club ( upstairs , brilliant waiter ) Gordon ramsay @ London5 ) prepare high price beer wine ( not think shop good unless ' ve get thousand spend 5th avenue6 ) , circumstance , dine Del Frisco 's Double Eagle Steakhouse ! absolutely hideous establishment ! 
 Nov 17 2009 	 really location 	 title say - great place stay want near centre thing . we first BA flight day Heathrow check early - 1 pm delay . great service receptionist give access Concierge Lounge 46th floor comp . breakfast Priority Club Platinum member - welcome . room 35th floor limited view Times Square great city - scape right Hudson river . bed probably comfortable ever sleep ( say lot use hotel 2/3 night per week ) . good sized room NYC usual facility . drink may seem little expensive Crowne Plaza right Times Square - plently choice around want something reasonable . can not comment food , breakfast great , eat elsewhere menu look ok . would stay - without doubt . my top tip trip - great lunchtime sandwich Emmet ' Lunneys Irish Pub Restaurant West 51st - two min away hotel Playwright ( Celtic Pub ) Bar Restaurant West 50th - one min away . sightseeing trip citysight NY good - book 2 day ' all Loops ' trip get chance see Upper Manhattan Brooklyn well usual downtown sight also give discount voucher ticket museum harbour cruise . have great time . 
 Nov 16 2009 	 great hotel great locationgreat staff 	 book Crowne Plaza Times Square 3 night stay friend shopping trip . staff friendly helpful . wsa problem check early room floor 22 noise Broadway . bed comfy safe excellent room operate credit card charge . room clean day , sheet / towel change . location ideal - broadway go 2 show , Mamma Mia Chicago . access internet free 10 min per day , $ 1 / min . could close google prior 10mins contact Leo ( Manager ) helful assisste remove extra $ 10 charge . also , allow we check late ( 2 pm ) flight later day . hotel comfy , homely feel would hesitate stay recommend hotel other . eat lunch express breakfast one morning . expensive everywhere Times Square . 
 Nov 13 2009 	 wish not leave ! 	 stay 37th floor view Hudson River . tall building round take breath away first have never see anything like , soon get use look everything city ' m home really miss . room lovely , comfortable twin bed ' ve ever experience . long day walk round city joy lie watch local news station rather large LCD Televison . not book breakfast deal , instead go one many local Deli 's buy fruit yogurt , etc eat leave morning . hotel staff meet really friendly accommodate ; use Concierge time help we - include ticket show ( day not want queue tkts hour ) . also use Left Luggage facility basement leave bag last day - tip require service . find location hotel perfect get everywhere - theatre short walk ; bus tour leave within couple block ; 5th Avenue 10 minute max ; Central Park 15 minute ; Macy 's Empire State Building 20 minute . would recommend tour bus - one ' hop hop ' handy shopping - die hard shopper not MISS Century 21 beside Ground Zero good bargain , ask Macy 's store 's visitor discount card . also go Party Shuttle Tour informative take we Staten Island back . would love visit New York would definitely make Crowne Plaza first choice . 
 Nov 10 2009 	 great location nice experience 	 first time , usually stay Westin Times Square , want try new place friend never NY . location perfect want ( shopping , Today Show , Broadway Show , etc . ) breakfast great addition - line long move fairly quickly . room room , bathroom single large sink lot countertop space - great showerhead . would definitely stay . 
 Nov 8 2009 	 fabulous central location would price range not loyalty point 	 would recommend rich friend someone save loyalty point Crowne Plaza / Holiday Inn . visit New York female friend shopping weekend New York . service quite interesting - sure look like usual guest receptionist 's service little bizarre first . receptionist 's attitude change well realise loyalty point English . beautiful twin room ( two double bed ) think 20th floor overlook Times Square . lift fast almost dizzying . could not believe pay WiFi usualy hotel ' ve stay USA . sample cocktail evening bar soon decide move cocktail great . good though make we sample delight NY offer outside hotel . know hotel sport facility , swimming pool , restaurant etc not time try shop main aim . 
 Nov 7 2009 	 Loved hotel ! ! 	 two sister husband stay hotel 2 night ( Oct 11 - 13/09 ) pre - cruise . arrive hotel 7 pm one person line - up we . check - in staff courteous fast . ask high floor room get 3 room 30th floor spacious , divan sofa flatscreen tv . room close elevator not hear noise . also corner room 2 window : one window face Times Square . light outside not bother we window covering adequate . king size bed comfortable , wish could take home . room key provide access business centre & amp ; allow 10 min free internet use per day . access internet , need swipe credit card , would charge 1st 10 min use . please make sure log properly get print - out usage , otherwise minute would keep tick away may end big charge credit card . log , print - out show owe $ 150 . immediately complain front desk provide tel # call customer service staff agree reverse charge . turn print - out guest use internet good favor , complain behalf . tell hotel fully book stay yet not find anything lack service . 2 staff working concierge desk not wait 2 minute speak one ask map , direction restaurant recommendation call car service pick - up ready leave hotel . check early use left - luggage facility ground floor . buffet breakfast restaurant food selection service awesome . really nice start day good breakfast . buy 2 - day NY pass walk attraction except need go financial district walk tour take ferry visit Statue Liberty . also join midtown & quot ; Food Foot & quot ; tour turn 9th Ave ( 43rd 53rd ) cheap yummiest eatery . we great time NYC major reason enjoy stay Crowne Plaza Times Square . definitely return hotel next visit . 
