Great 	 husband two teenager stay Hilton Islington November 20 - 26 . arrive hotel 10:00 a.m. room not ready 1:00 p.m. hotel staff everything possible make we feel comfortable . reserve double room husband twin room kid . son come Swansea stay twin room kid not crowded . room clean plenty room get around . question every day concierge helpful . 
 Oct 12 2009 	 good location good room good staff 	 stay hotel weekend would come friend wed . get early find we room could go straight away . room reasonable size , huge crowded either . bathroom good size bed comfy . situate Upper Street , five minute walk Angel Tubse station , really good location . breakfast buffet affair almost everything could want . bread , cereal , pastry , full english . coffee weak little chaotic not rush we nice . they even let we check late not charge we priveledge , always worth ask ! would go back hotel definitely worth look special offer , cheap ! 
 oct 2 2009 	 high expection 	 stay hilton back march ( get around review ) . remember , oh book hotwire get good deal . while lobby , bar , leisure etc fantastic , feel room bit shabby ... smell past smoker .. pet hate mine . also , housekeeping keep try come room every morning , despite disturb sign door .. another pet hate . location good - knew . would recommend get & quot ; deal & quot ; do not think i d book rate hilton site . 
 Sep 15 2009 	 Great Hotel 	 read review travel think possible . 's good true , agree every word . room nice service good , breakfast good get good value money . 
 Sep 13 2009 	 one good 	 start , say love chain hotel . I travel London business every week last 5 year stay Hilton hotel . I need luxury 5 star often disappointing generally find good four star hotel well . I idea hotel radar always lookout good deal . yes hotel modern , get space money London . staff exceptionally kind , never hotel anywhere world staff smile much , credit Manager suitably reward . I basic room large London , rear hotel make exceptionally quiet central London could complain thing . breakfast usual Hilton good quality Pawel run outstanding efficiency , wish could employ company . for visitor want add , Islington seriously cool highly fashionable London . there load restaurant bar area ' the place ' see see London , would probably suit young crowd . the whole hotel immaculate staff fabulous , book . 
 Sep 8 2009 	 excellent clean efficient hotel brilliant location ! 	 stay Hilton Islington girlfriend day begin September . staff hotel brilliant , super friendly knowledgable recommend brillitan chinese restaurant street . hotel situate upper street plenty restaurant , bar , shop cafe do not fancy take tube / taxi evening . find good thing hotel . room spotless big however hilton extra incredibly expensive . tube station ' Angel ' 5min walk mean sightseeing easy . 
 Aug 27 2009 	 always wonderful stay Hilton Islington 	 stay Hilton , Islington twice occasion impressed standard & amp ; service hotel . room good size , staff efficient pleasant . worried trip give first room reception thought might small & amp ; noisy , room excellent every respect . hotel ideally situate Upper St , around corner Angel tube station . usually stay attend match emirate perfect ! 
 Aug 26 2009 	 Great Hotel Decent Location 	 daughter stay Hilton Islington last week four night . also get two one deal make fantastic place stay . room large ( ish ) air conditioning work great , nice bathroom . Islington great area ton cute restaurant , pub shop . full breakfast buffet include room rate . Heathrow take Picadilly Line king cross transfered Northern Line Angel . hotel minute walk Angel tube stop . drawback hotel northern line not convenient line . take we least 45 minute , usually hour get around town . change train least get anywhere . not necessarily bad thing , rate pay make worth . would definitely consider staying could get similar rate . 
 Aug 19 2009 	 Bargain stay ! 	 great hotel nice area close centre stone throw Angel tube . get good deal Hilton.com book 2 night price 1 . plesantly shock discover also include full breakfast every morning stay ! bonus ! hotel clean receptionist helpful check quick . hope visit hotel near future . 
 Aug 12 2009 	 Excellent hotel short stay 	 book hotel reading reviews Trip Advisor . get great deal 2 night stay price 1 include breakfast . arrival check quickly allocate Club King room 4th floor . surpass expectation deal double room . hotel staff friendly helpful . would stay could get another good deal .................... 
 Aug 10 2009 	 good location .... shame windows 	 Excellent customer service minute arrive minute leave - Front Desk , Housekeeping , Restaurant Staff : complaint . good location restaurant pub , bar coffee shop ! excellent spot catch bus virtually anywhere mainline rail network . problem faulty bedroom window break ( report ) - mean use air conditioning time - environmentally conscious time shame - even though window double glazed cut noise , feel claustrauphobic never able open window ( four day stay ) . 
 Aug 4 2009 	 cheapish average hotel . nice area far city 	 Islington certainly pleasant part London . lot restaurant , feel fairly safe . short taxi trip away city . would prefer take tube ( 5 min walk ) you re rely northern line work , like pass Anget tube station Islington . the hotel lobby area certainly 4 star . unlike 4 star hotel rather opt minibar instead vend machine exit lift floor . floor different machine . floor beer , small bottle wine , mini spirit bottle sticky - tape mini coke can , well toothbrush , razor etc . interesting idea would expect Hilton . vend machine short walk room rather date stale smell corridor . I ' king ' room ( standard room sell ) . king size bed decent sized flat screen tv . single - seater lounge chair corner , large unused area . guess area would good pilate yoga . can not work do not put large sofa . luckily . guest would sit ? hmm . they supply bottled water , nice , 4 pound bottle give miss . here hint - water cheap vending machine . the room clean . however two separate occasion clean leave rubber glove bathroom sink . one towel must previous life one smoking room . I use iron , leak dirty water onto business shirt . certainly be not first time happen hotel spare shirt be not worried ... think hotel iron get drop quite often , can not really blame hotel . the lighting room quite dim . think switch compact fluoros cust cost & amp ; save planet . probably make mistake newbie make , believe label say & quot ; 8W equivalent 60w incandescent & quot ; , course bollock ( use lingo ) . trouble read dim room ( ) , either sit desk use desk lamp , bring decent torch . internet be not cheap 15 pound day . you re stay two day here tip - pop local & quot ; 3 & quot ; mobile shop buy prepay mobile broadband dongle 29 pound . gig download valid 30 day cost 10 pound . my room key stop work twice . go lobby reprogramme fine . tip , do not risk go vend machine PJ 's case can not get back go lobby . sorry negative . even thing say bed comfortable , curtain block light well , room certainly fairly big London standard . would stay ? maybe . London hotel price hard find , beggar can not chooser . 
 Aug 3 2009 	 Hilton Islington 	 spend two night stay Hilton , Islington , London convenient course husband attend City . check find room comfortable clean . staff really helpful throughout stay position hotel ideal sightseeing within walk distance tube . I admit , usually hate chain hotel seem world wide , warm welcome staff Hilton make stay enjoyable , staff attentive without bothersome . dinner hotel night , food well expect quite reasonable price wise . book last minute deal would certainly go back stay , spend time London . criticism £ 15 per day fee internet use bedroom . wi fi attach usb cable laptop , mean one we could use computer time . 
