Nov 	 not want check ... 	 perfectly situated , reasonably price comfortable apartment ? ! ? gem . back ! 
 Nov 18 2009 	 outstanding facility comfortable everything service could warm . 	 stay one night business . room 16th floor ( right across elevator , noise issue night -- kind wonder big deal Silver Level hotel 's program get right across elevator so - so view ) . great work space , plenty strong lighting , easy electrical access , easy use ( t - mobile ) wireless . terrific tv ( flat , huge , swivel ) . well - stock mini - bar . well - design closet , generous sized bathroom nice design level quality furnishing . shower pressure excellent . speaker phone loo ... little odd . bed extremely comfortable -- extremely . room service dinner . hamburger cook medium -- not like bright pink , go medium well . fine size portion average quality . breakfast fine . fast service . order basic ( oatmeal toast -- well oatmeal toast ever ; might sound underwhelming , order see ) .Had box deliver , room service deliver , restaurant breakfast , counter check , doorman hail taxi . doorman helpful luggage make sure know go . everyone else efficient pretty business - like , contrast Sofitel Manhattan , everyone friendly welcoming . little disappointing . still , would stay , business pleasure . 
 Nov 12 2009 	 Pretty Decent 	 stay 3 night across weekend 23 Oct part honeymoon . Thos hotel everyhte want expect be . friendly efficient check staff & amp ; Bell Boys . clean , modern room view - onthe 27th floor . attentive service ( tell honeymoon advance get free strawberry dip chocolate . good location close Mag mile 1 block subway want go loop Chicago pleasure walk around . do not eat inthe hotel plenty option close by . one grip would kept awake noisy machanical sound number night go constently - could lift likely air con unit onthe roof ( room air con switch ) . quite annoying otherwise ver pleasent stay . 
 Nov 9 2009 	 Excellent trip 	 trip excellent . room clean , bed super comfortable . the hotel staff professional take care every need . taxi wait street need one provide suggestion and/or walking route need . complaint room little small expected . hotel also close Rush St. lot good restuarant like Mike Ditka 's Restaurant Original Pancake House . 
 Nov 7 2009 	 Comfortable 	 come Chicago business need somewhere comfortable hassle free . hotel meet need would recommend business leisure . hotel north main business district , start Mag Mile , well place shop Hancock Tower . room big , comfortable bed flat screen tv . view great . bathroom modern clean white fluffy towel Occitane toiletry . ask change 11th 21st floor get well view request accommodate . breakfast good . buffet - everything la carte . breakfast expensive side - US $ 16 bagel , coffee orange , great diner literally one minute 's walk away ( Tempo ) popular local want experience something authentic . breakfast room bar ground level seem shame give great view high . pool gym . also free internet access level 2 . good buzz evening bar wide range cocktail . , comfortable place stay safe neighbourhood , well place shop transport . 
 Nov 3 2009 	 Great Hotel right Magnificent Mile ! 	 lucke get half room . hotel great location walk subway ( El ) , Magnificent Mile . also Hancock Tower couple block away , right Magnificent Mile . service excellent , complaint stay ! stay , get great service great location , guarantee ! extra note , walk front door take right , be great breakfast place call Tempo Cafe ! 
 Oct 26 2009 	 totally awesome . 	 Chicago fabulous , decide stay day conference end , wound Sofitel due review special price sofitel offering . good decision possible . First Sofitel room exquisitely comfortable , perfect bed , pillow , robe , slipper , lot storage clothe impedimenta , gorgeous bath tub separate shower stall great shower head . modern decor surprisingly warm spacious - feeling , much nice & quot ; person & quot ; internet photo suggest . lobby common area quite nice . restaurant rather expensive even Chicago standard ( e.g. , $ 18 turkey sandwich ) quality breakfast meal belgian waffle ( $ 16 pp include choice juice ) french - press coffee nice , present serve perfectly . nice extra : sofitel room safe large enough widescreen laptop kitty - corner . widescreen TV LG , loss perspective , i.e. , picture not oddly stretch . free computer access available 2nd 3rd floor . front desk , door , bellman , housekeeping service impeccable . room overlook western part city , not terribly inspiring , high - floor location improve appreciate . location edge Mag Mile Gold Coast , close Water Tower Hancock Tower ( 2 block ) 's easy catch bus . Chicago Metra station relatively close . 's convenient Loop area be town theater , fabulous restaurant nearby , Grand Lux Cafe Quartinos , along E. Ontario St , Trader Joe 's need basic grocery . starbuck 3 minute walk away Chestnut St close Mag Mile . across street Ing Bank cafe -- - not buy anything , lot people load inexpensive coffee pastry morning . conclusion : hotel totally awesome . stay will spoil life hotel few amenity luxury . 
 Oct 26 2009 	 great hotel ... minor quibble 	 second stay Sofitel , first one - night stay late 2007 . time , five night . love hotel . become connoisseur hotel late , couple minor thing prevent give Sofitel Water Tower 5 star . let start good stuff ... * super comfortable bed . * Great Bose alarm clock . * robe slipper provide . * excellent gym hotel . People note gym small ... ' ve stay lot hotel pretty good hotel gym . 6 7 treadmill . three cros - trainer . least one exercise bike . lot free weight weight machine . also , gym free , unlike Sheraton pay . * lovely little bar . even live Chicago , would come martinis cocktail . really like vibe . * super clean . one thing tend notice hotel wear tear wall carpet . room pristine . gym wall pristine well . facility really job . * great Aveda bath product . * free coffee croissant a.m. one seem mention , 's cafe . ( unless suppose pay not realize . ) first morning , ask tea say yes , kind . ask mint tea minute later bring pot real fresh mint tea . awesome . good croissant . * lastly -- might sound silly -- baguette breakfast fantastic . live London spend lot time France , eat lot baguette . Sofitel 's baguette breakfast amazingly crunchy outside , yet right amount soft inside . ask make site , . , main thing prevent slam - dunk lack free wireless . even get free 10 hour something , would give five star . fact buy t - mobile package really annoying . minor quibble consistency housekeeping . one night , turndown service , not leave bottled water . regular morning service , one day , forgot replace bath product not conditioner leave . also , ' m sucker lie beauty product towel sink -- see lot high end hotel -- not . short , not five - star housekeeping . although good clean . ... really can not go wrong . constructive comment really aim whoever read hotel kick thing notch ! 
 Oct 25 2009 	 experience 	 time one ' life know experience extraordinary . travel companion venture Windy City weekend entertainment , socialize relaxation impressed top shelf treatment receive Softiel Chicago Water Tower . seamless transition begin curbside luggage service prompt , courteous room service execute staff well train hospitality . hotel employee take special interest weekend plan . especially remember Vera Paula pleasant helpful . addition , Chef Martial Noguier prepare delectable menu vegetarian dish accommodate dietary choice . ' Chicago , experience . 
 Oct 24 2009 	 Lovely Place so - so value 	 five night stay . location great upper end Mag Mile madness two block , nicely quiet . build impressive outside , inside interesting ( daring ) . front desk staff pleasant , concierge staff helpful . 16th floor room great city view . room still feel new we clean . bathroom big nice separate shower tub ( though deep ) . housekeeper always friendly try hard please . it lovely place , agree previous reviewer expect bit ' wow ' guess , base glow review . know hotel especially expensive large city , feel though price room small , much contact anyone really staff anyway average ? also pay wifi ; pool . travel be usually almost day part night see city / location anyway , time spend room usually minimal . Lesson learn ... . ( FYI , know Drake Palmer House less rating , lobby alone would worth try stay seem . ) 
 Oct 24 2009 	 great location 	 stay Sofitel weekend getaway . primary reason choose Sofitel location , disappoint . short walk Hancock build Rush Street expect . bell staff also extremely courteous helpful . though tad small , room good view , wifi connect easily . bed comfortable , bathroom huge . also quiet , make sleep easy . would definitely stay , location hard beat . the negative book Orbitz , staff reservation system check . able quickly locate , however , fair , confirm reservation prior arrival . 
