great 	 apart amazing location , hotel charge lot , great experience . everything , mean everything , cost extra . check peasant experience hit large bill 
 good NY hotel experience date 	 spend 2 night mid - Nov , business . hotel conveniently locate , far 5th avenue , close main attraction popular mainstream shop . staff reasonably friendly , helpful professional . hotel ' feel big , nice . like many NY big city hotel , public area salubrious comfortable , unusually also charm character . ' chance visit hotel gym . my room large , well maintain clean , decorate non - offensive slightly bland corporate style . bathroom large , spacious modern , fit good standard . bed comfortable , room well sound insulated . overall , good , functional , business hotel room . however , another reviewer comment , would describe luxury hotel . overall , definitely one good hotel experience NY , usd 400 / night . 
 Nov 20 2009 	 hotel remain great - except club floor 	 6th visit NYP continue impress - big , clean room , wonderful bed , excellent staff , great gym ( complimentary kit ) fabulous location midtown business good shop . the real disappointment reduction service club floor . reduce opening hour close 8 pm drastically reduce offer . day evening get little glass wine peanut - massive downgrade . shame - rip ! breakfast remain excellent . 
 Nov 16 2009 	 Best New York - magical feeling 	 stay NYP twice ' m go Dec year also . good hotel New York . location perfect ( 5th avenue ) full character . Christmas period , old building decorate gorgeous white christmas light , giant Christmas tree courtyard spectacular . family stay executive room every time , executive lounge miss ! get various meal snack throughout day ( personal favourite beef wellington ! ) refreshment always available . leisure centre hotel provide good standard hotel . GILT bar amazing , great cocktail food amazing ( two michelin star think ? ! ) reccomend hotel . favourite hotel favourite city world .... must see Christmas ! 
 Nov 11 2009 	 everything extra good location 	 stay 35 floor , friend great corner room view room look onto brick wall skyscraper next door disappointing could put not intend staying room long . order pot tea horror cost $ 25 . everything extra people go local coffee shop buy morning coffee rather use hotel restuarant - lesson management . comfortable room , pleasent staff great location near Central PArk mid town shopping district . expensive well vlaue elsewhere States . 
 Nov 10 2009 	 Perfect Palace 	 return New York Palace whenever visit city . staff friendly go way help . stay executive room [ 39th floor ] convenient lounge incredibly quiet . palace minute away great shopping dining make perfect location . Gilt never fail impress year different , book early ensure table . 
 Nov 9 2009 	 everything personal luxury 	 let us get something straight : luxury hotel . huge 3 star hotel great location . view high room wonderful , room good size . however come new york luxury , good food , great service , little extra touch , definitively place . be prepared pay reservation room view . ( 35 37 $ per night . tell check , not option ) .concierge recommendation average good , quite often seem favor easiest . 
 Nov 8 2009 	 nice hotel ' wow factor ' we 	 stay last three night honeymoon . arrive quite late inernal flight San Francisco greet friendly man check tell we upgrade room 20th floor view St Patrick 's . bellman help we room explain everything hotel way room nice touch . room big everything expect standard hotel . bed huge comfortable indeed . bathroom standard opinion -nothe special . tap sink leak almost impossible shower without get floor wet - not really expect kind thing hotel like . Turndown service seem bit hit miss , first night one side bed make , second night seem miss service together final night fine . comfortable stay appreciate online check boarding pass facility provide . not use hotel facility . look breakfast menu decide $ 40 dollar breakfast astronomical go Starbucks road instead . drink look pricey many option available us area not bother drink hotel . one thing notice think really good fitness centre would lend fitness kit , include trainer not brought - see anywhere else nice touch think . good thing place definitely 's location . walk Central Park Times Square easily , Rockerfella road 's one minute Fifth Avenue . view St Patricks great well . however , room , facility etc pretty standard kind hotel ' m quite sure place get rave review - expect something extra special give five star rating be recieve . generally give five star somewhere exceed expectation . not get wrong , be great place stay good hotel have pay quite lot room expect .. 
 Nov 8 2009 	 incredible hotel fantastic location 	 visit New York first time wife celebrate birthday , decide spend bit extra stay 4 night . arrival ask great view - give room king bed 26th floor overlook St Patrick 's Cathedral , look way 51st St 5th Ave . everything hotel great - helpful service , great concierge , quiet ( not recall actually hear another person floor night ) - oozed grandness . food expensive , expect ? make mistake lunch first day - v pricey , get advice concierge . breakfast New York Luncheonette short walk away fantastic - pancake , bacon maple syrup coffee . great , pricey . location wise hotel great spot , right next Rockafellar , Madison Ave , everywhere seem moment walk away . also , want splurge , Gilt - 2 Michelin star restaurant onsite incredible - try amazing range tea . review say similar thing will not go - take we place great every way exactly need return frantic day Time Square hustle bustle Chinatown . one tip - good burger ever Burger Joint - go Le Parker Meridien Hotel near central park - identify neon sign next reception , second none . oh not bother Empire State Building - Top Rock Rockafellar queue , less people , cheap good view city ( plus actually get Empire State Building shoot ) ... 
 Nov 7 2009 	 xxx 	 Adequate , NYC v ery expensive hotel relative Europe . V Good bring kruggerland ! Peter 
 Nov 6 2009 	 NEW YORK -stay ! ! ! ! ! ! ! ! ! ! 	 first visit NYC pick hotel good review position Central Park husband run marathon . dissapointe . staf come contact freindly helpfull . upgrade room 27th floor give we spectacular view st patrick cathedral . room huge luxurious every amenity could wish . robe , safe , slipper , umbrella , toiletry , control panel bed room electric . bed huge comfortable ever , even . pillow deal wonderful night sleep . hear bit road noise say emergency vehicle noise , can not really help . free airline check desk boarding pass printer nice touch make ting lot easy . postion brilliant 5th Avenue time square central park mere 10 min away either direction . cristism would cost food drink hotel , suppose normal city 5 * though . husband order plate egg toast 3.30am marathon day . promptly arrive smile waiter face . charge $ 34 though ! ! combat ar 2 starbuck eitherside hotel do not mind walk thru reception . also , Genes coffee shop 60th street must fantastic authentic NYC breakfast mere $ 8 everything imagine plus refill . would recommend nyc sightseeing tour first timer get orientate . but , def stay , will not regret . 
 Nov 4 2009 	 Excellent count 	 clean , quiet , upmarket hotel efficient friendly staff excellent location . the comfortable hotel bed ever sleep ! ! 
