great 	 hotel gem . like small hotel attentive service , place ! whole staff nice , polite , smile time , front desk housekeeper , breakfst staff etc . Breakfast include good , include good coffee . room clean bit small . but care , NY visit shop , stay room ! location perfect , litterally 2 block Penn station , Macy 's , Empire State building etc . even walk way Times Square , Broadway central park ( need time however ! ) go back recommend anytime ! price make even attractive : app . 250 $ US room 2 double bed ) . 
 Nov 8 2009 	 sleep not important hotel . 	 generally travel NY Broadway stay within 40th 50th near Times Square . want try something different , choose head little south . location fine . hotel . show , cocktail time Times Square , return room 1:15 blaring Latin Jazz band directly underneath window . apparently every Friday night . request room change , would not . lobby another man come complain child try sleep . nothing . finally call front desk demand full refund . give credit honoring ; stay free . would rather pay good night sleep . would recommend hotel anyone . 
 Nov 6 2009 	 find gem New York City ! ! 	 travel South Africa book on - line ( know be post net always reality ! ! ) need let future traveller New York know ... find gem ! ! ! hotel block Time Square , really well price include good complimentary breakfast give great start day . room good size New York , modern spotless , marble bathroom include bath shower . free internet could update Facebook let know back home experience NY overall hotel add whole fantastic experience New York ..... 
 Oct 31 2009 	 Noisy Noisy NOISY Noisy hotel 	 please stay Wingate - unfortunately , one company 's prefer hotel second attempt ( preferred option book ) stay hotel last . book , request quiet room previous experience teach get room overlook street garbage truck literally roll street night noise incredible . arrive tell room front hotel - although reassure 18th floor - would not noisy . experience last time tell incorrect statement . request room back give double look bit dusty unloved . inform halloween party night could noisy - prepare noise ridiculous - full club boom room . ask move - ' full ' . inform party would go 4 am . 24 hour sleep . go leave . 
 Oct 21 2009 	 clean 	 nice hotel . staff help check friendly . guess room not ready yet wait bit 30min wait good coz end upgrade we clean air room refrigerator . microwave though . 22 floor noise issue . king bed big enough family 5 . room little small though much room big luggage . place close major attraction . walk timesquare , macy 's empire state building . breakfast free us continental . internet free . u forget privacy notice door clean room immaculately . 
 Oct 21 2009 	 Repeat customer 	 stay hotel attend event garment district . hotel easy find Penn Station . elegant yet unpretentious . big . believe 18 floor 6 room per floor . stay next time go NYC , stay whenever . be look decent hotel nice room easy access Penn Station , one great . 
 Oct 19 2009 	 great location wonderful staff 	 pick hotel purely 's location Times Square Madison Square Garden . easy walk subway easy get around . interior hotel newly renovate nice . everyone encounter staff helpful friendly . would easily recommend hotel anyone look forward stay next trip NYC . 
 oct 9 2009 	 would recommend hotel 	 upon arrival greet politely since room not ready check bag we could go lunch . room clean bed comfortable . serve hot breakfast morning good . price location , would highly recommend hotel ; stay next trip NYC ! 
 Oct 8 2009 	 New York City 	 New York City , April 2009my husband finally make New York City Spring wonderful trip . stay Wyndham Midtown clean convenient attraction . 's rehabbe place bedding & amp ; carpet new . continental breakfast include stay & amp ; little patio back . bathroom spacious unusual NYC . fly JFK St. Louis ( Lambert ) take A - train & amp ; subway Penn Station . walk hotel . hop hop bus perfect first two day . view top amazing . use Metro Card subway pretty easy use . spend one day Ellis Island & amp ; purchase ferry ticket online advance . get last minute Letterman ticket , highlight trip Broadway show & quot ; Blithe Spirit & quot ; feature Angela Lansbury . food Dallas Bar - b - que Times Square delicious & amp ; inexpensive . 's fun place visit , , wear good walk shoe stop & amp ; pick map Visitor Center arrive . 
 oct 8 2009 	 Great Value ! 	 Good Location- close subway , manhattan attractionsmany free extra : WIFI , HOT BreakfastGreat Bar Lobby ! 
 Sep 29 2009 	 great location 	 location hotel really great . be within block Penn Station & amp ; Macy 's , walk distance Times Square & amp ; Empire State Building & amp ; decent restaurant . hotel clean , although bathroom slight smell mildew & amp ; minor mold grow shower . love microwave & amp ; refrigerator & amp ; breakfast spread really good . Eggs & amp ; kind meat ( either sausage bacon ) variety pastry & amp ; bread ( bagel , english muffin & amp ; slice bread ) & amp ; waffle , along cereal & amp ; yogurt & amp ; fruit . complaint come breakfast 9 a.m. , slim picking bread & amp ; waffle mix usually go . sister & amp ; would definitely stay ! oh yes , Sacia front desk helpful & amp ; friendly . ' ve read complaint hotel noisy , everything make noise minimal , offer earplug & amp ; white noise machine room . 1105 ( away street ) not hear street noise . air conditioner bit noisy , be expect . 
 Sep 29 2009 	 wonderful experience 	 stay Wingate last week 7 day . travel wife teenager son . great stay . room ( two dbl conf . bed ) 16th floor quiet clean . the room , location ( close 34th str . subway station -1,2,3 a - e lines- , Penn Station Port Authority Path Train ) overall service excellent . check - in check easy fast . room clean , LCD TV , safe hold laptop , free internet , continental breakfast , iron ironing table , umbrella good thinking . also bed big enough two people , microwave fridge daily newspaper ( USA Today - in week day ) deliver room . I definitely stay next visit city . 
 Sep 9 2009 	 great location mid - town excellent hotel value 	 find highly rate hotel trip advisor book several month advance take advantage special . location excellent , short walk shop ( Macy be around corner ) Times Square Hell 's Kitchen restaurant . easy access Penn Station direct connect train EWR Newark AirportExtensive breakfast include three we . highly recommend hotel 
 Sep 8 2009 	 ? ? ? hotel ? ? ? 	 read andrews post really question hotel . stay Wingate last october love much travel back next month October 9th 5 night . hotel lovely .. staff helpful .. location perfect we spend LOT time Macy 's . get complimentary breakfast , great set day shopping . 4 we share double double room plenty room ( would load not buy half new york ) . can not wait return NY stay Wingate . 
 Aug 31 2009 	 rat motel 	 motel awful , hole wall rat everywhere recommend 
 Aug 23 2009 	 wonderful experience 	 imagine stay anywhere else . staff courteous , helpful friendly . room , location overall service excellent . one complaint . 
 Aug 20 2009 	 Family fun New York City 	 recently stay Wingate August 11 12 13 , 2009 . family visit NYC . staff friendly , professional , knowledgeable seem always ready help . room nice clean . microwave fridge room handy . breakfast awesome morning staff always greet we good morning nice day . make vacation much nice . able communicate electronically via 2 pc locate 2nd floor . nice ambiance . thoroughly enjoy stay NYC would gladly recommend hotel . MLOttawa , Canada 
 Jul 30 2009 	 great service great room 	 stay group 9 people , range 3yrs old 57yr old . book hotels.com day obtain room $ 165 / night tax include . wrap vacation RV call hotel concierge ask assistance find parking lot Manhattan could accommodate 30foot long RV . concierge extremely helpful , call various place find we place 12 block away . everyone hotel friendly & amp ; serviceable . room small , large NYC room ' ve stay . importantly room clean , bed super comfortable , bathroom clean modern though shower , large shower . breakfast good , one good omelet . location great go uptown downtown . overall , expect something mediocre price turn good experience . 
 Jul 29 2009 	 great stay Sacia front desk extremely helpful ! 	 stay Wingate last week . travel husband two teenager . great stay . room quiet clean . find Sacia helpful front desk . always friendly ready help we . love NYC would stay Wingate . 
 Jul 28 2009 	 give bad room hotel even though book 7 month ago 	 fly back Honeymoon Mexico Europe decide stay NY clothe shop . book hotel close wife favourite shop ( Macys ) , review good aroun $ 100 per night cheap simialr hotel . arrive pretty tired 5 hour flight . front desk quite receptionist mess pc need 5 min button clicking could say hello . give room 205 . room pretty small , bathroom strange , like walkin shower plastic seat . toilet seat fix bit hard sit still toilet ! tv wall side near pillow make hard 2 people watch bed . bed sheet sort plastic material inside ? ? realise room disable people . around 8 pm , disco start outside . music loud people chat scream even louder . lie awake 1 ask front desk room change . book room Dec 08 think entitle well room . later hear many people complain noise overheard receptionist say hotel overbooke try sort . front desk not seem interested question . certainly near friendly Affinia 50 stay last year . give room change next day room front hotel . room much nicer much big ( although expect disabled room bigger small ) . tv end bed , bed comfortable big , bathroom nice although toilet seat not fix could live . earplug room not sure .... 10 pm trash lorry company start work . fairly noisy could sleep . give second room start , would gave hotel 7/10 1st room bad book early leave we sour taste . many hotel area would quieter , would check first . can not comment breakfast . get sleep late due noise breakfast finish 9 go ticktock dinner 8th ... fantastic ! ! 
 Jul 27 2009 	 Great Location - Worth stay ! 	 husband , 2 teenager ( age 16 18 ) stay Wingate 3 nite last week . great experience . staff check - in check - out nice . room ready show 1 pm . breakfast great ( well get way 9 picking slim ! ) room nice , roomy quite . 16th floor back side building think help lack street noise . come dark night feel scared walk street back hotel . block two away Macys flagship store Herald Square 10 15 minute walk Time Square . go back NYC , will definitely stay Wingate ! 
 Jul 17 2009 	 Use ear plug compare rate 	 arrive exhausted night get room . immediately , first impression huge amount noise party bar downstairs . inform room use earplug . next day move quieter room . well already tired night without sleep . the rate almost $ 250 colleague book phone . book line would $ 195 . careful not pay need hotel value . day find well property New York reasonable price . suppose budget hotel . garbage can front entrance make particularly unappeale amenity include breakfast internet access . staff friendly . 
 Jul 16 2009 	 Nice Clean Hotel Good Location Next Penn Station 	 look many hotel site booking . hear bed bug problem place NY . also need something affordable could get uptown downtown easily . wingate place . room clean , LCD TV , safe hold laptop , free internet , continental breakfast . not hear outside noise like one review say . part migth tired would get back room . exhausted everytime come back hotel NYC , really waste time city . also , little & quot ; radio & quot ; turn listen ocean , bird , 5 6 & quot ; nature & quot ; noise . breakfast amazing , good enough & quot ; free & quot ; hot item like sausage egg , ham , bacon waffle . elevator fast . know hotel NY past , trouble slow elevator . read another review provide clean towel . Everytime come back room leave morning , clean towel , linen , bed make , problem . want save money , want nice hotel good location , definitely . oh , mention room nice size plenty space hotel NYC rate . 
 Jul 13 2009 	 Nice Hotel Money Great Location 	 hotel tastefully decorate , clean , comfortable hotel . room standard two double bed room closet , small bathroom , window end . view less spectacular , however top floor ( 18th ) could see street , build across we . staff nice , greet we walk door , answer question politely , guy breakfast room quickly replenish thing need . hotel update modern nice furnishing modern decor . location also good . although & quot ; main & quot ; street , 5 - 8 block away Times Square , 3 block Macy 's , 2 block near subway station . overall , hotel nice money adequate weekend New York . not recommend hotel look spend lot time hotel , not lot lot amenity , however take trip see sight NYC want clean , comfortable , modern hotel good location , excellent pick . 
 Jul 9 2009 	 apartment maid 	 arrive 3 hour early check hotel ' problem check we . staff ' pleasant check , ' rude either . room double queen room nothing special . normal hotel room , clean , bed one step stone slate A / c sound like small plane , cold ' count . view , ' matter ' room much anyway . flat screen tv , cold frig safe . overall hotel clean neat nothing ordinate . reason say ' like apartment staff ' really care . hotel ' hospitability desk help find thing give advice . kind come go please . hotel locate two city ' main Subway hub 34th ST street Macy Empire State bldg . planning go anywhere else prepare walk . ' afraid take subway ask direction ( Buy 7 - day sub pass ' worth ) . hotel also safe area . check ok , checking . front desk call we car service LGA lot well cab $ 15 . would stay , would personally want something close Central Park . 
