love 	 stay 5 night read rave review really live noise . great , modern , value money hotel . staff second none super - friendly , proactive attitude . there load great restaurant , bar , cafe club nearby even bar restaurant downstairs worth check meal drink head elsewhere . we always look forward yoghurt , muesli , banana OJ morning . 
 excellent stay 	 stay one night impressed . lovely reception area great room . small problem try check ( hotel fault ) reception staff could helpful . though free banana / yoghurt / orange juice great idea . would recommend hotel highly definately stay . 
 excellent location great value . 	 hsband London January 2008 stay Hoxton Hotel 5 night . manage get £ 29 deal . location perfect , close tube , take - away shop front hotel , walk distance supermarket . staff friendly & amp ; accommodate , aircon blow loudly , upon request kindly move we another room . room cosy , nice bathroom shower , large LCD tv fast free Wi - Fi . I ' hesitate stay . 
 rate HOXTON high ENOUGH 	 stay Hoxton Hotel time , £ 1 & amp ; £ 30 - special sale price . its easy reach get town , clean modern . staff great can not enough help . love alternative attitude brand . 
 Nov 24 2009 	 excellent value ! 	 's great place stay - excellent value money ; comfortable clean room , super friendly staff nice lobby area reasonable bar price . also enjoy modern strange design . free WLAN access plus . hotel convenient location 3 minute Old City metro station 10 minute Liverpool station . would definitely stay . 
 Nov 19 2009 	 AFFORDABLE HIPNESS ! 	 great hotel trendy location away throng . hotel decor modern throughout . room nice amenity include free breakfast bag deliver every morning ( banana , OJ , yogurt ) . Hoxton area great vibe art pub walk . underground ( Old St. ) near ( 2 block ) . Lobby restaurant / bar noisy . welcome / helpful staff . highly recommend Hoxton Hotel . 
 Nov 17 2009 	 Excellent service . clean . good location . 	 ' ve stay Hoxton hotel two night last week . got two room sale , value deal uncomparable anything else . : ) room right size , locate 6th floor , silent , clean comfy bed . Bathroom , , clean modern . safe drawer , fridge . ' ve really enjoy two night Hoxton hotel , silent room nice bar restaurant lobby . free internet , 60 min free daily phone call several country . lively atmosphere Friday night . Breakfast , mention review , bag . hotel locate near Old Street tube station reachable cab bus Liverpool st tube . ' ve receive warning wander neighborhood alone night , 9 pm , suggest option use cab . highly recommend . 
 Nov 15 2009 	 friendly convenient 	 stay Hoxton twice year 's main appeal 's & quot ; casual & quot ; hotel feel like backpacker hostel mature slightly discern traveller . staff friendly & quot ; pack breakfast & quot ; deliver room ( be dining room ) nice ... enough snack be travel alone double room get two ! 's free interenet central courtyard adjoin public bar convivial . 's frill hotel 's great hotel excellent vibe great location . rate season attractive give 's central location ( near Old St underground ) otherwise 's expensive twin room bed tiny ( double room bed okay ) . amenity though use nearby gym pool ( nothing fancy ) small fee . 
 Nov 13 2009 	 Faultless ! ! ! 	 stay weekend partner great time . got give room 607 - twin room quiet . great local pub bar , close Old Street tube station . fab atmosphere bar Saturday night , perhaps little busy ( take age get serve ! ! ) . Sunday relaxed , still plenty people relax til go 1 . highly recommend , would definitely stay . 
 Nov 7 2009 	 Cool hotel cool part town 	 could not pick well place stay - excellent value money , funky surrounding , comfortable room spotless bathroom . furniture lobby obviously get lot hammer chair need replace . , find fault , certainly return new favourite hotel new favourite area London . 
 Oct 29 2009 	 great fun value 	 stay Friday night , happy price £ 95 - good buzz have ask room look onto beer garden room noisy . got explore local area , hoxton square etc . trendy area will not , edgy noisy part London . late dinner restuarant really enjoy , simple tasty food drink ......... 
 Oct 27 2009 	 good boutique hotel 	 Hotel clean friendly . staff helpful friendly nice little touch fresh milk room . good price Sunday night would highly recommend price . 
 Oct 24 2009 	 Loved hotel food let stay 	 stay one night arrive absolutely love atmosphere decor Reception . room smallish perfectly serviceable small chaise end double bed . husband love bathroom huge shower think fresh milk bottle water fridge perfect finish touch ( love good cup tea ! ) already book table early Grill know would busy Friday night show plan eat early around 5 . greet hostess straight away tell we would need table back 7 immediately put back . food choice , service actual food restaurant & quot ; OK & quot ; , nothing write home thoroughly put hostess ' rather mini miniskirt ! return hotel around 10:30 find quite busy absolutely packed . spend couple hour bar / lobby area enjoy fair fabulous cocktail along great music . retired bed worry noise music downstairs , 6th floor problem comfortable undisturbed night sleep . husband banana granola yoghurt say lovely full english room service order breakfast . lovely stay would definitely stay , although would eat dinner hotel next time . 
 Oct 20 2009 	 fun cool hotel 	 Hoxton fun , busy hotel - would expect hotel Shoreditch . bar busy crowded , room nice modern albeit bit small even european standard , staff helpful , location - well right shoreditch - great we potentially great want something old crowd . good time . 
 Oct 18 2009 	 £ 1 - amazing bargain great night 	 fortunate enough get room £ 1 marketing gimmick ... really work ! never stay hotel business particular part London . the area supposedly trendy cool , select pocket true , hotel major main road quite rough . would feel comfortable walk around night . that say , hotel great . free wifi internet available hotel . price bar drink coffee four star price . line London bar price drink coffee line coffee shop Starbucks . we eat restaurant would recommend choice , taste price , service little slow come drink order waiter . the bedroom well appoint comfortable bed , good bathroom towel . in addition internet free , newspaper , bathroom soap take home fridge contain water fresh milk . addition room come supply tea coffee . in evening lobby bar area rocks DJ , good music lot people dance . you can not complain £ 1 , even pay room would still happy customer . 
 Oct 13 2009 	 favourite London hotel 	 Managment hotel get right , well do ! great plcae stay , fault apart sometimes aircon be not powerful woudl like room . well do . 
 Oct 13 2009 	 5 star treatment 3 star price ! 	 get experience room Hox offer : double room stay solo , twin room couple day later friend join . ton shopping London room ample space put shopping bag everywhere pack head home . couple thing stand beyond expect hotel could make complimentary phone call United States ( even though never take advantage ) allow leave large suitcase leave luggage room free charge couple day take Barcelona short side trip , need carry - on bag . gal front desk extremely nice helpful great restaurant shopping recommendation , well direction , one even help luggage outside shuttle go back airport . I ' ve read several review Hoxton not great central location , think easy access use tube fine get site touristy stuff . young professional , much preferred Shoreditch pub open past 11 local feel London experience . 
 oct 8 2009 	 Modern Cool ! 	 Hoxton Urban Lodge awesome find ! price reasonable , grant location close major attraction - though underground make simple get anywhere fast . grill amazing serve good drink ' ve ever have - watermelon martini ! great internet area free hotel guest aveda bath product . would definitely recommend least one night hotel , return next trip overseas . 
 oct 8 2009 	 Fabulous Hotel - Hands ! 	 picky person ; true New Yorker . though travel extensively stay range hotel ( hostel ! ) , still excited prospect staying & quot ; good & quot ; hotel - one offer amenity , location cleanliness , reasonable price . travel find & quot ; good & quot ; hotel - though nearly often would like ! Hoxton Hotel one & quot ; good hotel & quot ; speak . moment make reservation , clear good stay . twice visit hotel , twice thrilled stay . furthermore , second time stay travel young daughter not sure experience would match first , child - free visit . fact exceed , extremely helpful child - friendly . offer baby cot ( pack - and - play ) free charge - fantastic ! Hoxton sleek , urban lodge offer environment would not expect reasonably price hotel ( read - less 100gbp per night , sometimes way less ) - boutique - y lobby cool lighting seating , well fireplace . nice bar restaurant adjacent lobby . staff friendly efficient . room stylish , yet functional - dark wood decor , flat screen tv , comfy bed ( Frette linen ! ) , gorgeous bathroom Aveda Pears product rain shower , well min - fridge restock water milk day . I love Hoxton happy say return year annual London New Year trip . 
 Oct 8 2009 	 fantasic price fantastic place 	 great place , really helpful staff great location ( slightly way major attraction ) . else stay London price high quality . shame ' Hoxton Hotels ' area ..... 
 Oct 3 2009 	 hundred give Hoxton 5 	 would thrill pay £ 1 night , , however let disregard crazy price structure . ( ok , pay £ 612.68 four night ) .Now General Manager tell & quot ; clearly drop ball number thing & quot ; know hotel promote style function , we call spin . I tell find . fact , large ground floor bar restaurant ( run hotel ) fashionable popular . the night want drink could get service walk out . two small lift take ? 5 crowd floor small room . everything appear work clean . window onto back lane open . good couch cushion bed , soap . now EXPERIENCE , manager please try this . the promise water fresh milk fridge miss . few clothe hanger drawer . no robe available . Waste bin small cope supply breakfast waste etc . towel average occasional hole , face cloth . ( plan one large towel one small left rail , second set place bag top wardrobe shelf day , not ask , two guest room . ) one day staff forget one towel another day forget two towel shampoo . the first night return door find neither electronic key would work . reception 4 floor say merely use London Underground store next credit card would wipe night report reception keying . the include breakfast doggy bag must mark hang outside night . final morning leave short one breakfast . by way selection allow get fruit , juice yogurt day day . in short experience similar live student hostel . 
