disappointing 	 always hear Cumberland Hotel many visit London never stay despite dine marvelous restaurant bar area within hotel look delightful especially night . tell room would upgrade room extremly small , dark pokey ... could barely move luggage .... maybe 3 m x 3 m . glass divide bath room bedroom hate . complain ask room change aseperate bathroom . arrange also small standrd 4 5 star hotel . spend evening lobby nice part . 
 great location 	 get back great weekend Cumberland . book double twin room checking , receptionist unable find two room floor call manager , upgrade we kingsize . pleasant surprise totally unexpected daughter age 17 12 although would inconvenient different floor we , be not major problem . can not comment food do not eat hotel . location fantastic . round corner tube station opposite Hyde Park Marble Arch . Saturday buy day travel card £ 17 we great value , tube fare London expensive pay journey . Sunday , go shop able leave case hotel , walk Oxford Street walk back . drawback hotel come leave , bit queue front get taxi although queue move fairly quickly , hotel size quality perhaps taxi rank great weekend . one thing , bed comfy ever hotel 
 enjoy trip staff could nice ! 	 daughter book hotel surprise trip . warn expect much way room size & quot ; London room small & quot ; wrong ! ! room right we . build away main hotel , quiet not like glass door not fit bathroom ! staff helpful - book dinner bistro check , find receptionist forget . breakfast arrangement chaotic . staff helpful . want poach egg , go counter order , tell go another one , went tell go back original correct one - one ! ! ! get scramble egg instead ! ! enjoy stay London , would stay hotel would go elsewhere eat return . 
 Nov 24 2009 	 unexpected upgrade modern luxury unexpected fire alarm 2 am . 	 normally ' stay swanky place Cumberland due little price range girlfriend receive upgrade less hotel chain follow mix booking . hotel management good regard pay taxi show go see ' book initial hotel order close particular theatre . the hotel modern ' contemporary ' sculpture lobby interesting mean ' feel particularly warm welcoming . number restaurant Gary Rhodes ' name bank loan might require , bar couple nice pricey cocktail considerable wait late night club premise . room stay view Hyde Park spacious , clean , comfortable come mod - con . television set bit modern we take head scratch work turn . bed extremely large comfortable . hotel great location right next door Marble Arch tube station . highlight hotel us breakfast offer huge range choice 5 separate serve section . whether want continental , full English , porridge honey , choice cereal , fruit even smoothie place cover . ' deduct point due fire alarm 2 am first night apparently cause someone club set alarm maliciously . know hardly fault hotel annoying ' hint apology next day check . also ' help feel invite sort behaviour place club hotel ' . apart rude awakening , enjoy stay Cumberland would say want modern hotel good location deep pocket could hotel . good experience personally , apart breakfast , one stay enough probably ' return even price right . 
 Nov 24 2009 	 be not good 	 great lobbyBad smell corridorsvery small roomsgreat location , near station wonderful staff change room a / c ' workingdidn ' like breakfastvery long cue check - in 
 Nov 22 2009 	 could not fault 	 get back stay Cumberland hotel brilliant time ! read review previous stay prepare wait hour reception check ... matter minute . get room brilliant . nice fresh . bed amazing ! might want get . breakfast hotel also . lot choice get bit busy wait table expect massive hotel . the location excellent want go shopping ! tube station roung corner aswell bus stop . bus en route past Marble Arch . generally go London theatre 's perhaps good location like get around foot be happy jump bus 's brilliant ! 
 Nov 21 2009 	 fine nthing special 	 arrival feel though enter airport - large impersonal long queue check - in . room fine , surprisingly comfy bed . good sleep despite noisy guest get late / early make load noise ( wrong people eh ? ) . convenient Oxford Street shop etc . fine get tube change west end , purpose visit . not eat not bother breakfast plenty small cafe around coffee croissant etc . multi - storey car park around back hotel £ 36 24 hour , discount ask concierge voucher first . overall would say hotel fine want close shop etc . , not think would necessarily stay bit big soulless . 
 Nov 20 2009 	 Fab 	 fab hotel .. well worth cost .. Beautiful well lay room everything could possibly ever need .. Quiet even though situate main road . 
 Nov 20 2009 	 Great Location . Great Porter Service . great reception service 	 Family holiday London child 3 1.5booked junior suite extra bed cot . extra bed arrival despite confirmation book detail phone previous day arrival . reception staff make error key card . call reception would send someone , go back check - in plus extra bed make whole settling experience hour minute . supposedly hotel 12 junior suite . would expect view something else except windows rooms.2 burn light bulbs duration stay - housekeeping not give damn . porter helpful . breakfast plenty London hotel standard . location great shopping / outing . 
 Nov 17 2009 	 fault location everything else - slightly average 	 say title , location fantastic . stay function Park Lane . v nice hotel , modern lobby / bar / restaurant etc . drink service prompt efficient . breakfast spread , maybe way people like walk either end breakfast room get juice toast . the room fine . bed comfy , shower perfect , bathroom bright say tin . fridge room be not clean properly fussy that s complaint . second Marble Arch , Marble Arch Underground , Oxford Street , Park Lane ( 5min walk ) etcoverall , pleasant stay , check queue dissipate quicklywould stay ? yes 
 Nov 17 2009 	 underwhelme 	 special birthday treat . lobby lovely send eighth floow tiny smelly room ( smoking ) . ask move non - smoking room pack road another buidle . dedicated reception man member staff even greet we arrival . second room less smelly still tiny really quite disappointing flagship , five star hotel . stick Landmark ! 
 Nov 15 2009 	 room service not match public space 	 bar reception area place stunning hotel excellent location . perhaps cheap room , room cramp badly lay . however , possibly comfortable hotel bed ' ve ever stay ( travel lot ! ) .The service reception breakfast poor . not seem geared volume customer have . the first impression spectacular , disappointed . 
 Nov 14 2009 	 Glitzy busy lobby ; teeny tiny room 	 lobby modern art museum - esque fully tourist stripe , basic hotel - room , closet , shower , food , gym - average good . feel like pay lobby . wish style like . 
