Leopard 	 husband London Thanksgiving week year try Rubens Hotel . hotel gracious , warm comfortable . room quite spacious London standard . ask turn service . chocolate yummy . favorte part stay meeting Said Mahri , manager Leopard Bar inside hotel . luxurious room wood panelling . romantic chic . say charming gracious host , knowledgeable London retaurant bar scene . 
 Pleasurable stay 	 fantastic location right next Palace , wonderful walk St James Park breakfast . stay catch couple show west end . bit way Covent Garden ( £ 15-£20 taxi ) ideal start point variety bar drink in . the service really good , consistent whoever meet whether reception , breakfast staff barman . standard room also good , bed one good ' ve ever stay ( wife want buy one ! ) . picky little pricey . lunch consist couple drink , salad , steak fry £ 50 . say plenty people eat drinking know ! really enjoy stay would go back . 
 Nov 25 2009 	 Tops service accommodation location 	 husband complete another wonderful stay Rubens . look well - sized well - decorate room ( vs. usual London & quot ; closets & quot ; ) , friendly & amp ; exemplary service staff level , terrific location offer easy access multiple tube & amp ; bus line , plus value money need look . beautifully decorate & amp ; spacious room include marvelous shower , free wireless access , good lighting , plenty outlet , comodious desk space , separate table -- plus two upholstered chair . breakfast cater taste offer early ' til late . helpful staff happy organize theatre ticket , tour , museum visit -- whatever want . bar / lounge terrific pianist / singer -- 's intimate champagne bar well . 
 Nov 23 2009 	 consistently excellent service 	 stay Rubens third time year yet , disappointed . service outstanding . upgrade suite good price ( offer reception book ) , although huge , comfortable indeed . stay standard superior room find fine . usually eat Old Masters pre - theatre dinner find good value central London convenient show . Breakfast serve good standard . time , also eat dinner Library restaurant one evening - good food service - delight . , would stay anywhere else London - quality service alone . 
 Nov 22 2009 	 think twice . 	 disappointing stay Rubens . room give we horrible - old beat furniture toilet flush . change room second room look well , however bed something wrong make noise everytime turn . end change hotel one night . 
 Nov 12 2009 	 Great Hotel dynamite location ! 	 hotel street Buckingham Palace convenient Victoria Station . food good service impeccable . service one thing English definitely know well . last time London , stay one RCH Chains hotel , Chesterfield Mayfair . little upscale Rubens compatible teenager along . sure book one large room standard would kind cramp american standard . executive king adequate . not blame Brits dollar worthless , would not say thing exorbitant . hotel great base explore London heartily recommend . 
 Nov 11 2009 	 love : - ) 	 like great location ? charming spotless clean hotel ? oh comfortable bed ? great breakfast ? polite , friendly & amp ; helpful staff ? stay Rubens Palace . simply could not fault ! ! enjoy every minute stay sure . Visit & quot ; Square & quot ; lunch : - ) fab . 
 Nov 11 2009 	 wonderful hotel highly recommend nothing much trouble 	 Excellent couple want romantic weekend ~ friendliness staff exceptional food highly recommend . good central location visit London area . 
 Nov 8 2009 	 ideal location close Victoria Station 	 choose hotel location , convenient within walk distance Victoria station . staff friendly , efficient stuffy . although first time stay hotel stay hotel within Carnation Hotel Group . become fan small hotel chain , hotel individual charm . 
 Nov 7 2009 	 great location value 	 stay Rubens 3 night business could happy . staff , location value $ $ outstanding . perfect place stay business pleasure location . additon bar restaurant excellent . 
 Nov 3 2009 	 wonderful hotel 	 husband , four - year old child , mother stay three night begin tour UK Spain . despite disastrous first start ( charter conveyance show airport subsequently wait hour get ride London , check - in clerk -- young , sullen girl -- rude make forceful attempt get upgrade ) would highly recommend hotel . hotel manager , Malcolm , omnipresent , professional , prompt customer service orient . issue airport , van price reduce Manager 's calm , polite manner ensure rude girl behind desk spoil stay . location hotel AMAZING ; safely jog around neighborhood , walk theater , catch metro right outside door , walk Buckingham Palace Hyde Park three block . staff nice child ' act like plague ridden rodent enter domain . food wonderful -- say lot country know cuisine . afternoon tea treat , could sit watch world walk large pan window . champagne bar lovely lounge . concierge — Tom -- amuse helpful . hotel also great piano player hail Kentucky play nice background music lounge area ( request play " Free Bird " ) . say hotel room would expect United States lobby small ( think quaint ) . mother 's room small could fit suitcase room without remove furniture bathroom , view concrete wall . however , wallpaper suede , bathroom incredible , bed comfortable , everything clean . say , problem reservation stay could disaster . somehow , June , & quot ; Bedsoline & quot ; book wrong room wrong rate aforementione sullen clerk tell would upgrade order stay room husband four year - old child . accuse clerk & quot ; bait switch & quot ; inform problem check - in . book June October stay without indication husband could fit room child tow . manager quickly step , upgrade we Junior Suite additional cost . Suite size smallish standard US hotel room , clean lovely view wonderfully comfortable bed . , manager hotel make property classy , safe comfortable home base London . choice , location , cleanliness , customer service beat hotel . 
 Nov 3 2009 	 pleasant surprise 	 normally stay Four Seasons decide try Rubens base outstanding location . great pleasure discover level service least par FS 's . staff efficient , discreet seem genuinely enjoy work . stay Executive King room entirely adequate size amenity exceed expectation . include breakfast ample , tasty enhance seamless eager please service ; even concierge desk never tired constant pestering . all excellent 3 day visit would hesitate return . 
