Montana 	 anniversary gift wife London decide stay Montana Hotel , Kensington . Montana choose recommendation work colleague . perfect every way . location perfect . Bang heart Kensington Knightsbridge convenience shopping , bar london offer . the hotal Gloucester Road opposite Gloucester tube station ideal quick train ride site London short walk Kensington Palace Gardens . soon arrive look exactly like website photograph staff friendly welcoming . room adequate short stay , simple elegant . request bottle champagne place room arrive , explain reception first anniversary . surprise also complimentary box chocolate rise place bed , course take credit wife ask ( thank guy extra ) . hotel indian restaurant also serve breakfast convenient quick breakfast go explore . ask reception direction place go helpful even arrange couple excursion us whist . overall fantastic hotel accessible fantastic location . keep Montana . 
 bit let - down 	 location suberb 100 metre Gloucester Road tube station . sadly quite let service reception . guy encounte seem quite annoyed someone disturb surfing internet . room okay size , shower almost pressure ! ! also quite disappointed get small bar soap ! ! shampoo whatsoever . return hotel ! ! ! 
 Nov 16 2009 	 will def go back ! ! 	 stay hotel recently friend pleasantly surpise much appreciated kindness staff show we right enter door . amazing diference friendly staff make holiday . room satisfactory , comfortable good house keep facility flat screen keep company night in ! hotel restaurant serve lovely food - great thing menu completely reasonably price . hotel good information tourist hot spot able provide enough tip suggestion break . even arrange transport service we take away lot un want stress . hotel situate location lively lot offer closeby tube stn get around london . I would def recommend hotel ! 
 Nov 16 2009 	 Amazing Staff perfect Hotel highly Recommend 	 stay 5 friend 2 night weekend reunion . great location , close lot London 's attraction tube station . stay 3 double room top hotel nice seize room good seize bathroom share , bed comfortable room clean . overall hotel well decorate lot character . staff could not enough we friendly . help we every way could , personally touch . breakfast delicious lot , hot cold . amazing indian restaurant serve scrumptious food . price hotel great ! enable we spend money enjoy . consider large chunk money go hotel cost would definitely recommend plan stay . thank staff great stay ! 
 Nov 15 2009 	 promise 	 australian travel London first time want experience good service good look hotel . website sell , free internet , free pay tv , nice look room Ironing board nice attraction . staff bill credit card full stay arrival , immidatley suspicious . tell room first floor find behind reception desk . window show view service ally , accompany loud leaky pipe . door not even open fully , make process get suitcase room tedious . promise iron facility nowhere see tv charge movie . bathroom small manageable however give one towel bar soap . glass bathroom also never replace wash , exactly & quot ; Deluxe . & quot ; good thing hotel location , close Gloucester RD station happy bonus make travel everywere simple . convenience attach Restaurant & quot ; Light India & quot ; overprice however great food , compare unhelpful hotel staff , godsent . Liked : location ( can not beat ) attach restaraunt . disliked : room , hotel staff , promise make website lack service price . reason hotel would consider bad price , pay location , lot place stay area worth . 
 Nov 15 2009 	 Disgusting 	 travel extensively sleep tent Africa , hut Vietnam superb lodging Nepal Hotel moment enter massive failure . first room right behind front desk area adjacent roof mount air conditioner . second room 3 single bed least ground floor . service desk non existent . try get clarity precisely map desk person continue say & quot ; & quot ; look point anyhting map simply survey surrounding . we book stay 3 night , check first move nearby Crowne Plaza ... excellent hotel . go back Hotel Montana leave leather portfolio case day before . the person say find anything , would throw . unbelievable ! ask housecleaner find gold watch would throw also . apparently throw everything extremely hard believe . would call housecleaner past 5 pm regardless fact leave London next morning . absolutely devoid service room bare bone . 
 Nov 8 2009 	 Excellent Stay - Advise friend stay 	 moment partner walk hotel , make feel welcome . first visit Montana Hotel , wish would find soon . staff warm helpful , never get much personal touch 4 - 5 star hotel . show room , satisfactorily cosy everything expect . also access selection video tv . look plan evening , helpful delightful receptionist , plan suggest wonderful place , make easy we . order car , whole evening wonderful . hotel centre everything , place near distance , never anything see . near tube across road , theatre , museum etc close . not stop . completely make feel home , also make friend guest , say come year . hotel restaurant inside , serve exquisite indian food we go back , night night . definitely go back , warmness , staff service hotel like . 
 Nov 7 2009 	 rude reception Montana Hotel 	 attract Montana location pricing , however , totally put rudeness people man reception , especially person name Chris . totally snubbed nose ask cheap rate hotel , alone need luxury , alot hotel anyway . first enquire , quote price indicate interest . leave hurry attend thing . within hour , return prepared place deposit booking , inform price early quote long available room quoting take ! way thing handle , difficulty believe truth . also way Chris colleague playing & quot ; good guy , bad guy & quot ; , say , however , say really like staff serve restaurant . friendly attentive need , sensitive desire . save grace hotel . the room ok . small , though , liveable going mostly come back rest . certainly , polite reception staff would change whole impression hotel first person guest see . oh well ... ! 
 Nov 7 2009 	 Perfect trip Royal Albert Hall 	 ' m thirtysomething Manchester bring mum concert Royal Albert Hall look inexpensive hotel near venue near Tube . having read recent review put site book , slightly concerned . need not , fact pleasantly surprised . staff friendly helpful . location hotel excellent close Gloucester Road Tube 15 min walk Royal Albert Hall ( less walk quick mum ! ) . also lot shop / food outlet vicinity Tesco , Waitrose , boot , Pret Manger . the twin room ( . 111 ) good size . tea coffee make facility , good size tv freeview channel internet access . room bathroom spotlessly clean . admittedly small bar soap provided not bother always bring toiletry anyway . shower hot powerful . breakfast next day simple sufficient , tea / coffee / fruit juice , cereal , toast jam . could pay extra fry etcAt £ 100 inclusive breakfast , think hotel good value perfect need . experience cheap outstanding hotel London ( unless 's special deal ) past pay similar money much shoddy hotel . finally , be look somewhere dinner way back Albert Hall try Da Mario Gloucester Road good pizza pasta . 
 Oct 29 2009 	 worth 	 thinking would great place take mother girly weekend website certainly sell - learn big lesson- pay . hallway smell like toilet student flat may due bathroom randomly place around hotel . get move 4th floor first night get shower tell water pressure bad waited hour would better- really say . en suite first room small ensuite decorate rest hotel classic 80 style - make 80 . bismal . good part upon arrive sign window offering room £ 55 . sure much bad London pretty disappointing . 
 Oct 16 2009 	 deserve 4 star rating . More like 2 star . 	 website make hotel look quite impressive £ 95 room continental breakfast seem like good deal . however , arrival show room behind reception dark , overheat lack amenity . there toiletrie apart couple small bar soap , iron board iron ( although website state every room one ) , mini bar , hot drink make facility , nowhere hang towel bathroom . also sort extractor fan outside window come intermittently night . obviously request quiet room totally ignore ! complain room tell hotel full ( although breakfast room follow day seem overcrowded ) . breakfast poor - stew coffee , pice toast ( white bead ) , jam , juice , cereal tin fruit . however , plus note staff attentive . I deliberately pick 4 star hotel thought would get good accomodation rip - off . plus side ir couple minute walk tube . my advice - avoid cost . hotel area may expensive probably worth pay bit get decent room . 
 Oct 10 2009 	 well value elsewhere 	 stay 9 night recently , would advise look around well value . location good , moment walk underground , hundred well hotel London . elevator small two people luggage , air conditioning loud wear ear plug ( tell ' normal ' must light sleeper ... be ) room small could walk side side bed dresser . breakfast okay , consider provide cut fruit cereal toast , heavy carb protein ( e.g . eggs yoghurt cheese unless buy regular menu ) . Love London , hotel ' ve travel far wide stay quite . 
 Sep 30 2009 	 hotel perfect we 	 return home wonderful visit London . sincerely believe vacation enhance choice hotel . look small hotel get tired large - than - life , impersonal , anonymous hotel . elevator small happy one ! whole point trip see London stay somewhere affordable able everything want . read review leave admit bit nervous stay Montana . hotel exceed expectation . staff friendly knowledgable city . friendly first thing morning breakfast inquire day return hotel . two lady travel alone feel bit comfortable know someone large city idea . not get wrong - not nosy , friendly . ask , offer suggestion whether would well take tube bus particular time day i.e . rush hour , buy item look , etc . room clean . small need . love layout . narrow room end single bed face . bathroom good size full - size tub shower . tub big tub home enjoy soak every night return sightseeing . need towel phone desk bring we right away . across street major grocery store good , fresh selection fruit vegetable , cook chicken , pre - make sandwich , dairy , etc . room fridge able save bit money buying supper grocery store . even enough money leave end week able see another play west end . hotel across street tube ( subway ) less 10 minute walk bus stop . be also within walking distance Harrod 's may need take bus back purchase . would definately recommend hotel anyone . 's fancy , exactly look . keep mind friendly nice people reflect back . 
 Sep 15 2009 	 Great Location Great Value Great Staff 	 Montana Hotel look impressive outside however quite luxurious hotel look . say , minute arrive staff friendly helpful could . place clean room satisfactory . location brilliant 3 - 5 min away near tube station absolutely brilliant value . would definitely reccomend . london good hotel value well location . 
 Aug 13 2009 	 Loved hotel - great value ! 	 stay Montana Hotel London June 2008 , LOVED ! value terrific London Hotels . location fantastic , close & quot ; tube & quot ; bus route many store , bank , etc . right block hotel . could not ask well location . room small , typical european style room , clean , comfy suited need well . staff friendly helpful . People complain breakfast find breakfast fine . cold cereal , toast , tea , coffee juice . want large breakfast order menu . need ? definitely stay Montana Hotel next time London . 's great hotel . 
 Jul 4 2009 	 good value hotel nice part London 	 stay overnight Montana attend concert Royal Albert Hall . book online £ 90.00 include breakfast wonder sort accommodation would get , get nicely decorate , clean , albeit small room decent shower room en suite , flat screen tv , safe , air conditioning ( 31 deg . London time ) - real bargain Kensington . staff friendly , breakfast good - could order egg etc . extra cost - toast , cereal , juice coffee fine we . also fresh fruit offer ' m sure include package . this area London really nice , safe , close amenity ( bank , Waitrose , Tesco , Starbucks , Pret Manger etc . ) , 2 decent english pub , load restaurant , 10 - 15 minute walk Royal Albert Hall . Gloucester Road tube adjacent . recommend . 
 Jun 7 2009 	 Great Place Stay 	 catch tube Heathrow early hour morning , around 12.30 , would reccomend especially family lot luggage . quite stressful long haul flight , daughter leave one bag behind tube . say , cheap convenient way get hotel station literally righty accross road hotel . lot luggage , lift small one we could go time , think might give we hand witht luggage , maybe limited staff time night . quad room ( 2 single double ) adequate although lot space put luggage . bathroom lot small use Australia , job . room overlook Gloucester Road lovely . thing do not like window do not open , give room stuffy feeling , I m sure would not matter time year , lucky enough beautiful , almost hot weather entire stay . location excellent short walk Kensington High Street end restaurant , post office , tesco 's , burger king , starbuck , etc . quite lively area , well night not disturb we . nice walk Hyde park Cromwell Road close Natural History Museum , Harrods . breakfast highlight hotel we , really enjoy cereal toast , do not feel like anything . Peter waiter make breakfast enjoyablewith great service , give we reccomendation many different attraction around city . overall great memory stay Montana , would reccomend . 
