stay 	 spend 2 weekend night London Guards could wait leave . receptionist barely speak we check .. ask breakfast time , check etc . give one word answer . stay quad room smell like grandmother attic . luckily next hotel Edinburgh laundry facilite clothe smell musty . daughter fall badly wet floor come downstairs one morning ( sign post wet ) 3 employee watching not say word try help . unbelievable . Lancaster Gate tube stop also shut not even convenient . breakfast sufficient server polite . positive thing say hotel . many option London stay hotel . 
 Nov 18 2009 	 good cost hotel London 	 Ritz , opinion good value London accommodation . large normal room clean , tea / coffee facilite , safe breakfast include . 
 Nov 1 2009 	 decent 	 hotel great location . walk distance Padington station . room clean fridge , shower old good experience . one - two night low price would recommend , . 
 Oct 26 2009 	 safe location next Hyde park 	 would definitely recommend look nice , quite , reasonably price area , place stay London . location seem safe tourist . room large clean . continental breakfast nice . close Swan Pub excellant fish chip . step get room quirky , definitely well lead expect type B & amp ; B London . would definitely stay ! 
 Oct 20 2009 	 dissapointe have pay normal rate 	 easy get Paddington Train Lancaster Gate tube station stroll Hyde Park , local shop Fullers pub . arrive reception full luggage guy reception assume within earshot previous guest would not need info repeat check i.e bar shut beacuse Sunday . double Room ground floor average size London room soon warm heating . agree previous review hotel / room could bit TLC inc bathroom portable tv room must around bit symbol wear remote ! ( think LCD tv give star hotel ) . say room clean lay fresh fold towell toiletry bathroom . quiet room ( G3 ) include fridge room whilst useful wake times night . got double room £ 45 ( £ 135 rack rate ) bargain Hotels site ( via Trip Advisor ) rating base price last double room available . have pay full rate , would give 2 rating ' m convinced stay long couple day would great experience 
 Oct 16 2009 	 Charm character 	 spend week London Guard great room top floor ! old build wonderful charm character . bed firm comfortable everything clean . lift work not walk mile corridor get . continental breakfast adequate include variety cereal , yogurt , fruit , toast croissant . staff pleasant helpful . internet available lobby 1 pound 30 minute . stay several London Hotels definitely good money . 
 Sep 20 2009 	 London Guards guard comfort 	 thank whose positive review lead great value hotel stone 's throw Hyde Park Lancaster Gate . may little wear , lobby may navy blue pink , clean , honest , budget hotel staff friendly helpful , even work double shift ... book twin , get l - shape room ( 301 ) double twin , tv , desk , spotless bathroom bathtub . towel rack heater bath plus , mini fridge . pay 50 euro Hotels.com . Breakfast , serve basement , include great choice cereal , toast , nutella . Orange juice industrial - strength gut rot . Tip flush toilet - push lever hard , hold ... hold ... hold . coin internet , passable bit slow - big internet café near bayswater tube station . 
 Sep 18 2009 	 great location - comfortable enough 	 stay hotel 2 week - breakfast enough could go several day get boring . location awesome ! one block Hyde Park start end day relax stroll . close Paddington Station walk take train Heathrow . the room nice clean - lot space luggage purchase . bathroom tub shower . we not really ask lot staff hotel - clean room make bed happy . front desk useful one time ask information . this hotel great great location comfortable place sleep . look place relax spend lot time place . 
 Sep 13 2009 	 nice location old hotel can not complain 	 check desk clerk could not find reservation , luckily would bring reservation confirmation able find we room . room small one double bed wife , 5 yr old daughter share . carpet stain look dirty enough wife would not walk around barefoot . bathroom small , shower maybe good water pressure ' ve ever experience hotel . rather cramp bed comfortable . we like room small refrigerator . maid give we fresh towel day . night quiet . complimentary continental breakfast . the good thing location . minute walk Lancaster Gate Underground station Kensington Gardens ( great place take kid tired sightseeing ) . airport single transfer underground ( Piccadilly line central line ) get . Notting Hill 2 - 3 minute underground ride 15 minute walk . put store inexpensive restaurant nearby . go back London would consider hotel probably stay offer good deal . 
 Jul 30 2009 	 review accurate - got expect . 	 choose hotel base tripadvisor review disappoint . experience London hotel , pretty much expect : clean tired furniture decor , lift , plumbing work , basic continental breakfast basement dining room , staff reasonably pleasant helpful . our quad room ground floor ( semi - basement ) next main airconditione unit noisy , bathroom bit musty , ask move another room , . think room probably one poor locate building , bit unlucky . replacement room first floor excellent . note double bed creak loudly bit firm side . quiet neighbourhood , plenty cab street , great central location , variety restuarant & amp ; shop close walk distance . give price age / style building , think fair value major annoyance disappointment spoil stay 6 night .. 
 Jul 26 2009 	 ok hotel short stay 	 room quite small , hotelroom London . problem room bit cold , heating . location great , close Hyde Park Lancaster Gate station . short stay hotel ok , long trip would rather pay bit find hotel large room . 
 Jul 23 2009 	 satisfy 	 stay 3 different room 3 different time . first large , stained carpet tear wallpaper . second pretty large . third fine , small . People friendly breakfast enough we . great location old townhouse , place fine . 
